Date, Open, High, Low, Close, Volume,ticker
12/24/20,125.0,125.1,124.21,124.69,1761122,IBM
12/23/20,123.88,125.21,123.74,123.9,2693889,IBM
12/22/20,123.31,124.22,122.41,123.61,4337757,IBM
12/21/20,123.97,124.18,121.72,123.39,6115671,IBM
12/18/20,125.59,126.4,124.97,125.85,7552845,IBM
12/17/20,126.08,126.09,124.91,125.55,3787962,IBM
12/16/20,125.93,126.5728,125.286,125.55,4530096,IBM
12/15/20,124.39,125.93,123.44,125.93,4359601,IBM
12/14/20,125.32,126.2435,123.47,123.53,5050023,IBM
12/11/20,124.08,125.51,123.61,124.27,4481416,IBM
12/10/20,126.35,126.93,124.94,124.96,4803172,IBM
12/09/20,125.8,127.69,125.7,126.79,6513517,IBM
12/08/20,125.32,126.33,124.64,125.71,5395024,IBM
12/07/20,126.49,126.97,124.57,124.7,8318500,IBM
12/04/20,123.97,127.38,123.64,127.2,5522760,IBM
12/03/20,124.16,124.86,123.29,123.61,4548161,IBM
12/02/20,122.85,124.64,122.41,124.62,3690737,IBM
12/01/20,123.9,125.83,123.08,123.16,5312057,IBM
11/30/20,124.1,125.0,123.09,123.52,5987991,IBM
11/27/20,124.2,125.31299999999999,123.91,124.35,2091186,IBM
11/25/20,122.93,124.33,122.11,124.2,4135894,IBM
11/24/20,120.86,124.73,120.805,124.42,7759006,IBM
11/23/20,117.43,120.515,117.27,120.09,5655119,IBM
11/20/20,117.6,118.04,116.69,116.94,5024593,IBM
11/19/20,116.54,117.45,115.89,117.18,3439648,IBM
11/18/20,117.72,118.88,116.75,116.77,4606828,IBM
11/17/20,117.6,118.54,117.07,117.7,4134455,IBM
11/16/20,118.3,118.55,117.12,118.36,5293385,IBM
11/13/20,115.19,117.37,115.01,116.85,4683512,IBM
11/12/20,115.63,116.37,113.48,114.5,6500799,IBM
11/11/20,118.12,118.35,116.22,117.2,4289601,IBM
11/10/20,116.69,118.17,116.25,117.91,5622756,IBM
11/09/20,117.88,119.74,115.27,115.53,8992152,IBM
11/06/20,115.08,115.1,113.39,114.04,5249171,IBM
11/05/20,113.3,115.29,113.01,114.77,4902206,IBM
11/04/20,112.33,113.91,111.16,111.9,5800071,IBM
11/03/20,114.0,115.65,113.63,114.16,4204287,IBM
11/02/20,112.65,113.8265,112.25,112.91,5311497,IBM
10/30/20,107.9,111.8,107.75,111.66,7923882,IBM
10/29/20,107.25,109.64,106.55,108.91,6760241,IBM
10/28/20,108.66,109.73,105.92,106.65,9427321,IBM
10/27/20,112.15,112.22,110.03,110.56,5936106,IBM
10/26/20,114.45,114.9,111.84,112.22,7203366,IBM
10/23/20,116.5,116.62,115.53,116.0,3893362,IBM
