Date, Open, High, Low, Close, Volume,ticker
12/24/20,495.82,499.12,493.16,497.14,69543,IDXX
12/23/20,499.06,502.0,492.82,493.68,253158,IDXX
12/22/20,488.01,499.62,487.76,499.15,331461,IDXX
12/21/20,480.06,490.44,470.26,489.68,383331,IDXX
12/18/20,478.49,486.99,474.0,485.52,899144,IDXX
12/17/20,471.69,477.8,468.35,477.8,369420,IDXX
12/16/20,466.53,474.3,463.455,467.58,466647,IDXX
12/15/20,460.66,467.3977,453.795,464.96,297340,IDXX
12/14/20,458.84,477.365,457.275,458.17,460812,IDXX
12/11/20,455.57,457.62,447.82,456.23,327154,IDXX
12/10/20,450.49,456.05,449.04,454.27,592541,IDXX
12/09/20,458.91,462.45,449.11,449.88,436058,IDXX
12/08/20,461.92,461.92,453.24,460.69,436206,IDXX
12/07/20,455.92,462.7,454.2,459.36,320377,IDXX
12/04/20,462.96,463.26,455.8701,457.15,387577,IDXX
12/03/20,463.85,467.825,458.38,460.07,352576,IDXX
12/02/20,465.51,467.5,461.5,462.59,351973,IDXX
12/01/20,461.99,468.975,452.22,467.86,386725,IDXX
11/30/20,454.77,461.09,451.31,460.98,589814,IDXX
11/27/20,452.05,455.97,446.68,454.23,173865,IDXX
11/25/20,449.24,454.82,443.14,446.48,338900,IDXX
11/24/20,459.49,466.77,446.46,446.83,494849,IDXX
11/23/20,467.26,467.26,449.71,459.79,440853,IDXX
11/20/20,456.23,469.13,455.0,464.29,411438,IDXX
11/19/20,444.77,457.81,444.77,457.19,318476,IDXX
11/18/20,451.36,455.0,443.65,444.06,347447,IDXX
11/17/20,454.62,457.0,450.54,455.85,315420,IDXX
11/16/20,452.09,459.43,448.815,455.37,500036,IDXX
11/13/20,452.99,458.35,448.67,453.64,254364,IDXX
11/12/20,459.62,462.56,445.06,449.22,396501,IDXX
11/11/20,443.69,455.74,443.69,455.06,432247,IDXX
11/10/20,431.89,443.72,421.15,441.23,865535,IDXX
11/09/20,485.0,485.0,435.58,436.45,822988,IDXX
11/06/20,469.99,479.15,466.36,478.1,519868,IDXX
