Date, Open, High, Low, Close, Volume,ticker
12/24/20,110.04,110.1499,109.26,110.06,626896,IFF
12/23/20,114.46,114.835,110.42,110.53,1539774,IFF
12/22/20,114.82,116.12,114.39,114.96,2102791,IFF
12/21/20,113.01,114.6222,112.18,114.29,2067142,IFF
12/18/20,113.37,114.95,111.55,114.29,3918994,IFF
12/17/20,112.83,114.12,112.45,113.58,1031781,IFF
12/16/20,111.67,112.73,110.59,112.12,1150790,IFF
12/15/20,109.42,111.57,108.88,110.93,1671465,IFF
12/14/20,112.52,112.77,109.02,109.25,1141213,IFF
12/11/20,112.01,112.42,109.53,111.04,1482413,IFF
12/10/20,114.62,114.73,111.96,112.59,1085213,IFF
12/09/20,115.83,116.55,114.0161,115.22,1165407,IFF
12/08/20,114.46,115.63,113.93,115.43,1125335,IFF
12/07/20,115.75,116.8,114.42,114.91,1410347,IFF
12/04/20,113.68,116.24,113.2164,116.0,2129383,IFF
12/03/20,112.05,114.42,111.74,112.64,1851210,IFF
12/02/20,111.95,112.55,110.85,112.51,1176999,IFF
12/01/20,111.7,113.2,111.21,111.62,1375767,IFF
11/30/20,112.2,112.68,110.17,112.1,2359978,IFF
11/27/20,113.72,114.71,112.38,112.87,474120,IFF
11/25/20,115.02,115.02,111.83,112.4,884355,IFF
11/24/20,112.1,115.44,111.83,115.13,1450681,IFF
11/23/20,112.67,113.61,110.755,111.28,1020135,IFF
11/20/20,111.66,112.82,111.19,112.06,1049561,IFF
11/19/20,111.79,112.41,110.55,111.95,813343,IFF
11/18/20,115.0,115.36,112.25,112.39,893802,IFF
11/17/20,113.33,114.69,111.71,114.51,992849,IFF
11/16/20,114.15,115.96,112.31,114.76,1441788,IFF
11/13/20,110.95,113.38,110.64,112.17,1306153,IFF
11/12/20,109.25,111.39,108.45,109.87,1362545,IFF
11/11/20,112.8,112.9899,108.27,109.2,1328677,IFF
11/10/20,109.25,114.15,107.57,112.44,2536014,IFF
11/09/20,114.12,117.36,112.11,112.38,2060823,IFF
11/06/20,107.81,109.19,107.48,108.56,1415336,IFF
11/05/20,106.22,108.28,105.43,107.55,1571731,IFF
11/04/20,107.28,107.44,104.88,105.02,1362264,IFF
11/03/20,106.31,107.9,105.42,107.23,1068626,IFF
11/02/20,104.29,105.5507,103.75,105.07,1235054,IFF
10/30/20,102.77,103.345,101.41,102.66,1564092,IFF
10/29/20,101.0,103.56,99.54,102.92,1901963,IFF
10/28/20,103.65,104.75,101.28,101.44,2476952,IFF
10/27/20,108.57,109.075,105.3,105.62,2327295,IFF
10/26/20,109.84,110.2,107.655,108.95,1373166,IFF
10/23/20,113.24,113.34,109.95,110.57,1678580,IFF
10/22/20,110.19,112.24,108.51,111.85,1135062,IFF
10/21/20,112.5,113.01,110.15,110.45,1202039,IFF
10/20/20,114.0,115.64,113.08,113.6,1031840,IFF
10/19/20,116.67,116.67,112.795,113.55,1167729,IFF
10/16/20,116.68,117.63,115.86,116.27,1237910,IFF
10/15/20,115.53,116.92,115.14,116.01,912850,IFF
10/14/20,117.64,118.4,116.75,116.91,892907,IFF
10/13/20,118.13,119.46,116.03,117.17,1045045,IFF
10/12/20,120.18,120.18,117.7,118.64,1207956,IFF
10/09/20,117.75,121.715,117.75,119.41,1454488,IFF
10/08/20,117.69,118.29,114.85,116.2,911331,IFF
10/07/20,116.43,117.69,115.3,116.51,1150215,IFF
