Date, Open, High, Low, Close, Volume,ticker
12/24/20,377.51,381.79,377.43,381.16,441932,INTU
12/23/20,379.01,383.94,376.71,376.92,900939,INTU
12/22/20,376.0,380.14,373.58,379.97,1003561,INTU
12/21/20,374.72,377.82,368.42,375.93,997633,INTU
12/18/20,377.16,380.8,375.53,380.11,2569581,INTU
12/17/20,371.93,380.99,370.34,380.32,1965911,INTU
12/16/20,361.31,370.36,360.03,369.26,1577883,INTU
12/15/20,365.82,367.76,360.15,360.43,1655060,INTU
12/14/20,364.44,369.305,363.6054,365.51,1365982,INTU
12/11/20,362.12,364.65,358.0,364.32,1193790,INTU
12/10/20,361.23,364.395,357.45,362.5,1499216,INTU
12/09/20,368.91,370.14,361.11,364.18,2477788,INTU
12/08/20,372.4,380.5,370.525,372.59,1705237,INTU
12/07/20,367.82,373.98,367.28,372.19,1910082,INTU
12/04/20,365.15,371.94,364.07,368.6,1404403,INTU
12/03/20,355.19,366.68,353.47,363.7,1841131,INTU
12/02/20,355.66,356.15,350.0555,355.49,760700,INTU
12/01/20,356.01,359.29,352.29,356.82,1088895,INTU
11/30/20,353.45,356.44,348.13,352.02,1875760,INTU
11/27/20,353.93,358.04,351.83,354.24,528296,INTU
11/25/20,345.72,352.47,345.01,350.47,1199344,INTU
11/24/20,345.0,347.73,342.52,345.2,1045463,INTU
11/23/20,348.07,350.32,337.72,343.33,1529577,INTU
11/20/20,358.85,359.98900000000003,347.51,347.69,2370232,INTU
11/19/20,353.2,363.39,349.05,361.44,1533627,INTU
11/18/20,356.24,360.26,353.7607,354.74,912410,INTU
11/17/20,354.98,360.0,353.43,358.75,953992,INTU
11/16/20,356.54,361.22,353.33,357.06,1158831,INTU
11/13/20,351.84,358.325,350.43,356.95,1179472,INTU
11/12/20,352.97,356.64,347.65,349.51,947726,INTU
11/11/20,345.65,356.5545,342.93,352.4,1127017,INTU
11/10/20,358.15,358.15,339.35,342.26,1544160,INTU
11/09/20,365.95,377.15,359.31,360.14,1820136,INTU
11/06/20,351.48,353.85,344.8,352.26,623054,INTU
11/05/20,350.92,352.01,346.21,350.96,1074337,INTU
11/04/20,339.72,347.91,334.11,343.0,1344677,INTU
11/03/20,319.91,326.94,317.83,324.73,1114858,INTU
11/02/20,317.76,321.87,312.17,316.42,1109863,INTU
10/30/20,321.91,325.165,312.05,314.68,1682866,INTU
10/29/20,319.43,329.3866,319.33,325.61,896800,INTU
10/28/20,323.47,325.1,317.96,318.51,948411,INTU
10/27/20,330.59,333.4,329.31,330.27,838744,INTU
10/26/20,330.91,332.095,323.44,328.09,927838,INTU
10/23/20,333.32,334.59,330.0,334.42,721966,INTU
10/22/20,332.94,333.91,325.31,331.82,803367,INTU
10/21/20,335.69,336.675,331.31,332.79,816816,INTU
10/20/20,338.35,338.965,333.45,334.51,1131226,INTU
10/19/20,343.32,344.23,334.05,335.27,822798,INTU
10/16/20,343.78,346.82,340.95,341.15,790020,INTU
10/15/20,341.29,343.18,338.0,341.97,790047,INTU
10/14/20,351.49,351.49,341.23,345.3,896431,INTU
10/13/20,352.67,353.74,347.5131,349.59,1118898,INTU
10/12/20,345.18,353.98,342.21,350.93,1571289,INTU
10/09/20,336.62,342.2,335.773,341.81,846808,INTU
10/08/20,336.36,337.76,333.26,334.99,788297,INTU
10/07/20,327.74,336.91,327.08,334.91,1236112,INTU
10/06/20,331.31,333.87,323.91,325.38,1042447,INTU
10/05/20,330.33,332.0,327.12,331.36,1296524,INTU
10/02/20,326.16,329.48,319.91,321.89,902722,INTU
10/01/20,330.74,333.98,329.85,332.34,1091541,INTU
09/30/20,323.02,329.14,319.67,326.21,1804877,INTU
09/29/20,325.54,329.22,323.05,323.64,1122510,INTU
09/28/20,325.43,326.13,322.26,325.55,1134304,INTU
09/25/20,309.9,318.79,307.77,318.5,1239803,INTU
09/24/20,304.67,312.63,301.94,308.59,1216929,INTU
09/23/20,315.4,315.98,303.055,304.93,1412131,INTU
09/22/20,309.81,318.12,306.695,317.28,2099947,INTU
09/21/20,296.29,308.02,295.37,307.7,1594620,INTU
09/18/20,307.7,312.95,296.77,300.13,2284451,INTU
09/17/20,304.91,308.4,301.34,307.23,1795549,INTU
09/16/20,324.86,326.23,312.61,313.38,1668809,INTU
09/15/20,321.38,324.145,319.38,322.47,1111618,INTU
09/14/20,320.17,321.25,315.77,318.31,888851,INTU
09/11/20,323.82,325.35,311.41,315.0,955183,INTU
09/10/20,329.58,332.66,317.07,320.39,1254155,INTU
09/09/20,324.4,331.305,319.7354,328.21,1303238,INTU
09/08/20,320.79,329.36,319.6466,320.82,1578582,INTU
09/04/20,337.76,340.53,324.61,333.11,1219458,INTU
09/03/20,353.11,353.11,336.66,339.63,1570070,INTU
09/02/20,348.67,355.67,347.47,354.18,1438039,INTU
09/01/20,344.92,349.33,343.56,347.18,1074621,INTU
08/31/20,345.89,346.2389,342.1,345.39,1070807,INTU
08/28/20,346.73,347.38,343.84,346.11,1189442,INTU
08/27/20,341.84,349.51,339.06,345.0,1880870,INTU
08/26/20,356.86,360.0,338.07,342.34,3108571,INTU
08/25/20,332.5,337.37,329.9513,336.42,1718389,INTU
08/24/20,325.27,334.15,324.63,333.12,2088371,INTU
08/21/20,319.86,322.6,318.4,322.23,1174791,INTU
08/20/20,310.0,320.655,309.94,320.06,1083578,INTU
08/19/20,308.67,313.95,305.86,310.55,991195,INTU
08/18/20,310.0,311.0,306.58,308.9,755750,INTU
08/17/20,307.84,310.015,306.83,308.01,714919,INTU
