Date, Open, High, Low, Close, Volume,ticker
12/24/20,49.74,49.8,49.195,49.76,439146,IP
12/23/20,49.73,49.965,49.3,49.55,2332212,IP
12/22/20,49.74,49.985,49.31,49.4,2166077,IP
12/21/20,49.13,49.53,48.33,49.48,3462202,IP
12/18/20,49.75,50.12,49.31,49.98,5516143,IP
12/17/20,49.45,49.79,48.9,49.75,1982468,IP
12/16/20,49.41,49.65,49.15,49.31,2229770,IP
12/15/20,48.5,49.15,48.3875,49.15,2397155,IP
12/14/20,49.33,49.41,48.0,48.01,2506898,IP
12/11/20,48.37,48.89,48.06,48.63,1853183,IP
12/10/20,49.01,49.47,48.465,48.64,2118110,IP
12/09/20,49.0,49.77,49.0,49.54,2646364,IP
12/08/20,48.38,49.11,48.278999999999996,49.09,2124690,IP
12/07/20,48.91,48.91,47.95,48.67,3136702,IP
12/04/20,48.76,49.06,48.06,48.87,4050225,IP
12/03/20,49.77,49.95,47.89,48.24,4541186,IP
12/02/20,49.68,50.3055,49.49,49.86,1713948,IP
12/01/20,50.23,50.6,49.51,49.85,2537003,IP
11/30/20,50.52,50.6204,49.33,49.48,3427025,IP
11/27/20,50.66,51.21,50.28,50.69,920007,IP
11/25/20,51.24,51.55,50.6,51.07,2309930,IP
11/24/20,50.52,51.99,50.5,51.87,2920538,IP
11/23/20,50.13,50.52,49.8,50.01,2771044,IP
11/20/20,49.19,49.75,48.695,49.43,3369774,IP
11/19/20,49.14,49.37,48.51,49.23,3474422,IP
11/18/20,50.22,50.61,49.55,49.56,3022942,IP
11/17/20,49.58,50.52,49.11,50.09,5626640,IP
11/16/20,49.42,50.24,48.75,49.96,4005789,IP
11/13/20,47.1,48.07,47.1,47.89,2409127,IP
11/12/20,48.16,48.34,46.4,47.09,2773878,IP
11/11/20,49.01,49.2809,48.09,48.67,3285272,IP
11/10/20,47.57,48.87,47.17,48.82,2993007,IP
11/09/20,48.59,50.33,47.27,47.36,3768128,IP
11/06/20,47.11,47.3799,46.0,46.49,2015366,IP
11/05/20,45.5,47.52,45.26,46.89,2751747,IP
11/04/20,45.99,46.36,44.74,45.09,2182508,IP
11/03/20,45.91,46.76,45.55,46.52,2905222,IP
11/02/20,44.54,45.275,44.05,45.05,2677459,IP
10/30/20,43.73,44.138000000000005,43.19,43.75,2553014,IP
10/29/20,42.77,44.34,42.4803,43.84,2988740,IP
10/28/20,43.5,43.92,42.7,43.0,3555053,IP
10/27/20,45.18,45.29,44.34,44.37,2704934,IP
10/26/20,45.69,46.0548,44.92,45.29,2457928,IP
10/23/20,46.81,47.18,46.32,46.4,1954043,IP
10/22/20,46.33,46.7,46.05,46.59,1754933,IP
10/21/20,46.29,47.0599,46.08,46.48,2366387,IP
10/20/20,47.21,47.31,46.12,46.4,2846671,IP
10/19/20,46.77,47.03,46.36,46.69,3224217,IP
10/16/20,46.36,46.81,45.82,46.54,4910443,IP
10/15/20,44.09,45.61,43.965,45.55,3760906,IP
10/14/20,44.27,44.98,44.27,44.66,2919293,IP
10/13/20,44.08,44.64,43.47,44.01,2726152,IP
10/12/20,43.94,45.02,43.36,44.47,4521764,IP
10/09/20,43.55,44.2,42.67,42.67,4655123,IP
10/08/20,41.81,42.51,41.79,42.49,2069757,IP
10/07/20,41.09,41.98,40.965,41.81,2810319,IP
10/06/20,41.5,41.74,40.63,40.67,2674438,IP
10/05/20,41.05,41.82,40.87,41.43,2410416,IP
10/02/20,39.31,40.77,39.1501,40.48,2809325,IP
10/01/20,40.79,41.1612,39.835,39.95,2721325,IP
09/30/20,40.35,41.01,40.2,40.54,2483344,IP
09/29/20,41.26,41.26,39.8,40.28,2808480,IP
09/28/20,41.51,41.76,40.675,41.17,3374410,IP
09/25/20,38.76,41.51,38.38,41.16,6106463,IP
09/24/20,39.38,39.95,38.7,39.21,1960499,IP
09/23/20,40.74,40.815,39.22,39.27,3045981,IP
09/22/20,40.87,41.21,40.3165,40.78,1976328,IP
09/21/20,41.11,41.49,40.26,41.04,2833341,IP
09/18/20,42.58,43.08,41.99,42.05,4662173,IP
09/17/20,41.37,43.1,40.91,42.89,4556729,IP
09/16/20,41.91,42.38,41.42,41.92,3537232,IP
09/15/20,41.0,41.76,40.77,41.66,3949595,IP
09/14/20,39.37,40.98,39.27,40.79,5252506,IP
09/11/20,38.17,39.14,37.91,38.92,2383134,IP
09/10/20,38.43,38.73,37.95,37.97,2378606,IP
09/09/20,37.91,38.7,37.56,38.29,3006836,IP
09/08/20,38.88,39.04,37.265,37.31,4609304,IP
09/04/20,39.05,39.35,38.3773,39.03,3878020,IP
09/03/20,38.91,39.54,37.83,38.34,4098653,IP
09/02/20,37.62,38.87,37.3343,38.84,5364032,IP
09/01/20,36.22,37.53,35.93,37.52,3303406,IP
08/31/20,36.92,36.92,36.14,36.27,2796784,IP
08/28/20,36.7,37.11,36.57,36.93,1692110,IP
08/27/20,36.2,36.865,36.18,36.6,1754786,IP
08/26/20,36.09,36.24,35.765,36.17,1550181,IP
08/25/20,37.45,37.53,36.1896,36.21,1921622,IP
08/24/20,35.76,37.42,35.71,37.27,3019697,IP
08/21/20,35.3,35.57,34.81,35.18,2642357,IP
08/20/20,35.75,36.03,35.47,35.68,1606078,IP
08/19/20,36.34,36.86,36.1,36.2,1596294,IP
08/18/20,36.48,36.76,36.18,36.24,1749956,IP
08/17/20,37.29,37.29,36.525,36.63,1830314,IP
08/14/20,36.2,37.37,36.09,37.27,3031360,IP
08/13/20,35.92,36.68,35.82,36.49,2755145,IP
08/12/20,37.34,37.46,36.44,36.72,2727902,IP
08/11/20,37.3,38.33,36.905,37.02,3513842,IP
08/10/20,35.67,36.34,35.535,36.31,2662236,IP
08/07/20,34.17,35.5199,33.92,35.49,4476253,IP
08/06/20,35.5,35.86,35.26,35.27,2678690,IP
08/05/20,35.63,36.09,35.56,35.58,2842609,IP
08/04/20,35.23,35.65,34.97,35.28,3285924,IP
08/03/20,35.22,35.67,34.86,35.44,3794527,IP
07/31/20,35.3,35.53,34.35,34.79,4047941,IP
07/30/20,37.27,37.64,35.385,35.76,3651234,IP
07/29/20,36.37,36.96,36.1,36.75,3134678,IP
07/28/20,36.73,36.83,36.015,36.17,2550407,IP
07/27/20,36.26,36.92,35.92,36.85,2197683,IP
07/24/20,36.8,36.95,36.185,36.32,1370165,IP
07/23/20,36.54,36.88,36.31,36.63,1597767,IP
07/22/20,36.49,36.84,36.18,36.65,1701023,IP
07/21/20,36.25,37.07,36.25,36.61,1517818,IP
07/20/20,36.64,36.83,36.12,36.35,2101281,IP
07/17/20,37.55,37.55,36.79,36.92,2411262,IP
07/16/20,36.3,37.675,36.11,37.39,3511941,IP
07/15/20,36.58,36.79,35.835,36.31,2717414,IP
07/14/20,34.7,35.66,34.47,35.46,3358705,IP
07/13/20,34.6,35.18,34.25,34.65,2640720,IP
07/10/20,33.23,34.59,33.23,34.54,1975112,IP
07/09/20,34.01,34.14,32.94,33.11,2766550,IP
07/08/20,35.1,35.17,33.82,34.14,3019974,IP
07/07/20,35.49,35.57,34.96,35.24,3249535,IP
07/06/20,36.22,36.48,35.5,35.94,2626815,IP
07/02/20,35.26,35.8,35.03,35.35,2051998,IP
07/01/20,35.34,35.56,34.52,34.81,2343458,IP
06/30/20,34.79,35.51,34.44,35.21,2528278,IP
06/29/20,34.31,35.42,34.23,35.01,2554231,IP
06/26/20,33.57,33.92,33.16,33.8,3694317,IP
06/25/20,33.34,33.835,32.59,33.78,1962059,IP
06/24/20,34.47,34.47,33.52,33.58,3150497,IP
06/23/20,34.69,35.16,34.5,34.85,2567416,IP
06/22/20,34.6,34.62,33.7701,34.42,2671964,IP
06/19/20,35.78,35.88,34.67,34.86,8923435,IP
06/18/20,34.84,35.5,34.67,35.08,2239724,IP
06/17/20,35.77,35.99,35.08,35.18,2487342,IP
06/16/20,36.35,36.81,35.29,35.71,2849778,IP
06/15/20,33.72,35.43,33.39,35.06,3290675,IP
06/12/20,35.6,35.62,34.12,34.92,2418967,IP
06/11/20,35.1,35.86,33.615,33.92,3265625,IP
06/10/20,38.04,38.1,36.7,36.77,2218515,IP
06/09/20,38.9,38.95,38.06,38.31,2073818,IP
06/08/20,39.2,39.8,38.825,39.69,2639860,IP
06/05/20,39.14,40.24,38.54,39.03,3235598,IP
06/04/20,36.6,37.85,36.15,37.83,2931399,IP
06/03/20,36.0,37.25,35.75,36.92,2729118,IP
06/02/20,34.92,35.83,34.8502,35.23,2325679,IP
06/01/20,34.07,34.98,34.039,34.73,2689516,IP
05/29/20,34.8,34.94,33.71,34.05,6160690,IP
05/28/20,36.01,36.14,34.55,35.09,2684116,IP
05/27/20,35.25,36.07,35.0,35.84,2642524,IP
05/26/20,32.98,34.48,32.71,34.33,2998509,IP
05/22/20,32.91,33.0,32.17,32.64,2982787,IP
05/21/20,32.86,33.65,32.8,32.93,1808375,IP
05/20/20,32.4,33.395,32.365,33.0,2310274,IP
05/19/20,32.48,32.79,31.7,32.01,1765813,IP
05/18/20,32.28,33.21,32.2218,32.8,4006371,IP
05/15/20,31.01,31.2,30.43,31.05,2727761,IP
05/14/20,30.48,31.6,29.76,31.57,3146569,IP
05/13/20,31.97,32.0,30.36,30.85,2586883,IP
05/12/20,33.19,33.54,32.07,32.12,2083503,IP
05/11/20,33.71,33.81,32.93,33.07,2112788,IP
05/08/20,33.18,34.39,33.09,34.35,1931308,IP
05/07/20,32.61,33.435,32.39,32.6,3140208,IP
05/06/20,33.28,33.64,32.14,32.17,3047807,IP
05/05/20,33.92,34.0,32.97,33.1,3712888,IP
05/04/20,33.5,33.72,32.84,33.37,2491875,IP
05/01/20,33.7,34.01,33.06,33.91,2737816,IP
04/30/20,33.5,35.08,33.02,34.25,3882490,IP
04/29/20,36.73,37.35,36.34,36.52,4481830,IP
04/28/20,33.79,36.145,33.58,35.75,8936578,IP
04/27/20,31.32,32.98,31.3,32.81,4223919,IP
04/24/20,31.08,31.36,30.54,31.13,4175700,IP
04/23/20,30.35,30.99,30.23,30.54,3373077,IP
04/22/20,30.67,30.82,29.835,29.97,3110909,IP
04/21/20,29.99,30.65,29.83,30.12,3083108,IP
04/20/20,31.52,31.555,30.655,30.78,3139760,IP
04/17/20,31.23,32.32,31.06,31.85,6540732,IP
04/16/20,31.8,32.14,29.95,30.47,4177706,IP
04/15/20,32.56,32.79,31.16,31.8,4112716,IP
04/14/20,34.88,34.88,32.78,33.58,4200138,IP
04/13/20,34.13,34.68,33.23,34.41,3835979,IP
