Date, Open, High, Low, Close, Volume,ticker
12/24/20,175.91,176.46,174.94,175.94,261761,IQV
12/23/20,177.84,178.99,174.9,175.55,894659,IQV
12/22/20,177.37,177.37,174.605,176.98,856379,IQV
12/21/20,177.31,177.97,173.87,176.75,1396710,IQV
12/18/20,179.58,180.99,177.66,180.39,1901537,IQV
12/17/20,175.73,179.22,175.0,178.95,1884445,IQV
12/16/20,172.42,175.46,171.07,174.69,1124461,IQV
12/15/20,168.72,173.34,167.67,172.42,1490631,IQV
12/14/20,169.08,172.25,166.91,167.3,1090972,IQV
12/11/20,167.4,168.59,165.52,167.81,1069165,IQV
12/10/20,168.4,169.98,167.43,168.47,866332,IQV
12/09/20,171.18,171.5,168.39,168.5,1086126,IQV
12/08/20,169.44,171.45,168.38,171.29,1579895,IQV
12/07/20,170.69,172.14,169.14,170.07,1660166,IQV
12/04/20,167.9,170.61,165.82,170.61,1496028,IQV
12/03/20,170.5,171.0,167.19,167.63,1560082,IQV
12/02/20,170.3,170.81,168.31,170.04,1050745,IQV
12/01/20,170.62,173.77,170.31,171.23,1635675,IQV
11/30/20,169.61,170.42,167.74,168.99,1643998,IQV
11/27/20,170.48,170.89,168.03,168.81,591766,IQV
11/25/20,171.99,171.99,169.34,169.87,817074,IQV
11/24/20,173.05,173.82,170.775,172.0,742794,IQV
11/23/20,170.8,171.42,169.31,170.56,682754,IQV
11/20/20,169.75,171.08,168.14,169.77,606018,IQV
11/19/20,168.35,169.845,167.01,169.55,713982,IQV
11/18/20,172.32,173.53,168.87,169.07,837107,IQV
11/17/20,171.78,172.4,168.91,172.21,613112,IQV
11/16/20,175.0,175.38,171.89,173.74,620012,IQV
11/13/20,168.98,174.52,168.97,173.93,745397,IQV
11/12/20,167.81,169.65,166.68,167.8,746397,IQV
11/11/20,168.01,169.71,165.58,167.88,885016,IQV
11/10/20,172.76,173.41,165.485,166.0,1272435,IQV
11/09/20,180.13,180.7694,173.31,173.66,1276280,IQV
11/06/20,171.99,173.33,169.86,171.44,759529,IQV
11/05/20,173.67,176.16,171.26,171.71,1007062,IQV
11/04/20,162.04,174.21,162.04,170.9,1583556,IQV
11/03/20,157.66,160.95,157.0901,160.14,765493,IQV
11/02/20,156.21,157.57,154.2375,155.13,787894,IQV
10/30/20,153.94,155.01,150.655,153.99,1009747,IQV
10/29/20,156.42,157.75,153.55,154.65,1226196,IQV
10/28/20,155.75,158.64,155.2195,155.71,1400227,IQV
10/27/20,162.62,162.74,158.58,159.14,1216821,IQV
10/26/20,165.33,165.71,159.81,162.17,1301288,IQV
10/23/20,170.77,170.77,166.53,167.47,760587,IQV
10/22/20,169.87,171.98,167.49,169.4,946112,IQV
10/21/20,173.9,174.72,169.08,169.25,918478,IQV
10/20/20,172.16,176.0,171.84,173.5,2158941,IQV
10/19/20,164.77,166.5,163.07,164.05,1361330,IQV
10/16/20,163.33,166.39,163.33,164.56,1047542,IQV
10/15/20,163.53,164.19,161.35,162.0,1173588,IQV
10/14/20,167.37,168.13,164.285,165.89,771519,IQV
10/13/20,169.5,170.99,166.57,166.59,815128,IQV
10/12/20,167.94,171.88,166.49,170.46,923112,IQV
10/09/20,165.38,167.54,164.97,166.76,926540,IQV
10/08/20,164.57,166.105,163.83,164.49,561119,IQV
10/07/20,160.32,164.72,160.32,164.19,579827,IQV
10/06/20,161.15,162.92,159.4,159.4,472907,IQV
10/05/20,158.6,161.65,157.81,160.62,560291,IQV
10/02/20,156.41,158.38,155.81,156.83,561671,IQV
10/01/20,159.16,160.8,157.475,158.33,799022,IQV
09/30/20,155.44,158.97,155.0,157.63,778727,IQV
09/29/20,155.25,158.05,154.61,154.78,858618,IQV
09/28/20,153.5,156.99,153.5,155.31,910630,IQV
09/25/20,147.32,152.525,146.03,151.3,1792720,IQV
09/24/20,149.75,149.75,146.0,148.07,1080988,IQV
09/23/20,153.35,153.77,148.87,148.96,809883,IQV
09/22/20,153.77,154.44,152.5,153.3,1157693,IQV
09/21/20,154.62,154.92,150.61,154.08,1251212,IQV
09/18/20,160.38,160.88,156.715,157.12,3615928,IQV
09/17/20,160.79,161.31,158.59,160.5,1019676,IQV
09/16/20,165.6,165.91,162.0,162.01,1268029,IQV
09/15/20,162.73,165.75,162.73,164.71,1242451,IQV
09/14/20,161.61,163.11,160.68,161.65,766018,IQV
09/11/20,160.96,161.63,158.14,159.53,545567,IQV
09/10/20,162.0,163.74,159.5,159.67,923515,IQV
09/09/20,160.74,163.18,159.43,161.06,974699,IQV
09/08/20,158.62,161.56,157.2,157.79,1041066,IQV
09/04/20,165.54,165.71,157.175,160.21,1152533,IQV
09/03/20,169.96,169.99,163.125,164.8,796922,IQV
09/02/20,165.52,170.51,164.65,169.75,972304,IQV
09/01/20,164.0,165.88,163.0,165.13,959205,IQV
08/31/20,160.64,164.88,160.25,163.75,1304064,IQV
08/28/20,158.5,161.25,157.82,161.22,684819,IQV
08/27/20,158.4,159.94,156.52,158.5,917926,IQV
08/26/20,156.66,159.15,156.66,158.52,745744,IQV
08/25/20,156.91,157.79,154.58,156.94,1149214,IQV
08/24/20,158.43,158.53,155.09,156.24,990103,IQV
08/21/20,158.52,158.7,156.3427,157.57,661182,IQV
08/20/20,158.95,158.95,157.43,157.96,651106,IQV
08/19/20,160.67,161.68,159.09,160.16,396794,IQV
08/18/20,161.81,161.81,159.43,160.53,529819,IQV
08/17/20,161.82,163.26,161.15,161.5,489251,IQV
08/14/20,162.65,162.88,160.48,161.23,560327,IQV
08/13/20,162.22,165.02,162.22,163.75,682331,IQV
08/12/20,160.22,163.38,159.92,162.87,785761,IQV
08/11/20,160.41,161.96,158.965,159.31,718255,IQV
08/10/20,160.85,160.93,158.97,159.64,794226,IQV
08/07/20,160.05,161.04,159.01,160.54,680875,IQV
08/06/20,161.0,161.68,159.49,161.04,1150906,IQV
08/05/20,161.5,161.82,159.67,160.75,724006,IQV
08/04/20,160.11,160.84,159.0,160.15,889951,IQV
08/03/20,159.07,161.97,158.46,161.18,743819,IQV
07/31/20,158.0,158.63,155.71,158.39,1014030,IQV
07/30/20,158.0,159.09,156.165,158.26,893062,IQV
07/29/20,159.65,160.88,159.02,160.06,1170793,IQV
07/28/20,158.75,160.93,157.72,158.65,1677596,IQV
07/27/20,158.42,163.55,158.01,162.28,1047716,IQV
07/24/20,160.57,161.0,156.46,157.88,1071906,IQV
07/23/20,164.7,164.99,160.55,161.48,1937950,IQV
07/22/20,160.06,166.16,160.0,164.29,1836685,IQV
07/21/20,156.19,159.24,155.92,156.95,1443693,IQV
07/20/20,153.62,155.57,153.03,155.2,945877,IQV
07/17/20,150.94,155.07,149.91,154.05,968726,IQV
07/16/20,151.85,151.85,148.16,149.68,940803,IQV
07/15/20,150.0,152.8854,149.26,152.37,1004199,IQV
07/14/20,141.8,147.99,140.6,147.78,1320322,IQV
07/13/20,144.22,146.35,141.15,141.28,816068,IQV
07/10/20,145.03,145.31,141.385,142.68,761874,IQV
07/09/20,143.97,145.95,142.72,144.99,742802,IQV
07/08/20,142.56,144.42,142.31,144.17,783685,IQV
07/07/20,142.56,144.44,141.74,141.94,817925,IQV
07/06/20,143.3,144.03,141.72,143.64,1171763,IQV
07/02/20,143.22,144.0,140.87,141.52,777154,IQV
07/01/20,141.98,142.675,139.4,141.53,1426931,IQV
06/30/20,137.0,142.56,137.0,141.88,883498,IQV
06/29/20,136.94,137.71,135.63,137.52,562372,IQV
06/26/20,136.88,139.06,135.47,135.99,1712280,IQV
06/25/20,136.03,137.97,133.18,137.8,1229311,IQV
06/24/20,139.1,139.78,134.38,136.47,1476850,IQV
06/23/20,139.19,142.02,136.85,140.17,2005952,IQV
06/22/20,135.83,137.9136,133.9305,137.53,1477108,IQV
06/19/20,141.17,141.31,136.06,136.08,2449904,IQV
06/18/20,138.02,139.25,136.895,138.12,1162015,IQV
06/17/20,141.5,141.5,138.04,138.92,1322876,IQV
06/16/20,143.64,144.46,139.57,141.04,1297231,IQV
06/15/20,135.21,140.26,135.19,139.57,1277711,IQV
06/12/20,142.59,143.59,134.93,138.82,990199,IQV
06/11/20,143.57,143.84,138.22,138.64,1491211,IQV
06/10/20,147.27,148.8,144.66,147.19,1210863,IQV
06/09/20,148.64,149.56,146.6,146.8,815007,IQV
