Date, Open, High, Low, Close, Volume,ticker
12/24/20,45.78,46.04,45.19,46.03,609732,IR
12/23/20,45.78,45.99,45.33,45.76,859588,IR
12/22/20,45.81,45.98,45.5,45.56,1523431,IR
12/21/20,44.28,45.7,44.01,45.66,1579261,IR
12/18/20,45.54,45.89,44.9,45.22,5238914,IR
12/17/20,44.44,45.575,43.96,45.44,2312192,IR
12/16/20,44.83,44.855,43.83,44.32,1526478,IR
12/15/20,44.5,44.93,43.865,44.76,1716727,IR
12/14/20,45.25,45.46,43.75,43.86,2269927,IR
12/11/20,44.3,44.63,44.08,44.32,2631589,IR
12/10/20,44.71,44.93,44.43,44.79,2208169,IR
12/09/20,44.8,45.08,44.67,44.99,2161921,IR
12/08/20,44.04,44.58,44.01,44.54,2148765,IR
12/07/20,45.1,45.25,44.17,44.33,1992723,IR
12/04/20,44.8,45.45,44.8,45.19,1578785,IR
12/03/20,44.21,44.98,44.01,44.46,1720589,IR
12/02/20,44.44,44.9,44.0235,44.33,1760508,IR
12/01/20,45.03,45.64,44.76,44.8,2909407,IR
11/30/20,44.58,44.89,44.03,44.27,2517327,IR
11/27/20,45.19,45.19,44.63,44.8,594908,IR
11/25/20,45.33,45.33,44.73,44.81,1006403,IR
11/24/20,45.29,45.58,44.94,45.47,2076343,IR
11/23/20,44.79,45.08,44.46,44.48,1778031,IR
11/20/20,44.27,44.45,43.909,44.26,1433436,IR
11/19/20,43.71,44.31,43.43,44.2,1525832,IR
11/18/20,44.97,44.99,43.89,43.91,1458691,IR
11/17/20,44.56,44.97,43.75,44.64,1725163,IR
11/16/20,43.61,45.0,43.23,44.99,3257596,IR
11/13/20,42.98,43.77,42.52,42.76,2823064,IR
11/12/20,42.15,42.87,42.02,42.5,1609706,IR
11/11/20,43.15,43.17,42.2,42.61,1440598,IR
11/10/20,42.5,43.855,42.47,42.75,3268401,IR
11/09/20,42.01,45.53,42.01,42.78,4984927,IR
11/06/20,39.67,40.465,39.645,40.25,1899006,IR
11/05/20,38.57,40.21,38.16,39.8,2432644,IR
11/04/20,38.69,38.72,37.0,38.07,3711048,IR
11/03/20,36.32,38.99,36.04,38.75,3722004,IR
11/02/20,35.56,36.13,35.36,35.98,2145461,IR
10/30/20,34.95,35.28,34.37,34.94,2369313,IR
10/29/20,35.06,35.46,34.69,35.08,1865345,IR
10/28/20,35.35,35.9,35.15,35.24,1918041,IR
10/27/20,36.5,36.8,35.94,36.1,1882026,IR
10/26/20,37.75,37.75,36.025,36.56,2390299,IR
10/23/20,38.18,38.38,37.46,38.27,1827369,IR
10/22/20,37.17,38.045,37.07,37.93,1392454,IR
10/21/20,37.28,37.91,37.245,37.26,1648921,IR
10/20/20,36.94,37.7939,36.935,37.24,1937450,IR
10/19/20,37.16,37.46,36.52,36.6,2084406,IR
10/16/20,37.46,37.98,37.205,37.22,1611814,IR
10/15/20,36.56,37.15,36.31,37.07,2636405,IR
10/14/20,37.57,38.1,37.3,37.37,2631859,IR
10/13/20,37.09,37.64,37.06,37.53,2597583,IR
10/12/20,37.3,37.41,36.905,37.21,2034763,IR
10/09/20,37.58,37.78,37.1,37.13,1914868,IR
10/08/20,36.9,37.31,36.49,37.23,2165816,IR
10/07/20,36.92,37.15,36.44,36.66,4214816,IR
10/06/20,37.01,37.43,36.38,36.45,2281033,IR
10/05/20,36.59,37.11,36.45,36.91,2247579,IR
10/02/20,34.99,36.58,34.86,36.08,1920678,IR
10/01/20,35.89,36.09,35.13,35.57,1420802,IR
09/30/20,35.91,36.4254,35.21,35.6,2069361,IR
09/29/20,36.18,36.55,35.67,35.87,1482326,IR
09/28/20,36.03,36.77,35.8801,36.05,2406113,IR
09/25/20,35.04,35.615,34.84,35.37,1787231,IR
09/24/20,35.19,35.97,34.2,35.37,2025245,IR
09/23/20,35.23,35.7869,35.01,35.03,2097203,IR
09/22/20,34.53,35.205,34.48,35.1,2757111,IR
09/21/20,35.14,35.44,34.02,34.66,2535990,IR
09/18/20,37.06,37.34,35.82,35.9,8420073,IR
09/17/20,36.5,37.63,36.1,37.19,3151651,IR
09/16/20,36.56,37.39,36.46,36.93,2970576,IR
09/15/20,36.37,36.6,35.99,36.33,1992955,IR
09/14/20,36.01,36.39,35.82,36.32,1947815,IR
09/11/20,35.23,36.105,35.03,35.98,2233062,IR
09/10/20,35.42,35.7619,34.96,35.03,2172232,IR
09/09/20,34.86,35.67,34.66,35.42,2028048,IR
09/08/20,35.07,35.11,34.05,34.47,3055657,IR
09/04/20,35.89,36.2,35.19,35.31,2199129,IR
09/03/20,36.1,36.34,35.03,35.39,2030568,IR
09/02/20,36.26,36.355,35.68,36.1,2314723,IR
09/01/20,34.92,36.23,34.6,36.21,1895434,IR
08/31/20,35.84,35.84,35.06,35.06,1779889,IR
08/28/20,35.39,35.84,35.205,35.76,2421091,IR
08/27/20,35.39,35.505,35.08,35.29,1421594,IR
08/26/20,35.17,35.39,34.89,35.16,1202768,IR
08/25/20,35.56,35.64,34.94,35.24,1303484,IR
08/24/20,34.94,35.45,34.71,35.44,1304527,IR
08/21/20,34.6,34.92,34.43,34.71,1364697,IR
08/20/20,34.0,34.7,33.83,34.63,1647595,IR
08/19/20,34.68,34.98,34.3,34.43,1362990,IR
08/18/20,34.73,35.01,34.6,34.62,1917928,IR
08/17/20,35.45,35.54,34.68,34.81,1595538,IR
08/14/20,34.85,35.6,34.52,35.4,1572678,IR
08/13/20,35.37,35.46,35.045,35.12,1710045,IR
08/12/20,36.07,36.19,35.38,35.61,1977329,IR
08/11/20,35.36,36.2425,35.36,35.86,3626044,IR
08/10/20,33.96,35.04,33.81,35.03,3477542,IR
08/07/20,32.94,33.92,32.76,33.9,2916268,IR
08/06/20,32.84,33.185,32.54,33.04,1848024,IR
08/05/20,32.94,33.6,32.785,32.9,2362871,IR
08/04/20,32.94,33.51,32.09,32.65,5173489,IR
08/03/20,31.84,32.66,31.65,32.63,2974392,IR
07/31/20,31.66,32.08,31.01,31.59,2658326,IR
07/30/20,31.67,31.91,31.24,31.81,1929978,IR
07/29/20,31.63,32.16,31.4,32.16,1957808,IR
07/28/20,31.87,31.97,31.18,31.35,3074841,IR
07/27/20,31.78,31.955,31.42,31.82,1862186,IR
07/24/20,31.68,31.79,31.28,31.6,2427639,IR
07/23/20,31.8,32.11,31.41,31.63,2109831,IR
07/22/20,31.72,32.15,31.51,31.9,2453689,IR
07/21/20,31.5,32.0,31.4,31.65,3143661,IR
07/20/20,30.61,31.38,30.41,31.3,3138592,IR
07/17/20,30.81,31.14,30.41,30.65,2905694,IR
07/16/20,30.89,31.32,30.45,30.68,2676770,IR
07/15/20,30.17,31.05,30.17,30.96,3462169,IR
07/14/20,28.68,29.76,28.43,29.73,3045442,IR
07/13/20,28.55,29.31,28.4,28.63,3654987,IR
07/10/20,27.82,28.41,27.78,28.31,3594480,IR
07/09/20,28.0,28.11,27.16,27.86,2904945,IR
07/08/20,28.08,28.41,27.72,28.12,2630374,IR
07/07/20,29.11,29.14,28.07,28.1,2380656,IR
07/06/20,28.92,29.4,28.615,29.31,2797641,IR
07/02/20,28.61,29.22,28.35,28.46,3861357,IR
07/01/20,28.18,28.65,27.91,28.04,3287061,IR
06/30/20,27.91,28.37,27.55,28.12,3384411,IR
06/29/20,27.49,28.3,27.27,28.11,3721672,IR
06/26/20,27.51,27.77,27.08,27.23,9657299,IR
06/25/20,27.36,27.68,26.81,27.57,6608237,IR
06/24/20,28.69,28.69,26.72,27.5,10711560,IR
06/23/20,29.51,29.64,28.86,28.98,4871278,IR
06/22/20,28.61,29.45,28.43,29.17,4126009,IR
06/19/20,29.83,29.85,28.79,28.81,6945785,IR
06/18/20,29.41,30.26,29.32,29.38,5166169,IR
06/17/20,30.5,30.96,29.48,29.55,11689000,IR
06/16/20,32.64,33.07,31.12,31.37,4577158,IR
06/15/20,30.04,31.22,29.59,31.02,4265546,IR
06/12/20,31.97,32.16,30.52,31.22,3081943,IR
06/11/20,31.26,31.53,30.66,30.75,5547621,IR
06/10/20,32.93,33.275,32.56,32.78,3278004,IR
06/09/20,34.31,34.49,33.01,33.09,3333721,IR
06/08/20,34.85,35.1,33.42,35.03,6191224,IR
06/05/20,32.08,33.97,32.0,33.24,6281855,IR
06/04/20,30.63,31.28,30.43,30.68,3246142,IR
06/03/20,29.33,30.86,29.12,30.79,3020155,IR
06/02/20,29.04,29.35,28.59,28.85,2427836,IR
06/01/20,28.19,28.885,27.715,28.76,2916735,IR
05/29/20,28.56,28.68,27.75,28.2,5718598,IR
05/28/20,28.0,29.37,27.93,28.75,6700146,IR
05/27/20,31.01,31.69,29.9,30.0,3437218,IR
05/26/20,29.5,30.85,29.29,30.41,3931816,IR
05/22/20,29.46,29.46,28.43,28.54,2312013,IR
05/21/20,28.95,29.41,28.65,29.41,2218191,IR
05/20/20,28.87,29.66,28.685,29.02,2766555,IR
05/19/20,28.52,29.12,28.08,28.48,4321987,IR
05/18/20,27.31,28.96,27.31,28.7,2445971,IR
05/15/20,26.44,26.88,26.22,26.42,3029217,IR
05/14/20,25.42,27.14,24.81,26.71,3223903,IR
05/13/20,27.03,27.06,25.3675,25.92,4952192,IR
05/12/20,27.51,29.4,27.4,27.46,5602110,IR
05/11/20,28.89,29.33,28.15,29.09,2878059,IR
05/08/20,28.21,29.194000000000003,27.95,29.17,1869989,IR
05/07/20,27.74,28.265,27.58,27.68,1705738,IR
05/06/20,27.74,27.79,27.09,27.28,1515638,IR
05/05/20,27.51,28.38,27.51,27.59,2074003,IR
05/04/20,27.75,27.76,26.78,27.37,1763521,IR
05/01/20,28.65,28.755,27.61,28.13,1507844,IR
04/30/20,29.91,29.95,28.87,29.08,2507212,IR
04/29/20,30.0,30.48,29.715,30.32,2132596,IR
04/28/20,29.39,30.0,28.73,29.27,2800877,IR
04/27/20,28.08,29.43,27.86,28.77,3505470,IR
04/24/20,27.63,28.1,27.24,27.82,3126059,IR
04/23/20,27.0,28.09,26.83,27.36,2991293,IR
04/22/20,26.81,27.1,25.95,26.82,2641890,IR
04/21/20,25.7,26.54,25.6,26.38,3174079,IR
04/20/20,26.25,27.1219,25.63,26.43,4002871,IR
04/17/20,25.41,26.99,25.31,26.81,3811440,IR
04/16/20,24.19,24.78,23.21,24.6,3761873,IR
04/15/20,25.52,25.57,24.15,24.36,2597121,IR
04/14/20,26.88,27.46,26.1,26.35,2551422,IR
04/13/20,26.48,26.94,25.63,26.22,3164185,IR
04/09/20,26.15,27.51,25.87,26.5,3299767,IR
04/08/20,24.9,25.85,24.425,25.7,3268917,IR
04/07/20,26.46,26.82,24.635,24.82,4253088,IR
04/06/20,24.65,26.04,24.55,25.43,5045070,IR
04/03/20,23.05,23.89,22.57,23.49,3826767,IR
04/02/20,23.53,24.69,22.59,23.04,6383199,IR
04/01/20,23.94,25.1,23.6,23.79,7902868,IR
03/31/20,23.53,25.14,23.53,24.8,6458897,IR
03/30/20,22.74,23.93,22.18,23.75,3760198,IR
03/27/20,22.38,23.06,21.69,22.63,4304456,IR
03/26/20,22.59,24.13,22.53,23.41,5518516,IR
03/25/20,22.7,25.23,21.52,23.28,5175624,IR
03/24/20,20.59,22.57,19.79,22.41,4696874,IR
03/23/20,19.49,20.21,18.28,19.5,6477850,IR
03/20/20,20.22,21.39,19.37,19.61,5900338,IR
03/19/20,18.91,22.35,18.82,20.01,5737456,IR
03/18/20,19.83,20.41,17.01,19.22,8292681,IR
03/17/20,21.5,22.61,20.75,21.54,7718343,IR
03/16/20,20.34,22.04,19.69,21.25,6441790,IR
03/13/20,22.44,23.56,20.2045,23.0,8556235,IR
03/12/20,20.97,22.83,19.89,21.34,10578850,IR
03/11/20,23.18,24.14,22.46,23.49,10683750,IR
03/10/20,24.25,24.51,21.86,23.86,10318530,IR
03/09/20,25.55,26.16,22.87,23.33,11306360,IR
03/06/20,25.35,28.79,24.68,27.79,17039660,IR
03/05/20,29.91,30.14,26.78,26.83,15758690,IR
03/04/20,31.82,32.0,29.79,30.95,25202770,IR
03/03/20,32.6,32.9,30.67,31.7,18033551,IR
03/02/20,33.06,34.75,32.58,32.8,38314941,IR
02/28/20,32.92,33.59,31.05,32.79,9109511,IR
02/27/20,34.6,35.61,33.59,33.61,3235314,IR
02/26/20,36.07,36.295,35.45,35.75,2791451,IR
02/25/20,36.83,36.89,35.4,35.73,3193193,IR
02/24/20,37.28,37.42,36.56,36.56,2042340,IR
02/21/20,38.38,38.96,38.28,38.61,2869873,IR
02/20/20,37.45,38.69,37.37,38.65,1834064,IR
02/19/20,37.7,38.21,37.21,37.66,1948430,IR
02/18/20,36.47,37.92,36.15,37.55,3619936,IR
02/14/20,37.65,37.71,36.74,36.83,2220326,IR
02/13/20,38.28,38.57,37.46,37.55,1065239,IR
02/12/20,38.0,38.88,37.96,38.48,1770848,IR
02/11/20,37.8,38.21,37.54,37.74,1271965,IR
02/10/20,36.96,37.58,36.86,37.56,1764635,IR
02/07/20,37.21,37.62,36.63,37.09,2812087,IR
02/06/20,36.79,37.08,36.3,37.02,1151950,IR
02/05/20,37.08,37.08,36.47,36.75,842241,IR
02/04/20,36.51,37.22,36.305,36.56,1085455,IR
02/03/20,35.57,36.43,35.39,35.77,583727,IR
01/31/20,35.89,36.09,35.095,35.31,935962,IR
01/30/20,35.8,36.53,35.6,36.21,740491,IR
01/29/20,35.75,36.34,35.47,36.1,906413,IR
01/28/20,34.7,35.77,34.6,35.58,1319389,IR
01/27/20,34.06,35.34,33.93,34.52,1406242,IR
01/24/20,34.9,34.9,34.27,34.66,773834,IR
01/23/20,34.17,35.06,33.93,34.87,884221,IR
01/22/20,34.79,34.98,34.47,34.5,443550,IR
01/21/20,35.1,35.46,34.55,34.56,1096383,IR
01/17/20,35.2,35.725,34.97,35.48,578873,IR
01/16/20,34.74,35.26,34.74,35.11,762364,IR
01/15/20,34.86,35.14,34.265,34.5,2566975,IR
01/14/20,35.35,35.525,34.7775,34.93,911138,IR
01/13/20,35.29,35.55,35.13,35.44,508758,IR
01/10/20,35.73,35.88,34.87,35.14,985709,IR
01/09/20,35.97,36.06,35.595,35.8,648790,IR
01/08/20,36.07,36.53,35.68,35.75,1131695,IR
01/07/20,36.17,36.4,35.905,36.01,839463,IR
01/06/20,36.5,36.6,36.11,36.28,807321,IR
01/03/20,36.51,36.84,36.29,36.72,694531,IR
01/02/20,36.88,37.03,36.41,36.88,917086,IR
12/31/19,36.46,36.96,36.26,36.68,1035489,IR
12/30/19,36.97,36.99,36.41,36.49,1058397,IR
12/27/19,37.0,37.13,36.92,36.95,714344,IR
12/26/19,36.88,37.16,36.71,36.95,494366,IR
12/24/19,37.0,37.24,36.71,36.78,268533,IR
12/23/19,36.73,37.05,36.35,36.88,749632,IR
12/20/19,36.55,37.04,36.34,36.64,1967452,IR
12/19/19,36.49,36.84,36.21,36.49,816012,IR
12/18/19,36.21,36.66,35.83,36.16,1757471,IR
12/17/19,36.22,36.37,35.73,36.08,1779493,IR
12/16/19,35.83,36.19,35.51,36.18,1340333,IR
12/13/19,34.93,35.89,34.93,35.54,2092734,IR
12/12/19,34.24,35.07,34.18,35.02,1253214,IR
12/11/19,33.85,34.42,33.75,34.29,699267,IR
