Date, Open, High, Low, Close, Volume,ticker
12/24/20,29.64,29.69,29.33,29.54,1070805,IRM
12/23/20,29.76,29.87,29.3101,29.47,2883579,IRM
12/22/20,29.36,29.665,29.25,29.59,3346688,IRM
12/21/20,29.0,29.155,28.78,29.15,2584687,IRM
12/18/20,29.59,29.765,29.35,29.48,3685142,IRM
12/17/20,29.25,29.63,29.12,29.59,2536762,IRM
12/16/20,29.46,29.8,29.04,29.05,2449863,IRM
12/15/20,29.41,29.47,28.9311,29.37,3117388,IRM
12/14/20,29.9,30.07,29.21,29.27,2856094,IRM
12/11/20,30.19,30.575,30.12,30.38,4349517,IRM
12/10/20,30.22,30.425,29.98,30.29,3394112,IRM
12/09/20,30.26,30.62,30.21,30.36,4368489,IRM
12/08/20,29.4,30.28,29.36,30.15,6196133,IRM
12/07/20,29.01,29.82,29.0,29.48,5067041,IRM
12/04/20,28.23,29.16,28.13,29.16,4666543,IRM
12/03/20,27.44,28.13,27.44,28.09,3186254,IRM
12/02/20,27.15,27.44,26.95,27.44,2730348,IRM
12/01/20,27.57,27.87,27.1,27.24,3318001,IRM
11/30/20,26.58,27.5,26.53,27.5,6963249,IRM
11/27/20,26.93,27.0,26.405,26.62,1496192,IRM
11/25/20,26.65,26.94,26.24,26.93,2877072,IRM
11/24/20,26.54,27.0495,26.5,26.58,3609857,IRM
11/23/20,25.76,26.43,25.67,26.16,3286434,IRM
11/20/20,25.62,25.8,25.48,25.69,2925783,IRM
11/19/20,25.78,25.94,25.47,25.79,2766948,IRM
11/18/20,25.94,26.375,25.78,25.9,3033801,IRM
11/17/20,25.91,26.1,25.66,25.9,2765378,IRM
11/16/20,25.95,26.2,25.61,26.09,8343304,IRM
11/13/20,25.63,25.89,24.85,25.49,12034970,IRM
11/12/20,26.55,26.56,25.47,25.58,6826765,IRM
11/11/20,27.31,27.7,26.32,26.46,5271255,IRM
11/10/20,26.67,27.29,26.61,27.16,4442086,IRM
11/09/20,28.22,28.95,26.61,26.65,4332691,IRM
11/06/20,27.62,27.98,26.8,26.81,2955120,IRM
11/05/20,27.35,28.09,27.18,27.48,3215160,IRM
11/04/20,27.23,27.55,26.6,26.62,2660269,IRM
11/03/20,26.98,27.46,26.82,27.3,2412281,IRM
11/02/20,26.3,26.65,26.09,26.52,2963330,IRM
10/30/20,26.36,26.45,25.76,26.06,3604224,IRM
10/29/20,26.3,26.72,25.82,26.33,2492256,IRM
10/28/20,26.66,26.8,26.31,26.35,2784223,IRM
10/27/20,27.26,27.51,27.01,27.02,2100762,IRM
10/26/20,27.68,27.7,27.215,27.3,2422937,IRM
10/23/20,27.81,28.0,27.5,27.85,1569413,IRM
10/22/20,27.46,27.675,27.315,27.65,1585204,IRM
10/21/20,27.31,27.49,27.19,27.38,1498327,IRM
