Date, Open, High, Low, Close, Volume,ticker
12/24/20,17.62,17.62,17.38,17.61,849519,IVZ
12/23/20,17.11,17.665,17.11,17.55,3679374,IVZ
12/22/20,17.5,17.55,16.95,16.98,6270534,IVZ
12/21/20,17.34,17.52,17.13,17.42,5363603,IVZ
12/18/20,17.38,17.57,17.235,17.45,12777210,IVZ
12/17/20,17.55,17.58,17.32,17.48,6165603,IVZ
12/16/20,17.69,17.7,17.38,17.45,5807729,IVZ
12/15/20,17.33,17.655,17.11,17.59,5976070,IVZ
12/14/20,18.13,18.13,17.04,17.1,5640532,IVZ
12/11/20,17.23,17.91,16.975,17.86,12292190,IVZ
12/10/20,17.5,17.76,17.315,17.51,6151565,IVZ
12/09/20,18.17,18.2,17.385,17.7,7206606,IVZ
12/08/20,17.81,18.17,17.5805,18.07,6409345,IVZ
12/07/20,17.51,18.18,17.285,18.02,5968010,IVZ
12/04/20,17.82,18.045,17.63,17.79,6121914,IVZ
12/03/20,17.07,17.83,17.05,17.8,10183550,IVZ
12/02/20,16.41,16.82,16.36,16.76,4780967,IVZ
12/01/20,16.66,16.93,16.41,16.46,4738818,IVZ
11/30/20,16.9,16.93,16.19,16.23,7028723,IVZ
11/27/20,16.95,17.095,16.8,17.01,1320622,IVZ
11/25/20,16.92,17.055,16.73,17.03,2801787,IVZ
11/24/20,16.62,17.16,16.51,17.13,4479526,IVZ
11/23/20,16.02,16.46,15.96,16.33,3551603,IVZ
11/20/20,15.84,15.935,15.63,15.72,7682873,IVZ
11/19/20,15.92,15.98,15.635,15.96,2736050,IVZ
11/18/20,16.3,16.6452,16.0,16.01,5005586,IVZ
11/17/20,15.73,16.3,15.69,16.3,5235611,IVZ
11/16/20,15.97,16.225,15.73,15.99,4461842,IVZ
11/13/20,15.08,15.645,15.075,15.53,3513431,IVZ
11/12/20,15.05,15.39,14.75,14.96,6854946,IVZ
11/11/20,14.77,15.47,14.69,15.28,7145496,IVZ
11/10/20,14.77,15.03,14.5,14.53,7084933,IVZ
11/09/20,15.13,15.36,14.77,14.84,7714304,IVZ
11/06/20,14.39,14.48,13.78,13.88,4967943,IVZ
11/05/20,13.98,14.515,13.895,14.43,5107298,IVZ
11/04/20,13.58,14.245,13.35,13.75,5417406,IVZ
11/03/20,13.75,14.065,13.645,13.98,3452072,IVZ
11/02/20,13.22,13.6,13.1,13.48,4874970,IVZ
10/30/20,13.38,13.48,12.745,13.11,6123812,IVZ
10/29/20,13.31,13.51,13.02,13.4,5988442,IVZ
10/28/20,13.64,13.85,13.255,13.33,6713679,IVZ
10/27/20,14.15,14.43,13.74,13.97,7520333,IVZ
10/26/20,13.81,13.835,13.52,13.79,7623600,IVZ
10/23/20,14.1,14.2,13.89,13.98,4492196,IVZ
10/22/20,13.86,14.1,13.545,14.05,4902367,IVZ
10/21/20,14.04,14.15,13.77,13.82,3486145,IVZ
10/20/20,14.16,14.41,14.06,14.09,9599524,IVZ
10/19/20,14.13,14.255,13.9,13.91,3544090,IVZ
10/16/20,14.25,14.29,13.99,14.04,4060077,IVZ
10/15/20,13.81,14.3,13.6585,14.25,6809396,IVZ
10/14/20,13.81,14.32,13.77,14.03,7151500,IVZ
10/13/20,13.57,13.91,13.4,13.83,6820409,IVZ
10/12/20,13.24,13.5,13.14,13.4,4665401,IVZ
10/09/20,13.03,13.3,12.92,13.11,6092657,IVZ
10/08/20,13.05,13.325,12.805,12.95,11193110,IVZ
10/07/20,11.98,12.69,11.97,12.62,8130095,IVZ
10/06/20,12.08,12.3,11.8,11.85,6829138,IVZ
10/05/20,11.96,12.03,11.69,11.87,8327005,IVZ
10/02/20,11.88,12.21,11.66,11.85,14967210,IVZ
10/01/20,11.46,11.55,11.165,11.25,5759150,IVZ
09/30/20,11.49,11.645,11.25,11.41,6953941,IVZ
09/29/20,11.39,11.52,11.1134,11.43,9600379,IVZ
09/28/20,11.03,11.575,11.02,11.49,11362390,IVZ
09/25/20,10.66,10.89,10.42,10.81,7471138,IVZ
09/24/20,10.43,10.87,10.08,10.8,20999570,IVZ
09/23/20,10.17,10.49,10.15,10.42,14300360,IVZ
09/22/20,10.22,10.41,9.93,10.19,5768002,IVZ
09/21/20,10.55,10.65,10.0701,10.22,7655598,IVZ
09/18/20,11.09,11.18,10.97,10.98,11346040,IVZ
09/17/20,10.86,11.185,10.679,11.15,6891936,IVZ
09/16/20,10.48,11.08,10.48,10.89,5686233,IVZ
09/15/20,10.7,10.75,10.485,10.53,4688956,IVZ
09/14/20,10.8,10.965,10.61,10.68,5753158,IVZ
09/11/20,10.36,10.735,10.35,10.7,8101526,IVZ
09/10/20,10.72,10.774000000000001,10.24,10.26,7114379,IVZ
09/09/20,10.74,10.79,10.52,10.69,5405429,IVZ
09/08/20,11.17,11.22,10.69,10.7,7694691,IVZ
09/04/20,11.4,11.56,11.1,11.39,10788430,IVZ
09/03/20,11.25,11.47,10.865,11.14,11160230,IVZ
09/02/20,10.2,10.66,10.1,10.63,5927627,IVZ
09/01/20,10.1,10.325,10.02,10.18,5142133,IVZ
08/31/20,10.57,10.61,10.18,10.2,6734290,IVZ
08/28/20,10.82,10.88,10.57,10.73,2977624,IVZ
08/27/20,10.51,10.88,10.49,10.82,4687425,IVZ
08/26/20,10.72,10.72,10.47,10.57,3932795,IVZ
08/25/20,10.68,10.84,10.575,10.7,4969901,IVZ
08/24/20,10.17,10.61,10.1,10.6,3691485,IVZ
08/21/20,10.0,10.25,9.9406,10.14,3499381,IVZ
08/20/20,10.2,10.23,10.0,10.02,2820786,IVZ
08/19/20,10.31,10.59,10.28,10.33,2253997,IVZ
08/18/20,10.55,10.685,10.25,10.28,4376463,IVZ
08/17/20,10.62,10.805,10.53,10.57,3099318,IVZ
08/14/20,10.55,10.785,10.43,10.68,4555013,IVZ
08/13/20,10.99,11.12,10.675,10.7,5652567,IVZ
08/12/20,11.5,11.78,11.22,11.39,8707326,IVZ
08/11/20,11.08,11.315,10.91,10.94,4520860,IVZ
08/10/20,10.86,10.94,10.76,10.79,3581022,IVZ
08/07/20,10.25,10.78,10.19,10.78,4376606,IVZ
08/06/20,10.18,10.39,10.15,10.32,4396862,IVZ
08/05/20,9.89,10.29,9.82,10.27,4261024,IVZ
08/04/20,10.0,10.11,9.72,9.77,4226994,IVZ
