Date, Open, High, Low, Close, Volume,ticker
12/24/20,106.84,107.33,106.56,107.28,144528,J
12/23/20,106.85,108.17,106.53,106.85,366121,J
12/22/20,106.66,106.91,105.64,106.11,660032,J
12/21/20,105.11,107.3,104.59,106.66,753440,J
12/18/20,106.71,107.35,105.65,106.58,1694724,J
12/17/20,106.58,107.9,106.35,107.0,565494,J
12/16/20,106.44,106.6,105.4,106.23,626947,J
12/15/20,106.39,106.6399,105.43,105.91,740414,J
12/14/20,109.62,109.79,105.15,105.26,604916,J
12/11/20,108.59,109.465,108.07,108.65,494388,J
12/10/20,108.72,109.14,107.72,108.71,387529,J
12/09/20,110.0,111.17,109.3,109.7,764270,J
12/08/20,108.69,110.13,108.35,109.6,454611,J
12/07/20,108.61,110.12,108.43,109.85,614476,J
12/04/20,108.23,111.1,107.78,108.96,655191,J
12/03/20,107.23,108.875,107.0,107.79,639388,J
12/02/20,107.9,108.32,105.895,106.89,511473,J
12/01/20,109.5,110.89,108.22,108.73,789805,J
11/30/20,106.16,107.99,105.865,107.84,1180347,J
11/27/20,106.68,106.68,105.38,105.86,275569,J
11/25/20,107.13,107.65,105.87,106.35,496686,J
11/24/20,106.03,109.46,104.46,107.53,1195897,J
11/23/20,104.73,105.57,103.2496,104.51,1057583,J
11/20/20,105.06,105.125,103.41,103.8,564451,J
11/19/20,104.7,105.765,103.25,105.15,545585,J
11/18/20,105.82,108.17,105.24,105.24,811011,J
11/17/20,106.5,106.7286,103.63,105.3,610855,J
11/16/20,105.0,107.24,103.64,107.21,768963,J
11/13/20,100.28,103.56,100.25,103.27,713416,J
11/12/20,99.1,99.425,97.49,99.26,759549,J
11/11/20,103.14,103.62,98.74,98.85,1047490,J
11/10/20,100.51,103.53,100.21,101.61,1187946,J
11/09/20,103.04,106.5,100.06,100.13,948180,J
11/06/20,97.69,99.08,97.205,97.61,651691,J
11/05/20,96.84,99.57,96.84,97.76,906689,J
11/04/20,100.02,100.02,94.81,95.65,1413748,J
11/03/20,100.49,102.62,99.95,101.94,921422,J
11/02/20,96.78,99.29,96.4975,99.12,821991,J
10/30/20,94.52,95.2,93.27,95.0,626948,J
10/29/20,92.72,95.87,92.5,94.73,557544,J
10/28/20,93.45,94.825,93.07,93.2,674316,J
10/27/20,96.94,96.94,95.1,95.64,453232,J
10/26/20,97.79,98.29,95.32,96.54,592069,J
10/23/20,99.35,99.725,98.35,99.21,301426,J
10/22/20,97.56,98.96,97.47,98.53,388867,J
10/21/20,97.82,99.0,97.09,97.66,491128,J
10/20/20,98.83,99.27,97.78,97.96,557301,J
10/19/20,100.17,100.99,97.07,97.73,566311,J
10/16/20,99.4,101.285,99.19,99.33,1202641,J
10/15/20,98.02,100.08,97.79,99.37,775672,J
10/14/20,99.73,100.1522,98.575,98.91,651916,J
10/13/20,100.5,101.31,99.21,99.28,676412,J
10/12/20,99.67,101.45,99.02,100.78,929769,J
10/09/20,98.69,99.58,97.97,99.32,680462,J
10/08/20,97.55,99.0,97.03,98.99,675743,J
10/07/20,96.22,98.2,95.42,97.33,713359,J
10/06/20,96.98,97.79,94.92,95.27,831699,J
10/05/20,94.62,97.32,94.48,96.37,827342,J
10/02/20,90.62,95.665,90.2,94.24,876208,J
10/01/20,92.97,94.33,90.95,91.45,657245,J
09/30/20,93.21,94.89,92.27,92.77,767473,J
09/29/20,92.39,93.94,92.27,92.98,512402,J
09/28/20,91.57,93.4,91.36,92.47,461696,J
09/25/20,89.12,91.1,89.0,90.42,552494,J
09/24/20,89.13,90.786,88.1496,90.02,544203,J
09/23/20,92.31,92.62,89.27,89.27,860713,J
09/22/20,89.48,91.76,89.48,91.33,588585,J
09/21/20,92.5,92.63,88.66,89.29,1060346,J
09/18/20,93.97,95.34,93.47,94.11,1636264,J
09/17/20,93.81,95.63,92.7323,94.38,615647,J
09/16/20,95.3,95.61,94.36,94.64,778849,J
09/15/20,94.07,95.1,93.5852,94.87,747280,J
