Date, Open, High, Low, Close, Volume,ticker
12/24/20,155.9,158.45,155.65,157.69,202753,JKHY
12/23/20,156.85,157.99,154.98,155.93,473840,JKHY
12/22/20,157.89,157.89,154.24,154.72,558825,JKHY
12/21/20,159.06,159.52,154.54,158.21,547748,JKHY
12/18/20,163.76,165.34,160.73,161.63,1168765,JKHY
12/17/20,160.33,163.06,158.78,162.76,603067,JKHY
12/16/20,158.97,160.64,158.62,159.17,491438,JKHY
12/15/20,158.08,158.91,155.71,158.6,383548,JKHY
12/14/20,156.49,159.05,156.42,157.38,584450,JKHY
12/11/20,153.25,156.09,152.78,155.82,672544,JKHY
12/10/20,157.39,157.78,153.71,153.84,612266,JKHY
12/09/20,159.62,159.82,156.93,157.0,686968,JKHY
12/08/20,158.82,160.43,158.2,160.0,748976,JKHY
12/07/20,157.25,159.97,157.25,158.49,525435,JKHY
12/04/20,158.88,160.425,157.88,158.48,481359,JKHY
12/03/20,159.22,160.135,156.565,158.01,500241,JKHY
12/02/20,161.48,162.84,159.2212,159.98,361002,JKHY
12/01/20,161.29,162.88,160.14,161.34,766039,JKHY
11/30/20,158.36,162.06,156.89,160.86,1348849,JKHY
11/27/20,158.62,158.99,156.365,157.8,270910,JKHY
11/25/20,158.28,159.32,156.52,157.87,572417,JKHY
11/24/20,160.55,161.05,157.04,157.13,734252,JKHY
11/23/20,160.1,161.58,159.47,159.99,327344,JKHY
11/20/20,161.75,162.28,160.06,160.17,402436,JKHY
11/19/20,158.75,163.0,155.74,161.52,493414,JKHY
11/18/20,159.48,160.47,156.95,158.71,424646,JKHY
11/17/20,159.16,159.99,157.46,158.85,521370,JKHY
11/16/20,163.2,163.75,157.75,159.03,458557,JKHY
11/13/20,161.08,162.49,158.82,161.48,328398,JKHY
11/12/20,161.05,161.99,158.595,159.85,305208,JKHY
11/11/20,161.21,162.8,159.63,161.08,426034,JKHY
11/10/20,158.84,160.73,157.72,160.52,783272,JKHY
11/09/20,161.97,165.93,158.72,158.83,704055,JKHY
11/06/20,156.2,159.63,154.52,157.16,555094,JKHY
11/05/20,168.12,168.12,152.31,153.66,1137359,JKHY
11/04/20,158.13,163.48,157.66,162.42,674538,JKHY
11/03/20,153.28,157.185,153.28,156.15,410455,JKHY
11/02/20,150.62,152.54,149.3,151.77,500582,JKHY
10/30/20,148.29,150.26,146.69,148.25,453154,JKHY
10/29/20,149.38,150.98,148.15,149.33,496415,JKHY
10/28/20,150.08,151.275,148.035,149.57,584134,JKHY
10/27/20,154.75,155.7,151.18,151.22,338973,JKHY
10/26/20,156.96,156.96,152.47,154.12,334097,JKHY
10/23/20,157.81,159.0,157.09,158.31,278920,JKHY
10/22/20,159.05,159.145,157.08,157.81,371031,JKHY
10/21/20,159.54,160.84,158.95,158.99,283405,JKHY
10/20/20,158.01,161.25,158.01,159.25,268699,JKHY
10/19/20,162.84,163.24,157.69,158.07,312683,JKHY
10/16/20,161.12,163.74,161.12,162.26,289748,JKHY
10/15/20,157.83,162.53,157.68,162.31,334812,JKHY
10/14/20,163.24,163.26,160.27,160.93,362224,JKHY
10/13/20,164.59,166.22,161.64,161.91,472749,JKHY
10/12/20,165.97,165.97,163.57,164.71,510334,JKHY
10/09/20,164.62,165.775,164.0,164.49,520499,JKHY
10/08/20,165.4,166.4899,163.13,164.32,302560,JKHY
10/07/20,163.0,165.0,162.575,164.44,339737,JKHY
10/06/20,163.0,165.2796,161.84,162.06,346554,JKHY
10/05/20,163.24,163.51,161.28,162.09,381285,JKHY
10/02/20,161.6,163.085,160.7961,161.56,354895,JKHY
10/01/20,163.8,165.585,162.5,163.54,466611,JKHY
09/30/20,161.38,164.1,161.38,162.59,378900,JKHY
09/29/20,162.75,164.54,162.13,162.13,367759,JKHY
09/28/20,162.83,165.38,161.82,162.72,447717,JKHY
09/25/20,158.86,161.09,157.02,161.0,577330,JKHY
09/24/20,158.33,159.64,156.69,157.62,526896,JKHY
09/23/20,162.87,163.4,159.04,159.41,515344,JKHY
09/22/20,160.35,163.55,158.99,163.12,355312,JKHY
09/21/20,160.52,160.84,157.165,159.21,482090,JKHY
09/18/20,161.69,164.69,161.15,161.83,1847640,JKHY
09/17/20,154.04,162.07,153.35,161.76,771419,JKHY
09/16/20,160.4,161.99,155.51,155.67,540985,JKHY
09/15/20,159.99,160.43,158.09,159.79,568104,JKHY
09/14/20,158.35,159.6,156.97,158.47,411159,JKHY
09/11/20,156.75,157.49,154.16,155.78,316101,JKHY
09/10/20,160.85,161.895,155.68,156.04,450207,JKHY
09/09/20,160.94,162.1,159.54,160.71,407946,JKHY
09/08/20,160.28,160.82,156.88,158.51,592900,JKHY
09/04/20,165.4,166.58,160.36,163.17,618896,JKHY
09/03/20,170.16,170.26,163.12,165.7,1088123,JKHY
09/02/20,165.83,171.81,164.38,171.1,585700,JKHY
09/01/20,165.68,167.27,163.5,164.36,535938,JKHY
08/31/20,168.01,168.495,164.7,165.42,577875,JKHY
08/28/20,166.47,168.31,165.97,167.48,523729,JKHY
08/27/20,168.31,168.31,164.5,165.85,536209,JKHY
08/26/20,166.14,168.37,163.0,167.26,493488,JKHY
08/25/20,164.23,166.78,163.255,166.38,585818,JKHY
08/24/20,167.1,168.2,162.9,164.73,608299,JKHY
08/21/20,168.34,168.45,163.9575,165.85,877636,JKHY
08/20/20,170.7,173.46,167.85,168.2,1227166,JKHY
08/19/20,184.56,185.74,171.19,172.22,2445600,JKHY
08/18/20,198.06,200.98,195.79,197.67,642931,JKHY
08/17/20,195.0,199.68,195.0,199.13,435491,JKHY
08/14/20,192.27,194.99,191.62,194.36,620428,JKHY
08/13/20,187.57,193.065,187.57,191.98,542440,JKHY
08/12/20,184.55,188.07,182.77,187.86,382226,JKHY
08/11/20,183.81,184.91,180.99,182.88,412215,JKHY
08/10/20,183.08,185.455,182.22,183.78,732441,JKHY
08/07/20,181.55,185.395,181.3,184.0,665277,JKHY
08/06/20,179.85,182.64,179.73,182.43,370071,JKHY
08/05/20,180.56,181.46,179.37,179.7,445565,JKHY
08/04/20,182.96,182.96,178.71,179.59,569663,JKHY
08/03/20,179.7,183.06,178.25,182.0,545427,JKHY
07/31/20,179.27,179.27,176.18,178.3,580089,JKHY
07/30/20,178.3,180.65,176.9,178.49,435348,JKHY
07/29/20,177.32,181.21,176.01,180.75,376995,JKHY
07/28/20,179.4,180.26,175.95,176.54,429929,JKHY
07/27/20,179.4,181.23,179.26,180.7,268087,JKHY
07/24/20,181.24,181.56,178.89,179.59,213392,JKHY
07/23/20,184.49,186.85,181.15,181.77,298261,JKHY
07/22/20,183.0,184.58,181.47,184.06,306315,JKHY
07/21/20,184.64,184.965,181.94,183.28,275899,JKHY
07/20/20,179.36,183.2,179.36,182.85,579766,JKHY
07/17/20,179.22,182.105,178.94,181.58,367649,JKHY
07/16/20,179.67,180.0,177.67,178.82,464680,JKHY
07/15/20,181.61,182.29,178.79,180.13,568399,JKHY
07/14/20,178.54,181.0,176.0,180.06,360269,JKHY
07/13/20,181.56,182.82,177.89,178.38,723773,JKHY
07/10/20,183.47,183.855,180.295,181.53,378122,JKHY
07/09/20,182.12,182.85,179.4,182.3,573267,JKHY
07/08/20,181.63,182.74,180.81,181.96,248130,JKHY
07/07/20,182.07,185.3499,179.62,179.82,453622,JKHY
07/06/20,185.79,188.41,182.53,183.06,402175,JKHY
07/02/20,185.36,187.0,183.66,184.51,256922,JKHY
07/01/20,184.81,184.93,180.67,183.83,388598,JKHY
06/30/20,180.88,184.84,180.88,184.03,712272,JKHY
06/29/20,178.9,181.48,175.915,181.48,693720,JKHY
06/26/20,180.6,182.41,177.69,178.49,1042710,JKHY
06/25/20,179.67,180.39,176.22,180.25,545142,JKHY
06/24/20,181.68,183.95,179.16,179.69,522839,JKHY
06/23/20,183.81,185.86,181.2,182.12,369327,JKHY
06/22/20,180.76,184.76,180.23,183.17,421938,JKHY
06/19/20,182.51,182.97,178.7581,181.29,1044301,JKHY
06/18/20,177.22,181.64,176.48,179.81,480817,JKHY
06/17/20,176.14,179.46,176.14,177.8,351680,JKHY
06/16/20,179.79,179.79,173.56,175.89,363358,JKHY
06/15/20,168.685,175.3199,168.685,173.94,399276,JKHY
06/12/20,176.76,178.18,170.26,172.25,584076,JKHY
06/11/20,182.18,183.0,174.585,174.9,612551,JKHY
06/10/20,180.53,183.03,178.76,182.34,615103,JKHY
06/09/20,176.98,179.5,176.61,178.86,481664,JKHY
06/08/20,178.06,178.1,173.5701,176.29,672836,JKHY
06/05/20,179.27,180.15,175.19,179.87,673426,JKHY
06/04/20,176.23,178.7947,176.23,178.07,536968,JKHY
06/03/20,182.38,182.75,178.04,178.4,371036,JKHY
06/02/20,182.32,182.9,180.19,182.6,739462,JKHY
06/01/20,181.94,183.01,179.67,180.72,544726,JKHY
05/29/20,179.01,181.385,177.255,180.86,1156674,JKHY
05/28/20,177.48,179.94,176.72,177.86,743236,JKHY
05/27/20,181.77,185.09,175.2203,176.72,925715,JKHY
05/26/20,189.79,189.79,181.76,182.19,617370,JKHY
05/22/20,184.83,187.09,183.64,186.92,313722,JKHY
05/21/20,190.54,190.54,185.19,185.5,442228,JKHY
05/20/20,192.03,193.49,190.01,190.47,385975,JKHY
05/19/20,190.98,193.695,188.74,188.75,378933,JKHY
05/18/20,193.97,195.03,190.35,190.91,635489,JKHY
05/15/20,183.9,190.105,182.51,189.79,795051,JKHY
05/14/20,184.27,185.42,182.29,185.23,574060,JKHY
05/13/20,184.69,187.39,182.26,185.08,468928,JKHY
05/12/20,187.19,188.76,184.79,185.26,547122,JKHY
05/11/20,182.1,187.89,180.42,186.75,467321,JKHY
05/08/20,184.31,185.67,182.4,182.79,479323,JKHY
05/07/20,180.35,185.545,178.54,183.81,721616,JKHY
05/06/20,175.17,179.81,174.53,178.5,660077,JKHY
05/05/20,164.36,177.57,164.36,176.2,1049269,JKHY
05/04/20,158.58,162.745,157.3,162.03,664225,JKHY
05/01/20,160.51,162.84,157.4,158.5,450930,JKHY
04/30/20,160.92,164.39,159.37,163.55,801909,JKHY
04/29/20,162.33,165.49,160.89,161.28,529082,JKHY
04/28/20,164.8,165.8,159.92,160.35,579959,JKHY
04/27/20,161.26,164.25,160.25,163.47,415110,JKHY
04/24/20,157.26,159.16,155.26,159.11,870225,JKHY
04/23/20,159.6,160.665,155.7,156.2,526360,JKHY
04/22/20,157.33,161.06,156.01,159.64,499621,JKHY
04/21/20,164.65,164.81,155.0,156.38,442745,JKHY
04/20/20,166.96,168.1338,165.96,166.67,476900,JKHY
04/17/20,168.66,170.6829,167.84,169.66,488567,JKHY
04/16/20,166.02,167.41,162.81,165.41,480914,JKHY
04/15/20,164.26,165.72,161.285,163.22,423417,JKHY
04/14/20,165.92,168.35,164.05,168.0,503365,JKHY
04/13/20,168.39,169.78,162.22,163.12,439050,JKHY
04/09/20,170.68,171.97,169.2,170.16,427027,JKHY
04/08/20,158.83,170.5,158.83,169.38,884524,JKHY
04/07/20,171.57,173.82,166.01,167.18,995073,JKHY
04/06/20,160.73,168.67,159.38,167.34,957508,JKHY
04/03/20,149.92,157.77,149.53,156.21,718936,JKHY
04/02/20,144.33,151.84,142.5672,151.16,527399,JKHY
04/01/20,149.87,152.55,144.69,147.08,624639,JKHY
03/31/20,154.51,158.06,152.71,155.24,781006,JKHY
03/30/20,150.63,156.78,146.49,156.05,571745,JKHY
03/27/20,146.95,155.22,145.28,149.03,545326,JKHY
03/26/20,142.22,153.2,141.34,151.01,863650,JKHY
03/25/20,141.32,146.04,138.11,141.86,818601,JKHY
