Date, Open, High, Low, Close, Volume,ticker
12/24/20,61.58,61.9,61.42,61.78,524805,K
12/23/20,61.51,61.9752,61.3645,61.61,1638496,K
12/22/20,61.4,61.51,60.82,61.19,1687560,K
12/21/20,61.66,61.68,60.64,61.53,1889396,K
12/18/20,62.5,62.77,61.555,62.08,5137953,K
12/17/20,61.92,62.72,61.78,62.48,2066277,K
12/16/20,61.62,61.98,61.25,61.5,2512175,K
12/15/20,62.02,62.12,61.04,61.24,2286006,K
12/14/20,62.5,62.85,61.875,61.92,2024486,K
12/11/20,61.64,62.46,61.5228,62.11,2140321,K
12/10/20,62.13,62.31,61.69,61.98,2112288,K
12/09/20,62.67,62.84,61.56,62.0,3059375,K
12/08/20,62.11,62.61,61.75,62.55,2874727,K
12/07/20,62.45,62.72,61.77,61.95,2833744,K
12/04/20,62.92,62.92,61.99,62.37,2736627,K
12/03/20,62.6,63.07,62.45,63.0,1736237,K
12/02/20,63.53,63.82,62.51,62.72,2110538,K
12/01/20,63.71,63.97,63.29,63.68,2751536,K
11/30/20,62.88,63.92,62.49,63.91,3265669,K
11/27/20,63.69,63.77,63.0,63.48,824307,K
11/25/20,62.93,64.16,62.83,63.26,2216004,K
11/24/20,64.05,64.25,62.42,62.47,3462263,K
11/23/20,63.1,64.3,63.1,63.67,2595092,K
11/20/20,65.21,65.39,64.49,65.01,1785979,K
11/19/20,64.98,65.4,64.39,65.21,1140555,K
11/18/20,66.4,66.62,65.0,65.02,1208665,K
11/17/20,66.21,67.02,65.88,66.32,1250532,K
11/16/20,65.46,66.63,65.01,66.58,1710279,K
11/13/20,65.67,65.78,65.09,65.76,1049605,K
11/12/20,65.6,65.67,64.56,65.1,1999279,K
11/11/20,64.42,65.67,64.12,65.6,1653871,K
11/10/20,62.93,64.26,62.1,64.19,3262877,K
11/09/20,64.57,65.05,62.86,62.96,2921106,K
11/06/20,64.32,65.13,64.05,64.35,1339352,K
11/05/20,64.07,65.21,64.0,64.3,2111323,K
11/04/20,64.58,65.2,63.49,63.58,1857253,K
11/03/20,64.41,65.49,64.08,64.38,1572670,K
11/02/20,63.76,64.5968,63.28,63.94,1931557,K
10/30/20,62.8,63.5899,62.56,62.89,2532461,K
10/29/20,63.78,64.7,62.65,63.08,3469878,K
10/28/20,64.5,64.76,63.48,63.49,2557560,K
10/27/20,65.47,65.96,64.89,64.93,1528118,K
10/26/20,66.59,66.8,65.41,65.7,1413065,K
10/23/20,66.8,67.28,66.41,66.76,986384,K
10/22/20,66.03,66.53,65.6,66.36,1497978,K
10/21/20,65.92,66.62,65.78,65.97,1122638,K
10/20/20,67.3,67.35,66.185,66.25,1340813,K
10/19/20,67.15,67.87,66.6,66.69,1644374,K
10/16/20,67.29,67.5691,66.93,67.1,1215727,K
10/15/20,66.64,67.44,66.31,67.14,1891221,K
