Date, Open, High, Low, Close, Volume,ticker
12/24/20,31.6,31.9,31.56,31.88,1668763,KDP
12/23/20,30.77,31.74,30.69,31.61,2889300,KDP
12/22/20,30.76,31.1386,30.67,31.07,2566887,KDP
12/21/20,30.57,30.91,30.375,30.77,3213220,KDP
12/18/20,31.34,31.48,30.515,30.93,11345180,KDP
12/17/20,30.62,31.18,30.62,31.125,4743757,KDP
12/16/20,30.17,30.68,30.165,30.64,2538473,KDP
12/15/20,30.35,30.395,29.99,30.19,5444055,KDP
12/14/20,30.45,30.84,30.15,30.35,7516199,KDP
12/11/20,30.23,30.46,30.01,30.36,3162782,KDP
12/10/20,30.48,30.64,30.06,30.18,5836819,KDP
12/09/20,30.28,30.39,30.065,30.26,5433419,KDP
12/08/20,30.6,30.83,30.09,30.17,5886459,KDP
12/07/20,30.52,30.84,30.48,30.71,3369613,KDP
12/04/20,30.3,30.6,30.08,30.53,2978664,KDP
12/03/20,30.08,30.39,29.94,30.1,2933052,KDP
12/02/20,30.61,30.61,29.89,30.08,2982226,KDP
12/01/20,30.62,30.67,30.285,30.45,4532956,KDP
11/30/20,30.8,30.84,29.96,30.45,17911660,KDP
11/27/20,30.48,30.77,30.33,30.76,2812905,KDP
11/25/20,30.09,30.45,29.98,30.33,3985439,KDP
11/24/20,30.0,30.1,29.86,29.89,6100929,KDP
11/23/20,29.96,30.0,29.65,29.83,4282764,KDP
11/20/20,29.53,30.005,29.5163,29.835,3647224,KDP
11/19/20,29.12,30.005,29.12,29.76,10576250,KDP
11/18/20,29.45,29.755,29.29,29.51,16248280,KDP
11/17/20,28.3,29.31,28.245,29.19,29406730,KDP
11/16/20,29.3,29.68,29.09,29.45,5977514,KDP
11/13/20,29.1,29.4746,29.095,29.3,2348880,KDP
11/12/20,29.51,29.54,28.79,29.05,3924070,KDP
11/11/20,28.53,29.72,28.47,29.4,5090001,KDP
11/10/20,27.25,28.48,27.115,28.38,6918655,KDP
11/09/20,29.56,29.73,27.69,27.73,6770027,KDP
11/06/20,29.02,29.02,28.53,28.66,2623039,KDP
11/05/20,28.57,28.89,28.36,28.8,3796709,KDP
11/04/20,28.8,28.88,28.04,28.23,5403587,KDP
11/03/20,27.33,28.03,27.33,27.8,3558634,KDP
11/02/20,27.3,27.55,26.715,27.04,4333533,KDP
10/30/20,27.05,27.17,26.665,26.9,5757773,KDP
10/29/20,27.39,27.88,27.175,27.19,5173104,KDP
10/28/20,28.13,28.39,27.52,27.73,6262091,KDP
10/27/20,28.5,28.76,28.295,28.6,6428542,KDP
10/26/20,29.15,29.21,28.12,28.44,7958024,KDP
10/23/20,29.8,29.89,29.125,29.21,4425355,KDP
10/22/20,29.18,29.695,29.09,29.55,3770327,KDP
10/21/20,29.0,29.33,28.8,29.16,3958546,KDP
10/20/20,29.47,29.67,29.23,29.23,3726801,KDP
10/19/20,29.7,30.14,29.11,29.2,6506442,KDP
10/16/20,29.37,30.0,29.27,29.76,56689953,KDP
10/15/20,29.41,29.71,29.31,29.44,4350371,KDP
10/14/20,29.94,30.11,29.54,29.67,5586062,KDP
10/13/20,29.61,30.015,29.54,29.83,4424218,KDP
10/12/20,30.1,30.32,29.75,29.8,6856886,KDP
10/09/20,28.82,29.3,28.65,29.25,5359322,KDP
10/08/20,28.68,28.895,28.56,28.7,2891805,KDP
10/07/20,28.22,28.68,28.11,28.6,3493716,KDP
10/06/20,27.66,28.22,27.61,28.03,5120790,KDP
10/05/20,28.3,28.39,27.61,27.665,6183116,KDP
10/02/20,27.62,28.19,27.62,28.09,3902589,KDP
10/01/20,27.59,28.195,27.38,28.01,4908157,KDP
09/30/20,27.14,27.62,27.14,27.6,6646088,KDP
09/29/20,27.98,27.98,27.09,27.11,4577037,KDP
09/28/20,28.11,28.26,27.82,27.84,2813492,KDP
09/25/20,27.14,27.95,27.1,27.875,4276586,KDP
09/24/20,27.37,27.52,27.0,27.26,3197181,KDP
09/23/20,27.93,28.06,27.16,27.19,2376220,KDP
09/22/20,27.98,28.215,27.765,27.85,5465808,KDP
09/21/20,27.76,27.94,27.43,27.865,6586535,KDP
09/18/20,28.43,28.43,27.865,28.05,5806166,KDP
09/17/20,28.15,28.545,28.12,28.31,3468175,KDP
09/16/20,28.9,28.99,28.4,28.43,2987624,KDP
09/15/20,28.93,29.12,28.75,28.8,3510666,KDP
09/14/20,28.99,29.075,28.74,28.81,3960281,KDP
09/11/20,28.6,28.99,28.47,28.83,5990677,KDP
09/10/20,28.98,29.075,28.51,28.53,9679732,KDP
09/09/20,29.03,29.69,28.93,29.52,4140474,KDP
09/08/20,29.36,29.45,28.625,28.86,3700714,KDP
09/04/20,29.84,29.99,29.05,29.54,3141480,KDP
09/03/20,30.46,30.555,29.59,29.8,3799774,KDP
09/02/20,30.0,30.475,29.97,30.4,4358383,KDP
09/01/20,29.92,30.03,29.79,29.95,4106755,KDP
08/31/20,30.1,30.18,29.83,29.83,2524002,KDP
08/28/20,30.0,30.09,29.68,30.07,2795408,KDP
08/27/20,29.92,30.23,29.81,29.93,4615293,KDP
08/26/20,29.91,30.06,29.585,29.8,7864085,KDP
08/25/20,29.17,29.315,29.08,29.3,1875156,KDP
08/24/20,28.99,29.185,28.82,29.16,4020232,KDP
08/21/20,29.2,29.2,28.85,28.93,5055681,KDP
08/20/20,29.15,29.43,29.01,29.19,8387391,KDP
08/19/20,29.16,29.64,29.145,29.34,13832880,KDP
08/18/20,28.74,29.26,28.35,29.1,22699230,KDP
08/17/20,29.9,30.15,29.73,29.75,1970683,KDP
08/14/20,30.17,30.17,29.76,29.89,3783157,KDP
08/13/20,30.16,30.54,30.09,30.16,2916622,KDP
08/12/20,29.73,30.28,29.63,30.11,2832790,KDP
08/11/20,29.77,29.94,29.48,29.57,2590554,KDP
08/10/20,29.49,29.83,29.33,29.76,3145601,KDP
08/07/20,29.92,29.99,29.55,29.63,2369086,KDP
08/06/20,29.98,29.98,29.7421,29.83,1803433,KDP
08/05/20,29.97,30.005,29.85,29.93,2773232,KDP
08/04/20,29.81,30.13,29.78,29.95,2748491,KDP
08/03/20,30.01,30.22,29.67,29.92,6314700,KDP
07/31/20,31.19,31.25,30.415,30.59,3826215,KDP
07/30/20,30.92,31.0,29.99,30.77,3639058,KDP
07/29/20,31.18,31.47,30.955,31.26,2810105,KDP
07/28/20,31.0,31.1,30.715,30.89,2406436,KDP
07/27/20,30.54,30.97,30.49,30.96,1742866,KDP
07/24/20,30.16,30.37,30.045,30.34,999414,KDP
07/23/20,30.3,30.42,30.16,30.27,1435748,KDP
07/22/20,30.03,30.37,29.835,30.3,1884949,KDP
07/21/20,30.0,30.0,29.68,29.88,2326576,KDP
07/20/20,29.78,29.95,29.685,29.77,2022480,KDP
07/17/20,29.57,29.8,29.42,29.78,1981655,KDP
07/16/20,29.45,29.655,29.32,29.56,1414779,KDP
07/15/20,29.54,29.6,29.2745,29.42,1544956,KDP
07/14/20,28.81,29.375,28.75,29.34,1370283,KDP
07/13/20,29.32,29.42,28.88,28.92,1981754,KDP
07/10/20,29.03,29.21,28.755,29.2,1842634,KDP
07/09/20,29.26,29.9,29.0,29.0,4159112,KDP
07/08/20,29.0,29.07,28.45,28.61,2688155,KDP
07/07/20,28.63,29.5,28.57,29.12,3496201,KDP
07/06/20,28.65,28.73,28.34,28.56,1844462,KDP
07/02/20,28.86,28.8625,28.445,28.53,2339105,KDP
07/01/20,28.36,28.77,28.32,28.67,2061588,KDP
06/30/20,28.28,28.45,28.14,28.4,3112021,KDP
06/29/20,28.34,28.48,27.92,28.3,2370913,KDP
06/26/20,28.36,28.59,28.06,28.22,5824244,KDP
06/25/20,28.37,28.6,28.175,28.4,5781383,KDP
06/24/20,28.91,28.97,28.25,28.4,2162011,KDP
06/23/20,29.29,29.58,29.02,29.03,2898334,KDP
06/22/20,28.7,29.21,28.59,29.19,2603625,KDP
06/19/20,29.32,29.46,28.7,28.71,3886037,KDP
06/18/20,28.65,29.09,28.65,29.06,1618211,KDP
06/17/20,28.63,29.095,28.57,28.74,1990607,KDP
06/16/20,29.19,29.3,28.33,28.64,3619954,KDP
06/15/20,27.81,28.6,27.65,28.58,2812425,KDP
06/12/20,28.7,28.85,27.64,28.12,4435568,KDP
06/11/20,28.89,29.24,28.22,28.34,3353864,KDP
06/10/20,28.42,28.745,28.23,28.5,7828815,KDP
06/09/20,28.22,28.565,27.955,28.33,5101634,KDP
06/08/20,28.71,28.71,28.255,28.43,3689903,KDP
06/05/20,28.61,29.22,28.5,28.69,11674070,KDP
06/04/20,28.33,28.67,28.23,28.42,9260328,KDP
06/03/20,28.23,28.92,28.18,28.47,5691777,KDP
06/02/20,28.44,28.56,27.93,28.06,3107472,KDP
