Date, Open, High, Low, Close, Volume,ticker
12/24/20,16.38,16.4,15.965,16.19,2250883,KEY
12/23/20,15.95,16.42,15.915,16.33,5907073,KEY
12/22/20,15.8,15.93,15.735,15.74,8066431,KEY
12/21/20,15.62,15.92,15.29,15.75,10820950,KEY
12/18/20,15.63,15.6601,15.25,15.42,16984039,KEY
12/17/20,15.74,15.77,15.38,15.58,6690493,KEY
12/16/20,15.77,15.77,15.52,15.76,8907465,KEY
12/15/20,15.62,15.7,15.32,15.69,22412570,KEY
12/14/20,16.13,16.13,15.38,15.43,7164166,KEY
12/11/20,15.82,15.99,15.665,15.84,5690958,KEY
12/10/20,15.98,16.16,15.7264,16.08,9879926,KEY
12/09/20,16.2,16.38,15.945,16.05,9309284,KEY
12/08/20,15.75,16.055,15.66,15.96,12191030,KEY
12/07/20,15.97,15.98,15.64,15.87,9525996,KEY
12/04/20,16.12,16.31,15.96,16.12,12094930,KEY
12/03/20,16.01,16.105,15.775,15.96,12530330,KEY
12/02/20,15.73,16.165,15.63,15.95,14051070,KEY
12/01/20,15.9,16.12,15.8039,15.84,9903312,KEY
11/30/20,16.02,16.185,15.38,15.46,12859830,KEY
11/27/20,16.43,16.59,16.135,16.33,4249608,KEY
11/25/20,16.45,16.555,16.23,16.51,5478812,KEY
11/24/20,16.13,16.76,16.09,16.75,7953627,KEY
11/23/20,15.64,15.9,15.49,15.66,6741972,KEY
11/20/20,15.5,15.52,15.18,15.33,5507762,KEY
11/19/20,15.33,15.65,15.16,15.62,4796810,KEY
11/18/20,15.78,16.02,15.5,15.51,5893220,KEY
11/17/20,15.45,15.79,15.185,15.67,6341878,KEY
11/16/20,15.6,15.84,15.425,15.8,9243299,KEY
11/13/20,14.68,14.94,14.61,14.87,6394689,KEY
11/12/20,14.78,14.81,14.255,14.48,7294407,KEY
11/11/20,15.58,15.61,14.89,15.02,8948524,KEY
11/10/20,15.36,15.59,14.9501,15.55,13058240,KEY
11/09/20,14.23,15.395,14.22,15.2,16639221,KEY
11/06/20,13.34,13.56,12.82,12.82,21146221,KEY
11/05/20,12.62,13.305,12.61,13.16,8837756,KEY
11/04/20,13.34,13.34,12.54,12.54,11274350,KEY
11/03/20,13.75,13.94,13.64,13.77,6904632,KEY
11/02/20,13.13,13.52,12.87,13.43,9870491,KEY
10/30/20,12.66,12.99,12.54,12.98,6659545,KEY
10/29/20,12.32,12.86,12.19,12.75,7154073,KEY
10/28/20,12.35,12.615,12.12,12.4,7233017,KEY
10/27/20,12.91,12.97,12.62,12.63,5671576,KEY
10/26/20,13.09,13.23,12.855,13.0,8580741,KEY
10/23/20,13.24,13.49,13.14,13.45,9689185,KEY
10/22/20,12.48,13.11,12.39,13.08,8289759,KEY
10/21/20,12.5,12.77,12.29,12.42,13325820,KEY
10/20/20,13.0,13.325,12.93,13.08,8018619,KEY
10/19/20,12.99,13.107999999999999,12.76,12.78,4625737,KEY
10/16/20,12.97,13.01,12.66,12.93,5556604,KEY
10/15/20,12.53,12.99,12.5,12.98,4555423,KEY
