Date, Open, High, Low, Close, Volume,ticker
12/24/20,130.71,130.99,130.12,130.95,233868,KEYS
12/23/20,129.47,131.86,129.17,130.42,1012242,KEYS
12/22/20,126.94,129.74,126.81,128.69,2726125,KEYS
12/21/20,126.99,127.53,125.17,126.97,1151660,KEYS
12/18/20,127.15,128.59,126.53,128.26,2937608,KEYS
12/17/20,124.91,126.91,124.39,126.86,1377727,KEYS
12/16/20,123.45,124.27,122.12,123.91,1331899,KEYS
12/15/20,125.13,125.6,122.8,123.37,1243520,KEYS
12/14/20,126.55,127.25,123.32,123.72,1117900,KEYS
12/11/20,124.52,126.43,123.7,126.3,1080437,KEYS
12/10/20,123.08,125.05,122.28,124.76,957958,KEYS
12/09/20,126.92,127.4999,123.78,124.67,1064032,KEYS
12/08/20,124.67,127.31,124.52,127.13,1489419,KEYS
12/07/20,123.88,124.92,123.12,124.91,1418626,KEYS
12/04/20,123.12,124.75,122.69,123.21,878994,KEYS
12/03/20,121.88,123.09,121.63,122.64,936311,KEYS
12/02/20,120.45,122.025,120.45,121.88,996716,KEYS
12/01/20,120.5,122.965,120.0,121.84,1485402,KEYS
11/30/20,119.4,120.09,118.165,120.04,1491133,KEYS
11/27/20,118.23,120.65,118.04,119.07,578119,KEYS
11/25/20,117.89,119.17,117.12,118.52,1154291,KEYS
11/24/20,118.14,118.61,117.37,118.12,1277038,KEYS
11/23/20,117.0,117.8,115.71,117.15,1213272,KEYS
11/20/20,118.0,118.99,116.02,116.17,1600075,KEYS
11/19/20,114.2,118.46,112.65,117.96,1966691,KEYS
11/18/20,117.78,118.67,115.14,115.14,1693506,KEYS
11/17/20,117.0,118.16,115.40799999999999,117.56,1084737,KEYS
11/16/20,117.0,118.77,116.41,117.67,1367364,KEYS
11/13/20,115.0,116.44,114.1,116.1,801207,KEYS
11/12/20,115.0,115.295,113.28,114.02,1129977,KEYS
11/11/20,112.19,115.855,112.19,115.44,1032556,KEYS
11/10/20,114.71,114.71,111.825,112.0,1437201,KEYS
11/09/20,115.29,117.92,114.64,115.56,1502206,KEYS
11/06/20,110.74,113.58,109.97,112.97,945077,KEYS
11/05/20,109.04,111.7,109.0,111.13,1113222,KEYS
11/04/20,108.61,109.87,107.24,107.8,1401313,KEYS
11/03/20,106.01,109.38799999999999,106.01,107.72,1282875,KEYS
11/02/20,105.37,106.62,103.94,104.74,793478,KEYS
10/30/20,104.24,105.95,102.77,104.87,1646307,KEYS
10/29/20,104.08,105.9,103.66,104.54,1210255,KEYS
10/28/20,105.42,106.26,103.395,104.3,967152,KEYS
10/27/20,106.23,107.59,105.82,106.9,852365,KEYS
10/26/20,106.65,107.71,104.86,105.85,707701,KEYS
10/23/20,106.37,108.5,105.79,107.88,1073355,KEYS
10/22/20,106.21,106.8,104.95,106.26,916843,KEYS
10/21/20,106.09,107.4068,105.7,105.7,913545,KEYS
10/20/20,107.0,107.66,105.23,105.45,824414,KEYS
10/19/20,105.15,107.97,105.15,106.68,1124837,KEYS
10/16/20,105.49,106.62899999999999,104.71,104.91,800385,KEYS
10/15/20,104.03,105.89,103.72,105.68,1148547,KEYS
10/14/20,104.95,105.56,103.955,104.98,1056909,KEYS
10/13/20,105.57,106.25,104.13,104.49,1343915,KEYS
10/12/20,105.41,105.96,104.76,105.72,943005,KEYS
10/09/20,103.5,106.29,103.375,105.26,1104972,KEYS
10/08/20,101.4,103.395,101.4,103.18,1045349,KEYS
10/07/20,100.53,102.0,100.06,101.16,839029,KEYS
10/06/20,99.69,102.15,99.3,99.49,1046085,KEYS
10/05/20,99.29,99.9,98.31,99.69,1019928,KEYS
10/02/20,96.0,98.99,95.48,98.27,1235545,KEYS
10/01/20,99.68,99.94,97.0,97.48,1396091,KEYS
