Date, Open, High, Low, Close, Volume,ticker
12/24/20,14.46,14.65,14.27,14.52,921595,KIM
12/23/20,14.5,14.72,14.36,14.39,2230560,KIM
12/22/20,14.49,14.6,14.21,14.39,1885868,KIM
12/21/20,14.3,14.49,14.03,14.43,4396930,KIM
12/18/20,15.05,15.05,14.505,14.62,6090130,KIM
12/17/20,15.01,15.08,14.74,15.08,2975775,KIM
12/16/20,15.28,15.325,14.77,14.98,3735127,KIM
12/15/20,14.8,15.27,14.51,15.26,4972065,KIM
12/14/20,14.96,15.175,14.42,14.43,3482385,KIM
12/11/20,14.7,14.785,14.565,14.75,3892246,KIM
12/10/20,14.71,15.0,14.71,14.82,4415917,KIM
12/09/20,14.93,15.03,14.73,14.93,4540555,KIM
12/08/20,14.7,15.1,14.7,14.82,3280770,KIM
12/07/20,15.5,15.5,15.01,15.1,3945124,KIM
12/04/20,15.39,15.7,15.28,15.61,4386080,KIM
12/03/20,15.19,15.405,15.025,15.19,5189692,KIM
12/02/20,14.73,15.19,14.58,15.08,2566925,KIM
12/01/20,14.74,15.025,14.62,14.8,4414478,KIM
11/30/20,14.97,15.06,14.41,14.44,5826869,KIM
11/27/20,15.35,15.44,14.99,15.07,1516362,KIM
11/25/20,15.29,15.455,15.0143,15.27,5996877,KIM
11/24/20,15.96,16.26,15.39,15.43,8199573,KIM
11/23/20,15.24,15.9,15.21,15.61,4447501,KIM
11/20/20,14.98,15.05,14.725,14.95,2389410,KIM
11/19/20,14.45,15.0,14.29,14.98,4688304,KIM
11/18/20,15.1,15.45,14.54,14.55,4299048,KIM
11/17/20,14.88,15.21,14.59,15.07,3626585,KIM
11/16/20,15.13,15.47,14.66,15.23,6197445,KIM
11/13/20,13.76,14.37,13.75,14.22,4620459,KIM
11/12/20,13.86,14.025,13.425,13.55,6118654,KIM
11/11/20,13.93,14.16,13.235,14.14,10056410,KIM
11/10/20,13.54,14.41,13.52,14.14,13446920,KIM
11/09/20,11.74,13.96,11.72,13.57,19591189,KIM
11/06/20,10.67,10.83,10.17,10.26,5107436,KIM
11/05/20,10.82,11.04,10.56,10.59,4442476,KIM
11/04/20,10.95,10.97,10.51,10.73,4336448,KIM
11/03/20,10.7,11.11,10.67,11.02,6880449,KIM
11/02/20,10.41,10.4978,10.22,10.45,5697169,KIM
10/30/20,10.36,10.5,10.145,10.26,4037075,KIM
10/29/20,10.15,10.52,10.035,10.42,3599355,KIM
10/28/20,10.31,10.51,10.19,10.22,4403949,KIM
10/27/20,11.05,11.19,10.575,10.59,3993044,KIM
10/26/20,11.39,11.39,10.955,11.11,3235538,KIM
10/23/20,11.52,11.75,11.32,11.5,3048713,KIM
10/22/20,11.04,11.51,11.0,11.46,3928744,KIM
10/21/20,11.05,11.115,10.88,11.06,3221167,KIM
10/20/20,11.03,11.245,11.0,11.1,4079332,KIM
10/19/20,11.27,11.29,10.79,10.93,5375004,KIM
10/16/20,11.06,11.13,10.8,11.02,4698458,KIM
10/15/20,10.9,11.18,10.82,11.11,3243183,KIM
10/14/20,11.08,11.195,10.955,10.97,3446707,KIM
10/13/20,11.48,11.57,11.015,11.07,3942435,KIM
10/12/20,11.62,11.685,11.44,11.61,6290669,KIM
10/09/20,12.13,12.13,11.6,11.62,3403447,KIM
10/08/20,11.89,12.02,11.78,12.02,5078780,KIM
10/07/20,12.01,12.1,11.68,11.76,5112682,KIM
10/06/20,12.11,12.32,11.865,11.95,4605333,KIM
10/05/20,12.03,12.1,11.655,11.95,4137066,KIM
10/02/20,11.27,11.92,11.2106,11.9,5728003,KIM
10/01/20,11.32,11.65,11.165,11.61,5379054,KIM
09/30/20,11.37,11.6,11.1,11.26,4247817,KIM
09/29/20,11.48,11.48,10.96,11.28,5100131,KIM
09/28/20,11.55,11.75,11.405,11.56,3512582,KIM
09/25/20,10.79,11.265,10.76,11.22,2802200,KIM
09/24/20,10.74,10.995,10.59,10.9,5409782,KIM
09/23/20,11.3,11.555,10.78,10.79,3859285,KIM
09/22/20,11.58,11.815,11.34,11.35,5934066,KIM
09/21/20,11.85,11.9,11.36,11.55,5878663,KIM
09/18/20,12.72,12.805,12.19,12.2,8099033,KIM
09/17/20,12.84,13.03,12.745,12.85,3930729,KIM
09/16/20,13.0,13.18,12.8,13.06,5124776,KIM
09/15/20,12.44,13.18,12.36,12.97,6268308,KIM
09/14/20,11.91,12.415,11.85,12.37,6067092,KIM
09/11/20,12.05,12.06,11.54,11.66,8760496,KIM
09/10/20,12.1,12.32,12.05,12.13,5819148,KIM
09/09/20,12.21,12.29,11.98,12.09,4402975,KIM
09/08/20,12.51,12.6,12.21,12.26,5595015,KIM
