Date, Open, High, Low, Close, Volume,ticker
12/24/20,53.02,53.55,53.02,53.44,3265532,KO
12/23/20,52.95,53.3861,52.94,53.08,7040628,KO
12/22/20,52.81,53.18,52.39,52.76,9691586,KO
12/21/20,52.68,53.0,51.98,52.81,14926600,KO
12/18/20,53.08,53.84,52.62,53.74,35480121,KO
12/17/20,53.3,53.71,53.15,53.27,12677330,KO
12/16/20,53.6,53.8,52.94,53.06,15679650,KO
12/15/20,53.79,54.22,53.595,53.84,16194490,KO
12/14/20,53.65,53.84,53.18,53.27,22292029,KO
12/11/20,52.8,53.54,52.78,53.35,10638100,KO
12/10/20,53.4,53.51,52.98,53.05,12097340,KO
12/09/20,53.37,53.6,53.0,53.33,11508590,KO
12/08/20,52.94,53.48,52.785,53.18,12485800,KO
12/07/20,53.76,53.78,52.7,52.99,16210860,KO
12/04/20,52.78,53.87,52.76,53.85,18122400,KO
12/03/20,51.9,52.94,51.9,52.78,17318881,KO
12/02/20,51.9,52.13,51.635,52.11,14913070,KO
12/01/20,52.14,52.33,51.785,52.04,18969340,KO
11/30/20,52.09,52.19,51.08,51.6,43203594,KO
11/27/20,53.11,53.19,52.61,52.7,8499289,KO
11/25/20,53.07,53.28,52.79,52.93,10194760,KO
11/24/20,53.14,53.59,53.02,53.22,13836370,KO
11/23/20,52.95,53.17,52.2,52.68,13194020,KO
11/20/20,53.19,53.25,52.59,52.67,15647920,KO
11/19/20,52.49,53.23,51.95,53.13,17189551,KO
11/18/20,53.75,54.02,52.56,52.61,15278210,KO
11/17/20,53.66,53.75,53.025,53.68,14248360,KO
11/16/20,54.5,54.62,53.28,53.85,14908180,KO
11/13/20,53.25,53.5,52.8901,53.45,12449440,KO
11/12/20,53.05,53.21,52.605,53.01,15026960,KO
11/11/20,53.93,54.3,53.33,53.58,17399920,KO
11/10/20,52.57,54.28,52.45,53.98,29706670,KO
11/09/20,52.5,53.26,52.07,52.57,33441949,KO
11/06/20,49.65,49.99,49.25,49.45,9294903,KO
11/05/20,49.76,50.21,49.34,49.44,12452430,KO
11/04/20,49.43,50.21,49.08,49.17,12930820,KO
11/03/20,49.22,49.96,49.0,49.35,15285090,KO
11/02/20,48.75,48.95,48.24,48.62,15156150,KO
10/30/20,47.81,48.1216,47.365,48.06,15805000,KO
10/29/20,47.73,48.475,47.3,48.02,15369880,KO
10/28/20,49.0,49.15,47.78,47.96,19886160,KO
10/27/20,49.81,50.285,49.5533,49.9,13892110,KO
10/26/20,50.34,50.51,49.2,49.8,14696400,KO
10/23/20,51.0,51.18,50.465,50.52,13491270,KO
10/22/20,51.17,51.2,50.38,50.68,20189230,KO
10/21/20,49.96,50.43,49.77,49.99,12517410,KO
10/20/20,49.89,50.62,49.79,50.25,10972730,KO
10/19/20,50.03,50.48,49.46,49.62,9930443,KO
10/16/20,49.99,50.35,49.87,50.03,13570890,KO
10/15/20,49.4,50.13,49.3,49.99,9963190,KO
10/14/20,50.05,50.49,49.65,50.12,10582940,KO
10/13/20,50.99,50.99,49.9,50.22,14365290,KO
10/12/20,50.84,51.525,50.83,51.09,11386510,KO
10/09/20,50.67,51.23,50.6,50.81,11407810,KO
10/08/20,49.71,50.54,49.535,50.46,12143920,KO
10/07/20,49.02,49.76,48.95,49.56,10135650,KO
10/06/20,49.55,49.725,48.83,48.94,10077430,KO
10/05/20,49.43,49.55,49.12,49.38,10628740,KO
10/02/20,48.76,49.58,48.55,49.36,13610070,KO
10/01/20,49.44,49.6577,48.59,49.18,17577260,KO
09/30/20,49.27,49.62,48.8916,49.37,15755900,KO
09/29/20,49.39,49.555,48.91,48.92,12427770,KO
09/28/20,49.31,49.71,49.14,49.28,11215710,KO
09/25/20,48.2,48.76,47.98,48.72,12603380,KO
09/24/20,48.21,49.1,47.56,48.7,16788100,KO
09/23/20,49.73,49.92,48.17,48.21,17121211,KO
09/22/20,49.11,50.035,49.07,49.66,13034620,KO
09/21/20,49.75,50.02,48.605,49.09,17514770,KO
09/18/20,50.75,51.155,50.21,50.45,23816600,KO
09/17/20,50.22,50.63,49.94,50.55,13287140,KO
09/16/20,50.95,51.4462,50.74,50.79,15354680,KO
09/15/20,51.0,51.38,50.84,51.05,12838390,KO
09/14/20,50.97,51.23,50.57,50.71,10911660,KO
09/11/20,50.4,51.2,50.1,51.06,18272340,KO
09/10/20,50.35,50.675,49.95,50.0,15439510,KO
09/09/20,49.6,50.755,49.55,50.19,15252280,KO
09/08/20,50.93,51.04,49.36,49.81,17776750,KO
09/04/20,50.94,51.465,50.28,51.04,21019551,KO
09/03/20,51.4,52.1378,50.1,50.48,22289381,KO
09/02/20,49.36,51.36,49.36,51.19,26332631,KO
09/01/20,49.31,49.35,48.83,49.12,12590430,KO
08/31/20,49.8,50.07,49.35,49.53,18510779,KO
08/28/20,48.75,49.85,48.53,49.83,16420260,KO
08/27/20,48.25,48.82,48.2,48.23,10931640,KO
08/26/20,47.76,48.18,47.47,48.16,10124150,KO
08/25/20,48.0,48.05,47.65,47.91,7827833,KO
08/24/20,47.43,47.98,47.175,47.97,9257725,KO
08/21/20,47.34,47.495,46.97,47.28,14734120,KO
08/20/20,47.27,47.6,47.0923,47.35,11308740,KO
08/19/20,48.12,48.38,47.22,47.37,17371039,KO
08/18/20,48.2,48.5,47.96,48.42,9828985,KO
08/17/20,48.32,48.75,48.2,48.21,9102364,KO
08/14/20,48.34,48.69,48.03,48.45,10075810,KO
08/13/20,48.26,48.73,48.06,48.38,9882909,KO
08/12/20,48.3,48.69,48.12,48.43,9564025,KO
08/11/20,48.46,48.6527,47.7,47.93,16531561,KO
08/10/20,48.06,48.275,47.66,47.72,11887960,KO
08/07/20,47.47,48.08,47.21,47.8,11669710,KO
08/06/20,46.66,47.53,46.6,47.48,10745030,KO
08/05/20,46.9,47.265,46.81,47.22,10561640,KO
08/04/20,46.29,46.86,46.22,46.69,11707040,KO
