Date, Open, High, Low, Close, Volume,ticker
12/24/20,39.25,39.25,38.23,38.96,1045268,LB
12/23/20,37.94,39.3399,37.69,39.19,2441225,LB
12/22/20,38.6,38.79,37.6,38.0,3200502,LB
12/21/20,37.83,39.08,37.56,38.66,2141201,LB
12/18/20,38.82,39.27,38.07,38.63,5893785,LB
12/17/20,38.87,39.19,37.96,39.19,2391540,LB
12/16/20,39.38,39.689,38.39,38.7,1830499,LB
12/15/20,38.74,39.32,38.32,39.32,2303888,LB
12/14/20,40.04,40.04,37.835,38.2,8799875,LB
12/11/20,41.33,41.33,39.36,39.54,3110546,LB
12/10/20,41.05,41.46,40.6,41.02,2367779,LB
12/09/20,40.99,42.17,40.64,41.58,3564511,LB
12/08/20,40.05,41.24,39.9,40.96,3459898,LB
12/07/20,38.24,40.58,38.21,40.24,4137620,LB
12/04/20,38.17,38.45,36.51,38.25,3918330,LB
12/03/20,38.55,38.73,37.52,38.35,4121741,LB
12/02/20,38.59,39.99,37.94,38.67,3730882,LB
12/01/20,39.28,39.57,38.2401,38.9,3458706,LB
11/30/20,38.56,38.88,37.66,38.81,4285456,LB
11/27/20,38.75,39.08,37.73,38.84,2950476,LB
11/25/20,38.75,39.385,38.2383,38.95,3687713,LB
11/24/20,40.44,40.56,38.76,39.69,4154416,LB
11/23/20,40.5,40.82,39.44,39.98,5471091,LB
11/20/20,39.75,40.79,38.9,39.97,7195469,LB
11/19/20,39.34,39.95,37.6,39.55,15717670,LB
11/18/20,35.54,35.92,33.58,33.61,8747284,LB
11/17/20,34.5,35.6,34.12,35.45,5142219,LB
11/16/20,35.02,35.1,34.2,34.76,3795447,LB
11/13/20,33.62,34.66,33.53,34.34,5093500,LB
11/12/20,34.05,34.165,32.74,33.06,2833534,LB
11/11/20,34.24,34.49,33.26,34.14,2896989,LB
11/10/20,32.817,34.05,32.41,34.05,3301393,LB
11/09/20,35.16,35.25,32.45,32.52,5474261,LB
11/06/20,34.18,34.74,32.97,33.32,2618706,LB
11/05/20,34.01,34.445,33.41,34.04,2242303,LB
11/04/20,33.23,34.68,32.94,33.7,3238653,LB
11/03/20,33.35,33.94,32.93,33.73,2352399,LB
11/02/20,32.31,33.54,32.19,33.02,2683548,LB
10/30/20,32.77,33.13,31.75,32.01,2524772,LB
10/29/20,32.36,33.24,32.03,32.87,1972361,LB
10/28/20,32.68,33.07,32.16,32.27,1808008,LB
10/27/20,34.38,34.63,33.3186,33.6,1590795,LB
10/26/20,33.86,34.51,33.6358,34.16,2662114,LB
10/23/20,34.0,34.7882,33.36,34.76,2817112,LB
10/22/20,32.35,34.115,31.83,33.9,3843047,LB
10/21/20,33.08,33.2,31.96,32.18,3442917,LB
10/20/20,33.39,34.13,33.05,33.06,4103489,LB
10/19/20,34.8,35.41,32.855,33.13,7834231,LB
10/16/20,33.7,33.99,33.28,33.3,3413877,LB
10/15/20,31.55,33.7032,31.42,33.61,5359859,LB
10/14/20,32.24,32.47,31.265,31.98,4297410,LB
10/13/20,32.01,32.74,31.62,31.94,3497234,LB
10/12/20,32.37,33.09,31.71,32.05,4596809,LB
10/09/20,32.99,33.09,31.8,32.26,3913007,LB
10/08/20,33.56,33.66,32.38,32.58,5739727,LB
10/07/20,33.01,33.39,32.58,32.99,3260373,LB
10/06/20,33.42,33.57,32.24,32.3,3215578,LB
10/05/20,33.35,33.48,32.48,33.21,2888051,LB
10/02/20,32.15,33.43,32.0,33.13,2814351,LB
10/01/20,32.05,33.46,32.05,33.22,5843282,LB
09/30/20,31.64,33.12,31.3,31.81,6068526,LB
