Date, Open, High, Low, Close, Volume,ticker
12/24/20,105.09,105.12,103.4,104.24,198163,LDOS
12/23/20,103.05,105.36,103.05,104.61,638384,LDOS
12/22/20,102.65,103.22,101.34,102.35,807808,LDOS
12/21/20,104.23,104.36,101.59,103.13,787236,LDOS
12/18/20,104.94,106.667,104.17,105.67,2124126,LDOS
12/17/20,105.14,105.71,104.15,104.83,777364,LDOS
12/16/20,105.3,106.64,104.755,105.09,958594,LDOS
12/15/20,104.73,104.87,103.07,104.84,1030774,LDOS
12/14/20,105.49,106.66,104.13,104.13,859330,LDOS
12/11/20,104.03,106.57,103.46,105.42,847219,LDOS
12/10/20,103.2,105.425,103.2,104.82,1009265,LDOS
12/09/20,103.96,104.5,102.88,104.11,698227,LDOS
12/08/20,102.89,104.215,102.84,103.95,529373,LDOS
12/07/20,103.78,104.7,103.31,103.5,652767,LDOS
12/04/20,103.0,104.88,102.775,104.81,389140,LDOS
12/03/20,102.5,103.5,101.69,102.89,792647,LDOS
12/02/20,101.53,103.13,101.06,103.1,516660,LDOS
12/01/20,101.14,102.65,100.55,101.64,920216,LDOS
11/30/20,101.68,101.71,100.22,100.7,1783218,LDOS
11/27/20,102.34,103.18,102.045,102.28,282790,LDOS
11/25/20,102.8,102.99,101.12,102.64,527288,LDOS
11/24/20,102.68,103.52,101.97,102.57,705176,LDOS
11/23/20,100.28,102.59100000000001,99.9146,102.38,740453,LDOS
11/20/20,100.39,101.76,98.87,100.37,1032330,LDOS
11/19/20,99.34,100.59,98.52,100.34,864110,LDOS
11/18/20,100.16,102.53,99.28,99.53,1090007,LDOS
11/17/20,99.77,100.76,97.88,100.28,1464894,LDOS
11/16/20,99.2,100.91,98.86,100.63,1349762,LDOS
11/13/20,95.07,98.665,94.875,98.47,790474,LDOS
11/12/20,94.37,94.79,93.42,94.16,625139,LDOS
11/11/20,95.58,96.25,94.01,94.99,588621,LDOS
11/10/20,94.43,96.05,93.92,94.94,647732,LDOS
11/09/20,94.37,97.5,94.065,94.63,1048067,LDOS
11/06/20,90.91,90.91,89.1,90.47,809393,LDOS
11/05/20,92.95,93.35,91.225,91.4,1050246,LDOS
11/04/20,88.69,93.7,88.69,92.32,1806288,LDOS
11/03/20,86.13,88.48,85.98,87.96,1042704,LDOS
11/02/20,84.95,87.43,84.16,85.73,1352615,LDOS
10/30/20,81.28,83.37,81.28,83.0,1480341,LDOS
10/29/20,79.4,81.65,79.21,81.25,999757,LDOS
10/28/20,81.18,81.63,79.15,79.34,727583,LDOS
10/27/20,83.58,83.9,82.25,82.7,583332,LDOS
10/26/20,85.13,85.23,82.73,83.44,708439,LDOS
10/23/20,86.46,86.93,85.34,85.8,642713,LDOS
10/22/20,84.88,85.99,84.6901,85.81,746628,LDOS
10/21/20,85.61,86.52,84.52,84.56,1041965,LDOS
10/20/20,86.78,86.92,85.65,86.13,470327,LDOS
10/19/20,88.02,88.31,85.93,86.36,618604,LDOS
10/16/20,88.33,89.1,87.74,87.83,677947,LDOS
10/15/20,87.73,89.0,87.05,87.78,642402,LDOS
10/14/20,88.27,90.16,87.72,88.49,606449,LDOS
10/13/20,89.5,90.08,87.36,88.19,834057,LDOS
10/12/20,91.14,91.14,89.24,89.71,696791,LDOS
10/09/20,90.11,91.28,89.78,90.87,973483,LDOS
10/08/20,89.16,90.575,88.84,89.19,586242,LDOS
10/07/20,89.35,89.85,87.7,88.48,946434,LDOS
10/06/20,89.98,91.71,88.83,89.01,635493,LDOS
10/05/20,90.64,90.92,88.96,89.82,565607,LDOS
10/02/20,88.85,90.94,88.67,90.39,802283,LDOS
10/01/20,89.83,90.51,87.98,90.42,818935,LDOS
09/30/20,90.58,90.89,88.71,89.15,715075,LDOS
09/29/20,91.54,91.76,89.99,90.57,446935,LDOS
09/28/20,92.55,93.13,91.44,91.57,709392,LDOS
09/25/20,87.78,92.14,87.36,91.98,783578,LDOS
09/24/20,89.12,89.65,87.56,88.03,1099604,LDOS
09/23/20,93.02,94.42,89.73,90.0,1054023,LDOS
09/22/20,90.04,91.86,88.6,91.6,885028,LDOS
09/21/20,88.29,88.7599,87.21,88.43,1384666,LDOS
09/18/20,90.03,90.6,89.39,90.06,1719120,LDOS
09/17/20,88.8,90.44,88.12,90.23,639268,LDOS
09/16/20,88.97,90.09,88.97,89.1,934380,LDOS
09/15/20,88.72,89.79,88.45,88.74,1082619,LDOS
