Date, Open, High, Low, Close, Volume,ticker
12/24/20,36.4,36.4,35.84,36.26,334603,LKQ
12/23/20,36.27,36.52,36.055,36.25,1258892,LKQ
12/22/20,35.88,36.36,35.45,35.98,1570783,LKQ
12/21/20,35.42,35.975,34.7895,35.92,1344320,LKQ
12/18/20,36.96,37.15,35.93,36.15,4007919,LKQ
12/17/20,37.23,37.27,36.62,37.12,1556288,LKQ
12/16/20,37.45,37.59,37.0,37.12,979960,LKQ
12/15/20,36.8,37.29,36.32,37.25,1104711,LKQ
12/14/20,37.02,37.56,36.53,36.61,1606734,LKQ
12/11/20,36.17,36.75,36.08,36.66,1446505,LKQ
12/10/20,36.84,37.01,36.28,36.57,1154042,LKQ
12/09/20,37.22,37.63,36.92,37.21,1264457,LKQ
12/08/20,36.76,37.18,36.63,36.96,2006455,LKQ
12/07/20,36.92,37.1,36.4,37.09,1059195,LKQ
12/04/20,36.45,37.1,36.12,37.09,1640200,LKQ
12/03/20,36.01,36.58,35.66,36.18,1589383,LKQ
12/02/20,36.1,36.1,35.17,35.84,1331225,LKQ
12/01/20,35.76,36.47,35.53,36.14,1730162,LKQ
11/30/20,35.62,35.7084,34.982,35.22,2929854,LKQ
11/27/20,36.26,36.7147,35.43,35.98,732679,LKQ
11/25/20,36.62,36.62,36.07,36.22,1108423,LKQ
11/24/20,36.42,37.4,35.99,36.8,2028278,LKQ
11/23/20,35.48,35.89,35.21,35.85,1435892,LKQ
11/20/20,35.26,35.46,34.98,35.08,2241116,LKQ
11/19/20,35.47,35.7,34.67,35.33,1639196,LKQ
11/18/20,36.54,36.905,35.66,35.66,1733191,LKQ
11/17/20,36.28,36.61,35.54,36.49,1853439,LKQ
11/16/20,36.73,36.89,35.82,36.8,1226209,LKQ
11/13/20,35.33,36.11,35.195,36.04,1968758,LKQ
11/12/20,35.86,35.88,34.41,34.86,2020964,LKQ
11/11/20,37.0,37.0,35.59,35.8,1736990,LKQ
11/10/20,35.55,37.275,35.32,37.01,3535650,LKQ
11/09/20,35.3,38.38,35.3,35.44,3260219,LKQ
11/06/20,35.0,35.0,33.81,33.96,1352704,LKQ
11/05/20,33.91,35.0,33.83,34.84,1202558,LKQ
11/04/20,34.01,34.27,33.34,33.36,1715776,LKQ
11/03/20,33.63,34.57,33.17,34.39,2488262,LKQ
11/02/20,32.49,33.12,32.19,32.945,2376057,LKQ
10/30/20,31.24,32.25,31.0036,31.99,2905249,LKQ
10/29/20,30.45,31.965,30.36,31.68,3233285,LKQ
10/28/20,30.23,30.56,29.6,29.77,3552093,LKQ
10/27/20,31.49,31.575,30.835,30.9,1822370,LKQ
10/26/20,32.47,32.54,31.315,31.72,1865462,LKQ
10/23/20,32.4,32.9,32.32,32.88,1496080,LKQ
10/22/20,31.975,32.33,31.67,32.225,1878611,LKQ
10/21/20,31.96,32.59,31.87,32.1,2569678,LKQ
10/20/20,32.0,32.555,31.855,32.06,1763793,LKQ
10/19/20,32.05,32.36,31.29,31.47,2319748,LKQ
10/16/20,31.55,31.975,31.335,31.89,1808379,LKQ
10/15/20,30.56,31.86,30.41,31.8,2009610,LKQ
10/14/20,30.96,31.47,30.76,30.96,1530680,LKQ
10/13/20,30.59,31.26,30.5,30.94,2587106,LKQ
10/12/20,30.7,30.88,30.36,30.85,1366689,LKQ
10/09/20,31.22,31.25,30.5,30.52,1547809,LKQ
10/08/20,30.61,30.78,30.12,30.72,1542478,LKQ
10/07/20,29.82,30.65,29.82,30.32,2004553,LKQ
10/06/20,29.61,30.475,29.395,29.46,2537968,LKQ
10/05/20,28.79,29.63,28.59,29.53,1887445,LKQ
10/02/20,27.37,28.68,27.28,28.51,1716205,LKQ
10/01/20,28.085,28.34,27.58,28.01,2226190,LKQ
09/30/20,27.8,28.07,27.46,27.73,3656268,LKQ
09/29/20,28.13,28.26,27.62,27.65,1836439,LKQ
09/28/20,27.74,28.49,27.6,28.26,2102185,LKQ
09/25/20,26.9,27.305,26.725,27.08,4196232,LKQ
09/24/20,27.73,28.01,27.06,27.2,3009897,LKQ
