Date, Open, High, Low, Close, Volume,ticker
12/24/20,165.85,167.94,165.85,166.66,627229,LLY
12/23/20,167.45,167.9997,165.47,165.48,1697282,LLY
12/22/20,167.71,168.39,165.87,166.72,2448907,LLY
12/21/20,168.88,169.0,165.8,168.78,3656017,LLY
12/18/20,172.52,172.89,169.0,171.4,7356515,LLY
12/17/20,171.73,173.895,171.1,172.63,3473825,LLY
12/16/20,169.69,173.19,166.75,172.05,6009932,LLY
12/15/20,159.43,168.23,158.05,167.43,6976079,LLY
12/14/20,160.69,162.2871,157.83,157.91,4390109,LLY
12/11/20,159.72,161.18,159.06,160.04,3435693,LLY
12/10/20,159.87,162.0,158.18,161.0,6430596,LLY
12/09/20,154.59,158.94,153.68,158.0,8364372,LLY
12/08/20,146.98,150.14,146.91,149.3,2754502,LLY
12/07/20,147.3,148.33,146.48,147.42,2637180,LLY
12/04/20,144.07,148.72,144.0,148.45,3058757,LLY
12/03/20,145.7,146.5,143.13,144.11,4059610,LLY
12/02/20,145.36,147.09,144.38,145.16,3757360,LLY
12/01/20,146.69,148.06,145.26,145.56,3954412,LLY
11/30/20,146.34,148.17,144.9,145.65,5842198,LLY
11/27/20,145.65,147.92,145.36,147.44,1753995,LLY
11/25/20,144.9,145.34,142.61,144.75,3223766,LLY
11/24/20,143.39,145.64,143.11,144.9,4127874,LLY
11/23/20,145.54,145.62,141.16,143.38,3794513,LLY
11/20/20,142.84,147.09,142.84,145.49,5064305,LLY
11/19/20,140.25,143.89,138.92,143.41,4626099,LLY
11/18/20,141.9,142.42,140.13,140.17,2795172,LLY
11/17/20,139.57,141.96,138.61,141.2,3619448,LLY
11/16/20,143.06,144.3,140.0,140.59,4957963,LLY
11/13/20,142.43,143.21,141.3201,142.38,2144882,LLY
11/12/20,142.93,143.46,139.86,141.03,3464669,LLY
11/11/20,147.76,147.76,143.37,144.76,3046843,LLY
11/10/20,147.6,149.2,143.79,146.56,5376964,LLY
11/09/20,142.54,144.75,140.6,142.33,5493775,LLY
11/06/20,145.05,147.39,139.1,142.74,6229782,LLY
11/05/20,147.68,148.81,144.7,145.52,5730964,LLY
