Date, Open, High, Low, Close, Volume,ticker
12/24/20,352.83,354.0561,350.4,351.97,508779,LMT
12/23/20,349.95,354.995,349.4,351.6,1307538,LMT
12/22/20,349.35,350.62,347.385,347.92,1822762,LMT
12/21/20,353.16,353.94,346.6,349.35,2128723,LMT
12/18/20,352.04,356.79,350.01,356.03,4342035,LMT
12/17/20,355.93,357.66,351.88,352.6,1658146,LMT
12/16/20,357.25,357.899,353.65,354.57,1986456,LMT
12/15/20,358.73,359.89,355.445,357.57,1521203,LMT
12/14/20,363.5,365.62,357.44,357.66,1370771,LMT
12/11/20,354.55,363.12,354.19,361.71,1410012,LMT
12/10/20,359.52,364.215,355.195,355.39,1378723,LMT
12/09/20,359.85,362.59,356.945,361.35,1522393,LMT
12/08/20,360.98,363.17,358.835,359.23,1783602,LMT
12/07/20,366.9,366.9,360.54,362.13,1390470,LMT
12/04/20,363.12,367.73,362.11,366.61,1222573,LMT
12/03/20,362.12,369.5,360.96,362.03,1758402,LMT
12/02/20,364.99,365.9899,360.01,361.36,2519989,LMT
12/01/20,368.47,373.29,364.87,364.99,1300793,LMT
11/30/20,370.79,372.44,363.39,365.0,1608390,LMT
11/27/20,378.81,378.81,373.45,374.34,612298,LMT
11/25/20,377.09,381.95,376.23,378.34,854993,LMT
11/24/20,375.28,378.48,373.06,378.48,959456,LMT
11/23/20,371.54,374.53,369.86,370.85,929449,LMT
11/20/20,375.97,377.2373,367.62,368.02,1117931,LMT
11/19/20,375.0,377.75,372.17,376.46,1075405,LMT
11/18/20,377.49,383.4699,376.24,377.56,1066781,LMT
11/17/20,375.66,380.48,375.25,375.9,1321480,LMT
11/16/20,378.05,380.69,376.08,377.13,1306768,LMT
11/13/20,370.57,376.0,369.23,375.14,921474,LMT
11/12/20,367.5,370.57,365.51,367.89,856345,LMT
11/11/20,372.87,373.33,365.68,369.28,1115361,LMT
11/10/20,365.0,373.435,363.94,371.28,1708205,LMT
11/09/20,379.6,381.52,363.73,363.95,1956921,LMT
11/06/20,363.3,363.73,357.95,361.27,1401617,LMT
11/05/20,374.55,376.5,363.77,364.7,1709297,LMT
11/04/20,371.07,381.46,369.51,372.16,2146525,LMT
11/03/20,357.13,366.2,356.21,363.44,1484628,LMT
11/02/20,356.12,359.91,350.72,352.42,1707749,LMT
10/30/20,350.64,353.73,345.65,350.13,1310167,LMT
10/29/20,350.0,356.225,348.29,352.44,1547977,LMT
10/28/20,356.87,360.0,350.45,350.86,1680134,LMT
10/27/20,367.0,367.98,360.805,362.43,977417,LMT
10/26/20,369.43,369.87,362.5016,368.55,1387270,LMT
10/23/20,371.34,376.19,369.01,374.33,1178882,LMT
10/22/20,367.5,371.11,365.15,368.96,1255370,LMT
10/21/20,372.21,375.0,365.0,367.14,1931194,LMT
10/20/20,382.59,385.79,371.8,372.21,1783180,LMT
10/19/20,387.24,389.6,381.671,383.71,1180993,LMT
10/16/20,388.49,389.78,386.09,386.5,952117,LMT
10/15/20,387.33,388.87,383.22,386.12,792113,LMT
10/14/20,387.14,395.46,387.14,390.72,1090394,LMT
10/13/20,386.14,390.56,385.12,388.95,973378,LMT
10/12/20,386.0,390.51,383.26,388.92,807358,LMT
10/09/20,388.41,390.1,385.29,385.93,675020,LMT
10/08/20,383.9,389.19,382.2784,388.59,695156,LMT
10/07/20,378.6,383.84,378.56,382.94,826844,LMT
10/06/20,386.03,386.11,376.02,376.46,954931,LMT
10/05/20,383.24,385.8891,378.86,383.96,825249,LMT
10/02/20,376.0,383.4766,374.28,380.58,1217172,LMT
10/01/20,384.0,390.0,379.0,380.89,1103853,LMT
09/30/20,389.47,389.76,380.51,383.28,1410264,LMT
09/29/20,389.61,393.15,387.51,388.74,1121387,LMT
09/28/20,390.0,396.61,389.65,390.51,980091,LMT
09/25/20,377.45,388.4,376.45,386.7,1375385,LMT
09/24/20,383.25,384.49,375.095,378.76,1295262,LMT
09/23/20,389.23,394.4271,381.99,383.24,1223324,LMT
09/22/20,381.88,392.48,381.3443,388.42,1286535,LMT
09/21/20,388.5,389.8658,377.23,379.61,1447716,LMT
09/18/20,394.15,399.0,394.15,395.14,2636802,LMT
09/17/20,392.0,398.55,389.54,395.94,959548,LMT
09/16/20,391.11,399.6,390.93,395.58,1052509,LMT
09/15/20,395.65,396.0,386.89,392.55,955899,LMT
09/14/20,393.37,396.67,391.62,393.75,991054,LMT
09/11/20,381.47,390.4999,380.75,389.45,933979,LMT
09/10/20,386.02,388.5323,378.33,379.11,716427,LMT
09/09/20,382.69,389.42,381.0101,385.24,1218293,LMT
09/08/20,383.99,385.285,378.36,380.23,1071648,LMT
09/04/20,388.51,391.55,379.58,385.02,933794,LMT
09/03/20,399.5,401.8755,383.38,386.29,1500784,LMT
09/02/20,385.15,398.9,384.11,398.07,1214735,LMT
09/01/20,387.82,389.185,385.0,386.81,908902,LMT
08/31/20,392.17,395.0,388.47,390.26,1030838,LMT
08/28/20,395.51,396.0,391.73,395.59,728261,LMT
08/27/20,396.84,400.085,394.88,395.02,700460,LMT
08/26/20,393.0,397.66,390.56,395.44,908779,LMT
08/25/20,395.72,402.375,392.4,394.84,987415,LMT
08/24/20,390.83,395.57,389.9,395.04,1006398,LMT
08/21/20,387.71,390.79,386.8596,389.57,996274,LMT
08/20/20,388.28,389.2,383.577,387.88,1203695,LMT
08/19/20,390.08,391.97,388.84,390.05,717523,LMT
08/18/20,389.17,391.91,388.3434,390.26,806128,LMT
08/17/20,393.98,395.19,387.73,388.96,864415,LMT
08/14/20,388.64,394.2,388.02,391.42,648605,LMT
08/13/20,390.35,394.05,387.0,389.24,1053647,LMT
08/12/20,394.02,396.52,391.29,392.44,878821,LMT
08/11/20,391.51,399.49,391.33,391.96,1312906,LMT
08/10/20,386.02,391.11,385.96,389.26,856011,LMT
08/07/20,380.01,386.66,378.76,385.62,924890,LMT
08/06/20,381.78,383.19,378.09,379.74,698536,LMT
08/05/20,380.0,384.87,378.27,383.5,1018673,LMT
08/04/20,379.08,380.8424,376.29,377.99,900732,LMT
08/03/20,376.84,378.41,371.44,377.1,923365,LMT
07/31/20,380.55,381.37,373.675,378.97,1101905,LMT
07/30/20,382.71,385.844,380.86,381.72,983373,LMT
07/29/20,389.56,390.4701,384.63,387.3,1209630,LMT
