Date, Open, High, Low, Close, Volume,ticker
12/24/20,49.89,49.95,49.04,49.74,484477,LNC
12/23/20,48.8,50.185,48.69,49.95,1334606,LNC
12/22/20,48.77,49.03,47.95,47.97,4736315,LNC
12/21/20,48.15,48.77,47.25,48.43,1115498,LNC
12/18/20,49.22,49.89,47.74,48.61,3193679,LNC
12/17/20,49.12,49.69,48.82,49.46,1380718,LNC
12/16/20,50.77,50.8,49.87,50.24,1151868,LNC
12/15/20,50.9,50.9,48.88,50.36,1992387,LNC
12/14/20,52.44,52.46,49.88,50.05,2357237,LNC
12/11/20,51.31,51.915,50.67,51.33,1306951,LNC
12/10/20,51.55,52.93,51.23,52.65,1246135,LNC
12/09/20,53.9,54.69,52.32,52.59,2415247,LNC
12/08/20,52.31,53.7,52.0125,53.06,1752127,LNC
12/07/20,53.68,53.99,52.67,53.18,2050974,LNC
12/04/20,53.41,54.79,53.04,54.73,1713067,LNC
12/03/20,51.53,52.88,51.14,52.21,1899389,LNC
12/02/20,49.58,51.78,49.0,51.35,2307535,LNC
12/01/20,49.33,50.44,48.88,49.9,1837430,LNC
11/30/20,48.7,49.56,47.02,47.22,3003377,LNC
11/27/20,50.19,50.59,49.0887,49.16,905817,LNC
11/25/20,49.84,50.6,49.12,50.19,1519786,LNC
11/24/20,47.83,50.93,47.83,50.91,3054191,LNC
11/23/20,45.13,46.76,45.01,46.59,1854584,LNC
11/20/20,44.16,44.46,43.56,44.16,1296618,LNC
11/19/20,43.31,44.79,42.61,44.62,1739566,LNC
11/18/20,43.56,45.38,43.17,43.92,2152850,LNC
11/17/20,41.91,43.14,41.25,43.1,2114528,LNC
11/16/20,43.92,43.99,42.473,42.82,2379103,LNC
11/13/20,40.1,41.89,40.1,41.68,1573089,LNC
11/12/20,40.38,40.67,38.555,39.36,3052894,LNC
11/11/20,42.5,42.5,40.53,41.29,1922725,LNC
11/10/20,42.98,42.99,41.38,42.44,2986420,LNC
11/09/20,38.35,44.36,38.31,42.63,6787560,LNC
11/06/20,36.27,36.69,33.75,34.07,3075216,LNC
11/05/20,36.0,36.8,35.1,35.9,3318624,LNC
11/04/20,36.01,36.9,34.6291,35.03,2770690,LNC
11/03/20,37.14,38.28,37.03,37.39,2132998,LNC
11/02/20,35.79,36.59,34.77,36.37,1870747,LNC
10/30/20,33.64,35.16,33.5,35.1,2721291,LNC
10/29/20,32.49,34.23,31.95,34.02,1630831,LNC
10/28/20,32.76,33.81,32.65,32.71,2234357,LNC
10/27/20,35.6,35.6,33.77,33.78,1420406,LNC
10/26/20,36.39,36.42,35.21,35.79,1567475,LNC
10/23/20,37.36,38.1,36.86,37.05,2016370,LNC
10/22/20,34.4,36.99,34.3554,36.89,2382003,LNC
10/21/20,34.17,35.0,33.885,34.52,1454933,LNC
10/20/20,34.35,35.18,34.03,34.5,1508880,LNC
10/19/20,33.98,34.63,33.6815,33.72,1142772,LNC
10/16/20,34.17,34.58,33.75,33.78,1775016,LNC
10/15/20,33.15,34.42,33.1,34.03,1559876,LNC
10/14/20,33.98,34.78,33.85,33.88,1519045,LNC
10/13/20,35.03,35.135999999999996,33.695,34.01,1717297,LNC
10/12/20,35.0,35.72,34.75,35.47,1247912,LNC
10/09/20,36.18,36.23,34.81,34.85,1426695,LNC
10/08/20,35.3,35.65,34.75,35.63,1363149,LNC
10/07/20,34.42,35.62,34.28,35.12,2492169,LNC
10/06/20,35.01,35.72,33.7,33.73,3010708,LNC
10/05/20,33.43,34.75,33.3,34.29,3091598,LNC
10/02/20,31.16,32.855,31.02,32.64,1502768,LNC
10/01/20,31.9,32.71,31.15,31.89,2365299,LNC
09/30/20,31.11,31.94,30.86,31.33,2999803,LNC
09/29/20,31.83,32.21,30.52,30.94,2241745,LNC
09/28/20,31.52,32.68,31.41,32.05,2561298,LNC
09/25/20,29.75,30.96,29.66,30.62,1655497,LNC
09/24/20,30.37,31.0297,29.42,30.14,1986915,LNC
09/23/20,31.43,32.16,30.39,30.44,1711788,LNC
09/22/20,31.57,32.32,30.88,31.31,1993576,LNC
09/21/20,32.5,32.68,30.88,31.54,3163698,LNC
09/18/20,33.24,33.87,32.8,33.64,6166520,LNC
09/17/20,33.78,34.07,33.21,33.47,2640589,LNC
09/16/20,33.65,35.1,33.46,34.45,2517073,LNC
09/15/20,35.35,35.4088,33.48,33.59,2149582,LNC
09/14/20,34.85,35.79,34.47,35.34,1311428,LNC
09/11/20,34.54,34.85,33.91,34.43,1728843,LNC
09/10/20,35.98,36.39,34.17,34.46,2601717,LNC
09/09/20,36.37,36.37,34.98,35.75,2059117,LNC
09/08/20,37.5,37.63,35.67,35.82,2265414,LNC
09/04/20,36.64,38.33,36.2,38.22,3095977,LNC
09/03/20,36.45,37.64,35.27,35.67,1544276,LNC
09/02/20,36.16,36.37,35.5,35.92,1701843,LNC
09/01/20,35.65,36.92,35.45,36.15,1395119,LNC
08/31/20,37.76,37.76,35.91,36.05,1821227,LNC
08/28/20,37.54,37.54,36.52,37.39,1328180,LNC
08/27/20,35.9,37.31,35.9,37.01,1452496,LNC
08/26/20,36.26,36.58,35.76,35.99,1028920,LNC
08/25/20,37.24,37.5527,36.13,36.45,1108947,LNC
08/24/20,35.25,36.75,35.235,36.74,1378209,LNC
08/21/20,35.7,35.89,34.77,34.92,1151166,LNC
08/20/20,35.98,36.39,35.7,35.75,1426669,LNC
08/19/20,36.72,37.4,36.24,36.41,865552,LNC
08/18/20,37.61,37.93,36.61,36.68,829774,LNC
08/17/20,38.63,38.63,37.26,37.56,864967,LNC
08/14/20,37.72,39.37,37.72,38.82,1204424,LNC
08/13/20,38.14,38.93,37.66,38.2,1078616,LNC
08/12/20,41.02,41.05,38.11,38.82,1631868,LNC
08/11/20,40.83,41.58,39.54,39.81,2017676,LNC
08/10/20,38.73,39.77,38.71,39.18,1745407,LNC
08/07/20,35.53,38.39,35.41,38.36,2132150,LNC
08/06/20,36.25,37.4,35.59,35.92,2969020,LNC
08/05/20,37.16,39.18,37.07,39.0,2626909,LNC
08/04/20,37.39,37.75,36.17,36.51,1504710,LNC
08/03/20,37.38,38.1952,36.84,37.58,1367634,LNC
07/31/20,36.99,37.64,36.08,37.27,3886115,LNC
07/30/20,36.85,37.29,35.55,36.93,2303842,LNC
07/29/20,36.41,38.44,36.12,38.37,2242473,LNC
07/28/20,36.54,37.23,36.21,36.29,1225330,LNC
07/27/20,36.86,37.2,36.05,36.75,915130,LNC
07/24/20,37.82,37.85,37.0,37.21,982451,LNC
07/23/20,37.43,38.02,36.98,37.59,1218991,LNC
07/22/20,36.83,37.83,36.77,37.59,1270203,LNC
07/21/20,36.6,37.91,36.6,37.48,1533953,LNC
07/20/20,36.77,36.89,35.85,36.22,1524554,LNC
07/17/20,37.52,37.615,36.7255,37.04,1463843,LNC
07/16/20,36.65,38.16,35.97,37.5,2112945,LNC
07/15/20,36.84,37.54,35.98,37.21,1769600,LNC
07/14/20,34.89,35.71,34.26,35.46,1737117,LNC
07/13/20,35.38,35.98,34.24,35.08,1958748,LNC
07/10/20,32.6,35.02,32.52,34.78,2456149,LNC
07/09/20,34.81,34.82,32.44,32.71,2622423,LNC
07/08/20,34.11,35.25,34.05,35.22,2111721,LNC
07/07/20,35.39,35.67,33.98,34.12,2259770,LNC
07/06/20,35.93,36.79,35.15,35.9,1922385,LNC
07/02/20,36.05,36.975,34.5,34.61,2562010,LNC
07/01/20,37.02,37.39,34.56,34.67,2284069,LNC
06/30/20,35.3,37.05,35.27,36.79,1975867,LNC
06/29/20,35.18,35.8029,34.555,35.74,1704886,LNC
06/26/20,35.7,36.07,34.34,34.65,3644027,LNC
06/25/20,35.51,36.87,35.32,36.8,1856541,LNC
06/24/20,38.0,38.0,35.82,36.04,2504420,LNC
06/23/20,39.73,40.01,38.615,38.67,2162126,LNC
06/22/20,39.26,39.47,38.35,38.52,2461890,LNC
06/19/20,41.94,41.94,38.96,39.6,3919285,LNC
06/18/20,40.18,41.65,39.6375,40.63,1491247,LNC
06/17/20,42.48,43.0,40.65,40.73,1759440,LNC
06/16/20,44.94,44.94,41.2228,42.46,2209979,LNC
06/15/20,38.25,42.48,37.52,41.8,2292678,LNC
06/12/20,41.49,41.49,38.83,40.68,1740047,LNC
06/11/20,40.08,41.71,38.26,38.43,2788118,LNC
06/10/20,46.74,46.94,43.91,44.12,2581728,LNC
06/09/20,47.56,48.93,47.02,47.21,2310420,LNC
06/08/20,49.58,50.32,48.2901,50.04,2289283,LNC
06/05/20,47.85,49.87,46.59,47.27,3718992,LNC
06/04/20,40.57,43.5,39.8,43.5,2206595,LNC
06/03/20,40.52,42.24,40.1,40.9,1836042,LNC
06/02/20,39.24,39.96,38.55,38.96,2095201,LNC
06/01/20,38.05,39.44,37.33,39.23,1652858,LNC
05/29/20,38.32,39.09,37.59,37.93,3071187,LNC
05/28/20,41.48,41.66,39.16,39.31,1649014,LNC
05/27/20,41.61,42.34,40.0,40.79,1817322,LNC
05/26/20,37.72,39.99,37.2,38.84,2190039,LNC
05/22/20,35.91,36.19,34.41,35.0,1811733,LNC
05/21/20,35.69,36.55,35.4797,35.94,1947027,LNC
05/20/20,36.14,36.53,35.33,35.59,1583438,LNC
05/19/20,35.94,36.22,34.65,34.89,1756537,LNC
05/18/20,35.45,36.73,34.45,36.4,2445992,LNC
05/15/20,31.72,32.995,31.265,32.75,1948134,LNC
05/14/20,29.85,32.51,28.53,32.5,2543959,LNC
05/13/20,32.62,32.62,30.23,30.74,2272902,LNC
05/12/20,35.65,35.865,33.03,33.05,2332527,LNC
05/11/20,35.31,36.09,34.74,35.28,2154380,LNC
05/08/20,35.78,36.738,34.78,36.65,2829547,LNC
05/07/20,32.9,35.86,32.9,34.77,3551649,LNC
05/06/20,33.15,33.175,29.82,29.91,2288329,LNC
05/05/20,33.31,34.03,32.35,32.47,2092106,LNC
05/04/20,31.57,32.82,30.7,32.71,1511365,LNC
05/01/20,33.78,34.23,31.92,32.48,1857227,LNC
04/30/20,35.02,36.45,34.27,35.47,2064367,LNC
04/29/20,35.84,37.365,35.44,36.6,3298434,LNC
04/28/20,34.26,34.65,32.69,33.71,1898786,LNC
04/27/20,30.52,32.11,30.44,31.87,1468866,LNC
04/24/20,29.29,30.59,28.791,30.21,2477564,LNC
04/23/20,29.5,30.58,28.66,28.7,1915228,LNC
04/22/20,28.45,29.345,27.78,29.04,2619348,LNC
04/21/20,27.28,28.37,26.97,27.13,4151899,LNC
04/20/20,28.11,29.78,27.82,29.01,2287854,LNC
04/17/20,28.84,30.18,28.82,29.66,3166822,LNC
04/16/20,29.01,29.01,27.47,27.63,2174286,LNC
04/15/20,29.91,30.38,28.88,28.9,2756961,LNC
04/14/20,33.5,33.99,31.57,32.22,2391732,LNC
04/13/20,34.21,34.44,31.43,32.37,2478165,LNC
04/09/20,34.43,36.93,32.95,34.29,3851196,LNC
04/08/20,29.96,32.89,29.67,32.56,3969006,LNC
