Date, Open, High, Low, Close, Volume,ticker
12/24/20,473.68,480.34,472.9,480.34,332968,LRCX
12/23/20,479.62,480.79,470.91,471.13,720735,LRCX
12/22/20,479.43,481.74,473.4,476.95,966553,LRCX
12/21/20,469.12,484.71,468.74,483.23,1703242,LRCX
12/18/20,484.24,485.71,477.7,480.97,2587675,LRCX
12/17/20,489.64,491.88,482.86,486.24,1433477,LRCX
12/16/20,496.01,496.475,489.28,493.31,1514815,LRCX
12/15/20,500.0,503.25,492.6701,495.33,1185790,LRCX
12/14/20,495.69,500.98,490.175,491.87,1054755,LRCX
12/11/20,488.47,494.28,483.73,491.7,1495006,LRCX
12/10/20,489.95,496.195,484.8,490.15,1303077,LRCX
12/09/20,509.04,514.68,489.724,493.83,1999930,LRCX
12/08/20,505.62,516.65,505.3519,511.66,1328707,LRCX
12/07/20,499.43,509.45,495.35,508.68,1565179,LRCX
12/04/20,486.94,501.6,486.16,499.98,1755149,LRCX
12/03/20,480.14,491.75,479.22,484.07,1595588,LRCX
12/02/20,466.26,480.98,465.55,479.22,1811558,LRCX
12/01/20,460.06,469.49,457.59,467.65,1402121,LRCX
11/30/20,455.2,456.89,445.6,452.66,1434529,LRCX
11/27/20,450.19,460.615,449.82,456.54,727900,LRCX
11/25/20,448.45,449.53,440.5,446.78,849217,LRCX
11/24/20,450.0,451.12,440.75,446.44,1201137,LRCX
11/23/20,436.58,449.8722,435.05,448.74,1089392,LRCX
11/20/20,438.5,444.96,433.375,433.64,1445875,LRCX
11/19/20,428.96,438.87,425.0,437.68,1125015,LRCX
11/18/20,436.11,438.8421,430.0,430.33,1304749,LRCX
11/17/20,435.5,437.82,428.95,431.93,991868,LRCX
11/16/20,430.8,439.65,427.07,439.29,1346707,LRCX
11/13/20,425.23,429.75,424.09,426.31,1136020,LRCX
11/12/20,424.85,426.0,416.35,418.46,950391,LRCX
11/11/20,411.98,428.61,410.0,424.0,1441594,LRCX
11/10/20,409.09,415.74,404.46,407.87,1485557,LRCX
11/09/20,425.0,436.0,415.81,416.28,1935197,LRCX
11/06/20,399.88,412.01,395.85,409.42,1473785,LRCX
11/05/20,390.0,400.34,388.45,399.71,1812919,LRCX
11/04/20,373.89,383.1999,367.28,380.34,1528449,LRCX
11/03/20,356.69199999999995,373.17,355.12,370.53,1716235,LRCX
11/02/20,348.12,354.47,345.18,350.95,1342831,LRCX
10/30/20,348.05,352.72,338.27,342.08,1750141,LRCX
10/29/20,339.02,358.19,338.8036,353.26,1608109,LRCX
10/28/20,336.93,344.54,333.31,338.9,1639242,LRCX
10/27/20,348.53,349.67,342.54,343.83,1075819,LRCX
10/26/20,350.36,353.47,343.3,347.63,1236579,LRCX
10/23/20,360.0,362.5,350.315,353.92,1231672,LRCX
10/22/20,360.36,363.33,353.08,358.01,2233307,LRCX
10/21/20,363.08,371.0,362.015,366.62,1681056,LRCX
10/20/20,366.0,368.51,362.5,363.57,933281,LRCX
10/19/20,367.5,369.6603,362.01,363.57,1358975,LRCX
10/16/20,376.5,376.5,364.65,364.96,1591534,LRCX
10/15/20,362.77,376.3,358.92,375.49,1683004,LRCX
10/14/20,375.32,381.96,370.21,374.235,1414518,LRCX
10/13/20,372.0,378.5,367.4,374.19,1229284,LRCX
10/12/20,369.43,373.39,367.13,370.11,1454858,LRCX
10/09/20,360.9,364.66,359.17,362.71,1196062,LRCX
10/08/20,348.37,355.67,347.0,355.43,1193015,LRCX
10/07/20,347.4,351.5,343.51,345.77,1108422,LRCX
10/06/20,340.96,351.08,339.41,340.98,1425129,LRCX
10/05/20,333.0,343.05,332.61,342.23,1540746,LRCX
10/02/20,329.36,335.8599,328.56,328.71,1196017,LRCX
10/01/20,339.14,339.25,333.14,339.13,1693487,LRCX
09/30/20,335.24,338.23,330.2,331.75,1989476,LRCX
09/29/20,333.92800000000005,342.56,333.785,337.71,1805651,LRCX
09/28/20,331.42,337.85,328.7,336.61,1792770,LRCX
09/25/20,324.72,331.89,322.0,330.27,1551210,LRCX
09/24/20,314.02,334.18,314.02,327.17,2206767,LRCX
09/23/20,322.38,327.59,315.8603,317.02,2228904,LRCX
09/22/20,318.33,319.73,310.1921,318.69,1507635,LRCX
09/21/20,305.08,317.82,300.695,314.96,1880324,LRCX
09/18/20,308.26,310.83,301.89,307.21,2660415,LRCX
09/17/20,296.17,308.59,296.17,305.89,1913606,LRCX
09/16/20,311.67,314.38,305.863,306.6,1415901,LRCX
09/15/20,310.60900000000004,312.817,303.0,308.93,1714344,LRCX
09/14/20,301.77,308.62,299.63,305.42,1954683,LRCX
