Date, Open, High, Low, Close, Volume,ticker
12/24/20,10.0,10.0,9.8,9.86,4775267,LUMN
12/23/20,9.82,9.95,9.8,9.9,9480223,LUMN
12/22/20,9.92,9.99,9.7,9.78,13103270,LUMN
12/21/20,10.03,10.05,9.82,9.92,17636740,LUMN
12/18/20,10.26,10.3691,10.105,10.16,22170811,LUMN
12/17/20,10.36,10.4,10.125,10.25,11629960,LUMN
12/16/20,10.54,10.59,10.28,10.35,9330190,LUMN
12/15/20,10.47,10.57,10.33,10.5,10795390,LUMN
12/14/20,10.37,10.71,10.34,10.42,13700320,LUMN
12/11/20,10.09,10.26,9.99,10.19,11492500,LUMN
12/10/20,10.3,10.39,9.96,10.03,14166350,LUMN
12/09/20,10.38,10.66,10.38,10.45,13571650,LUMN
12/08/20,9.96,10.32,9.76,10.29,16039190,LUMN
12/07/20,10.56,10.74,9.76,9.86,21218320,LUMN
12/04/20,10.53,10.65,10.5016,10.56,8411115,LUMN
12/03/20,10.5,10.62,10.46,10.51,6968181,LUMN
12/02/20,10.56,10.63,10.45,10.5,6176653,LUMN
12/01/20,10.52,10.66,10.45,10.55,11116630,LUMN
11/30/20,10.59,10.6,10.36,10.45,10618830,LUMN
11/27/20,10.6,10.6,10.4,10.46,4241449,LUMN
11/25/20,10.93,10.95,10.66,10.77,9089600,LUMN
11/24/20,10.64,11.02,10.63,10.9,13541760,LUMN
11/23/20,10.16,10.55,10.11,10.47,12037260,LUMN
11/20/20,9.82,10.1,9.81,10.04,14069450,LUMN
11/19/20,9.94,9.94,9.71,9.82,9530193,LUMN
11/18/20,10.21,10.22,9.93,9.94,8031449,LUMN
11/17/20,10.0,10.2,9.88,10.14,9659316,LUMN
11/16/20,9.99,10.145,9.87,10.07,9663430,LUMN
11/13/20,9.63,9.9,9.63,9.85,5632454,LUMN
11/12/20,9.66,9.7,9.46,9.62,8412179,LUMN
11/11/20,9.83,9.86,9.58,9.67,10195080,LUMN
11/10/20,9.25,9.845,9.25,9.79,17308010,LUMN
11/09/20,9.38,9.55,9.16,9.25,19468650,LUMN
11/06/20,9.32,9.39,9.03,9.09,12335630,LUMN
11/05/20,9.28,9.74,9.2,9.28,25046551,LUMN
11/04/20,8.93,9.14,8.71,8.8,17473490,LUMN
11/03/20,8.98,9.19,8.9,9.11,10728320,LUMN
11/02/20,8.73,8.945,8.59,8.88,13357990,LUMN
10/30/20,8.66,8.72,8.51,8.62,11144150,LUMN
10/29/20,8.7,8.78,8.52,8.67,12001630,LUMN
10/28/20,8.9,8.92,8.58,8.71,12436670,LUMN
10/27/20,9.26,9.31,8.96,8.96,12183000,LUMN
10/26/20,9.54,9.5608,9.15,9.25,13554060,LUMN
10/23/20,9.74,9.75,9.55,9.61,7411721,LUMN
10/22/20,9.66,9.72,9.55,9.68,12042870,LUMN
10/21/20,9.57,9.68,9.53,9.66,8940118,LUMN
10/20/20,9.7,9.73,9.52,9.62,8634872,LUMN
10/19/20,9.92,9.92,9.6,9.61,11360960,LUMN
10/16/20,9.88,9.96,9.75,9.86,5226378,LUMN
10/15/20,9.77,9.96,9.61,9.93,7606940,LUMN
10/14/20,9.87,9.92,9.79,9.8,7559961,LUMN
10/13/20,10.0,10.1,9.82,9.88,8923007,LUMN
10/12/20,10.07,10.12,9.96,10.03,8161309,LUMN
10/09/20,10.18,10.26,10.05,10.11,4588441,LUMN
10/08/20,10.11,10.16,10.045,10.13,5846749,LUMN
10/07/20,9.94,10.16,9.85,10.08,9221094,LUMN
10/06/20,10.06,10.19,9.89,9.89,7018555,LUMN
10/05/20,10.08,10.21,9.94,10.06,8382091,LUMN
10/02/20,9.86,10.23,9.8,10.03,7683981,LUMN
10/01/20,10.01,10.17,9.84,9.95,9934924,LUMN
09/30/20,10.23,10.32,9.99,10.09,10412300,LUMN
09/29/20,10.34,10.34,10.15,10.22,4760829,LUMN
09/28/20,10.31,10.44,10.261,10.28,5795726,LUMN
09/25/20,10.05,10.24,9.97,10.21,4969771,LUMN
09/24/20,10.01,10.26,9.92,10.14,7261877,LUMN
09/23/20,10.25,10.37,10.05,10.05,9110690,LUMN
09/22/20,10.26,10.4,10.17,10.26,7852526,LUMN
09/21/20,10.68,10.7,10.17,10.26,11473710,LUMN
09/18/20,10.98,11.14,10.73,10.77,9867851,LUMN
09/17/20,10.85,11.11,10.84,11.0,8538831,LUMN
