Date, Open, High, Low, Close, Volume,ticker
12/24/20,47.0,47.09,45.81,46.28,2973402,LUV
12/23/20,45.47,47.1,45.47,46.75,6474189,LUV
12/22/20,46.0,46.15,44.98,45.32,4566490,LUV
12/21/20,44.76,46.13,44.45,45.8,7656946,LUV
12/18/20,46.22,46.34,45.66,46.03,8398053,LUV
12/17/20,45.8,46.4,45.45,46.39,6368733,LUV
12/16/20,46.42,46.42,45.2699,45.73,6441829,LUV
12/15/20,45.68,46.49,44.9529,46.42,5975746,LUV
12/14/20,46.58,46.6,45.24,45.26,6939733,LUV
12/11/20,46.0,46.59,45.1596,45.88,7638023,LUV
12/10/20,45.09,46.995,45.02,46.8,8322932,LUV
12/09/20,47.34,47.54,45.25,45.76,20733721,LUV
12/08/20,47.3,47.925,47.06,47.28,9132133,LUV
12/07/20,48.34,48.43,47.505,47.89,8097443,LUV
12/04/20,48.37,48.79,47.07,47.59,7615787,LUV
12/03/20,47.95,49.53,47.66,47.82,9892202,LUV
12/02/20,46.88,47.76,46.46,47.44,6054713,LUV
12/01/20,46.55,48.09,46.5,47.27,7547960,LUV
11/30/20,47.65,47.7,46.04,46.34,8791523,LUV
11/27/20,48.25,48.74,47.65,47.73,4051900,LUV
11/25/20,48.47,48.57,47.5,48.27,7281760,LUV
11/24/20,48.9,49.23,47.6491,48.25,12108810,LUV
11/23/20,46.11,46.95,45.28,46.81,10113040,LUV
11/20/20,46.05,46.05,45.035,45.54,6595685,LUV
11/19/20,45.53,46.46,45.41,46.08,6628562,LUV
11/18/20,46.82,47.28,45.6,45.6,11424710,LUV
11/17/20,44.86,46.24,44.43,45.66,8384508,LUV
11/16/20,46.06,46.2,44.54,45.58,14330010,LUV
11/13/20,42.17,44.145,42.11,43.88,7857464,LUV
11/12/20,41.78,43.28,41.4,41.92,11057500,LUV
11/11/20,44.9,44.91,42.66,43.22,10332750,LUV
11/10/20,43.88,45.12,43.33,44.81,16842551,LUV
11/09/20,46.85,49.47,43.79,43.89,30140189,LUV
11/06/20,40.74,40.93,39.77,40.01,5993329,LUV
11/05/20,39.44,41.2489,39.38,41.05,8070248,LUV
11/04/20,38.85,39.65,38.05,38.93,8999852,LUV
11/03/20,39.23,39.4,38.665,38.85,7275288,LUV
11/02/20,39.93,39.94,37.95,38.4,11362010,LUV
10/30/20,39.39,40.2,38.98,39.53,11258520,LUV
10/29/20,38.09,39.87,37.95,39.57,8383606,LUV
10/28/20,38.87,39.38,37.48,38.14,12101010,LUV
10/27/20,40.7,41.02,39.78,39.93,6525138,LUV
10/26/20,42.08,42.475,40.395,41.1,9712881,LUV
10/23/20,42.04,43.39,41.53,42.79,12518730,LUV
10/22/20,40.13,42.55,40.08,41.93,13663910,LUV
10/21/20,40.0,40.17,39.53,39.84,6532598,LUV
10/20/20,40.5,40.9,40.08,40.16,7203938,LUV
10/19/20,40.0,40.75,39.566,39.85,8592233,LUV
10/16/20,39.03,39.885,39.01,39.68,7334812,LUV
10/15/20,38.65,38.9,38.141999999999996,38.8,4496037,LUV
10/14/20,39.25,39.99,39.16,39.25,6908648,LUV
10/13/20,38.7,39.44,38.58,39.13,8839351,LUV
10/12/20,39.49,39.89,39.05,39.19,7378491,LUV
10/09/20,38.94,39.8,38.6,39.73,10501830,LUV
10/08/20,39.0,39.6,38.03,38.99,9138834,LUV
10/07/20,38.0,38.735,37.71,38.59,8679318,LUV
10/06/20,38.97,39.335,37.535,37.58,10136040,LUV
10/05/20,39.16,39.24,38.17,38.49,9304308,LUV
10/02/20,36.14,39.32,36.05,38.76,11937400,LUV
10/01/20,37.96,38.26,37.39,37.93,8186768,LUV
09/30/20,38.33,39.08,37.4,37.5,10144880,LUV
09/29/20,38.05,38.05,37.19,37.61,5263511,LUV
09/28/20,38.07,39.11,37.57,38.24,9235159,LUV
09/25/20,36.41,37.28,36.31,37.1,9297277,LUV
09/24/20,37.03,37.42,35.82,36.86,10798770,LUV
09/23/20,38.39,39.275,37.48,37.55,6797506,LUV
09/22/20,37.35,38.1978,37.11,38.12,10740040,LUV
09/21/20,38.05,38.47,36.75,37.52,14266940,LUV
09/18/20,39.77,40.51,39.31,39.83,21206270,LUV
09/17/20,41.31,41.995,40.085,40.4,15234640,LUV
09/16/20,40.52,42.88,40.275,42.1,19858500,LUV
09/15/20,40.26,40.98,40.1,40.61,10131160,LUV
09/14/20,39.35,40.25,39.063,40.06,9680749,LUV
09/11/20,39.05,39.41,38.68,38.95,8044874,LUV
09/10/20,39.52,39.95,38.865,38.94,9024766,LUV
09/09/20,40.09,40.44,38.81,39.22,12211510,LUV
09/08/20,39.18,40.8,39.18,40.5,15808630,LUV
09/04/20,39.19,40.0699,38.06,39.39,15543430,LUV
09/03/20,39.28,40.655,37.85,38.74,16721369,LUV
09/02/20,38.57,39.34,37.68,39.17,11157420,LUV
09/01/20,36.84,38.67,36.5606,37.91,10884670,LUV
08/31/20,38.75,38.81,37.58,37.58,9824277,LUV
08/28/20,38.11,39.06,37.59,38.81,14082630,LUV
08/27/20,37.54,38.88,37.313,37.65,14342550,LUV
08/26/20,36.91,37.07,36.325,36.38,7938202,LUV
08/25/20,37.43,37.5,36.34,37.06,11774020,LUV
08/24/20,35.29,36.94,34.96,36.91,15211940,LUV
08/21/20,34.3,35.19,34.28,34.69,11435500,LUV
08/20/20,33.65,34.575,33.48,34.46,9149336,LUV
08/19/20,34.91,35.78,34.145,34.27,14959370,LUV
