Date, Open, High, Low, Close, Volume,ticker
12/24/20,57.22,57.49,56.71,57.01,898101,LVS
12/23/20,56.29,57.7,56.29,57.19,2071169,LVS
12/22/20,56.66,56.83,55.875,56.25,2708843,LVS
12/21/20,55.68,57.45,55.215,56.88,3325949,LVS
12/18/20,57.3,57.77,56.45,57.43,5737935,LVS
12/17/20,58.34,58.41,56.76,57.34,3471885,LVS
12/16/20,57.85,57.85,57.01,57.64,2814645,LVS
12/15/20,57.27,58.17,56.26,57.87,3877374,LVS
12/14/20,57.54,57.54,56.285,56.53,4643484,LVS
12/11/20,57.35,57.8,56.31,56.75,3393102,LVS
12/10/20,57.05,58.27,57.05,57.3,3231294,LVS
12/09/20,58.73,58.9,57.36,57.99,3633050,LVS
12/08/20,58.25,59.5,58.21,58.58,2739350,LVS
12/07/20,59.87,59.9,58.545,58.94,3949493,LVS
12/04/20,59.16,60.12,58.85,60.11,4913462,LVS
12/03/20,58.58,59.75,58.1,58.66,5297941,LVS
12/02/20,56.47,58.17,56.2,57.61,4799410,LVS
12/01/20,56.59,57.34,56.09,56.62,3580787,LVS
11/30/20,56.25,56.37,54.895,55.71,4883657,LVS
11/27/20,56.59,57.17,56.45,56.59,1816947,LVS
11/25/20,57.9,58.2,56.36,56.54,6092285,LVS
11/24/20,57.92,58.86,57.35,58.08,5015717,LVS
11/23/20,56.07,57.0,54.87,56.69,5988433,LVS
11/20/20,58.03,58.35,55.85,55.9,7511521,LVS
11/19/20,57.35,58.78,56.8,58.56,3631857,LVS
11/18/20,57.37,58.39,56.8,57.33,2884977,LVS
11/17/20,57.63,58.28,56.8,57.5,3541835,LVS
11/16/20,59.98,60.2,58.14,58.38,7886583,LVS
11/13/20,55.77,58.35,55.28,58.28,5945855,LVS
11/12/20,55.64,56.96,55.11,55.56,5684493,LVS
11/11/20,58.91,58.91,56.61,56.95,6309096,LVS
11/10/20,58.35,59.4,57.07,58.57,8732631,LVS
11/09/20,59.97,60.88,55.83,57.87,16292110,LVS
11/06/20,52.24,53.25,51.42,52.98,5059674,LVS
11/05/20,50.02,52.8,49.94,52.6,8837115,LVS
11/04/20,48.9,51.11,48.45,49.91,4409848,LVS
11/03/20,49.64,50.14,48.835,49.02,4207487,LVS
11/02/20,48.71,49.65,48.18,49.17,5287042,LVS
10/30/20,47.19,48.4,46.96,48.06,5209325,LVS
10/29/20,46.75,48.275,46.65,47.84,4205485,LVS
10/28/20,46.98,47.86,46.44,46.86,5942786,LVS
10/27/20,49.81,50.45,47.97,48.29,6498536,LVS
10/26/20,49.95,50.33,48.79,49.13,5168855,LVS
10/23/20,49.8,50.98,49.59,50.68,6652265,LVS
10/22/20,49.19,50.25,48.22,49.81,13420800,LVS
10/21/20,45.88,46.47,45.66,45.94,4001627,LVS
10/20/20,45.03,46.48,44.86,46.2,4661855,LVS
10/19/20,45.25,46.28,44.85,44.96,8732284,LVS
10/16/20,45.81,46.24,45.0,45.37,3108199,LVS
10/15/20,44.5,45.78,44.36,45.74,6625193,LVS
10/14/20,44.92,45.6,44.84,44.98,4072696,LVS
10/13/20,45.52,45.88,44.08,44.81,5338012,LVS
10/12/20,45.65,46.49,45.61,46.17,4964700,LVS
10/09/20,46.18,46.3719,45.1,45.72,7820370,LVS
10/08/20,46.4,46.66,45.93,46.11,4378636,LVS
10/07/20,46.96,47.1,46.11,46.18,3655378,LVS
10/06/20,46.64,48.05,46.29,46.42,4915557,LVS
10/05/20,46.15,46.28,44.95,46.22,7117067,LVS
10/02/20,45.19,46.6048,44.77,46.15,4278728,LVS
10/01/20,46.46,46.93,45.92,46.22,3379792,LVS
09/30/20,47.11,47.67,46.31,46.66,3064144,LVS
09/29/20,47.57,47.69,46.33,46.72,2504797,LVS
09/28/20,47.57,48.129,47.2,47.62,2843030,LVS
09/25/20,45.74,47.205,45.41,46.96,4663797,LVS
09/24/20,44.86,45.97,44.06,45.91,6974670,LVS
09/23/20,46.56,47.49,44.96,45.04,4477672,LVS
09/22/20,46.51,47.38,45.88,46.25,4131750,LVS
09/21/20,46.88,47.21,45.18,46.44,6518366,LVS
09/18/20,49.07,49.76,48.73,49.0,7615628,LVS
09/17/20,48.84,49.32,48.57,49.08,5451924,LVS
09/16/20,51.54,51.77,47.2306,49.67,12559650,LVS
09/15/20,53.25,53.51,51.81,51.85,5173718,LVS
09/14/20,52.16,53.19,52.1101,53.1,4281808,LVS
09/11/20,52.95,53.14,51.26,51.91,5678084,LVS
09/10/20,51.35,53.1,50.91,52.32,5980617,LVS
09/09/20,51.67,51.81,50.51,50.84,4342008,LVS
09/08/20,51.03,52.45,50.6,51.67,8702165,LVS
09/04/20,51.4,52.45,50.96,51.96,7735085,LVS
09/03/20,51.51,52.27,49.92,50.63,5820525,LVS
09/02/20,49.7,51.64,49.6,51.33,6872539,LVS
09/01/20,50.73,51.32,49.58,49.65,7728638,LVS
08/31/20,52.06,52.1,50.71,50.71,5732322,LVS
08/28/20,51.14,52.96,50.67,52.16,6978248,LVS
08/27/20,49.9,51.285,49.81,50.53,4932226,LVS
08/26/20,50.0,50.195,49.1,49.86,3755820,LVS
08/25/20,50.18,50.8,49.6314,49.96,3833061,LVS
08/24/20,48.72,49.9,47.72,49.81,5074144,LVS
08/21/20,48.15,49.37,47.86,48.52,6626343,LVS
08/20/20,46.91,47.79,46.62,47.46,2930159,LVS
08/19/20,48.15,48.48,47.22,47.47,3587336,LVS
08/18/20,47.63,48.105,47.21,47.69,3495055,LVS
08/17/20,48.2,48.39,47.51,47.72,4360990,LVS
08/14/20,48.09,48.73,47.8,48.37,5896962,LVS
08/13/20,48.49,49.11,47.98,48.62,4557633,LVS
08/12/20,51.39,51.515,48.585,49.07,5334499,LVS
08/11/20,49.55,51.41,49.39,51.0,18750359,LVS
08/10/20,46.45,48.255,46.33,47.52,10497060,LVS
08/07/20,44.75,44.96,43.5,44.2,5886267,LVS
08/06/20,43.12,45.62,42.68,45.22,9063175,LVS
08/05/20,44.24,44.86,42.95,43.34,5467258,LVS
08/04/20,44.03,44.265,43.33,43.73,4017947,LVS
08/03/20,43.18,44.53,42.58,44.0,4364250,LVS
07/31/20,45.14,45.17,43.14,43.64,4675582,LVS
07/30/20,44.41,45.75,44.24,45.5,6033046,LVS
07/29/20,44.15,45.13,43.365,44.32,4649374,LVS
07/28/20,43.19,44.795,43.15,44.22,7858844,LVS
07/27/20,43.86,44.205,42.69,43.48,6681008,LVS
07/24/20,44.25,44.95,43.81,44.36,5408190,LVS
07/23/20,45.49,45.98,44.25,44.88,10920810,LVS
07/22/20,47.64,48.08,46.6,46.84,7445959,LVS
07/21/20,47.93,48.98,47.58,48.0,4818676,LVS
07/20/20,48.0,48.57,46.55,47.28,4612210,LVS
07/17/20,49.87,49.87,48.28,48.69,3258800,LVS
07/16/20,49.43,49.96,48.91,49.71,4029971,LVS
07/15/20,49.03,50.45,48.65,50.25,6613834,LVS
07/14/20,47.85,47.9,46.54,47.39,6821311,LVS
07/13/20,46.57,50.095,45.22,48.53,11272960,LVS
07/10/20,44.5,45.78,44.2535,45.72,3594684,LVS
07/09/20,45.56,45.63,43.71,44.68,3836207,LVS
07/08/20,45.01,45.92,44.18,45.61,3999627,LVS
07/07/20,46.19,46.35,44.98,45.03,5096449,LVS
07/06/20,47.6,48.37,45.64,47.07,7295049,LVS
07/02/20,46.08,46.9664,45.56,46.34,4753277,LVS
07/01/20,45.65,46.64,44.83,45.04,3948767,LVS
06/30/20,43.78,45.72,43.64,45.54,5571305,LVS
06/29/20,43.52,44.94,42.88,44.65,7519301,LVS
06/26/20,44.72,44.84,43.01,43.33,8054984,LVS
06/25/20,44.0,45.15,43.03,44.99,10547730,LVS
06/24/20,46.39,46.67,44.25,44.94,7658114,LVS
06/23/20,47.0,47.005,46.35,46.88,5939701,LVS
06/22/20,46.78,46.89,45.11,46.29,9069481,LVS
06/19/20,49.09,49.15,47.05,47.19,8858174,LVS
06/18/20,48.39,49.2,47.96,48.2,5573377,LVS
06/17/20,49.19,49.56,48.26,48.9,4128471,LVS
06/16/20,51.28,51.38,47.75,49.4,8029904,LVS
06/15/20,47.9,49.67,47.75,49.06,5160682,LVS
06/12/20,51.35,51.36,48.6,49.87,5830765,LVS
06/11/20,48.48,50.36,48.17,49.09,8932712,LVS
06/10/20,53.01,53.63,51.68,51.77,5501010,LVS
06/09/20,54.78,54.79,53.04,53.66,4806948,LVS
06/08/20,54.75,55.73,53.63,55.64,7497619,LVS
06/05/20,56.0,56.02,52.445,52.97,11569330,LVS
06/04/20,53.86,53.92,49.06,52.35,18911750,LVS
06/03/20,48.77,52.17,48.69,51.79,11830530,LVS
06/02/20,49.11,49.26,47.3,47.79,9112070,LVS
06/01/20,48.52,49.76,47.62,49.03,6804177,LVS
05/29/20,47.68,48.68,46.78,47.94,7963893,LVS
