Date, Open, High, Low, Close, Volume,ticker
12/24/20,90.72,90.76,89.46,90.61,255746,LYB
12/23/20,90.62,92.26,90.17,90.63,902706,LYB
12/22/20,90.17,90.62,89.29,89.81,1161328,LYB
12/21/20,88.52,90.5725,87.91,90.39,1448126,LYB
12/18/20,90.42,91.55,89.95,90.93,3099864,LYB
12/17/20,90.0,90.47,89.37,90.1,1140821,LYB
12/16/20,88.84,89.51,87.7507,89.08,1133941,LYB
12/15/20,88.43,89.18,87.05,89.01,971489,LYB
12/14/20,89.95,89.95,87.07,87.1,1327446,LYB
12/11/20,87.31,88.85,86.82,88.5,1786278,LYB
12/10/20,88.28,88.94,87.62,88.21,2561102,LYB
12/09/20,88.47,89.94,87.46700000000001,88.54,1177037,LYB
12/08/20,86.7,88.82,86.245,87.89,1101822,LYB
12/07/20,89.0,89.0,86.94,87.11,1640910,LYB
12/04/20,86.5,89.58,86.235,89.26,1903410,LYB
12/03/20,85.74,86.435,85.3,85.63,2622710,LYB
12/02/20,84.95,86.17,84.64,85.92,1563452,LYB
12/01/20,87.0,87.0,84.9477,85.76,2237384,LYB
11/30/20,86.91,87.45,84.76,85.1,3826992,LYB
11/27/20,87.9,89.06,86.92,87.86,884405,LYB
11/25/20,90.06,90.06,87.81,89.33,1920985,LYB
11/24/20,87.35,91.2,87.055,90.85,3862948,LYB
11/23/20,82.88,85.66,82.27,85.17,1897163,LYB
11/20/20,81.59,82.0,80.82,81.65,2574987,LYB
11/19/20,81.36,82.26,80.12,82.23,2243045,LYB
11/18/20,81.33,83.6486,81.04,82.2,3018160,LYB
11/17/20,78.72,81.05,77.65,81.03,2151281,LYB
11/16/20,78.85,79.9,77.14,79.67,1729408,LYB
11/13/20,73.34,77.03,72.95,76.64,2499510,LYB
11/12/20,76.44,76.98,73.51,74.34,2697919,LYB
11/11/20,82.35,82.35,77.11,77.16,3071554,LYB
11/10/20,80.38,82.53,79.51,81.37,3638377,LYB
11/09/20,79.825,84.23,77.09,79.39,3437440,LYB
11/06/20,74.67,75.57,72.04,72.67,2074055,LYB
11/05/20,70.72,75.16199999999999,70.5956,74.21,1730738,LYB
11/04/20,72.81,72.81,69.47,69.56,1524134,LYB
11/03/20,73.03,73.37,71.4,72.86,1617064,LYB
11/02/20,69.33,72.41,68.11,71.91,2989717,LYB
10/30/20,70.44,71.29,66.72,68.45,3708201,LYB
10/29/20,69.06,72.53,68.74,72.21,2290190,LYB
10/28/20,71.14,72.34,69.23,69.33,2630011,LYB
10/27/20,74.72,75.08,73.25,73.37,1768281,LYB
10/26/20,75.7,76.02,74.55,75.43,1751771,LYB
10/23/20,77.91,78.57,76.76,76.9,993835,LYB
10/22/20,76.96,77.415,74.79,77.08,1412621,LYB
10/21/20,77.17,77.99,76.2,76.59,1285577,LYB
10/20/20,77.82,78.89,77.58,77.83,902527,LYB
10/19/20,77.36,79.48,76.78,77.05,1256036,LYB
10/16/20,77.66,78.39,76.34,77.01,1693149,LYB
10/15/20,76.42,77.79,75.52,76.99,2032589,LYB
10/14/20,76.48,78.95,76.48,78.0,1793610,LYB
10/13/20,77.15,77.47,75.43,76.69,2238576,LYB
