Date, Open, High, Low, Close, Volume,ticker
12/24/20,330.65,336.37,330.35,336.0,1308938,MA
12/23/20,334.13,335.21,329.03,329.23,2760577,MA
12/22/20,334.16,335.22,331.6,332.24,2404432,MA
12/21/20,333.21,336.15,327.24,334.37,3642516,MA
12/18/20,336.51,341.6,334.35,340.33,8443730,MA
12/17/20,334.54,338.33,333.4,336.9,2725483,MA
12/16/20,333.96,334.0,329.25,332.1,3393284,MA
12/15/20,333.16,335.217,327.62,333.65,3106678,MA
12/14/20,329.0,338.75,327.59,331.15,3552615,MA
12/11/20,327.09,331.565,325.53,327.42,4178111,MA
12/10/20,334.65,335.535,331.19,331.52,3506826,MA
12/09/20,340.41,341.71,334.69,336.85,2962586,MA
12/08/20,338.28,342.83,336.7,340.79,2224649,MA
12/07/20,343.36,347.99,340.05,340.96,2389808,MA
12/04/20,336.92,344.3548,335.8,344.35,4323636,MA
12/03/20,338.56,342.315,334.12,335.14,3080295,MA
12/02/20,336.78,340.24,334.0,340.22,2972421,MA
12/01/20,339.67,342.6299,337.62,338.88,4210598,MA
11/30/20,337.66,338.045,330.18,336.51,4276207,MA
11/27/20,342.83,342.88,337.61,339.07,1402271,MA
11/25/20,343.71,343.71,339.3409,341.32,2535198,MA
11/24/20,336.91,344.11,334.115,342.39,3530834,MA
11/23/20,326.21,333.2,324.37,332.04,3220817,MA
11/20/20,334.78,335.155,323.0,323.0,4144864,MA
11/19/20,335.49,339.16,331.42,333.88,2718742,MA
11/18/20,336.53,340.95,334.855,335.94,3203424,MA
11/17/20,333.17,337.77,330.72,336.5,3412853,MA
11/16/20,341.8,342.65,333.17,335.45,3313117,MA
11/13/20,330.3,336.11,327.34,335.03,2393997,MA
11/12/20,329.06,333.09,326.295,328.29,3208585,MA
11/11/20,337.41,337.7,331.07,332.39,2969922,MA
11/10/20,339.99,345.86,333.44,334.78,5330365,MA
11/09/20,346.92,357.0,340.9,344.56,10933690,MA
11/06/20,315.98,316.49,310.09,313.64,2978524,MA
11/05/20,315.14,319.35,313.58,316.53,3794406,MA
11/04/20,305.09,312.7199,302.24,307.2,4790140,MA
11/03/20,294.45,300.34,291.78,295.39,4097715,MA
11/02/20,294.24,294.8372,288.12,289.97,5095018,MA
10/30/20,289.85,291.85,281.2,288.64,6893575,MA
10/29/20,293.2,295.3,287.55,293.18,9582260,MA
10/28/20,301.69,302.0,288.6,291.38,11518250,MA
10/27/20,318.9,319.555,312.355,317.11,4314917,MA
10/26/20,326.41,327.24,314.23,318.06,5173344,MA
10/23/20,335.69,335.69,328.31,329.61,2945459,MA
10/22/20,333.37,335.375,329.25,333.6,2256296,MA
10/21/20,332.49,336.32,331.3,333.42,2725252,MA
10/20/20,333.04,336.8,331.68,331.72,2679689,MA
10/19/20,340.12,341.3,330.43,331.67,2937563,MA
10/16/20,340.0,344.9787,339.23,339.4,3326354,MA
10/15/20,338.3,339.61,332.815,338.57,3728078,MA
10/14/20,345.76,347.19,341.19,342.7,2234659,MA
10/13/20,351.43,351.5,345.02,345.84,2523751,MA
10/12/20,355.0,355.0,350.82,352.04,2943192,MA
10/09/20,347.99,353.36,347.0,352.39,3116763,MA
10/08/20,345.01,347.69,344.24,345.15,1991848,MA
10/07/20,341.78,344.65,340.335,343.9,3068268,MA
10/06/20,342.06,346.36,336.22,337.43,2553410,MA
10/05/20,341.68,343.25,338.97,343.25,2081554,MA
10/02/20,338.27,342.61,336.01,338.83,2184840,MA
10/01/20,342.24,346.7,340.28,343.37,2503643,MA
09/30/20,336.7,343.65,336.42,338.17,3285410,MA
09/29/20,338.39,340.72,335.82,336.23,2703855,MA
09/28/20,336.61,340.57,335.81,338.39,3122503,MA
09/25/20,325.65,333.48,322.1,331.78,3077606,MA
09/24/20,323.2,330.78,321.18,328.21,3706328,MA
09/23/20,334.84,335.17,323.47,324.53,2893892,MA
09/22/20,329.51,336.03,325.11,335.31,3375282,MA
09/21/20,329.47,331.67,320.81,327.85,4466047,MA
09/18/20,338.21,341.135,333.37,335.26,4006023,MA
09/17/20,337.14,343.72,336.0,339.43,3713239,MA
09/16/20,341.28,346.04,339.785,341.85,3049084,MA
09/15/20,342.74,343.93,338.53,339.14,2396398,MA
09/14/20,334.97,340.0,334.02,338.6,3416441,MA
09/11/20,334.71,334.71,327.31,330.15,2920670,MA
09/10/20,342.5,345.13,331.14,332.88,2845917,MA
09/09/20,337.39,342.76,332.37,339.64,3344928,MA
09/08/20,328.76,335.71,326.9,329.88,4425652,MA
09/04/20,343.0,346.99,326.5501,335.01,6571423,MA
09/03/20,358.47,358.94,341.26,343.84,6297442,MA
09/02/20,357.39,361.6,356.2811,360.7,4127221,MA
09/01/20,357.71,359.44,353.56,356.9,4412230,MA
08/31/20,366.63,366.63,357.6898,358.19,3948240,MA
08/28/20,357.48,367.25,356.16,366.12,3544720,MA
08/27/20,351.73,358.0,350.58,356.0,3811724,MA
08/26/20,348.0,352.29,345.5,351.02,3511970,MA
08/25/20,344.71,348.46,343.33,347.66,2862965,MA
08/24/20,339.36,343.83,338.75,343.64,2753906,MA
08/21/20,338.0,338.8,335.97,337.1,2681080,MA
08/20/20,330.19,338.0,330.19,337.32,2966407,MA
08/19/20,330.04,334.4599,330.0,332.4,3420991,MA
08/18/20,330.2,331.4,326.3501,331.0,3022140,MA
08/17/20,327.0,331.23,326.675,330.23,2904051,MA
08/14/20,325.67,327.64,324.81,326.8,1444904,MA
08/13/20,325.93,329.8306,325.6237,326.19,2527126,MA
08/12/20,328.66,331.4,326.2,327.63,3126682,MA
08/11/20,325.0,334.55,323.58,328.54,5273319,MA
08/10/20,327.19,329.74,321.857,322.88,3752382,MA
08/07/20,328.0,328.33,323.93,328.02,3662668,MA
08/06/20,327.4,331.215,325.9,330.14,4839813,MA
08/05/20,316.37,329.68,315.87,328.0,5799100,MA
08/04/20,312.5,315.69,311.1,314.39,3409339,MA
08/03/20,311.0,313.5,309.3,312.59,3908500,MA
07/31/20,310.0,310.09,305.6101,308.53,4684553,MA
07/30/20,304.0,312.82,303.04,309.0,3941573,MA
07/29/20,304.5,311.66,304.12,309.3,3542405,MA
07/28/20,308.5,310.2,306.03,306.33,2116279,MA
07/27/20,307.06,310.0,306.0234,308.86,2311575,MA
07/24/20,306.48,310.73,304.54,306.92,2500686,MA
07/23/20,313.55,317.24,308.72,309.9,3118539,MA
07/22/20,308.13,313.57,308.13,313.37,3303094,MA
07/21/20,313.0,314.045,306.3,307.6,3563246,MA
07/20/20,301.92,314.99,301.92,311.96,5279419,MA
07/17/20,301.73,305.24,299.41,304.06,3170227,MA
07/16/20,302.97,303.53,298.91,299.35,3312109,MA
07/15/20,303.0,306.775,301.39,305.72,5257336,MA
07/14/20,292.0,299.1,288.6501,298.95,4795870,MA
07/13/20,297.86,298.62,290.0229,290.18,4853693,MA
07/10/20,294.0,296.96,291.5,295.68,3030945,MA
07/09/20,299.62,300.72,290.56,294.59,5043174,MA
07/08/20,300.91,301.54,297.4,300.15,4115338,MA
07/07/20,303.19,307.79,299.4,299.91,3633458,MA
07/06/20,306.65,307.3154,303.17,305.57,3013275,MA
07/02/20,304.33,306.89,301.31,302.42,3290139,MA
