Date, Open, High, Low, Close, Volume,ticker
12/24/20,123.05,124.61,122.97,124.6,98008,MAA
12/23/20,125.77,126.25,122.58,122.66,602842,MAA
12/22/20,124.6,125.4,123.57,125.28,605968,MAA
12/21/20,122.57,124.98,122.33,124.6,853728,MAA
12/18/20,126.08,126.28,123.41,124.04,1942613,MAA
12/17/20,124.17,126.2,123.065,125.59,858104,MAA
12/16/20,123.86,125.13,122.53,123.41,684203,MAA
12/15/20,121.85,123.54,120.5,123.54,532006,MAA
12/14/20,122.8,123.7,121.13,121.44,477455,MAA
12/11/20,119.21,121.97,119.21,121.66,716415,MAA
12/10/20,122.13,122.67,119.75,120.18,629635,MAA
12/09/20,124.48,125.07,121.0,122.9,747918,MAA
12/08/20,124.75,125.49,123.69,123.93,533600,MAA
12/07/20,124.71,126.1124,124.65,125.32,430990,MAA
12/04/20,123.99,125.42,123.57,125.13,610314,MAA
12/03/20,123.8,124.875,123.33,123.65,736729,MAA
12/02/20,124.71,127.475,123.25,123.73,536938,MAA
12/01/20,126.16,126.32,123.67,124.59,818819,MAA
11/30/20,124.0,126.3,122.45,126.16,2082825,MAA
11/27/20,124.78,124.78,122.64,124.0,314239,MAA
11/25/20,125.57,126.31,124.41,125.03,422982,MAA
11/24/20,125.2,127.31,124.84,125.88,580485,MAA
11/23/20,126.74,126.89,123.53,123.77,721728,MAA
11/20/20,125.91,126.49,124.92,126.18,577826,MAA
11/19/20,125.31,126.72,123.43,126.14,691949,MAA
11/18/20,131.19,131.97,126.06,126.07,434087,MAA
11/17/20,131.25,132.09,129.965,130.91,482390,MAA
11/16/20,135.52,136.28,131.22,132.3,647624,MAA
11/13/20,129.17,132.875,128.645,132.35,543155,MAA
11/12/20,130.46,130.67,127.43,128.75,569262,MAA
11/11/20,130.84,131.3,128.71,131.22,682533,MAA
11/10/20,126.06,130.19,125.77,130.16,821484,MAA
11/09/20,130.76,137.54,125.55,125.61,1211187,MAA
11/06/20,124.03,125.0,122.07,122.67,481448,MAA
11/05/20,122.78,124.7,121.78,124.03,632291,MAA
11/04/20,123.28,124.84,121.7,122.72,385215,MAA
11/03/20,121.0,123.95,120.575,123.32,594781,MAA
11/02/20,117.19,119.84,116.48,119.84,725016,MAA
10/30/20,113.45,116.77,113.45,116.63,574787,MAA
10/29/20,112.44,115.01,110.53,113.53,609734,MAA
10/28/20,113.28,114.83,111.6706,112.43,703415,MAA
10/27/20,116.7,117.55,114.84,114.86,379733,MAA
10/26/20,117.78,118.13,115.42,117.13,387425,MAA
10/23/20,119.51,119.94,118.29,118.71,358619,MAA
