Date, Open, High, Low, Close, Volume,ticker
12/24/20,56.61,56.83,56.23,56.79,674605,MAS
12/23/20,56.54,57.01,56.17,56.23,1609470,MAS
12/22/20,55.85,57.24,55.83,56.63,2295932,MAS
12/21/20,54.93,55.98,54.42,55.77,2062001,MAS
12/18/20,55.06,55.74,54.87,55.59,3934287,MAS
12/17/20,54.59,55.8,54.41,55.28,1593579,MAS
12/16/20,54.89,55.91,54.46,54.51,2478571,MAS
12/15/20,55.12,55.3,54.49,54.75,2147479,MAS
12/14/20,54.46,55.29,54.46,55.06,2966311,MAS
12/11/20,54.26,55.14,54.1,54.35,3289132,MAS
12/10/20,53.84,54.5,53.14,54.46,3085516,MAS
12/09/20,52.76,54.07,52.36,54.05,3145920,MAS
12/08/20,52.56,52.74,52.04,52.13,1983023,MAS
12/07/20,51.88,52.675,51.69,52.63,2493395,MAS
12/04/20,52.2,52.36,51.53,51.59,2174971,MAS
12/03/20,51.71,52.69,51.55,52.06,1808103,MAS
12/02/20,53.55,53.81,51.58,51.82,2878435,MAS
12/01/20,54.16,54.69,53.76,53.83,2808276,MAS
11/30/20,53.91,54.43,52.99,53.67,2379890,MAS
11/27/20,54.29,54.7,53.89,54.24,763245,MAS
11/25/20,54.64,55.01,53.62,54.16,1374417,MAS
11/24/20,55.5,55.74,54.5642,54.63,2254032,MAS
11/23/20,54.9,55.395,54.23,55.2,1488788,MAS
11/20/20,55.13,55.24,54.0,54.6,1638571,MAS
11/19/20,54.76,55.86,54.655,55.24,984969,MAS
11/18/20,55.8,55.86,54.56,55.03,1696137,MAS
11/17/20,55.13,56.03,54.62,55.72,1656059,MAS
11/16/20,55.54,56.1,55.03,55.29,1783913,MAS
11/13/20,54.45,55.49,54.44,55.15,1331802,MAS
11/12/20,54.53,54.92,53.7,54.08,1609338,MAS
11/11/20,54.06,54.76,53.34,54.65,2446006,MAS
11/10/20,53.62,54.375,52.99,53.57,3255948,MAS
11/09/20,60.02,60.05,53.72,53.74,3089416,MAS
11/06/20,57.89,58.23,57.195,58.07,2002795,MAS
11/05/20,58.2,58.785,57.58,57.67,1384482,MAS
11/04/20,56.13,58.16,55.575,57.32,1672937,MAS
11/03/20,55.29,56.33,55.05,55.96,1355198,MAS
11/02/20,54.17,55.16,53.93,54.74,1802494,MAS
10/30/20,53.99,54.4,52.14,53.6,2374733,MAS
10/29/20,53.99,54.41,52.89,53.97,1997969,MAS
10/28/20,53.23,56.64,52.74,53.77,3158633,MAS
10/27/20,54.12,54.16,52.87,53.57,2629647,MAS
10/26/20,54.21,54.31,53.05,53.95,1929314,MAS
10/23/20,55.74,55.9,54.24,54.76,2142200,MAS
10/22/20,56.22,56.69,55.42,55.44,1403414,MAS
10/21/20,56.11,56.93,55.84,56.11,1389827,MAS
10/20/20,56.3,57.04,56.01,56.18,1444036,MAS
