Date, Open, High, Low, Close, Volume,ticker
12/24/20,212.12,212.74,211.14,211.39,1047650,MCD
12/23/20,212.3,213.4338,211.79,212.02,1658765,MCD
12/22/20,211.2,212.905,210.37,211.92,2773709,MCD
12/21/20,210.62,212.55,208.01,211.67,4342480,MCD
12/18/20,215.15,216.85,213.82,215.08,7929060,MCD
12/17/20,215.39,215.785,213.53,214.25,2558810,MCD
12/16/20,214.88,217.51,213.66,213.8,2681984,MCD
12/15/20,213.22,216.21,212.7392,214.86,3799294,MCD
12/14/20,210.73,214.74,210.21,211.92,4744960,MCD
12/11/20,207.47,208.94,206.73,207.76,2770817,MCD
12/10/20,208.5,208.76,207.07,208.04,2956368,MCD
12/09/20,209.49,209.5271,207.33,208.69,3011056,MCD
12/08/20,206.55,209.1,206.41,208.39,2709447,MCD
12/07/20,208.53,209.11,206.19,208.89,3826001,MCD
12/04/20,211.6,213.38,210.1,210.74,3151060,MCD
12/03/20,210.94,213.23,210.5581,211.51,3732543,MCD
12/02/20,214.0,214.4,209.13,210.86,6223661,MCD
12/01/20,218.88,218.93,215.53,216.14,4226275,MCD
11/30/20,216.46,217.57,214.43,217.44,3413588,MCD
11/27/20,219.02,220.4,217.66,218.33,1394366,MCD
11/25/20,219.98,220.59,217.92,219.34,1889200,MCD
11/24/20,219.01,221.25,218.25,219.71,3872224,MCD
11/23/20,215.14,217.6,214.65,217.0,3011272,MCD
11/20/20,214.39,215.215,213.625,214.09,3932954,MCD
11/19/20,214.84,215.48,213.33,215.11,2840460,MCD
11/18/20,216.1,217.84,215.41,215.52,3095154,MCD
11/17/20,215.6,217.39,214.02,216.01,2443547,MCD
11/16/20,215.5,216.75,213.6301,216.73,3702131,MCD
11/13/20,213.76,214.39,212.34,213.28,3072628,MCD
11/12/20,217.56,217.82,210.88,213.07,4257495,MCD
11/11/20,214.81,219.25,214.3,218.02,4127212,MCD
11/10/20,215.75,215.99,211.34,213.32,4255577,MCD
11/09/20,226.79,227.8477,207.17,213.22,7981211,MCD
11/06/20,216.0,217.885,214.25,216.56,3916076,MCD
11/05/20,216.07,218.2,214.68,216.31,3622023,MCD
11/04/20,215.0,219.47,213.3,214.87,3360836,MCD
11/03/20,215.59,218.1,213.95,216.8,2615017,MCD
11/02/20,215.88,216.32,210.79,212.56,2983362,MCD
10/30/20,213.6,215.22,209.905,213.0,3451419,MCD
10/29/20,214.69,217.65,213.07,214.95,2477582,MCD
10/28/20,218.39,220.5916,214.46,214.69,3273074,MCD
10/27/20,224.47,225.23,222.72,222.97,1801922,MCD
10/26/20,226.78,227.25,220.97,224.27,2538058,MCD
10/23/20,230.41,230.41,227.8,228.71,2278124,MCD
10/22/20,227.76,229.4,226.875,229.15,1961450,MCD
10/21/20,227.23,229.49,227.21,228.19,1518200,MCD
10/20/20,226.74,230.0,226.43,227.45,1883639,MCD
10/19/20,229.55,231.02,225.17,226.0,2009635,MCD
10/16/20,229.77,231.91,229.1501,229.37,2162939,MCD
10/15/20,226.15,230.0,225.59,229.64,2178247,MCD
10/14/20,228.41,229.4803,227.35,227.62,1862687,MCD
10/13/20,225.7,228.58,224.93,227.35,2098972,MCD
10/12/20,224.81,226.51,223.12,226.11,2412627,MCD
10/09/20,226.94,227.22,223.12,224.83,3237709,MCD
10/08/20,226.09,227.08,224.29,225.8,3195785,MCD
10/07/20,225.58,228.41,225.125,226.48,1972777,MCD
10/06/20,226.83,228.66,223.6,224.09,2453627,MCD
10/05/20,224.86,226.5,224.01,226.07,2913824,MCD
10/02/20,217.51,223.3499,217.1,222.67,3833110,MCD
10/01/20,221.59,223.0,217.79,219.59,2443348,MCD
09/30/20,218.87,222.2,218.41,219.49,3034100,MCD
09/29/20,220.42,220.955,218.4783,218.68,1732275,MCD
09/28/20,220.0,221.98,219.02,220.26,2112107,MCD
09/25/20,215.3,219.25,213.65,218.18,2196831,MCD
09/24/20,214.75,218.41,213.59,216.12,1727041,MCD
09/23/20,217.67,219.685,214.24,214.97,2777715,MCD
09/22/20,216.43,216.96,214.55,216.41,2475978,MCD
09/21/20,217.14,218.045,213.4,216.41,2831750,MCD
09/18/20,221.62,223.57,220.13,220.27,3861750,MCD
09/17/20,223.7,223.73,220.5,222.58,3376985,MCD
09/16/20,222.17,226.72,221.3,224.81,3464160,MCD
09/15/20,221.76,223.64,221.4,222.37,2640872,MCD
09/14/20,219.72,222.59,219.34,220.56,2544140,MCD
09/11/20,217.69,219.18,216.28,218.0,3616483,MCD
09/10/20,215.72,219.48,215.72,217.24,3325601,MCD
09/09/20,215.0,218.17,214.44,215.71,3213195,MCD
09/08/20,211.18,216.3,211.06,213.58,4107917,MCD
09/04/20,215.29,217.78,210.76,211.73,3828823,MCD
09/03/20,218.11,218.11,211.9,213.8,3126675,MCD
09/02/20,213.25,217.13,212.69,216.23,4091998,MCD
09/01/20,210.84,213.61,210.5816,212.69,2926889,MCD
08/31/20,213.52,214.99,212.81,213.52,2900867,MCD
08/28/20,212.82,216.71,211.77,214.91,3212491,MCD
08/27/20,214.34,216.1,212.1,212.19,3226762,MCD
08/26/20,212.09,214.42,211.6,213.76,2316855,MCD
08/25/20,213.96,214.185,212.22,212.65,2302456,MCD
08/24/20,212.26,213.5,210.93,212.62,2463937,MCD
08/21/20,209.96,212.185,209.26,211.57,3484853,MCD
08/20/20,208.12,210.99,208.1,209.88,2085063,MCD
08/19/20,210.22,211.17,208.64,209.51,2711113,MCD
08/18/20,209.26,210.43,207.23,210.32,2921676,MCD
08/17/20,206.94,209.5,206.85,208.67,2619046,MCD
08/14/20,205.95,207.33,205.2,207.03,2060237,MCD
08/13/20,205.96,207.25,205.35,206.49,1795023,MCD
08/12/20,206.86,207.4,205.38,206.02,2167353,MCD
08/11/20,205.0,207.42,204.25,205.0,2478383,MCD
08/10/20,204.35,205.16,202.5367,204.12,2783695,MCD
08/07/20,203.36,205.16,203.285,204.6,2979950,MCD
08/06/20,198.78,203.6,198.37,203.18,3159323,MCD
08/05/20,200.0,200.5,197.91,199.26,2281830,MCD
08/04/20,194.95,199.7,194.34,199.36,3700233,MCD
08/03/20,194.33,195.6,193.59,194.4,3143754,MCD
07/31/20,194.15,194.675,191.6403,194.28,3195486,MCD
07/30/20,195.0,196.4019,192.9201,195.41,2705661,MCD
07/29/20,196.3,198.46,195.71,196.21,3342859,MCD
07/28/20,198.6,199.89,195.5,196.24,6051015,MCD
07/27/20,199.04,202.52,198.71,201.25,4541727,MCD
07/24/20,196.89,198.91,195.725,198.72,2200026,MCD
07/23/20,198.46,199.27,196.01,197.55,2702178,MCD
07/22/20,193.21,199.65,193.05,198.62,3484707,MCD
07/21/20,192.33,194.9,192.0,192.98,3505717,MCD
07/20/20,190.9,192.77,190.37,191.61,2157480,MCD
07/17/20,191.34,191.9,190.13,191.48,1972966,MCD
07/16/20,191.12,192.76,190.15,190.92,2111107,MCD
07/15/20,193.9,194.0,189.88,191.77,3735433,MCD
07/14/20,185.09,190.84,184.73,190.72,4138567,MCD
07/13/20,185.6,188.95,184.71,184.92,3221622,MCD
07/10/20,183.78,185.44,183.01,184.88,2714444,MCD
07/09/20,186.22,186.59,182.62,184.33,2333500,MCD
07/08/20,185.5,187.23,184.75,185.85,2776400,MCD
07/07/20,187.37,187.85,185.25,185.82,2399567,MCD
07/06/20,186.0,188.72,184.14,188.5,3171467,MCD
07/02/20,187.0,187.0,182.86,183.52,2690150,MCD
07/01/20,184.95,186.44,183.72,184.66,2193762,MCD
06/30/20,182.92,185.2,181.89,184.47,3163190,MCD
06/29/20,180.57,182.83,179.17,182.8,2622177,MCD
06/26/20,182.37,182.81,178.88,179.74,5107359,MCD
06/25/20,183.51,184.08,180.325,182.76,3145191,MCD
06/24/20,184.96,185.71,181.34,184.29,4146579,MCD
06/23/20,189.55,189.73,186.32,186.62,2951916,MCD
06/22/20,186.0,187.77,184.89,187.46,3223215,MCD
06/19/20,192.29,192.3565,186.53,186.56,6264833,MCD
