Date, Open, High, Low, Close, Volume,ticker
12/24/20,170.72,170.99,169.09,170.78,256761,MCK
12/23/20,170.11,172.945,170.0,170.07,504399,MCK
12/22/20,171.47,172.21,169.3372,170.01,720783,MCK
12/21/20,171.1,171.69,169.2,171.42,956454,MCK
12/18/20,173.0,174.18,170.83,173.55,2085514,MCK
12/17/20,173.81,174.0,171.07,172.91,802734,MCK
12/16/20,172.8,173.59,170.7264,172.35,969152,MCK
12/15/20,173.52,174.41,171.38,173.08,820534,MCK
12/14/20,176.5,176.5,171.8004,172.33,910479,MCK
12/11/20,176.95,177.09,173.1,174.66,747443,MCK
12/10/20,177.55,179.14,176.93,177.68,905258,MCK
12/09/20,180.55,181.15,176.885,178.68,777351,MCK
12/08/20,176.97,180.94,176.58,180.42,953396,MCK
12/07/20,180.1,180.3252,177.14,178.26,981188,MCK
12/04/20,179.44,181.19,178.78,180.76,812306,MCK
12/03/20,180.55,181.065,178.71,179.16,946282,MCK
12/02/20,178.81,181.92,178.58,180.85,990359,MCK
12/01/20,183.06,183.54,178.82,179.0,1163832,MCK
11/30/20,180.75,182.52,179.24,179.91,1797857,MCK
11/27/20,179.66,181.77,179.1,180.0,469445,MCK
11/25/20,181.4,181.4,178.34,179.5,991146,MCK
11/24/20,176.5,181.205,174.5,179.75,1941260,MCK
11/23/20,171.85,174.41,170.54,173.48,997408,MCK
11/20/20,171.26,172.65,168.88,169.87,1132108,MCK
11/19/20,175.95,175.95,169.69,171.94,1816860,MCK
11/18/20,176.7,179.9,174.01,176.53,2010480,MCK
11/17/20,178.02,178.745,169.82,173.64,3924312,MCK
11/16/20,186.85,187.67,182.58,183.66,1272438,MCK
11/13/20,178.71,184.16,178.17,182.99,805820,MCK
11/12/20,176.58,179.73,176.26,177.94,818602,MCK
11/11/20,184.0,184.5,177.52,177.81,1337983,MCK
11/10/20,180.0,186.03,179.725,183.44,1633678,MCK
11/09/20,180.02,183.43,176.21,178.51,2200710,MCK
11/06/20,170.01,172.2,169.56599999999997,170.92,730759,MCK
11/05/20,168.55,174.05,167.8586,170.95,1119366,MCK
11/04/20,164.5,170.23,164.04,166.04,1903055,MCK
11/03/20,156.1,163.24,155.3,160.01,1706079,MCK
11/02/20,150.34,152.58,148.22,152.03,1348533,MCK
10/30/20,143.26,147.59,143.26,147.49,1125145,MCK
10/29/20,143.84,145.2,141.32,143.79,1012852,MCK
10/28/20,146.51,148.74,143.89,144.1,920004,MCK
10/27/20,152.14,153.305,149.11,149.21,618615,MCK
10/26/20,155.08,155.37,151.23,152.27,639646,MCK
10/23/20,155.07,156.5474,154.38,156.41,556634,MCK
10/22/20,152.84,154.75,152.29,154.23,602400,MCK
10/21/20,152.73,154.445,152.07,152.62,889514,MCK
10/20/20,153.89,155.4,152.57,153.04,786943,MCK
10/19/20,156.47,158.8,152.27,152.42,686945,MCK
10/16/20,157.11,158.9175,155.81,156.67,977758,MCK
10/15/20,152.28,156.7,152.28,156.55,899856,MCK
10/14/20,151.0,154.7989,151.0,154.01,854191,MCK
10/13/20,149.8,152.7,149.66,151.64,642246,MCK
10/12/20,151.92,152.45,150.265,150.68,616902,MCK
10/09/20,154.46,154.56,150.82,151.29,1075337,MCK
10/08/20,148.86,154.09,148.1301,153.99,1013429,MCK
10/07/20,147.2,148.87,146.68,148.13,857317,MCK
10/06/20,149.56,150.66,145.76,146.23,1550175,MCK
10/05/20,148.0,150.095,147.315,149.18,982318,MCK
10/02/20,145.23,148.82,144.58,146.98,1330383,MCK
10/01/20,149.45,150.16,146.27,146.96,1377817,MCK
09/30/20,146.23,150.49,146.06,148.93,1384491,MCK
09/29/20,150.28,150.28,146.5,146.56,1469682,MCK
09/28/20,150.85,151.61,149.05,150.09,1161069,MCK
09/25/20,146.5,149.19,146.12,148.51,993474,MCK
09/24/20,146.81,149.572,145.0,146.56,1024580,MCK
09/23/20,149.43,151.15,146.83,147.09,1002518,MCK
09/22/20,148.11,150.86,148.11,149.61,1437904,MCK
09/21/20,149.04,150.0,146.46,148.23,1460998,MCK
09/18/20,150.5,153.92,150.5,152.13,2188324,MCK
09/17/20,150.36,153.02,149.44,151.5,1515602,MCK
09/16/20,151.84,154.685,151.59,152.75,1411816,MCK
09/15/20,151.34,153.66,150.81,150.87,982109,MCK
