Date, Open, High, Low, Close, Volume,ticker
12/24/20,57.42,57.865,57.32,57.85,2347758,MDLZ
12/23/20,57.52,57.73,57.33,57.35,4273378,MDLZ
12/22/20,57.458,57.65,56.97,57.16,4887087,MDLZ
12/21/20,57.32,57.815,57.05,57.68,5987441,MDLZ
12/18/20,58.12,58.41,57.84,58.32,10574850,MDLZ
12/17/20,57.24,58.095,57.1,57.93,7811318,MDLZ
12/16/20,57.46,57.8,57.09,57.2,5727150,MDLZ
12/15/20,57.34,57.65,57.175,57.45,5466200,MDLZ
12/14/20,57.37,57.94,57.26,57.29,5204472,MDLZ
12/11/20,56.82,57.62,56.6847,57.4,4992609,MDLZ
12/10/20,58.01,58.08,57.08,57.18,8654398,MDLZ
12/09/20,58.18,58.25,57.42,57.72,8669652,MDLZ
12/08/20,58.26,58.6,58.03,58.29,5313158,MDLZ
12/07/20,58.917,58.985,58.13,58.41,4834847,MDLZ
12/04/20,58.73,59.115,58.625,59.03,5384947,MDLZ
12/03/20,58.26,58.78,58.23,58.56,7775380,MDLZ
12/02/20,58.34,58.75,57.82,58.14,5054916,MDLZ
12/01/20,57.79,58.69,57.49,58.46,7386448,MDLZ
11/30/20,57.25,57.51,56.89,57.45,7659848,MDLZ
11/27/20,57.63,57.82,57.3,57.46,2644175,MDLZ
11/25/20,58.0,58.09,57.475,57.49,4232560,MDLZ
11/24/20,57.51,58.03,57.355,57.82,9101235,MDLZ
11/23/20,57.1,57.51,56.87,57.35,4934732,MDLZ
11/20/20,57.42,57.78,56.97,57.14,4884293,MDLZ
11/19/20,57.52,57.65,56.93,57.6,6273843,MDLZ
11/18/20,58.73,59.025,57.75,57.76,4978832,MDLZ
11/17/20,58.26,58.95,58.19,58.54,4674475,MDLZ
11/16/20,58.3,58.7,57.97,58.68,5018589,MDLZ
11/13/20,57.52,58.13,57.34,58.06,4704060,MDLZ
11/12/20,57.8,57.8,57.0,57.47,3890823,MDLZ
11/11/20,57.2,58.095,57.04,57.74,5867458,MDLZ
11/10/20,55.42,57.36,55.06,57.09,7449461,MDLZ
11/09/20,57.75,58.24,55.88,55.92,8273776,MDLZ
11/06/20,55.86,56.38,55.62,55.84,4527788,MDLZ
11/05/20,55.56,56.105,55.375,55.64,5744703,MDLZ
11/04/20,55.61,55.81,54.67,54.94,8391869,MDLZ
11/03/20,54.03,55.49,54.0,54.42,7200749,MDLZ
11/02/20,53.94,54.6,53.6,54.34,6042889,MDLZ
10/30/20,53.03,53.51,52.56,53.12,6574122,MDLZ
10/29/20,53.14,53.78,52.51,53.19,5951887,MDLZ
10/28/20,54.28,54.59,53.075,53.15,6288969,MDLZ
10/27/20,55.13,55.76,54.93,55.01,4402932,MDLZ
10/26/20,56.16,56.17,54.79,55.23,6983485,MDLZ
10/23/20,57.26,57.295,56.47,56.61,3942467,MDLZ
10/22/20,56.83,56.91,56.24,56.82,3528760,MDLZ
10/21/20,56.66,57.245,56.64,56.82,4117163,MDLZ
10/20/20,57.53,57.6143,56.8,56.98,4131759,MDLZ
10/19/20,57.98,58.31,57.03,57.17,3940673,MDLZ
10/16/20,58.58,58.7,57.83,57.97,5872563,MDLZ
10/15/20,57.8,58.49,57.63,58.34,5815158,MDLZ
10/14/20,58.66,59.11,58.11,58.585,5130853,MDLZ
10/13/20,58.92,59.02,58.53,58.9,5345791,MDLZ
10/12/20,57.63,59.065,57.62,58.65,8333959,MDLZ
10/09/20,56.92,57.48,56.675,57.3,4513637,MDLZ
10/08/20,56.48,56.7465,56.23,56.5,4483076,MDLZ
10/07/20,56.15,56.42,55.6686,56.19,4770062,MDLZ
10/06/20,57.07,57.2,55.92,56.09,5015269,MDLZ
10/05/20,56.95,57.14,56.7,57.08,5144939,MDLZ
10/02/20,57.44,57.78,56.565,56.86,6198506,MDLZ
10/01/20,57.63,57.96,57.16,57.91,5875288,MDLZ
09/30/20,56.59,57.73,56.42,57.45,6130680,MDLZ
09/29/20,57.07,57.09,56.3,56.48,6352548,MDLZ
09/28/20,56.96,57.37,56.5,57.01,5477489,MDLZ
09/25/20,55.055,56.24,54.97,56.155,4742975,MDLZ
09/24/20,54.83,55.93,54.48,55.61,6233769,MDLZ
09/23/20,55.592,56.19,54.725,54.82,7038558,MDLZ
09/22/20,55.78,56.3,55.54,55.81,8876943,MDLZ
09/21/20,56.04,56.15,55.24,55.85,6385021,MDLZ
09/18/20,57.23,57.465,56.13,56.52,10463140,MDLZ
09/17/20,57.44,57.66,56.66,57.21,8430763,MDLZ
09/16/20,58.25,58.67,57.895,57.97,5677016,MDLZ
09/15/20,58.25,58.32,57.915,58.09,5236483,MDLZ
09/14/20,57.69,58.32,57.425,58.01,4612017,MDLZ
09/11/20,57.3,57.74,56.91,57.55,6351280,MDLZ
09/10/20,57.25,57.97,56.87,57.1,6721177,MDLZ
09/09/20,56.7,57.9982,56.53,57.5,7099990,MDLZ
09/08/20,57.36,57.88,56.12,56.39,8459539,MDLZ
