Date, Open, High, Low, Close, Volume,ticker
12/24/20,46.06,46.32,45.8,46.31,1580577,MET
12/23/20,45.74,46.6,45.52,46.13,3946267,MET
12/22/20,45.54,45.95,45.18,45.21,4954307,MET
12/21/20,45.35,45.68,44.62,45.46,6421848,MET
12/18/20,46.56,46.78,45.285,45.65,9359740,MET
12/17/20,46.68,46.72,45.805,46.49,4253687,MET
12/16/20,46.22,46.56,45.82,46.32,7155519,MET
12/15/20,46.4,46.5016,45.275,46.24,5522708,MET
12/14/20,47.91,48.1,45.83,45.84,7001570,MET
12/11/20,46.94,47.22,46.565,47.19,4238384,MET
12/10/20,47.06,47.7,46.74,47.55,10610350,MET
12/09/20,48.25,48.33,47.5265,47.64,4687991,MET
12/08/20,47.66,47.85,47.1,47.52,7708359,MET
12/07/20,47.97,48.0,47.155,47.58,5406648,MET
12/04/20,48.14,48.89,48.01,48.47,5154396,MET
12/03/20,47.62,48.27,47.38,47.71,3924089,MET
12/02/20,46.64,47.84,46.45,47.71,6364793,MET
12/01/20,47.29,47.4096,46.81,46.91,5188063,MET
11/30/20,46.98,47.3,46.05,46.17,6815312,MET
11/27/20,47.72,48.15,47.16,47.45,2378357,MET
11/25/20,48.08,48.18,47.27,47.76,4933297,MET
11/24/20,48.0,48.84,47.51,48.67,6510926,MET
11/23/20,46.47,47.36,46.37,47.17,4406953,MET
11/20/20,45.29,45.995,44.75,45.87,8214779,MET
11/19/20,45.19,45.65,44.59,45.51,5361650,MET
11/18/20,46.25,47.15,45.7,45.71,5627825,MET
11/17/20,45.63,46.36,45.28,46.01,4615530,MET
11/16/20,46.2,46.35,45.49,46.03,7336537,MET
11/13/20,44.27,45.06,44.19,44.74,4814471,MET
11/12/20,44.71,44.91,43.13,43.78,6804954,MET
11/11/20,46.0,46.34,45.2,45.51,7381405,MET
11/10/20,45.8,46.475,44.89,46.03,9444129,MET
11/09/20,43.21,46.145,42.83,44.94,11758850,MET
11/06/20,41.77,41.9255,40.0801,40.48,6063759,MET
11/05/20,39.95,41.81,39.51,41.13,7936622,MET
11/04/20,38.89,40.06,38.28,39.0,7828208,MET
11/03/20,39.5,40.31,39.32,39.97,5860184,MET
11/02/20,38.09,38.965,37.41,38.7,5636119,MET
10/30/20,37.12,37.86,36.7989,37.85,6523058,MET
10/29/20,36.35,37.645,35.9,37.31,5097708,MET
10/28/20,36.82,37.6,36.47,36.6,6959913,MET
10/27/20,39.32,39.335,37.67,37.77,5451902,MET
10/26/20,40.33,40.45,39.105,39.38,6717816,MET
10/23/20,41.0,41.235,40.585,40.94,4804111,MET
10/22/20,39.18,40.66,39.04,40.61,4917046,MET
10/21/20,39.12,39.58,39.04,39.13,5834670,MET
10/20/20,39.56,40.09,39.3,39.34,3865995,MET
10/19/20,39.52,39.79,38.96,39.07,3745166,MET
10/16/20,39.28,39.86,38.86,39.28,4689367,MET
10/15/20,38.37,39.21,38.17,39.13,3646347,MET
10/14/20,39.0,39.72,38.95,38.97,4624651,MET
10/13/20,39.87,39.87,38.785,39.0,6503883,MET
10/12/20,39.63,40.415,39.52,40.34,5811942,MET
10/09/20,40.08,40.29,39.42,39.48,3980519,MET
10/08/20,39.49,40.07,39.415,39.85,4694059,MET
10/07/20,39.01,39.78,38.91,39.34,6762860,MET
10/06/20,39.01,39.75,38.26,38.37,5766072,MET
10/05/20,38.14,38.92,37.71,38.52,4122686,MET
10/02/20,36.65,37.95,36.57,37.63,4697602,MET
10/01/20,37.24,37.67,36.83,37.26,4128170,MET
09/30/20,36.97,37.5377,36.74,37.17,6040346,MET
09/29/20,37.11,37.32,36.46,36.77,3805261,MET
09/28/20,36.87,37.75,36.87,37.25,3915279,MET
09/25/20,35.5,36.43,35.38,36.26,3957893,MET
09/24/20,36.26,36.48,35.19,35.75,6527912,MET
09/23/20,37.12,37.62,36.0,36.09,6048353,MET
09/22/20,37.27,37.79,36.5,36.95,6715597,MET
09/21/20,38.51,38.83,37.035,37.43,7868056,MET
09/18/20,39.21,40.1,39.15,39.67,9705486,MET
