Date, Open, High, Low, Close, Volume,ticker
12/24/20,31.03,31.03,30.565,30.74,1775172,MGM
12/23/20,30.5,31.39,30.46,30.98,4214331,MGM
12/22/20,30.48,30.59,29.79,30.35,5753087,MGM
12/21/20,30.35,31.0,29.95,30.49,8974042,MGM
12/18/20,31.06,31.83,30.87,31.67,11638090,MGM
12/17/20,31.16,31.19,30.6601,31.12,6241531,MGM
12/16/20,30.81,31.17,30.41,30.98,7005818,MGM
12/15/20,30.01,30.845,29.53,30.76,6614824,MGM
12/14/20,30.68,30.71,29.38,29.51,9620195,MGM
12/11/20,30.79,31.08,29.75,30.18,7804222,MGM
12/10/20,29.64,31.05,29.58,30.93,7864922,MGM
12/09/20,30.15,30.485,29.69,29.94,8245440,MGM
12/08/20,29.5,30.35,29.5,29.89,6277619,MGM
12/07/20,30.64,30.79,29.495,29.83,8518916,MGM
12/04/20,30.25,30.79,29.51,30.72,15150890,MGM
12/03/20,29.58,30.6,29.52,29.91,8955573,MGM
12/02/20,28.63,29.61,28.23,29.35,7298795,MGM
12/01/20,28.85,29.1784,28.4,28.81,7032020,MGM
11/30/20,28.76,28.93,27.59,28.25,9636762,MGM
11/27/20,28.45,29.265,28.42,28.62,4089225,MGM
11/25/20,28.0,28.62,27.66,28.39,7322184,MGM
11/24/20,26.96,28.56,26.96,28.45,12189020,MGM
11/23/20,26.49,26.85,25.79,26.15,12715340,MGM
11/20/20,27.1,27.35,26.21,26.21,8892603,MGM
11/19/20,26.65,27.28,26.51,27.24,9319401,MGM
11/18/20,26.52,28.06,26.11,26.91,14038020,MGM
11/17/20,26.0,26.71,25.51,26.42,8455562,MGM
11/16/20,27.28,27.28,26.19,26.51,16039240,MGM
11/13/20,23.72,25.9,23.72,25.9,15544780,MGM
11/12/20,23.59,23.78,23.25,23.69,13600020,MGM
11/11/20,24.78,24.78,23.91,23.98,8982138,MGM
11/10/20,25.16,25.4,24.08,24.78,10639740,MGM
11/09/20,25.66,27.5,24.63,25.3,25238730,MGM
11/06/20,21.8,22.14,21.51,22.02,7146866,MGM
11/05/20,21.82,22.38,21.715999999999998,21.84,9641901,MGM
11/04/20,21.79,22.44,21.42,21.44,8346832,MGM
11/03/20,21.27,21.9,21.27,21.75,6671790,MGM
11/02/20,20.57,21.17,20.57,20.97,9304891,MGM
10/30/20,20.28,20.74,19.55,20.57,16623869,MGM
10/29/20,20.07,21.34,20.01,21.29,12640300,MGM
10/28/20,20.24,20.635,19.81,20.1,18868689,MGM
10/27/20,21.97,22.12,20.83,21.04,11241040,MGM
10/26/20,22.86,22.89,21.7001,22.13,8967479,MGM
10/23/20,22.69,23.47,22.48,23.36,11559310,MGM
10/22/20,21.95,22.685,21.9,22.62,10089070,MGM
10/21/20,21.34,21.565,21.09,21.41,6674058,MGM
10/20/20,21.1,21.665,20.9,21.41,7732526,MGM
10/19/20,21.35,21.49,20.69,20.8,7462447,MGM
10/16/20,21.1,21.48,20.86,21.24,8259707,MGM
10/15/20,20.745,21.18,20.6763,21.16,9136223,MGM
10/14/20,21.07,21.42,20.831,21.09,11009210,MGM
10/13/20,21.1,21.24,20.75,20.97,12788030,MGM
10/12/20,21.28,21.49,21.05,21.4,8444955,MGM
10/09/20,21.87,22.08,21.32,21.36,9724008,MGM
10/08/20,21.79,22.0288,21.43,21.93,10073460,MGM
10/07/20,21.42,21.745,21.29,21.5,9566418,MGM
10/06/20,21.92,22.26,21.05,21.05,13850430,MGM
10/05/20,21.83,22.02,21.395,21.55,8372978,MGM
10/02/20,21.0,21.91,20.88,21.66,10349620,MGM
10/01/20,21.94,22.23,21.62,21.82,11812740,MGM
09/30/20,21.9,22.55,21.5804,21.75,10563710,MGM
09/29/20,22.58,22.58,21.36,21.72,12651180,MGM
09/28/20,22.61,22.86,22.08,22.63,9763278,MGM
09/25/20,21.29,22.25,21.19,22.1,9566132,MGM
09/24/20,21.23,21.705,20.66,21.19,11580950,MGM
09/23/20,21.64,22.38,21.34,21.38,11920610,MGM
09/22/20,21.19,21.76,21.01,21.62,11744720,MGM
09/21/20,21.23,21.48,20.57,21.09,15206030,MGM
09/18/20,22.24,22.7,21.675,22.02,29475211,MGM
09/17/20,22.5,22.88,21.96,22.52,16060210,MGM
09/16/20,23.69,23.78,22.55,23.01,19784211,MGM
09/15/20,23.08,24.245,22.89,23.74,17376900,MGM
09/14/20,22.39,23.16,22.38,23.06,15286440,MGM
09/11/20,23.07,23.1199,21.915,22.73,17238660,MGM
09/10/20,23.5,24.13,22.82,22.84,17978631,MGM
09/09/20,23.25,23.35,22.6,23.11,11791830,MGM
09/08/20,22.85,23.695,22.61,23.17,16423020,MGM
09/04/20,23.33,23.94,22.47,23.52,17960539,MGM
09/03/20,23.62,24.42,22.59,23.07,20332930,MGM
09/02/20,22.78,23.83,22.5,23.72,15983880,MGM
09/01/20,22.26,23.0147,21.86,22.77,10703510,MGM
08/31/20,23.63,23.65,22.5,22.5,16378500,MGM
08/28/20,23.37,24.365,22.97,23.86,23232439,MGM
08/27/20,22.16,23.43,22.13,22.81,17222070,MGM
08/26/20,22.13,22.18,21.7916,21.99,8602156,MGM
08/25/20,22.5,22.65,21.78,22.09,11798630,MGM
08/24/20,21.29,22.28,21.02,22.27,16971980,MGM
08/21/20,20.98,21.7,20.9501,21.16,11687550,MGM
08/20/20,20.59,21.0799,20.4,20.83,8932439,MGM
08/19/20,20.89,21.21,20.75,20.9,8905855,MGM
08/18/20,21.19,21.32,20.73,20.95,13632530,MGM
08/17/20,21.72,21.88,20.9216,21.38,13079760,MGM
08/14/20,21.17,21.85,20.96,21.81,12499610,MGM
08/13/20,20.87,21.68,20.72,21.34,13891890,MGM
08/12/20,21.94,21.95,20.69,21.13,23002359,MGM
08/11/20,22.42,22.48,21.19,21.5,34395961,MGM
08/10/20,22.48,23.79,20.88,21.65,71219695,MGM
08/07/20,18.29,19.39,18.25,19.03,34572121,MGM
08/06/20,16.69,18.6,16.56,18.46,35867711,MGM
08/05/20,17.03,17.31,16.31,16.72,18914230,MGM
08/04/20,16.33,16.79,16.29,16.72,27744689,MGM
08/03/20,15.98,16.51,15.84,16.32,16551949,MGM
07/31/20,15.99,16.49,15.58,16.09,31889051,MGM
07/30/20,16.18,16.7,16.04,16.64,26814529,MGM
07/29/20,15.65,16.26,15.572000000000001,16.25,21980461,MGM
07/28/20,14.8,15.82,14.76,15.41,21069070,MGM
07/27/20,15.76,15.77,14.6499,14.96,24905900,MGM
07/24/20,15.58,15.94,15.47,15.79,16267310,MGM
07/23/20,16.1,16.165,15.52,15.89,26347939,MGM
07/22/20,16.4,16.83,16.26,16.33,12567520,MGM
07/21/20,16.55,16.92,16.34,16.69,15686610,MGM
07/20/20,16.69,16.93,16.045,16.33,16152170,MGM
07/17/20,17.61,17.7,16.62,16.81,19079430,MGM
07/16/20,17.84,18.08,17.47,17.6,16594660,MGM
07/15/20,17.12,18.29,16.82,18.2,30298400,MGM
07/14/20,16.36,16.45,15.98,16.16,18147631,MGM
07/13/20,16.5,17.3,15.82,16.38,32213850,MGM
07/10/20,15.68,16.245,15.5,16.2,17140590,MGM
07/09/20,16.32,16.41,15.23,16.0,20258260,MGM
07/08/20,16.06,16.34,15.51,16.3,17034721,MGM
07/07/20,16.33,16.585,16.055,16.14,14057840,MGM
07/06/20,17.48,17.53,16.215,16.71,19775939,MGM
07/02/20,17.38,17.59,16.745,16.86,17438391,MGM
07/01/20,16.95,17.68,16.63,16.77,31420770,MGM
06/30/20,16.63,16.95,16.27,16.8,18850881,MGM
06/29/20,15.83,16.99,15.3222,16.82,26425801,MGM
06/26/20,16.5,16.79,15.59,15.72,27652480,MGM
06/25/20,16.19,17.05,16.07,16.7,24652641,MGM
06/24/20,18.04,18.1,16.66,16.93,30565289,MGM
06/23/20,18.06,18.5,17.77,18.46,15983100,MGM
06/22/20,17.98,18.2,17.4,17.77,20377221,MGM
06/19/20,19.03,19.09,17.83,18.21,28606590,MGM
06/18/20,18.46,18.99,18.3,18.58,24687711,MGM
06/17/20,19.03,19.33,18.82,18.97,18944721,MGM
