Date, Open, High, Low, Close, Volume,ticker
12/24/20,136.98,138.87,135.455,138.72,161808,MHK
12/23/20,136.51,138.43,136.0,137.15,424268,MHK
12/22/20,137.12,138.27,135.36,135.67,490544,MHK
12/21/20,135.01,137.54,134.164,136.6,574456,MHK
12/18/20,135.86,139.4758,135.5425,138.43,1563036,MHK
12/17/20,133.08,135.26,132.38,135.25,798087,MHK
12/16/20,134.95,135.54,131.33,132.61,642543,MHK
12/15/20,133.68,134.63,130.96,134.14,577236,MHK
12/14/20,136.08,136.65,131.41,131.53,832488,MHK
12/11/20,131.97,137.06,131.97,134.75,579104,MHK
12/10/20,132.73,135.15,132.0,132.98,838727,MHK
12/09/20,133.67,135.05,132.7,134.41,823557,MHK
12/08/20,132.27,134.57,131.02,132.77,432907,MHK
12/07/20,131.42,135.355,130.13,134.6,1044888,MHK
12/04/20,132.13,134.53,131.615,132.85,483812,MHK
12/03/20,130.87,134.52,127.27,132.28,991091,MHK
12/02/20,125.53,129.79,124.16,124.76,684659,MHK
12/01/20,127.79,128.73,125.33,126.73,560368,MHK
11/30/20,129.66,130.29,125.71,125.83,840063,MHK
11/27/20,132.25,132.25,129.39,130.55,244896,MHK
11/25/20,133.71,133.71,129.78,133.13,474388,MHK
11/24/20,133.0,135.03,131.65,134.86,737321,MHK
11/23/20,128.46,131.46,127.87,130.5,547141,MHK
11/20/20,126.87,127.395,124.96,127.15,397396,MHK
11/19/20,127.78,128.08,124.25,126.98,717741,MHK
11/18/20,130.63,132.8154,128.24,128.25,493710,MHK
11/17/20,127.53,131.68,125.22,131.15,656116,MHK
11/16/20,124.88,130.73,124.32,129.12,711691,MHK
11/13/20,118.79,123.6107,118.76,123.14,523198,MHK
11/12/20,119.33,120.29,115.79,117.83,621261,MHK
11/11/20,122.93,123.14,117.76,118.94,793987,MHK
11/10/20,123.7,126.0,122.54,122.8,792624,MHK
11/09/20,127.05,133.21,122.19,122.23,1117906,MHK
11/06/20,121.71,123.47,120.25,120.58,541678,MHK
11/05/20,118.4,122.61,118.4,122.17,719981,MHK
11/04/20,115.84,119.17,114.51,118.09,908101,MHK
11/03/20,116.04,118.08,115.35799999999999,116.99,976013,MHK
11/02/20,106.46,115.15,105.6586,114.69,1887086,MHK
10/30/20,105.92,109.95,98.4,103.19,1809118,MHK
10/29/20,92.21,95.2595,90.98,93.05,762326,MHK
10/28/20,94.54,96.6682,92.04,92.21,512916,MHK
10/27/20,99.51,99.86,96.5695,97.32,448316,MHK
10/26/20,102.77,102.91,98.12,99.32,593420,MHK
10/23/20,103.29,105.7,102.91,104.68,471844,MHK
10/22/20,100.16,103.54,99.0,101.93,553705,MHK
10/21/20,101.91,102.83,99.54,99.71,438100,MHK
10/20/20,102.96,105.9148,102.44,102.89,377744,MHK
10/19/20,105.36,106.38,100.88,101.58,540321,MHK
10/16/20,103.55,106.52,102.95,105.38,582388,MHK
10/15/20,102.67,103.17,101.92,103.0,378183,MHK
10/14/20,103.84,104.635,102.04,103.61,561050,MHK
10/13/20,104.7,105.48,101.76,102.24,515900,MHK
10/12/20,106.36,106.95,103.76,105.15,445723,MHK
10/09/20,110.0,110.0,102.95,104.24,740923,MHK
10/08/20,107.63,109.58,107.25,109.01,415260,MHK
10/07/20,106.72,108.635,105.49,106.38,368501,MHK
10/06/20,107.04,109.16,104.32,104.91,500882,MHK
10/05/20,103.53,107.33,103.53,106.98,454132,MHK
10/02/20,95.7,102.48,95.53,102.19,504770,MHK
10/01/20,99.24,100.175,96.79,98.4,508823,MHK
09/30/20,95.65,98.745,95.58,97.59,732666,MHK
09/29/20,97.91,98.43,95.61,96.27,407416,MHK
09/28/20,97.28,99.6,95.72,98.42,569702,MHK
09/25/20,94.0,94.6,92.825,94.24,487329,MHK
09/24/20,94.16,95.86,92.1746,94.81,524487,MHK
09/23/20,97.13,99.4308,94.51,94.7,290437,MHK
09/22/20,95.67,97.78,95.29,96.31,422867,MHK
09/21/20,97.92,98.56,92.555,95.88,584466,MHK
09/18/20,102.75,103.82,100.12,101.16,849454,MHK
09/17/20,101.97,103.75,100.18,103.38,596427,MHK
09/16/20,99.79,102.3,99.41,100.29,527392,MHK
09/15/20,100.0,101.68,98.15,98.79,762594,MHK
09/14/20,97.88,101.34,97.39,100.46,642063,MHK
09/11/20,94.7,97.05,93.84,96.94,532864,MHK
09/10/20,94.98,95.62,93.15,93.75,537944,MHK
09/09/20,92.0,94.52,91.82,94.09,422428,MHK
09/08/20,92.13,94.2,91.27,92.54,499738,MHK
09/04/20,91.12,94.1,90.99,92.43,432475,MHK
09/03/20,94.37,94.46,90.21,91.29,571111,MHK
09/02/20,92.47,94.31,91.48,93.92,522224,MHK
09/01/20,92.63,94.06,91.11,91.93,785113,MHK
08/31/20,95.93,95.93,92.2,92.33,712469,MHK
08/28/20,96.94,97.91,95.555,96.33,675451,MHK
08/27/20,94.21,97.86,93.53,96.96,821289,MHK
08/26/20,93.54,94.03,92.15,93.26,454648,MHK
08/25/20,93.96,94.42,90.45100000000001,93.32,629600,MHK
08/24/20,90.66,94.47,90.66,93.51,638372,MHK
08/21/20,90.04,91.3,89.64,90.32,560437,MHK
08/20/20,88.86,91.36,88.15,89.85,530366,MHK
08/19/20,91.45,91.46,89.53,90.17,578014,MHK
08/18/20,91.57,92.22,90.12,90.6,975985,MHK
08/17/20,90.41,92.26,90.0,91.65,787440,MHK
08/14/20,87.96,90.93,87.34,90.26,617417,MHK
08/13/20,90.21,91.81,88.41,89.01,468178,MHK
08/12/20,92.29,92.89,89.39,91.44,753093,MHK
08/11/20,92.75,94.42,90.5,91.29,640729,MHK
08/10/20,86.29,91.41,86.22,90.66,967286,MHK
08/07/20,88.44,90.36,83.07,85.65,1338437,MHK
08/06/20,84.51,87.45,83.86,86.36,1058869,MHK
08/05/20,82.63,85.18,81.43,85.18,943162,MHK
08/04/20,79.77,83.845,79.77,81.25,978437,MHK
08/03/20,80.01,80.59,78.93,79.45,1195531,MHK
07/31/20,83.91,84.11,79.001,79.85,1045603,MHK
07/30/20,84.82,85.64,83.25,83.29,710672,MHK
07/29/20,85.84,87.08,85.54,86.01,903878,MHK
07/28/20,85.0,87.7,83.55,85.14,1681880,MHK
07/27/20,84.87,87.405,83.8,87.33,1554931,MHK
07/24/20,83.87,85.54,82.165,85.01,1553072,MHK
07/23/20,83.72,85.76,82.34,83.66,908306,MHK
07/22/20,79.09,84.37,78.55,83.87,1278388,MHK
07/21/20,79.1,82.01,78.8744,79.42,1059870,MHK
07/20/20,78.68,79.32,77.19,78.78,1230231,MHK
07/17/20,78.24,79.11,77.24,78.48,1435075,MHK
07/16/20,76.04,80.7,75.4701,77.93,1789993,MHK
07/15/20,76.64,77.78,75.17,76.54,1497542,MHK
07/14/20,69.89,74.88,67.79,74.21,4160915,MHK
07/13/20,71.81,77.33,69.44,76.6,3948952,MHK
07/10/20,73.26,78.99,69.21,70.47,4359086,MHK
07/09/20,89.41,91.39,68.1,73.12,10934590,MHK
07/08/20,95.48,96.97,89.18,91.39,2594124,MHK
07/07/20,102.0,102.79,95.51,95.98,1519015,MHK
07/06/20,101.65,103.65,100.51,103.26,917504,MHK
07/02/20,99.9,102.875,97.8756,99.21,542445,MHK
07/01/20,101.48,103.2,97.39,97.51,612779,MHK
06/30/20,99.36,102.53,97.96,101.76,723831,MHK
06/29/20,97.08,100.05,95.97,99.8,538946,MHK
06/26/20,97.52,98.29,94.05,95.71,902560,MHK
06/25/20,98.2,98.7,94.75,98.36,697197,MHK
06/24/20,101.38,103.3,98.6194,99.29,1154064,MHK
06/23/20,94.5,104.39,94.41,103.88,3398051,MHK
06/22/20,92.0,93.17,89.89,92.22,461582,MHK
06/19/20,96.97,96.97,92.96,93.07,1136402,MHK
06/18/20,94.51,97.35,93.7406,94.89,461256,MHK
06/17/20,98.17,99.05,94.92,95.35,787643,MHK
06/16/20,103.65,103.82,96.98,98.25,849514,MHK
06/15/20,93.2,98.57,92.49,97.72,726528,MHK
06/12/20,98.67,100.98,94.345,97.74,687900,MHK
06/11/20,97.49,100.93,94.75,95.97,1004568,MHK
06/10/20,111.14,112.9528,105.94,106.05,871874,MHK
06/09/20,111.67,113.6,109.24,112.72,711436,MHK
06/08/20,113.32,116.48,112.3,115.69,802547,MHK
06/05/20,115.79,116.96,107.5304,108.65,1137846,MHK
06/04/20,103.75,108.65,102.12,108.0,1177467,MHK
06/03/20,98.44,104.67,98.365,104.46,848826,MHK
06/02/20,94.01,97.34,94.01,97.0,592473,MHK
06/01/20,93.14,94.56,92.095,93.09,563310,MHK
05/29/20,92.15,93.735,90.0191,93.2,1488141,MHK
05/28/20,99.4,99.99,92.72,93.16,833526,MHK
05/27/20,98.56,99.79,95.43,99.43,816583,MHK
05/26/20,87.97,94.33,87.3013,93.47,1077575,MHK
05/22/20,84.63,85.17,81.62,83.31,361659,MHK
05/21/20,81.44,85.575,81.44,84.14,500226,MHK
05/20/20,83.77,85.48,81.3,83.03,483057,MHK
05/19/20,85.13,86.545,82.37,82.44,662527,MHK
05/18/20,81.24,86.87,80.41,85.97,803919,MHK
05/15/20,74.94,77.59,74.36,76.58,563441,MHK
05/14/20,72.29,76.555,69.87,75.96,754488,MHK
05/13/20,76.73,77.61,72.79,73.94,874141,MHK
05/12/20,81.21,81.81,77.62,77.82,651062,MHK
05/11/20,83.11,83.345,79.86,80.9,715754,MHK
05/08/20,82.35,85.42,81.35,84.86,672712,MHK
05/07/20,79.95,82.45,79.02,80.37,607605,MHK
05/06/20,81.58,82.56,78.7,78.98,741129,MHK
05/05/20,86.23,86.285,79.05,82.43,1352197,MHK
05/04/20,82.58,86.12,81.55,84.99,1001441,MHK
05/01/20,85.42,86.55,82.14,83.38,486426,MHK
04/30/20,90.64,90.9,87.59,87.72,477083,MHK
04/29/20,90.85,94.63,90.18,93.02,844737,MHK
04/28/20,86.52,88.2749,85.58,87.51,878818,MHK
04/27/20,80.27,84.405,79.5,83.74,953035,MHK
04/24/20,77.79,80.36,77.13,78.96,1091201,MHK
04/23/20,76.13,78.55,76.02,77.32,980820,MHK
04/22/20,75.16,76.15,73.51,75.06,570053,MHK
04/21/20,73.5,75.27,72.51,73.05,721446,MHK
04/20/20,75.9,78.49,74.97,76.24,590596,MHK
04/17/20,79.17,80.81,78.39,79.6,1212325,MHK
04/16/20,76.54,76.9737,72.38,74.74,934009,MHK
04/15/20,77.93,79.87,76.4,79.3,579113,MHK
04/14/20,84.91,85.72,80.72,82.74,639082,MHK
04/13/20,87.13,87.13,81.63,83.41,516504,MHK
04/09/20,87.26,90.94,86.25,88.01,941106,MHK
04/08/20,80.73,86.09,78.36,85.09,1084053,MHK
04/07/20,80.08,84.67,76.16,81.18,1613364,MHK
04/06/20,65.23,74.17,65.0,73.35,1360310,MHK
04/03/20,64.86,67.0617,60.05,62.01,1078292,MHK
04/02/20,68.78,71.93,63.51,64.86,1638953,MHK
04/01/20,72.67,74.38,65.7389,66.92,1218255,MHK
03/31/20,79.17,79.62,75.95,76.24,1034612,MHK
03/30/20,78.4,81.52,75.0,80.15,1101563,MHK
03/27/20,81.58,82.0,76.295,78.04,1117828,MHK
03/26/20,83.6,85.3594,79.92,82.29,1176955,MHK
03/25/20,77.48,86.35,71.78,82.37,1410075,MHK
03/24/20,66.98,77.63,66.01,77.29,1183574,MHK
03/23/20,58.7,64.53,56.62,63.33,1289207,MHK
03/20/20,66.62,67.64,58.23,58.66,1745677,MHK
03/19/20,64.39,67.78,58.5,66.38,1785493,MHK
03/18/20,81.47,81.81,59.88,65.05,1463096,MHK
03/17/20,86.75,89.395,83.56,85.87,1219374,MHK
03/16/20,87.58,95.13,81.33,85.43,1332896,MHK
03/13/20,101.42,102.73,90.32,96.48,1663595,MHK
03/12/20,103.29,104.83,97.4201,97.43,1232103,MHK
03/11/20,115.05,116.2,108.0,108.5,1163874,MHK
03/10/20,115.55,117.22,112.38,117.2,851530,MHK
03/09/20,112.32,115.89,110.06,112.38,979425,MHK
03/06/20,115.71,119.88,115.35,118.57,1049463,MHK
03/05/20,119.43,121.4,118.87,119.7,682988,MHK
03/04/20,119.0,123.21,117.84,123.17,798124,MHK
03/03/20,120.9,121.66,116.6,117.22,1304386,MHK
03/02/20,121.59,122.615,118.95,120.86,1222987,MHK
02/28/20,119.67,125.245,118.55,121.15,1616107,MHK
02/27/20,122.77,128.045,121.96,123.34,1044309,MHK
02/26/20,125.79,129.21,125.38,125.83,1283422,MHK
02/25/20,129.89,131.2532,124.77,125.36,966651,MHK
02/24/20,131.86,132.3,128.27,128.79,887482,MHK
02/21/20,133.98,135.09,133.12,135.0,833680,MHK
02/20/20,131.24,135.58,130.79,134.17,769314,MHK
02/19/20,132.04,133.16,130.71,131.33,778106,MHK
02/18/20,136.8,139.31,131.23,131.42,1082376,MHK
02/14/20,132.76,142.61,128.01,137.98,2264567,MHK
02/13/20,132.1,133.75,131.8,132.64,688763,MHK
02/12/20,129.54,133.83,129.5,133.18,672590,MHK
02/11/20,127.57,129.2799,127.075,128.25,712268,MHK
02/10/20,126.6,128.1,125.21,127.3,576990,MHK
02/07/20,129.94,129.94,126.96,127.01,432805,MHK
02/06/20,135.11,135.82,130.49,130.5,508233,MHK
02/05/20,133.19,136.26,133.12,133.97,782552,MHK
02/04/20,134.98,135.915,132.88,133.12,465885,MHK
02/03/20,132.22,133.68,131.26,133.17,572584,MHK
01/31/20,135.68,135.68,131.15,131.68,484778,MHK
01/30/20,134.1,135.46,132.9701,135.15,532260,MHK
01/29/20,140.24,140.82,135.19,135.53,499200,MHK
01/28/20,141.03,141.8,139.52,139.97,380905,MHK
01/27/20,139.02,141.15,137.35,139.92,619969,MHK
01/24/20,143.03,144.37,140.81,141.86,530491,MHK
01/23/20,140.49,144.05,139.71,143.81,797380,MHK
01/22/20,141.91,142.06,140.37,141.19,619249,MHK
01/21/20,138.64,141.55,138.38,141.29,827395,MHK
01/17/20,140.72,141.15,139.01,139.7,772862,MHK
01/16/20,139.8,141.28,138.89,140.65,819036,MHK
