Date, Open, High, Low, Close, Volume,ticker
12/24/20,92.98,93.59,92.46,93.47,217637,MKC
12/23/20,93.3,93.59,92.58,92.98,650512,MKC
12/22/20,93.61,93.82,92.36,92.96,808724,MKC
12/21/20,92.26,94.12,91.89,93.69,1221177,MKC
12/18/20,94.49,95.05,92.28,93.37,2191385,MKC
12/17/20,93.14,95.335,92.93,94.6,1182807,MKC
12/16/20,91.98,93.17,91.81,92.71,982927,MKC
12/15/20,93.3,93.81,91.58,91.77,1312853,MKC
12/14/20,93.84,94.98,93.24,93.28,759203,MKC
12/11/20,92.9,93.72,92.8,93.42,828752,MKC
12/10/20,93.22,93.64,92.45,93.05,655855,MKC
12/09/20,93.33,93.405,91.76,93.12,827009,MKC
12/08/20,92.17,93.85,92.05,93.44,710844,MKC
12/07/20,93.89,94.31,92.17,92.64,816239,MKC
12/04/20,92.51,93.95,92.005,93.95,838950,MKC
12/03/20,91.4,92.91,91.26,92.65,837621,MKC
12/02/20,93.49,94.4,91.16,91.42,980953,MKC
12/01/20,95.02,95.02,92.34,93.64,1425651,MKC
11/30/20,92.905,93.61,91.135,93.49,1792388,MKC
11/27/20,93.5,94.1,92.125,93.24,575162,MKC
11/25/20,93.34,94.435,92.61,92.795,731834,MKC
11/24/20,92.5,94.04,92.065,93.27,1804422,MKC
11/23/20,92.115,92.51,90.915,91.5,1054290,MKC
11/20/20,92.025,92.655,91.435,91.835,957652,MKC
11/19/20,90.91,91.8075,90.095,91.62,864450,MKC
11/18/20,91.48,92.42,90.875,91.095,1097084,MKC
11/17/20,91.615,92.365,90.905,91.33,1334304,MKC
11/16/20,92.595,92.915,90.765,92.09,1145368,MKC
11/13/20,92.44,92.98,91.15,92.31,596158,MKC
11/12/20,94.08,94.365,91.44,92.49,623006,MKC
11/11/20,91.825,93.54,91.705,93.445,1026988,MKC
11/10/20,89.5,91.93,89.08,90.97,1152706,MKC
11/09/20,95.875,97.0,88.92,89.16,2137454,MKC
11/06/20,94.38,95.94,93.5,94.33,718556,MKC
11/05/20,95.895,95.965,93.825,94.27,826432,MKC
11/04/20,94.415,96.275,94.18,94.49,786968,MKC
11/03/20,93.59,94.7075,93.01,93.84,698578,MKC
11/02/20,91.69,93.285,91.57,92.585,1005124,MKC
10/30/20,91.55,92.1527,89.255,90.255,1375632,MKC
10/29/20,92.795,93.495,91.925,91.95,862904,MKC
10/28/20,94.86,95.53,92.7,92.835,907878,MKC
10/27/20,97.25,97.64,96.02,96.105,1094734,MKC
10/26/20,97.415,97.97,96.365,97.03,535550,MKC
10/23/20,97.765,98.46,97.315,98.23,553902,MKC
10/22/20,97.5,97.815,96.8625,97.315,554514,MKC
10/21/20,97.945,98.675,97.545,97.67,398852,MKC
10/20/20,98.9,99.37,97.85,97.97,532976,MKC
10/19/20,99.975,100.71,98.5634,98.765,681024,MKC
10/16/20,100.065,100.99,99.69,99.695,808984,MKC
10/15/20,98.36,100.0525,98.135,99.575,699150,MKC
10/14/20,99.87,100.77,98.87,99.005,635056,MKC
10/13/20,100.265,101.665,99.305,100.115,1297590,MKC
10/12/20,98.055,100.605,97.995,100.45,1039688,MKC
10/09/20,97.895,98.515,97.635,98.055,732748,MKC
10/08/20,97.46,97.625,96.835,97.165,695124,MKC
10/07/20,96.33,97.52,96.06,97.09,977014,MKC
10/06/20,97.885,97.885,95.62,95.82,1087104,MKC
10/05/20,96.665,97.67,96.405,97.54,816566,MKC
10/02/20,95.385,96.955,95.075,96.42,1005976,MKC
10/01/20,97.37,97.7275,95.565,96.6,1524482,MKC
09/30/20,95.69,98.085,95.5,97.05,1861898,MKC
09/29/20,96.4,96.58,91.61,94.945,4812466,MKC
09/28/20,97.37,98.28,96.89,97.59,2829758,MKC
09/25/20,94.5,96.085,94.155,95.785,1080678,MKC
09/24/20,93.03,96.195,92.9025,94.425,1240196,MKC
09/23/20,96.685,96.8,92.545,92.745,1410510,MKC
09/22/20,95.025,96.47,94.855,96.195,1355468,MKC
09/21/20,94.265,95.4625,93.715,95.2,1185574,MKC
09/18/20,96.21,97.295,94.2,94.98,1790600,MKC
09/17/20,97.985,98.365,95.555,96.365,1771382,MKC
09/16/20,100.68,101.2975,99.25,99.34,1057770,MKC
09/15/20,100.365,101.58,99.82,100.175,1067270,MKC
09/14/20,100.0,101.41,99.4925,100.05,1044670,MKC
09/11/20,99.355,99.685,98.42,99.32,746496,MKC
09/10/20,100.925,101.355,98.4375,99.095,792898,MKC
09/09/20,99.51,102.92,99.51,101.345,1246806,MKC
09/08/20,100.885,100.925,98.58,98.76,1175530,MKC
09/04/20,102.2,102.685,99.4,100.925,1151068,MKC
09/03/20,104.45,105.535,101.205,102.005,891504,MKC
09/02/20,103.5,105.215,103.165,104.89,847736,MKC
09/01/20,102.685,103.095,101.695,102.965,650474,MKC
08/31/20,102.225,103.435,102.1675,103.1,759276,MKC
08/28/20,102.56,102.81,101.375,102.295,573526,MKC
