Date, Open, High, Low, Close, Volume,ticker
12/24/20,576.48,582.68,567.86,573.08,148115,MKTX
12/23/20,594.49,601.415,571.82,572.97,179194,MKTX
12/22/20,580.15,590.78,578.12,590.32,318177,MKTX
12/21/20,575.64,579.4,560.245,578.44,400830,MKTX
12/18/20,579.62,580.66,571.59,578.88,462961,MKTX
12/17/20,563.52,578.9441,562.93,577.35,253241,MKTX
12/16/20,557.03,563.2,551.205,560.5,314781,MKTX
12/15/20,552.85,556.83,545.26,553.79,291169,MKTX
12/14/20,553.61,574.8,549.78,551.15,412856,MKTX
12/11/20,551.25,561.645,538.05,547.67,273529,MKTX
12/10/20,562.49,566.73,545.58,551.58,247230,MKTX
12/09/20,562.35,569.13,557.25,564.67,290764,MKTX
12/08/20,566.13,569.28,560.675,566.01,610134,MKTX
12/07/20,539.33,571.05,539.33,569.94,543866,MKTX
12/04/20,558.5,573.835,535.98,539.17,480537,MKTX
12/03/20,545.35,562.87,541.32,555.63,489666,MKTX
12/02/20,545.57,548.5,535.92,540.78,370690,MKTX
12/01/20,547.79,549.345,538.46,546.61,268793,MKTX
11/30/20,530.84,541.54,526.04,539.18,330478,MKTX
11/27/20,515.04,534.97,515.04,533.89,136566,MKTX
11/25/20,518.46,523.4275,507.1026,514.35,280134,MKTX
11/24/20,522.16,534.99,515.57,518.46,311867,MKTX
11/23/20,551.17,551.33,518.02,519.91,194725,MKTX
11/20/20,528.15,548.27,525.07,546.14,347658,MKTX
11/19/20,517.77,539.04,511.75,534.22,413208,MKTX
11/18/20,515.26,520.81,506.12,512.26,251746,MKTX
11/17/20,522.98,522.98,509.03,514.09,250005,MKTX
11/16/20,528.39,528.39,502.65,521.99,259381,MKTX
11/13/20,539.7,541.43,519.705,522.93,226071,MKTX
11/12/20,550.26,550.43,531.82,534.81,163491,MKTX
11/11/20,536.32,547.12,525.05,544.91,243344,MKTX
11/10/20,526.1,529.92,506.455,525.04,324167,MKTX
11/09/20,604.61,606.45,534.05,534.84,353820,MKTX
11/06/20,580.92,592.44,567.305,579.18,145026,MKTX
11/05/20,586.91,602.77,580.66,581.17,276568,MKTX
11/04/20,549.27,585.18,545.09,579.92,242994,MKTX
11/03/20,542.95,545.8,535.41,539.69,230163,MKTX
11/02/20,544.41,552.77,533.57,538.79,306741,MKTX
10/30/20,550.34,556.31,532.6,538.85,309605,MKTX
10/29/20,556.76,564.39,550.265,555.86,208132,MKTX
10/28/20,567.76,567.76,548.94,557.02,298214,MKTX
10/27/20,544.97,575.6,539.87,573.0,294747,MKTX
10/26/20,558.25,559.01,541.67,547.31,196706,MKTX
10/23/20,567.0,568.47,553.38,558.91,173853,MKTX
10/22/20,562.67,572.45,558.605,567.37,221674,MKTX
10/21/20,555.79,570.17,553.5662,558.08,176840,MKTX
10/20/20,543.01,558.32,541.17,549.99,231245,MKTX
10/19/20,541.51,549.5,537.32,539.26,157404,MKTX
10/16/20,543.36,547.65,535.45,538.07,188260,MKTX
10/15/20,530.97,544.11,528.63,540.48,174843,MKTX
10/14/20,541.0,546.25,534.27,535.43,143480,MKTX
10/13/20,534.07,542.36,534.07,540.09,204596,MKTX
10/12/20,525.27,536.345,523.15,532.23,195701,MKTX
10/09/20,519.86,524.25,519.38,522.05,110801,MKTX
10/08/20,513.01,519.41,511.67,518.42,124316,MKTX
10/07/20,505.0,512.935,504.8586,510.23,248870,MKTX
10/06/20,499.57,501.41,492.415,498.58,195778,MKTX
10/05/20,488.87,498.07,486.72,497.28,198901,MKTX
10/02/20,477.97,489.99,472.6012,482.52,168851,MKTX
10/01/20,483.91,487.78,480.405,482.97,171947,MKTX
09/30/20,487.52,492.59,477.91,481.59,270739,MKTX
09/29/20,473.7,491.18,473.07,485.43,328321,MKTX
09/28/20,467.18,478.13,464.755,476.05,242341,MKTX
09/25/20,450.69,465.655,450.69,465.1,152655,MKTX
09/24/20,448.23,463.59,447.835,452.12,202281,MKTX
09/23/20,449.84,458.39,447.3,449.46,208987,MKTX
09/22/20,442.77,447.08,437.07,446.95,248852,MKTX
09/21/20,434.33,443.71,434.33,443.0,296512,MKTX
09/18/20,446.84,449.4,437.89,438.66,381864,MKTX
09/17/20,458.03,458.03,444.22,447.49,260927,MKTX
09/16/20,468.85,472.71,461.36,461.92,175788,MKTX
09/15/20,463.91,465.53,461.64,464.06,188536,MKTX
09/14/20,457.93,465.41,457.89,461.85,267895,MKTX
09/11/20,455.08,459.8,448.57,453.07,166846,MKTX
09/10/20,462.08,467.64,450.68,451.53,191746,MKTX
09/09/20,457.18,463.745,450.41,458.67,209904,MKTX
09/08/20,449.34,455.0,441.12,449.62,357826,MKTX
09/04/20,469.09,470.11,451.02,454.45,247882,MKTX
09/03/20,489.23,489.61,467.6,471.23,211292,MKTX
09/02/20,489.44,499.2,487.53,494.09,234264,MKTX
09/01/20,489.51,491.07,486.45,490.42,144542,MKTX
08/31/20,484.64,492.015,484.38,485.94,278299,MKTX
08/28/20,501.6,501.6,482.99,484.37,158502,MKTX
08/27/20,495.3,506.77,494.38,496.2,132823,MKTX
08/26/20,487.28,505.0,484.42,499.41,182501,MKTX
08/25/20,486.45,487.03,479.5,484.49,132573,MKTX
08/24/20,499.86,501.12,486.7501,489.48,113092,MKTX
08/21/20,504.05,504.7,498.94,499.84,155184,MKTX
08/20/20,493.86,504.5,493.02,501.37,180038,MKTX
08/19/20,505.78,506.91,491.17,491.88,155988,MKTX
