Date, Open, High, Low, Close, Volume,ticker
12/24/20,114.14,115.29,113.92,115.13,372388,MMC
12/23/20,114.65,115.155,113.68,113.69,846435,MMC
12/22/20,114.63,115.08,113.885,114.4,1172547,MMC
12/21/20,115.62,116.05,112.54,115.05,1491054,MMC
12/18/20,118.36,118.6187,115.22,116.27,3792619,MMC
12/17/20,117.57,119.31,117.565,118.69,1435493,MMC
12/16/20,117.01,118.3156,116.58,117.12,1751378,MMC
12/15/20,115.5,117.29,115.15,116.65,2117630,MMC
12/14/20,116.28,116.79,114.8735,114.92,1733941,MMC
12/11/20,114.66,116.32,114.43,115.44,2363529,MMC
12/10/20,116.11,116.305,114.93,115.37,3355102,MMC
12/09/20,116.49,116.93,115.25,115.9,2087309,MMC
12/08/20,114.18,117.0,114.09,116.7,1859627,MMC
12/07/20,117.03,118.43,115.69,116.06,1511662,MMC
12/04/20,116.39,117.39,115.335,117.32,2077142,MMC
12/03/20,115.98,117.0,115.115,116.54,2452470,MMC
12/02/20,116.38,116.58,114.97,116.02,972355,MMC
12/01/20,115.35,116.99,115.17,116.34,1510327,MMC
11/30/20,114.26,114.74,113.32,114.64,2837053,MMC
11/27/20,115.0,115.79,114.15,114.36,564007,MMC
11/25/20,114.8,115.27,113.44,115.23,1633918,MMC
11/24/20,114.28,115.38,113.5,115.1,1667172,MMC
11/23/20,113.58,113.96,112.05,113.28,1110215,MMC
11/20/20,114.76,114.985,112.9,112.98,1295460,MMC
11/19/20,112.08,114.94,111.44,114.48,2282540,MMC
11/18/20,114.04,114.86,111.96,112.0,1856972,MMC
11/17/20,114.4,114.88,112.92,114.24,1467884,MMC
11/16/20,114.12,115.72,113.75,115.66,1783351,MMC
11/13/20,112.94,113.95,112.84,113.31,1381552,MMC
11/12/20,112.99,113.28,111.58,112.33,1372685,MMC
11/11/20,113.32,113.96,112.71,113.36,1231544,MMC
11/10/20,110.68,113.08,109.97,112.51,2118205,MMC
11/09/20,116.0,117.13,110.17,110.58,3255083,MMC
11/06/20,109.14,110.73,108.17,109.56,1405310,MMC
11/05/20,109.92,110.73,107.85,108.4,1573457,MMC
11/04/20,106.86,111.38,106.65,109.0,2234362,MMC
11/03/20,106.43,107.43,105.48,106.57,2343938,MMC
11/02/20,104.0,105.44,103.27,104.89,2567025,MMC
10/30/20,102.59,104.64,102.11,103.46,2797580,MMC
10/29/20,107.32,107.865,102.86,102.95,3065435,MMC
10/28/20,108.83,109.4,107.29,107.53,2524316,MMC
10/27/20,111.33,111.99,110.41,110.41,1088943,MMC
10/26/20,112.71,112.72,110.35,111.09,1438616,MMC
10/23/20,113.82,113.855,112.78,113.7,1275365,MMC
10/22/20,112.3,113.65,111.84,113.38,1050461,MMC
10/21/20,112.61,113.83,112.28,112.3,1145856,MMC
10/20/20,113.79,114.11,112.2351,112.47,1106411,MMC
10/19/20,115.18,115.56,112.84,113.03,1190913,MMC
10/16/20,114.66,115.98,114.34,114.94,1606906,MMC
10/15/20,113.76,115.12,113.3,114.36,1449037,MMC
10/14/20,115.4,116.28,114.27,114.51,1329401,MMC
10/13/20,116.26,117.56,114.37,114.95,1210225,MMC
10/12/20,115.3,117.18,115.27,116.59,1285789,MMC
10/09/20,115.19,116.51,114.23,115.71,1698181,MMC
10/08/20,114.61,115.6766,114.13,114.26,2141299,MMC
10/07/20,115.59,116.2,114.255,114.69,1605357,MMC
10/06/20,116.08,117.14,114.46,114.88,2185631,MMC
10/05/20,115.44,116.0939,114.68,115.66,1346729,MMC
10/02/20,113.42,115.8,113.185,114.56,1641639,MMC
10/01/20,115.03,115.45,113.59,114.23,2052302,MMC
09/30/20,114.55,115.835,113.58,114.7,2499631,MMC
09/29/20,114.32,114.89,113.17,114.05,1603562,MMC
09/28/20,114.1,115.85,113.26,114.54,2059318,MMC
09/25/20,112.4,113.37,110.71,112.96,2395149,MMC
09/24/20,114.42,114.74,112.54,112.73,1719634,MMC
09/23/20,116.17,117.07,114.46,114.54,1453462,MMC
09/22/20,116.28,117.61,114.97,116.27,1819233,MMC
09/21/20,116.44,116.76,114.47,116.27,2227821,MMC
09/18/20,117.53,119.4,117.27,117.67,3068865,MMC
