Date, Open, High, Low, Close, Volume,ticker
12/24/20,174.42,174.7923,173.42,174.52,656184,MMM
12/23/20,175.3,175.81099999999998,173.955,173.99,1762603,MMM
12/22/20,175.05,175.925,174.18,174.78,1381319,MMM
12/21/20,173.61,176.125,173.0338,175.66,1704598,MMM
12/18/20,176.76,177.46,175.11,176.42,4682043,MMM
12/17/20,176.0,177.46,175.39,176.65,2327857,MMM
12/16/20,174.61,175.85,174.35,175.41,1949884,MMM
12/15/20,174.39,175.055,172.55,174.68,2270590,MMM
12/14/20,175.67,176.2,172.99,173.08,3700396,MMM
12/11/20,172.3,174.65,172.1708,174.02,1875764,MMM
12/10/20,174.87,175.4,172.69,173.49,2228955,MMM
12/09/20,172.67,175.64,171.925,175.29,2790944,MMM
12/08/20,169.74,172.83,169.7,172.46,1731078,MMM
12/07/20,171.72,172.5,169.18,170.15,2526799,MMM
12/04/20,172.13,173.16,171.54,172.46,2663697,MMM
12/03/20,171.04,173.39,171.04,171.83,2377756,MMM
12/02/20,170.26,172.58,170.22,171.85,2421915,MMM
12/01/20,174.22,175.69,170.01,170.52,3859872,MMM
11/30/20,175.77,176.0,172.7,172.73,6141333,MMM
11/27/20,177.82,179.625,175.57,176.89,1267131,MMM
11/25/20,176.84,177.34,175.45,177.12,2052393,MMM
11/24/20,175.0,177.22,174.9,177.08,3086052,MMM
11/23/20,173.76,174.855,173.45,174.14,2065084,MMM
11/20/20,171.5,172.95,170.96,172.89,2657064,MMM
11/19/20,170.57,171.88,169.3,171.61,2986012,MMM
11/18/20,174.5,174.7,171.33,171.4,2615812,MMM
11/17/20,173.04,174.5,170.86,173.64,2589981,MMM
11/16/20,172.62,173.89,170.18,173.86,2434259,MMM
11/13/20,167.92,170.26,167.28,169.79,1813755,MMM
11/12/20,168.15,169.19,165.58,167.05,2217850,MMM
11/11/20,170.73,170.74,167.6,169.21,2884393,MMM
11/10/20,165.19,169.2727,163.86,169.14,3500448,MMM
11/09/20,174.13,175.43,163.15,163.43,4418106,MMM
11/06/20,163.66,164.3,161.57,163.02,1685324,MMM
11/05/20,162.16,164.41,162.02,163.2,2178474,MMM
11/04/20,162.75,165.3,159.9,160.16,3140859,MMM
11/03/20,164.86,166.83,163.7355,165.51,1896938,MMM
11/02/20,162.19,163.42,160.93,162.94,2116638,MMM
10/30/20,158.33,159.96,156.995,159.96,2234526,MMM
10/29/20,158.11,160.18,156.13,158.48,2680871,MMM
10/28/20,159.81,162.85,158.12,158.53,3065174,MMM
10/27/20,164.5,164.98,160.65,161.03,3894419,MMM
10/26/20,167.68,168.09,164.39,166.16,3338767,MMM
10/23/20,171.92,172.175,169.02,169.8,2137484,MMM
10/22/20,169.64,170.99,168.3901,170.71,1663268,MMM
10/21/20,170.34,172.11,169.07,169.17,1511112,MMM
10/20/20,170.5,173.19,169.99,170.95,1813211,MMM
10/19/20,171.02,172.35,168.87,169.55,1910123,MMM
10/16/20,169.94,172.07,169.215,170.97,2478787,MMM
10/15/20,166.05,169.68,165.8,169.08,1638271,MMM
10/14/20,167.01,169.54,166.79,168.4,1435365,MMM
10/13/20,168.3,169.45,166.0,166.63,1575448,MMM
10/12/20,169.47,170.61,168.1201,168.65,1533855,MMM
10/09/20,168.88,170.48,167.95,169.3,2015611,MMM
10/08/20,167.3,168.15,166.125,167.71,1902821,MMM
10/07/20,165.1,167.75,164.41,166.49,2155563,MMM
10/06/20,163.44,165.7,161.83,162.23,2022103,MMM
10/05/20,162.25,163.5,161.76,162.75,1457201,MMM
10/02/20,156.47,161.94,156.25,160.36,1769035,MMM
10/01/20,160.67,161.9,157.72,158.79,1989312,MMM
09/30/20,160.93,163.10299999999998,158.61,160.18,3056908,MMM
