Date, Open, High, Low, Close, Volume,ticker
12/24/20,41.89,41.92,41.1523,41.72,6055835,MO
12/23/20,42.68,43.07,42.62,42.87,7550134,MO
12/22/20,43.0,43.13,42.31,42.55,9073886,MO
12/21/20,43.11,43.18,42.58,42.94,10118620,MO
12/18/20,42.96,43.87,42.92,43.78,23929699,MO
12/17/20,42.97,43.12,42.71,43.0,8628717,MO
12/16/20,42.2,43.165,42.18,43.1,13036020,MO
12/15/20,42.83,42.93,42.04,42.18,14434780,MO
12/14/20,43.36,43.36,42.89,42.9,15216170,MO
12/11/20,42.62,43.135,42.62,43.0,8352803,MO
12/10/20,43.09,43.13,42.47,42.95,9647527,MO
12/09/20,42.37,43.17,42.29,42.98,16687910,MO
12/08/20,41.4,42.31,40.93,42.23,12791630,MO
12/07/20,41.49,41.77,41.04,41.69,9947486,MO
12/04/20,40.7,41.37,40.6,41.37,9814039,MO
12/03/20,40.23,40.53,39.925,40.42,14800250,MO
12/02/20,40.48,40.83,39.91,40.02,8990240,MO
12/01/20,40.08,40.88,40.01,40.49,10720850,MO
11/30/20,40.25,40.28,39.595,39.83,14473730,MO
11/27/20,40.4,40.54,39.97,40.37,4664461,MO
11/25/20,40.9,41.0,40.35,40.38,6483440,MO
11/24/20,40.81,41.54,40.67,41.0,10684050,MO
11/23/20,40.0,40.42,39.815,40.2,6678902,MO
11/20/20,39.84,40.1492,39.72,39.94,6057249,MO
11/19/20,40.01,40.41,39.361,40.06,8198094,MO
11/18/20,41.21,41.38,40.16,40.17,7850456,MO
11/17/20,41.12,41.48,40.8801,41.19,5204776,MO
11/16/20,40.81,41.52,40.52,41.48,7296003,MO
11/13/20,39.74,40.4,39.4,40.33,6553807,MO
11/12/20,39.56,39.66,38.9,39.5,7815246,MO
11/11/20,39.84,39.85,39.125,39.76,9146300,MO
11/10/20,38.7,39.71,38.4799,39.59,13246090,MO
11/09/20,38.74,39.43,38.11,38.17,16564689,MO
11/06/20,37.36,37.847,37.07,37.27,8016324,MO
11/05/20,38.44,38.46,37.3,37.31,9608734,MO
11/04/20,37.74,38.82,37.66,38.08,12802780,MO
11/03/20,36.72,37.57,36.71,37.39,10594130,MO
11/02/20,36.49,36.77,36.125,36.48,9370799,MO
10/30/20,36.25,36.75,35.83,36.08,12786620,MO
10/29/20,36.65,37.2,36.23,36.87,12650810,MO
10/28/20,36.58,37.14,36.28,36.72,12641130,MO
10/27/20,38.43,38.57,37.15,37.17,9627450,MO
10/26/20,38.88,38.94,38.23,38.57,7152807,MO
10/23/20,39.27,39.36,38.775,39.08,4504072,MO
10/22/20,38.63,39.06,38.435,38.99,4621924,MO
10/21/20,38.49,38.75,38.43,38.51,5799756,MO
10/20/20,39.47,39.5,38.63,38.7,7310573,MO
10/19/20,39.56,39.94,39.1217,39.18,5184329,MO
10/16/20,39.91,40.24,39.53,39.53,5972572,MO
10/15/20,39.16,39.74,39.05,39.7,4208299,MO
10/14/20,39.28,39.82,39.12,39.55,5089049,MO
10/13/20,40.38,40.42,39.32,39.38,8703962,MO
