Date, Open, High, Low, Close, Volume,ticker
12/24/20,125.94,129.7,122.7201,123.39,12720590,MRNA
12/23/20,120.05,132.0,115.0,130.34,41905039,MRNA
12/22/20,139.0,141.4,123.0,125.88,36126941,MRNA
12/21/20,140.84,147.26,137.79,138.3,23921051,MRNA
12/18/20,141.51,145.0,135.06,140.23,33157828,MRNA
12/17/20,137.92,146.97,137.3,144.0,32404461,MRNA
12/16/20,137.75,141.334,134.31,137.03,28476279,MRNA
12/15/20,157.0,157.28,142.46,147.22,36451262,MRNA
12/14/20,163.4,163.7611,152.5606,155.07,22467740,MRNA
12/11/20,159.7,163.75,155.89,156.93,22069859,MRNA
12/10/20,151.13,159.5,148.0101,155.69,22059971,MRNA
12/09/20,170.2,170.8,147.2,156.59,40951699,MRNA
12/08/20,165.75,170.51,164.3,169.86,27738721,MRNA
12/07/20,155.03,163.98,152.97,159.52,31409840,MRNA
12/04/20,157.59,157.82,148.51,152.52,27704830,MRNA
12/03/20,143.5,159.11,143.0101,157.26,38656512,MRNA
12/02/20,138.63,149.7999,128.1,143.0,51217328,MRNA
12/01/20,177.66,178.5,130.33,141.01,125552305,MRNA
11/30/20,144.0,153.8699,141.05,152.74,73203055,MRNA
11/27/20,115.12,130.06,114.86,127.03,43438500,MRNA
11/25/20,99.03,109.29,98.65,109.18,25850689,MRNA
11/24/20,98.4,99.89,93.54,98.56,12515340,MRNA
11/23/20,100.77,101.77,98.62,101.03,16359620,MRNA
11/20/20,95.0,98.43,94.82,97.61,15306300,MRNA
11/19/20,90.0,94.65,89.5114,92.77,16002020,MRNA
11/18/20,93.87,94.0,88.6103,88.89,21823449,MRNA
11/17/20,97.23,97.8,91.6,93.15,26171961,MRNA
11/16/20,100.31,103.2,93.3,97.95,70853055,MRNA
11/13/20,86.62,90.53,85.22,89.39,14176720,MRNA
11/12/20,85.18,87.93,83.83,87.81,21750391,MRNA
11/11/20,77.05,83.98,76.13,82.44,18576500,MRNA
11/10/20,80.0,80.38,73.52,76.05,10499400,MRNA
11/09/20,77.75,80.25,75.42,77.74,20266811,MRNA
11/06/20,71.42,74.16,70.87,72.45,5841047,MRNA
11/05/20,71.09,71.59,70.16,71.48,4449850,MRNA
11/04/20,68.97,71.55,68.9188,69.81,5442067,MRNA
11/03/20,66.75,69.25,66.59,69.08,4366928,MRNA
11/02/20,68.02,68.6,66.55,67.11,4650268,MRNA
10/30/20,70.8,71.49,66.85,67.47,7085797,MRNA
10/29/20,68.35,74.539,66.23,71.28,13776430,MRNA
10/28/20,68.95,69.47,65.4899,65.74,6043991,MRNA
10/27/20,70.45,71.35,68.81,70.67,3812879,MRNA
10/26/20,70.36,71.32,68.7,70.24,3872799,MRNA
10/23/20,72.3,72.3997,68.8,70.53,3735087,MRNA
10/22/20,68.50399999999999,72.53,68.4,70.84,5212065,MRNA
10/21/20,71.57,71.5784,68.06,68.37,4614813,MRNA
10/20/20,72.07,73.1,70.65,71.31,5441299,MRNA
10/19/20,73.97,74.09,70.5,70.96,6931283,MRNA
10/16/20,76.06,76.93,73.665,73.94,4693584,MRNA
10/15/20,75.48,76.49,73.7101,75.58,5014595,MRNA
10/14/20,80.01,80.01,76.3252,76.56,6643833,MRNA
10/13/20,75.93,81.37,75.52,78.29,13669190,MRNA
10/12/20,73.61,75.8514,72.92,75.31,7590764,MRNA
10/09/20,73.42,73.67,72.39,73.0,4774015,MRNA
10/08/20,73.5,73.76,72.01,72.93,4023816,MRNA
10/07/20,71.23,73.24,70.959,72.37,4190611,MRNA
10/06/20,72.0,73.92,70.31,71.04,7285512,MRNA
10/05/20,69.64,72.02,69.05,71.95,6518121,MRNA
10/02/20,67.9,72.77,67.25,68.81,8004919,MRNA
10/01/20,69.57,70.2,68.16,70.03,6838969,MRNA
09/30/20,72.51,75.39,70.16,70.75,15690710,MRNA
09/29/20,70.46,71.34,69.5851,70.52,6294318,MRNA
09/28/20,69.59,71.5,69.1,70.55,7337397,MRNA
09/25/20,65.887,69.73,65.67,69.47,9190629,MRNA
09/24/20,65.5,66.77,63.64,65.17,5565191,MRNA
09/23/20,67.865,68.62,65.77,67.16,6919352,MRNA
09/22/20,67.5,69.19,66.67,68.72,6303612,MRNA
09/21/20,68.6,69.48,65.46,69.26,8223034,MRNA
