Date, Open, High, Low, Close, Volume,ticker
12/24/20,221.42,223.61,221.2,222.75,10550570,MSFT
12/23/20,223.11,223.5589,220.8,221.02,18699641,MSFT
12/22/20,222.69,225.63,221.85,223.94,22643400,MSFT
12/21/20,217.55,224.0,217.2801,222.59,37181887,MSFT
12/18/20,218.59,219.69,216.02,218.59,63354922,MSFT
12/17/20,219.87,220.89,217.92,219.42,32515779,MSFT
12/16/20,214.75,220.11,214.72,219.28,35023246,MSFT
12/15/20,215.165,215.42,212.24,214.13,27018109,MSFT
12/14/20,213.1,216.21,212.88,214.2,28798381,MSFT
12/11/20,210.05,213.32,209.11,213.26,30979439,MSFT
12/10/20,211.77,213.08,210.36,210.52,26467020,MSFT
12/09/20,215.16,215.225,211.21400000000003,211.8,32440600,MSFT
12/08/20,213.97,216.95,212.89,216.01,23284090,MSFT
12/07/20,214.37,215.54,212.99,214.29,24620000,MSFT
12/04/20,214.22,215.38,213.18,214.36,24666039,MSFT
12/03/20,214.61,216.3757,213.65,214.24,25120920,MSFT
12/02/20,214.88,215.47,212.8,215.37,23724510,MSFT
12/01/20,214.51,217.32,213.35,216.21,30931320,MSFT
11/30/20,214.1,214.76,210.835,214.07,33064750,MSFT
11/27/20,214.85,216.27,214.04,215.23,14512210,MSFT
11/25/20,215.11,215.29,212.46,213.87,21012891,MSFT
11/24/20,209.59,214.25,208.86,213.86,33979727,MSFT
11/23/20,210.95,212.29,208.16,210.11,25683510,MSFT
11/20/20,212.2,213.285,210.0,210.39,22843119,MSFT
11/19/20,211.38,213.03,209.93,212.42,24792750,MSFT
11/18/20,213.65,215.17,210.93,211.08,28372789,MSFT
11/17/20,216.1,217.68,214.08,214.46,24154109,MSFT
11/16/20,214.87,217.74,214.52,217.23,24953340,MSFT
11/13/20,216.36,217.42,214.16,216.51,18630311,MSFT
11/12/20,217.21,219.11,214.46,215.44,21616119,MSFT
11/11/20,212.39,218.04,212.2,216.55,29440789,MSFT
11/10/20,214.5,216.5,209.72,211.01,44045121,MSFT
11/09/20,224.435,228.12,217.88,218.39,44394953,MSFT
11/06/20,222.26,224.36,218.03,223.72,25231900,MSFT
11/05/20,222.04,224.12,221.15,223.29,36080141,MSFT
11/04/20,214.02,218.32,212.4185,216.39,42311781,MSFT
11/03/20,203.89,208.12,203.12,206.43,27512029,MSFT
11/02/20,204.29,205.28,200.12,202.33,30842160,MSFT
10/30/20,203.5,204.29,199.62,202.47,36980113,MSFT
10/29/20,204.07,207.36,203.37,204.72,31432561,MSFT
10/28/20,207.67,208.84,202.1,202.68,51195594,MSFT
10/27/20,211.59,214.67,210.329,213.25,36700328,MSFT
10/26/20,213.85,216.3399,208.1,210.08,37111559,MSFT
10/23/20,215.03,216.28,213.16,216.23,18879609,MSFT
10/22/20,213.93,216.055,211.7,214.89,22351449,MSFT
10/21/20,213.12,216.92,213.12,214.8,22724910,MSFT
10/20/20,215.8,217.37,213.0901,214.65,22753510,MSFT
10/19/20,220.415,222.3,213.72,214.22,27625840,MSFT
10/16/20,220.15,222.29,219.32,219.66,26057881,MSFT
10/15/20,217.1,220.36,216.01,219.66,22733061,MSFT
10/14/20,223.0,224.22,219.13,220.86,23451711,MSFT
10/13/20,222.72,225.21,220.43,222.86,28950840,MSFT
10/12/20,218.79,223.86,216.81,221.4,40461367,MSFT
10/09/20,211.23,215.86,211.23,215.81,26458051,MSFT
10/08/20,210.51,211.19,208.32,210.58,19925840,MSFT
10/07/20,207.06,210.11,206.72,209.83,25681051,MSFT
10/06/20,208.82,210.18,204.82,205.91,28554260,MSFT
10/05/20,207.22,210.41,206.98,210.38,21331561,MSFT
10/02/20,208.0,210.99,205.54,206.19,33154781,MSFT
10/01/20,213.49,213.99,211.32,212.46,27158420,MSFT
09/30/20,207.73,211.98,206.54,210.33,33829090,MSFT
09/29/20,209.35,210.07,206.81,207.26,24464471,MSFT
09/28/20,210.88,212.57,208.06,209.44,32004939,MSFT
09/25/20,203.55,209.04,202.54,207.82,29437311,MSFT
09/24/20,199.85,205.57,199.2,203.19,31202490,MSFT
09/23/20,207.9,208.1,200.03,200.59,30803779,MSFT
09/22/20,205.06,208.1,202.075,207.42,33517070,MSFT
09/21/20,197.19,202.71,196.38,202.54,39839660,MSFT
09/18/20,202.8,203.65,196.25,200.39,55225328,MSFT
09/17/20,200.05,204.33,199.96,202.91,34011262,MSFT
09/16/20,210.62,210.65,204.64,205.05,26372461,MSFT
09/15/20,208.42,209.78,206.93,208.78,21823939,MSFT
09/14/20,204.24,209.2,204.03,205.41,30375770,MSFT
09/11/20,207.2,208.63,201.24,204.03,33620070,MSFT
09/10/20,213.4,214.74,204.11,205.37,35461512,MSFT
09/09/20,207.6,214.8399,206.7,211.29,45678992,MSFT
09/08/20,206.5,210.03,202.2,202.66,52924328,MSFT
09/04/20,215.1,218.3599,205.19,214.25,59664070,MSFT
09/03/20,229.27,229.31,214.9602,217.3,58400289,MSFT
09/02/20,227.97,232.86,227.35,231.65,34080840,MSFT
09/01/20,225.51,227.45,224.43,227.27,25791240,MSFT
08/31/20,227.0,228.7,224.31,225.53,28774160,MSFT
08/28/20,228.18,230.644,226.58,228.91,26292900,MSFT
08/27/20,222.89,231.15,219.4,226.58,57602199,MSFT
