Date, Open, High, Low, Close, Volume,ticker
12/24/20,169.0,169.19,167.37,168.47,239009,MSI
12/23/20,168.05,170.34,167.915,168.61,632986,MSI
12/22/20,165.06,167.875,164.783,167.45,718005,MSI
12/21/20,167.53,168.36,163.16,165.22,954219,MSI
12/18/20,169.15,171.025,168.71,170.26,1989545,MSI
12/17/20,167.63,170.39,166.86,169.65,1322726,MSI
12/16/20,168.08,168.84,164.77,166.92,1559294,MSI
12/15/20,167.02,168.8739,166.3,168.03,1605289,MSI
12/14/20,168.7,169.81,165.77,165.92,1903524,MSI
12/11/20,170.54,171.31,166.9277,168.4,2205804,MSI
12/10/20,173.06,174.29,170.65,171.86,846494,MSI
12/09/20,173.44,175.2,172.09,172.9,566654,MSI
12/08/20,169.32,172.86,168.34,172.48,1262478,MSI
12/07/20,170.45,171.96,169.92,170.46,457530,MSI
12/04/20,171.59,172.44,169.5,170.4,810342,MSI
12/03/20,170.83,172.55,168.6012,171.12,776128,MSI
12/02/20,170.63,171.745,169.02,171.06,721684,MSI
12/01/20,172.78,173.435,169.78,170.5,1202126,MSI
11/30/20,172.6,174.63,170.27,171.53,1513731,MSI
11/27/20,173.63,174.73,172.38,173.46,287616,MSI
11/25/20,172.0,175.41,171.33,172.13,1198301,MSI
11/24/20,170.96,172.575,170.47,171.87,861798,MSI
11/23/20,168.09,169.805,166.18,169.38,659741,MSI
11/20/20,169.35,170.58,166.0,167.3,1254899,MSI
11/19/20,166.61,169.28,165.39,169.16,400779,MSI
11/18/20,169.95,170.19,167.28,167.45,542824,MSI
11/17/20,172.08,172.93,169.43,169.57,769922,MSI
11/16/20,172.36,173.92,171.25,173.9,575661,MSI
11/13/20,169.32,172.42,168.7,170.5,493109,MSI
11/12/20,168.58,169.73,166.5,167.53,411083,MSI
11/11/20,169.04,170.0,167.24,169.73,533626,MSI
11/10/20,170.07,170.66,165.96,166.8,979853,MSI
11/09/20,171.94,175.71,169.915,170.26,1275373,MSI
11/06/20,162.27,165.79,161.2,164.48,992465,MSI
11/05/20,163.13,165.57,160.52,160.85,1098239,MSI
11/04/20,166.23,166.38,160.185,160.33,1408216,MSI
11/03/20,165.66,169.28,165.41,166.0,968139,MSI
11/02/20,160.0,164.77,159.88,163.47,1089812,MSI
10/30/20,160.5,161.82,156.3,158.06,1093292,MSI
10/29/20,163.9,165.39,160.89,162.89,1145696,MSI
10/28/20,169.14,170.415,164.35,164.49,1116934,MSI
10/27/20,172.04,175.24,171.92,172.36,854566,MSI
10/26/20,172.48,173.03,169.42,172.3,845351,MSI
10/23/20,173.18,176.92,171.71,174.78,1030272,MSI
10/22/20,170.88,171.48,168.845,169.06,729432,MSI
10/21/20,170.44,171.81,169.45,170.49,529990,MSI
10/20/20,170.15,171.6,168.79,168.9,893574,MSI
10/19/20,171.45,173.355,169.71,170.16,728450,MSI
10/16/20,171.42,172.82,169.79,170.91,1126395,MSI
10/15/20,165.9,174.94,165.885,171.59,1811157,MSI
10/14/20,167.39,168.71,166.26,166.92,436282,MSI
10/13/20,167.86,169.68,165.57,166.24,954269,MSI
10/12/20,167.53,168.84,166.01,168.33,653204,MSI
10/09/20,164.39,167.17,164.0,166.78,1274670,MSI
10/08/20,161.68,163.71,161.68,162.77,682923,MSI
10/07/20,158.46,160.505,157.54,160.31,833151,MSI
10/06/20,158.27,159.24,156.61,156.96,772306,MSI
10/05/20,158.0,158.65,156.59,157.51,721397,MSI
10/02/20,153.7,157.58,153.7,156.91,592751,MSI
10/01/20,158.0,158.85,155.34,156.79,715497,MSI
09/30/20,157.71,158.04,156.075,156.81,813833,MSI
09/29/20,157.28,158.96,157.265,157.65,696979,MSI
09/28/20,155.86,158.39,155.245,156.63,1163312,MSI
09/25/20,150.67,154.58,150.15,154.0,623996,MSI
09/24/20,151.65,152.87,149.81,151.69,1041416,MSI
09/23/20,157.14,157.885,152.11,152.2,1065824,MSI
09/22/20,153.17,157.385,152.39,157.27,893080,MSI
09/21/20,155.04,155.04,151.33,152.57,1382785,MSI
09/18/20,157.02,158.31,155.73,157.31,1483009,MSI
09/17/20,154.64,158.45,153.54,158.18,1382529,MSI
09/16/20,157.7,158.99,157.03,157.09,896580,MSI
09/15/20,156.81,157.77,156.4,156.8,557560,MSI
09/14/20,153.82,157.08,153.82,156.0,1574867,MSI
09/11/20,152.03,154.3,151.595,153.86,1232948,MSI
09/10/20,153.46,154.98,150.05,150.34,941334,MSI
09/09/20,154.08,155.37,152.73,153.57,685489,MSI
09/08/20,151.15,154.0,150.3169,152.49,1080207,MSI
09/04/20,154.04,155.46,151.24,153.04,1361567,MSI
09/03/20,156.51,157.22,152.1,153.52,1015510,MSI
09/02/20,154.0,157.965,153.53,157.09,902778,MSI
09/01/20,154.28,154.29,152.67,153.77,964215,MSI
08/31/20,153.04,155.25,152.33,154.75,1411664,MSI
08/28/20,151.69,153.94,151.55,153.58,759539,MSI
08/27/20,154.26,154.35,151.35,151.81,1418650,MSI
08/26/20,155.3,155.3,152.66,153.33,835453,MSI
08/25/20,154.44,155.31,153.9152,154.78,654288,MSI
08/24/20,151.48,153.99,151.48,153.97,905837,MSI
08/21/20,151.15,152.04,150.3,151.92,794185,MSI
08/20/20,148.68,151.72,148.44,151.61,1069761,MSI
08/19/20,150.0,151.49,149.53,150.46,1288415,MSI
08/18/20,147.58,149.98,147.08,149.8,1377637,MSI
08/17/20,145.77,147.4,145.77,147.36,981865,MSI
