Date, Open, High, Low, Close, Volume,ticker
12/24/20,1127.23,1148.4,1127.23,1140.19,43003,MTD
12/23/20,1130.0,1133.87,1114.45,1126.1,76535,MTD
12/22/20,1129.95,1138.39,1120.755,1125.53,111760,MTD
12/21/20,1122.24,1139.22,1100.14,1135.33,137171,MTD
12/18/20,1134.84,1139.27,1118.82,1134.83,320666,MTD
12/17/20,1119.53,1140.06,1113.915,1130.33,153128,MTD
12/16/20,1144.08,1149.545,1108.79,1111.26,156235,MTD
12/15/20,1149.93,1151.58,1141.185,1149.16,131793,MTD
12/14/20,1148.7,1168.01,1137.645,1139.26,142695,MTD
12/11/20,1145.62,1147.39,1129.775,1144.87,119331,MTD
12/10/20,1151.28,1156.155,1140.855,1151.82,81391,MTD
12/09/20,1157.82,1163.32,1142.67,1150.68,127212,MTD
12/08/20,1122.83,1165.93,1118.95,1161.33,124698,MTD
12/07/20,1130.33,1139.72,1119.1,1125.15,174173,MTD
12/04/20,1132.52,1140.6,1122.68,1131.75,172969,MTD
12/03/20,1146.9,1156.38,1129.24,1132.0,114956,MTD
12/02/20,1157.71,1161.42,1132.98,1139.75,92984,MTD
12/01/20,1156.8,1176.59,1151.33,1160.09,202914,MTD
11/30/20,1123.49,1151.55,1123.49,1150.04,177359,MTD
11/27/20,1125.95,1132.065,1120.415,1126.68,55947,MTD
11/25/20,1130.68,1134.12,1111.7,1125.16,132220,MTD
11/24/20,1147.93,1147.93,1123.53,1126.96,156991,MTD
11/23/20,1148.79,1155.425,1130.69,1138.68,99164,MTD
11/20/20,1149.28,1160.49,1140.63,1147.6,222998,MTD
11/19/20,1142.99,1154.2,1141.745,1147.34,101043,MTD
11/18/20,1190.7,1190.7,1139.76,1144.81,176626,MTD
11/17/20,1178.25,1196.62,1171.92,1193.36,135568,MTD
11/16/20,1186.81,1188.35,1168.37,1187.93,117526,MTD
11/13/20,1158.75,1184.89,1150.02,1181.38,127955,MTD
11/12/20,1137.56,1163.435,1132.695,1157.87,130580,MTD
11/11/20,1138.06,1149.98,1128.24,1134.4,186567,MTD
11/10/20,1182.11,1182.88,1122.8,1125.46,225221,MTD
11/09/20,1182.48,1215.43,1174.22,1179.58,186038,MTD
11/06/20,1205.75,1228.41,1156.61,1181.11,229800,MTD
11/05/20,1102.22,1110.06,1089.35,1103.74,169247,MTD
11/04/20,1082.17,1098.915,1075.655,1080.23,128850,MTD
11/03/20,1055.31,1080.94,1055.31,1065.5,97308,MTD
11/02/20,1018.88,1048.91,1017.67,1043.25,154787,MTD
10/30/20,995.86,1007.155,985.05,997.91,91239,MTD
10/29/20,1011.01,1017.12,999.52,1003.79,113593,MTD
10/28/20,1037.67,1043.87,1008.38,1009.26,111460,MTD
10/27/20,1050.87,1064.06,1045.29,1052.58,131104,MTD
10/26/20,1046.24,1054.5,1033.68,1045.29,68085,MTD
10/23/20,1067.99,1078.98,1050.24,1053.2,96742,MTD
10/22/20,1037.67,1068.44,1037.67,1063.23,115160,MTD
10/21/20,1034.12,1043.01,1030.2830000000001,1031.94,58530,MTD
10/20/20,1023.12,1049.39,1023.12,1030.61,76318,MTD
10/19/20,1029.3,1036.175,1014.225,1018.7,63537,MTD
10/16/20,1027.13,1042.24,1024.07,1029.77,74650,MTD
10/15/20,1012.08,1024.38,1012.08,1018.53,67231,MTD
10/14/20,1030.01,1044.83,1019.91,1022.39,94219,MTD
10/13/20,1025.0,1033.47,1020.48,1028.66,75765,MTD
