Date, Open, High, Low, Close, Volume,ticker
12/24/20,70.31,70.64,69.76,70.58,4848465,MU
12/23/20,70.47,71.055,69.89,69.95,8523980,MU
12/22/20,71.512,71.78,69.76,70.44,11165130,MU
12/21/20,70.0,71.6987,69.65,71.47,13180360,MU
12/18/20,72.7,73.45,71.06,71.46,23912510,MU
12/17/20,73.5877,73.74,71.7636,72.26,11988150,MU
12/16/20,74.19,74.35,72.625,72.99,13889270,MU
12/15/20,72.81,73.37,72.33,73.15,11545370,MU
12/14/20,71.4,72.2,71.03,71.54,13573730,MU
12/11/20,70.38,71.32,69.4,70.53,15321960,MU
12/10/20,70.14,71.9478,69.67,71.28,15610590,MU
12/09/20,73.15,74.605,70.78,71.41,18367270,MU
12/08/20,72.0,73.545,71.98,73.19,15431060,MU
12/07/20,73.29,73.4,71.48,72.61,17460609,MU
12/04/20,71.105,74.38,70.54,73.34,31860830,MU
12/03/20,70.57,71.12,69.55,69.9,20462289,MU
12/02/20,67.61,69.39,66.76,69.11,23298930,MU
12/01/20,65.245,68.625,65.14,67.08,36204113,MU
11/30/20,64.56,65.25,63.58,64.09,20373490,MU
11/27/20,63.83,64.8,63.51,64.23,7500221,MU
11/25/20,63.66,64.0,62.61,63.43,12468450,MU
11/24/20,64.288,64.288,62.89,63.95,22625590,MU
11/23/20,62.61,64.5,62.3,64.18,20612570,MU
11/20/20,61.48,62.635,61.35,61.4,14122260,MU
11/19/20,60.035,61.97,59.65,61.83,12723550,MU
11/18/20,61.5,62.04,60.625,60.74,18734471,MU
11/17/20,61.0,62.2,60.3,61.99,17703609,MU
11/16/20,59.715,61.91,59.61,61.86,31397250,MU
11/13/20,56.79,58.19,56.75,57.93,14328410,MU
11/12/20,56.6,56.97,55.89,56.25,13788740,MU
11/11/20,55.97,56.94,55.85,56.36,14765540,MU
11/10/20,55.129,55.94,54.36,55.41,14502120,MU
11/09/20,56.47,57.83,55.87,55.96,20968500,MU
11/06/20,54.46,55.41,54.33,55.16,13922600,MU
11/05/20,52.88,54.778999999999996,52.78,54.58,16373610,MU
11/04/20,51.73,52.5,50.93,51.96,13554360,MU
11/03/20,50.13,51.5902,50.01,51.08,11429520,MU
11/02/20,50.7865,50.7865,49.44,49.71,13103220,MU
10/30/20,50.01,50.43,49.3,50.34,15961140,MU
10/29/20,49.71,50.91,49.38,50.48,12420700,MU
10/28/20,50.75,50.85,49.57,50.0,15463710,MU
10/27/20,52.03,52.32,51.535,51.96,8964755,MU
10/26/20,52.4,52.89,51.4,52.14,11678900,MU
10/23/20,54.091,54.12,52.38,52.85,16175700,MU
