Date, Open, High, Low, Close, Volume,ticker
12/24/20,86.37,86.59,85.6372,86.58,276572,MXIM
12/23/20,86.44,87.03,85.76,85.82,1563803,MXIM
12/22/20,85.01,86.59,85.01,86.41,1037412,MXIM
12/21/20,85.67,85.88,84.49,85.2,1338574,MXIM
12/18/20,86.12,86.67,85.69,86.45,3606695,MXIM
12/17/20,85.97,86.05,85.21,85.84,1845501,MXIM
12/16/20,86.02,86.5,84.67,85.4,1321077,MXIM
12/15/20,86.24,86.78,85.97,86.29,1169660,MXIM
12/14/20,84.72,86.27,84.42,85.31,2942195,MXIM
12/11/20,83.77,84.995,83.41,84.21,2960186,MXIM
12/10/20,84.24,85.47,83.8,84.52,3235727,MXIM
12/09/20,87.66,87.79,84.46,84.99,2341040,MXIM
12/08/20,85.93,87.83,85.7,87.66,2126176,MXIM
12/07/20,86.26,86.65,85.64,86.28,1521211,MXIM
12/04/20,83.87,86.6,83.68,86.41,1807654,MXIM
12/03/20,84.08,85.03,83.74,84.01,1431528,MXIM
12/02/20,84.28,84.69,83.84,84.22,1597295,MXIM
12/01/20,83.71,84.99,83.05,84.22,1997164,MXIM
11/30/20,82.19,83.43,82.05,83.04,2510619,MXIM
11/27/20,81.91,83.09,81.64,82.41,967727,MXIM
11/25/20,81.5,82.35,80.58,81.38,1113461,MXIM
11/24/20,82.44,82.44,79.4,81.7,2104221,MXIM
11/23/20,80.52,81.89,80.52,81.75,1637387,MXIM
11/20/20,81.18,81.72,80.41,80.47,1613841,MXIM
11/19/20,78.04,81.31,78.04,81.18,1731659,MXIM
11/18/20,80.58,81.19,79.16,79.26,2690351,MXIM
11/17/20,81.35,81.95,80.32,80.76,4379056,MXIM
11/16/20,82.36,83.4,81.48,82.09,1824327,MXIM
11/13/20,81.08,82.03,80.78,81.18,2043119,MXIM
11/12/20,81.54,82.05,79.89,80.46,1744872,MXIM
11/11/20,80.75,82.56,80.55,81.78,2496325,MXIM
11/10/20,81.36,81.69,79.62,80.12,2362968,MXIM
11/09/20,80.69,83.68,80.53,81.07,4696192,MXIM
11/06/20,77.93,79.76,77.815,79.48,2292045,MXIM
11/05/20,75.73,78.17,75.37,77.89,2161058,MXIM
11/04/20,72.63,75.1,71.62,74.7,3096671,MXIM
11/03/20,70.05,71.63,70.04,70.8,2330751,MXIM
11/02/20,70.18,70.5,69.44,69.82,2982645,MXIM
10/30/20,69.37,70.08,68.8,69.65,2245924,MXIM
10/29/20,68.355,70.76,68.35,70.19,1633064,MXIM
10/28/20,69.83,70.4958,68.45,68.77,2445415,MXIM
10/27/20,71.74,71.94,70.7,70.72,1122150,MXIM
10/26/20,72.28,72.73,70.25,71.24,1714640,MXIM
10/23/20,73.42,73.85,72.58,72.87,2332000,MXIM
10/22/20,72.875,73.73,72.46,73.55,1149868,MXIM
10/21/20,72.69,74.22,72.54,73.48,2226197,MXIM
10/20/20,72.65,73.5134,72.26,72.79,2419761,MXIM
10/19/20,73.28,74.09,72.08,72.32,1537862,MXIM
10/16/20,73.96,74.66,73.03,73.09,2252150,MXIM
10/15/20,72.11,74.0,71.79,73.67,1530700,MXIM
10/14/20,73.43,73.6,72.77,72.95,1461517,MXIM
10/13/20,74.86,74.87,73.15,73.34,1763302,MXIM
10/12/20,73.77,74.83,73.67,74.71,2778713,MXIM
10/09/20,71.94,73.87,71.94,73.0,7248571,MXIM
10/08/20,70.3,71.7,70.3,71.44,5187373,MXIM
10/07/20,68.19,70.21,68.18,70.07,4496642,MXIM
10/06/20,67.84,69.72,67.48,67.6,2758748,MXIM
10/05/20,66.6,68.33,66.54,68.25,4678799,MXIM
10/02/20,68.32,68.7,66.3,66.38,2527641,MXIM
10/01/20,68.42,69.51,68.35,69.28,2936361,MXIM
09/30/20,68.02,68.84,67.38,67.61,3008075,MXIM
09/29/20,67.02,68.67,66.95,67.84,1895978,MXIM
09/28/20,66.52,68.1,66.28,68.02,2460180,MXIM
09/25/20,64.57,65.69,63.74,65.53,2281995,MXIM
09/24/20,64.07,65.8,64.0028,64.96,2650510,MXIM
09/23/20,65.91,66.52,64.39,64.6,2404149,MXIM
09/22/20,65.32,65.9364,64.71,65.83,3140046,MXIM
09/21/20,65.30199999999999,65.58,64.31,65.15,2839499,MXIM
09/18/20,67.0,67.415,65.78,66.14,8192248,MXIM
09/17/20,65.56,67.16,65.21,66.94,2645040,MXIM
09/16/20,67.55,68.37,66.78,67.06,2630978,MXIM
09/15/20,66.81,67.74,66.67,67.09,2917176,MXIM
09/14/20,66.63,67.02,65.9118,66.35,2825797,MXIM
09/11/20,66.92,67.16,65.26,66.0,3685154,MXIM
09/10/20,67.05,67.78,65.91,66.35,4067989,MXIM
09/09/20,65.99,67.31,65.99,66.96,3523917,MXIM
09/08/20,66.96,67.53,65.3,65.36,5265558,MXIM
09/04/20,68.07,69.05,66.6,68.68,4170152,MXIM
09/03/20,70.49,70.49,68.09,68.55,5608428,MXIM
09/02/20,69.74,71.37,69.47,70.71,6200884,MXIM
09/01/20,68.73,69.37,68.23,69.345,2261219,MXIM
08/31/20,69.45,69.9,68.2,68.44,7851012,MXIM
08/28/20,69.86,70.39,69.62,70.22,2096897,MXIM
08/27/20,70.94,70.94,69.34,70.04,1905505,MXIM
08/26/20,70.0,70.88,69.58,70.305,3363210,MXIM
08/25/20,68.96,70.88,68.95,70.82,1982752,MXIM
08/24/20,69.04,69.33,68.44,69.1,1357730,MXIM
08/21/20,68.76,68.88,68.08,68.51,2526404,MXIM
08/20/20,68.82,69.35,68.39,68.995,2360142,MXIM
