Date, Open, High, Low, Close, Volume,ticker
12/24/20,127.98,128.74,127.59,128.62,191829,NDAQ
12/23/20,130.49,130.74,127.94,127.95,493169,NDAQ
12/22/20,127.03,130.38,126.74,129.9,1041181,NDAQ
12/21/20,127.82,128.565,124.275,128.05,1112400,NDAQ
12/18/20,128.19,129.64,127.95,128.6,1709452,NDAQ
12/17/20,127.84,129.47,127.3,128.5,1051413,NDAQ
12/16/20,127.9,128.31,126.7052,127.1,1110395,NDAQ
12/15/20,124.79,128.3699,124.645,127.29,851863,NDAQ
12/14/20,126.72,128.1,123.9,124.04,640599,NDAQ
12/11/20,124.56,125.97,124.01,125.67,550572,NDAQ
12/10/20,125.75,126.36,124.63,124.99,702435,NDAQ
12/09/20,128.89,129.66,124.08,126.1,971481,NDAQ
12/08/20,128.5,129.2,127.3,128.65,621371,NDAQ
12/07/20,125.46,128.96,125.45,128.56,1696051,NDAQ
12/04/20,124.86,127.0,124.68,125.3,850148,NDAQ
12/03/20,126.87,127.04,123.27,124.9,1865661,NDAQ
12/02/20,129.71,130.0,128.25,129.36,569322,NDAQ
12/01/20,127.3296,130.395,127.3296,129.91,730211,NDAQ
11/30/20,127.02,128.2799,126.43,127.99,1037599,NDAQ
11/27/20,126.97,127.51,126.28,127.12,517646,NDAQ
11/25/20,127.19,128.2049,127.035,127.33,745308,NDAQ
11/24/20,126.13,127.72,126.05,127.27,914070,NDAQ
11/23/20,126.8,127.47,124.84,126.01,708497,NDAQ
11/20/20,125.19,127.37,124.66,126.33,945854,NDAQ
11/19/20,124.1,126.7,122.86,124.76,1111644,NDAQ
11/18/20,124.03,124.16,122.23,122.73,1001354,NDAQ
11/17/20,125.89,126.05,123.655,124.33,991827,NDAQ
11/16/20,126.56,126.56,124.13,125.53,1092943,NDAQ
11/13/20,127.45,128.21,125.31,125.82,773297,NDAQ
11/12/20,130.27,130.275,126.455,126.85,631494,NDAQ
11/11/20,127.59,131.32,127.53,129.79,659001,NDAQ
11/10/20,129.27,129.98,126.05,127.13,1240007,NDAQ
11/09/20,139.5,139.5,129.25,129.68,1014111,NDAQ
11/06/20,133.22,133.97,131.81,133.2,599808,NDAQ
11/05/20,129.56,133.85,129.56,133.21,845567,NDAQ
11/04/20,126.04,131.53,126.03,129.3,686757,NDAQ
11/03/20,125.08,126.9699,124.17,124.91,430697,NDAQ
11/02/20,122.45,124.89,122.26,123.18,530388,NDAQ
10/30/20,121.06,122.98,119.76,120.99,820433,NDAQ
10/29/20,121.73,123.69,120.75,122.01,604127,NDAQ
10/28/20,123.75,124.375,121.02,121.73,605368,NDAQ
10/27/20,127.74,128.3,125.07,125.1,532860,NDAQ
10/26/20,127.76,128.37,126.57,127.38,627148,NDAQ
10/23/20,130.56,130.56,127.43,129.12,578725,NDAQ
10/22/20,133.17,133.17,129.98,130.09,602280,NDAQ
10/21/20,130.47,134.04,128.0,132.37,1105913,NDAQ
10/20/20,127.51,131.08,127.51,128.99,884842,NDAQ
10/19/20,129.71,130.1,127.39,127.48,886839,NDAQ
10/16/20,128.658,129.9,127.88,128.87,727510,NDAQ
