Date, Open, High, Low, Close, Volume,ticker
12/24/20,59.69,60.56,59.56,60.48,1857714,NEM
12/23/20,59.58,60.3086,59.57,59.78,3898084,NEM
12/22/20,60.87,61.03,59.14,59.41,5102514,NEM
12/21/20,60.61,61.24,60.01,60.72,4843199,NEM
12/18/20,61.64,61.68,60.48,60.5,10365890,NEM
12/17/20,61.18,62.29,61.06,61.64,7229154,NEM
12/16/20,59.48,60.4,59.01,60.24,5409063,NEM
12/15/20,58.67,59.5,58.24,59.04,4981191,NEM
12/14/20,58.86,59.42,57.53,57.56,5781165,NEM
12/11/20,59.0,59.73,58.58,58.87,4973311,NEM
12/10/20,59.74,60.45,59.095,59.18,6292048,NEM
12/09/20,61.15,61.31,59.66,59.98,5985827,NEM
12/08/20,62.01,62.01,61.0,61.51,4363527,NEM
12/07/20,59.66,62.12,59.4,61.44,7157396,NEM
12/04/20,59.39,59.86,59.01,59.44,5107552,NEM
12/03/20,60.2,60.61,59.21,59.51,5479891,NEM
12/02/20,60.08,60.56,59.585,59.96,6802296,NEM
12/01/20,59.68,60.355,58.46,60.21,10437730,NEM
11/30/20,57.88,58.91,57.46,58.82,10965570,NEM
11/27/20,57.14,58.62,56.76,58.48,3749912,NEM
11/25/20,57.66,58.14,57.31,57.78,7267148,NEM
11/24/20,57.31,57.71,56.55,56.87,11441070,NEM
11/23/20,60.88,61.22,58.58,58.68,9081650,NEM
11/20/20,62.02,62.38,61.13,61.65,5344825,NEM
11/19/20,60.96,61.49,60.43,61.41,7013948,NEM
11/18/20,64.4,64.4,61.49,61.56,5933250,NEM
11/17/20,65.36,65.74,64.44,64.53,4261334,NEM
11/16/20,65.4,66.1155,64.92,65.67,3502932,NEM
11/13/20,66.0,66.05,65.34,65.71,3452367,NEM
11/12/20,66.0,66.22,64.87,65.02,5337773,NEM
11/11/20,64.31,65.66,63.31,65.63,8060288,NEM
11/10/20,65.55,65.98,64.245,64.89,7129301,NEM
11/09/20,64.25,66.51,62.87,66.01,10766790,NEM
11/06/20,68.39,68.45,67.5,68.14,4665030,NEM
11/05/20,66.94,68.3,66.7,67.85,8509707,NEM
11/04/20,66.67,66.87,64.945,65.08,8415316,NEM
11/03/20,65.1,67.25,65.1,66.67,7474022,NEM
11/02/20,63.25,64.93,62.61,64.73,8314400,NEM
10/30/20,60.94,62.97,60.8037,62.84,9150912,NEM
10/29/20,58.88,61.47,58.46,60.34,7026379,NEM
10/28/20,60.54,60.55,58.29,58.65,9871170,NEM
10/27/20,60.57,61.798,60.275,61.65,4457781,NEM
10/26/20,59.97,61.03,59.8,60.32,3783149,NEM
10/23/20,60.38,60.99,60.02,60.47,3243331,NEM
10/22/20,60.82,60.935,59.84,60.54,5104936,NEM
10/21/20,61.67,62.38,61.26,61.48,5037206,NEM
10/20/20,61.89,62.1,60.89,61.19,4656229,NEM
10/19/20,63.15,63.34,61.57,61.71,3138336,NEM
10/16/20,63.15,63.34,62.51,62.67,3583335,NEM
10/15/20,63.18,63.64,62.48,63.0,4091841,NEM
10/14/20,63.4,64.33,62.9,64.0,4353698,NEM
10/13/20,62.51,62.85,61.625,62.76,4050724,NEM
10/12/20,62.71,63.465,62.5,62.93,3875099,NEM
10/09/20,62.72,62.92,61.85,62.82,4874957,NEM
10/08/20,61.47,62.16,61.21,61.72,3914007,NEM
10/07/20,61.36,61.78,60.89,61.17,4121259,NEM
10/06/20,63.3,63.73,60.77,60.82,6970384,NEM
10/05/20,62.3,63.95,62.27,63.13,4477141,NEM
10/02/20,62.64,63.4,62.15,62.29,4646045,NEM
10/01/20,64.0,64.1,62.66,62.83,6503170,NEM
09/30/20,62.49,63.9,61.85,63.45,7212923,NEM
09/29/20,62.5,63.45,62.39,62.77,4133636,NEM
09/28/20,62.0,62.83,61.305,62.13,5400750,NEM
09/25/20,60.72,61.66,60.53,61.42,3833838,NEM
09/24/20,59.72,62.18,59.28,61.44,6268285,NEM
09/23/20,62.99,63.09,59.8,60.22,9235802,NEM
09/22/20,63.78,64.34,62.5173,63.45,6165843,NEM
09/21/20,63.4,64.29,62.72,63.67,9673571,NEM
09/18/20,66.21,66.79,64.54,64.71,12537400,NEM
09/17/20,66.15,66.59,65.38,66.32,6656620,NEM
09/16/20,67.84,68.44,67.225,67.29,5526964,NEM
09/15/20,68.0,68.57,67.05,67.55,4301790,NEM
09/14/20,66.65,67.58,66.54,67.38,5007904,NEM
09/11/20,67.12,67.63,65.81,66.22,4065090,NEM
09/10/20,68.67,68.84899999999999,66.37,66.49,4837708,NEM
09/09/20,66.17,68.42,66.16,68.17,5519342,NEM
09/08/20,64.38,66.925,63.425,65.77,6152397,NEM
09/04/20,65.66,65.82,63.35,65.35,6969446,NEM
09/03/20,66.86,67.05,64.76,66.13,7148243,NEM
09/02/20,66.0,67.55,64.77,67.53,7384225,NEM
09/01/20,68.49,68.55,65.86,67.02,6145484,NEM
08/31/20,66.98,68.22,66.68,67.28,6040618,NEM
08/28/20,65.78,67.09,65.28,66.71,4472896,NEM
08/27/20,66.79,66.79,63.71,64.76,4858076,NEM
08/26/20,64.16,65.77,63.97,65.67,4141448,NEM
08/25/20,65.03,65.1,63.26,64.86,4179754,NEM
08/24/20,66.45,66.51,64.78,65.2,4546862,NEM
08/21/20,66.74,66.74,65.22,65.57,5430209,NEM
08/20/20,65.98,67.53,65.73,67.23,4623175,NEM
08/19/20,67.18,68.255,65.39,65.98,6093671,NEM
08/18/20,69.8,69.81,66.7566,67.7,5309230,NEM
08/17/20,66.12,68.37,65.56,68.35,8442142,NEM
08/14/20,64.22,64.53,63.36,63.85,3869244,NEM
08/13/20,64.03,64.71,63.34,64.11,5629406,NEM
08/12/20,64.47,64.63,62.685,62.99,8273214,NEM
08/11/20,64.59,64.94,62.65,62.87,11407200,NEM
08/10/20,69.25,70.4,67.51,67.89,5607054,NEM
08/07/20,69.02,69.49,68.36,68.91,6067999,NEM
08/06/20,71.19,71.34,69.35,70.11,6786530,NEM
08/05/20,71.76,72.22,69.78,70.37,7682251,NEM
08/04/20,68.37,70.45,67.3,70.25,7627111,NEM
08/03/20,69.2,69.4,67.49,68.15,6140288,NEM
07/31/20,66.61,69.22,65.76,69.2,8989396,NEM
07/30/20,66.21,67.86,64.53,65.66,7179225,NEM
07/29/20,68.78,68.84,66.85,67.89,7333890,NEM
07/28/20,67.89,69.23,67.23,68.59,6533364,NEM
07/27/20,68.69,70.3,68.09,69.04,12918320,NEM
07/24/20,66.26,66.8,65.85,66.75,6951011,NEM
07/23/20,65.7,67.08,64.635,65.77,9992817,NEM
07/22/20,64.72,65.55,63.97,65.47,7099405,NEM
07/21/20,65.0,65.45,63.86,64.29,7196001,NEM
07/20/20,63.48,64.44,63.21,64.19,7338451,NEM
07/17/20,62.08,63.16,61.77,62.92,6963308,NEM
07/16/20,61.81,62.61,61.205,61.55,6165542,NEM
07/15/20,61.65,62.18,60.41,62.14,5705264,NEM
07/14/20,59.37,61.8,59.05,61.77,6881618,NEM
07/13/20,62.57,62.73,59.46,59.54,8324415,NEM
07/10/20,62.63,63.05,61.62,61.88,6188959,NEM
07/09/20,64.27,64.54,61.56,62.73,8702212,NEM
07/08/20,63.79,64.235,62.7,63.43,10902270,NEM
07/07/20,60.86,62.6433,60.84,62.47,9097319,NEM
07/06/20,61.85,62.31,60.495,61.18,8335656,NEM
07/02/20,60.89,61.99,60.22,60.96,8076849,NEM
07/01/20,61.77,61.77,59.595,61.36,10870870,NEM
06/30/20,59.57,61.97,59.1765,61.74,9284100,NEM
06/29/20,59.48,59.95,58.66,59.54,7236440,NEM
06/26/20,58.39,60.09,57.69,59.34,18586650,NEM
06/25/20,58.47,58.71,57.47,58.59,6045610,NEM
06/24/20,58.73,59.55,57.77,58.41,8164901,NEM
06/23/20,59.57,59.9,58.67,58.91,12777570,NEM
06/22/20,58.34,59.89,57.81,58.22,14243260,NEM
06/19/20,56.51,57.395,55.77,56.92,19066240,NEM
06/18/20,55.62,56.63,55.24,55.53,9728773,NEM
06/17/20,56.27,56.94,55.23,55.58,10072510,NEM
06/16/20,56.9,57.57,55.51,55.95,10934040,NEM
06/15/20,54.09,57.1399,53.16,56.85,12170770,NEM
06/12/20,56.88,56.99,55.12,55.45,8708265,NEM
06/11/20,59.15,59.88,54.99,56.04,15915100,NEM
06/10/20,58.25,58.86,55.77,58.73,12081200,NEM
06/09/20,57.105,57.445,55.73,57.17,11910610,NEM
06/08/20,54.39,55.64,53.5,55.54,9502271,NEM
06/05/20,53.96,54.98,52.33,54.76,13454160,NEM
06/04/20,57.0,57.66,55.41,55.9,10132810,NEM
06/03/20,56.89,57.65,55.16,56.02,11839460,NEM
06/02/20,60.9,60.905,57.95,58.47,7525664,NEM
06/01/20,58.95,60.51,58.81,60.49,8057361,NEM
05/29/20,60.0,60.3,58.39,58.47,23792891,NEM
05/28/20,60.14,60.38,57.94,58.72,8499969,NEM
05/27/20,57.11,58.74,55.75,58.73,14701720,NEM
05/26/20,61.73,61.75,59.0,59.21,11325280,NEM
05/22/20,64.34,64.9774,62.78,63.05,4512970,NEM
05/21/20,65.0,65.04,62.295,63.48,7481043,NEM
05/20/20,67.38,67.75,65.51,65.72,7607895,NEM
05/19/20,66.62,69.1326,66.35,67.38,7241560,NEM
05/18/20,68.14,68.77,65.88,66.26,8210840,NEM
05/15/20,67.96,68.47,67.0,67.9,7419321,NEM
05/14/20,64.17,67.1,64.08,66.64,8611333,NEM
05/13/20,63.34,64.495,62.575,63.89,6876350,NEM
05/12/20,63.2,64.47,62.35,62.48,5181662,NEM
05/11/20,64.07,64.81,61.83,62.95,5997743,NEM
05/08/20,64.98,66.0601,64.07,64.55,6371269,NEM
05/07/20,63.34,65.37,62.715,64.56,7034085,NEM
05/06/20,64.02,64.93,62.27,62.43,7239545,NEM
05/05/20,62.69,65.06,61.33,64.91,7367445,NEM
05/04/20,62.1,63.13,61.21,62.74,8285087,NEM
05/01/20,58.65,61.31,58.2106,60.99,6214063,NEM
04/30/20,61.25,62.31,59.36,59.48,6981751,NEM
04/29/20,62.01,62.8,60.92,62.35,7349170,NEM
04/28/20,61.58,63.24,60.93,62.67,6062331,NEM
04/27/20,63.26,63.68,60.86,62.61,5424362,NEM
04/24/20,63.55,63.88,61.76,63.11,6972376,NEM
04/23/20,62.64,64.65,62.21,62.44,7648285,NEM
04/22/20,60.95,62.15,60.5,61.73,8482409,NEM
04/21/20,58.49,60.04,57.64,59.27,8977754,NEM
04/20/20,59.13,60.22,58.5,59.54,8867455,NEM
04/17/20,57.08,59.44,57.08,59.23,10473250,NEM
04/16/20,57.85,60.0,57.85,59.9,7570806,NEM
04/15/20,58.54,59.703,57.06,58.22,8304205,NEM
04/14/20,60.08,61.53,58.81,59.89,11337930,NEM
04/13/20,57.22,60.46,56.333,59.77,11329710,NEM
04/09/20,51.13,57.7,51.13,57.31,15206680,NEM
04/08/20,49.79,50.78,49.36,50.53,5422042,NEM
04/07/20,50.07,51.41,49.36,49.96,7002326,NEM
04/06/20,48.43,51.14,48.43,50.11,10793400,NEM
04/03/20,48.27,49.6,47.07,47.15,7800408,NEM
04/02/20,47.07,49.75,46.56,48.23,9183962,NEM
04/01/20,45.04,47.29,44.78,46.47,8534141,NEM
03/31/20,45.68,47.7,44.585,45.28,10544690,NEM
03/30/20,46.4,48.8,45.64,46.36,8988446,NEM
03/27/20,47.26,48.89,45.71,46.35,8735348,NEM
03/26/20,48.19,50.29,46.92,48.28,10894130,NEM
03/25/20,47.15,48.95,45.27,47.54,11293860,NEM
03/24/20,45.12,48.3,43.61,47.5,11861270,NEM
03/23/20,41.44,43.9428,40.39,41.66,11250240,NEM
03/20/20,42.35,43.02,39.15,40.56,11641520,NEM
03/19/20,41.44,46.36,37.1301,41.74,10520340,NEM
03/18/20,44.48,46.8673,40.01,41.57,12221080,NEM
03/17/20,40.6,46.472,40.58,45.8,13940540,NEM
03/16/20,34.38,43.19,33.0,40.73,17769510,NEM
03/13/20,45.91,46.2,39.39,39.5,17784410,NEM
03/12/20,41.34,47.85,39.5285,44.44,14944780,NEM
03/11/20,47.46,48.3,44.86,46.02,11533310,NEM
03/10/20,48.55,48.91,46.37,48.38,13334660,NEM
03/09/20,50.0,50.58,47.75,47.78,12440450,NEM
03/06/20,52.18,52.495,50.16,52.35,12278100,NEM
03/05/20,51.21,52.24,50.425,52.08,9960677,NEM
03/04/20,50.2,51.07,48.55,51.0,10207140,NEM
03/03/20,47.05,50.94,46.54,49.73,18278770,NEM
03/02/20,45.65,46.91,45.39,46.83,12708760,NEM
02/28/20,43.69,44.97,42.37,44.63,20172199,NEM
02/27/20,49.94,50.17,46.42,46.53,13346830,NEM
02/26/20,48.88,49.835,48.51,49.4,8875701,NEM
02/25/20,49.5,51.07,49.0645,49.14,11595010,NEM
02/24/20,51.15,51.34,49.98,50.26,14746610,NEM
02/21/20,48.96,49.59,48.34,49.44,10402950,NEM
02/20/20,46.59,48.99,46.4,48.1,12255870,NEM
02/19/20,45.75,46.42,45.6,46.17,8137475,NEM
02/18/20,44.31,45.73,44.26,45.58,7515238,NEM
02/14/20,43.88,44.34,43.8,44.07,6226629,NEM
02/13/20,44.35,44.38,43.78,44.01,6076752,NEM
02/12/20,44.1,44.3599,43.62,43.89,4985059,NEM
02/11/20,44.41,44.67,44.055,44.22,4584759,NEM
02/10/20,44.09,44.64,44.025,44.42,4596523,NEM
02/07/20,44.58,44.69,43.93,44.02,4691388,NEM
02/06/20,44.33,44.6,44.17,44.39,4994979,NEM
02/05/20,44.07,44.47,43.85,44.3,7318074,NEM
02/04/20,44.92,44.97,43.53,44.23,10062720,NEM
02/03/20,44.82,45.705,44.8,45.59,8395271,NEM
01/31/20,44.95,45.41,44.87,45.06,7670925,NEM
01/30/20,44.9,45.22,44.43,44.97,6522019,NEM
01/29/20,44.3,44.71,44.04,44.62,4065281,NEM
01/28/20,44.21,44.485,43.74,44.3,6324457,NEM
01/27/20,44.83,45.36,44.245,44.56,7132008,NEM
01/24/20,43.65,44.36,43.46,44.29,5677481,NEM
01/23/20,43.25,43.925,43.13,43.7,5526681,NEM
01/22/20,43.74,43.86,43.42,43.78,4257450,NEM
01/21/20,43.23,43.76,43.09,43.71,7471448,NEM
01/17/20,43.84,44.01,43.36,43.48,9702501,NEM
01/16/20,43.45,43.84,43.09,43.82,5895460,NEM
01/15/20,42.99,43.65,42.87,43.52,5997862,NEM
01/14/20,42.27,42.85,42.11,42.83,6072738,NEM
01/13/20,42.53,42.905,42.36,42.45,4811479,NEM
01/10/20,41.73,42.35,41.7,42.27,6673100,NEM
01/09/20,41.74,42.26,41.55,41.66,6096205,NEM
01/08/20,43.26,43.39,41.96,42.08,9456345,NEM
01/07/20,43.16,43.52,42.98,43.23,9392397,NEM
01/06/20,43.76,43.85,42.98,43.26,10416490,NEM
01/03/20,43.75,44.04,42.79,42.83,9149101,NEM
01/02/20,43.55,43.875,43.19,43.22,5870534,NEM
12/31/19,44.0,44.08,43.22,43.45,6608857,NEM
12/30/19,42.82,43.885,42.82,43.75,5950727,NEM
12/27/19,42.56,43.04,42.55,42.71,4971816,NEM
12/26/19,42.4,42.73,42.28,42.69,4441347,NEM
12/24/19,41.95,42.34,41.82,42.18,5370185,NEM
12/23/19,41.0,41.83,40.85,41.77,8137065,NEM
12/20/19,40.94,41.21,40.77,40.93,12074080,NEM
12/19/19,41.0,41.07,40.63,40.88,5743257,NEM
12/18/19,40.47,40.99,40.35,40.98,9230575,NEM
12/17/19,41.1,41.21,40.42,40.47,6555460,NEM
12/16/19,41.39,41.45,40.735,40.99,6745603,NEM
12/13/19,40.78,41.41,40.66,41.29,5542649,NEM
12/12/19,41.1,41.28,40.5701,41.12,7604761,NEM
12/11/19,40.33,40.945,40.15,40.9,7982007,NEM
12/10/19,39.81,40.04,39.59,39.99,7025258,NEM
12/09/19,40.12,40.19,39.54,39.72,6313865,NEM
12/06/19,39.38,40.005,39.38,39.8,6397858,NEM
12/05/19,39.12,40.19,39.08,40.0,9989346,NEM
12/04/19,39.09,39.55,39.03,39.13,6389709,NEM
12/03/19,39.03,39.61,38.89,39.38,9593960,NEM
12/02/19,38.3,39.05,38.25,38.74,6763007,NEM
11/29/19,38.18,38.565,38.12,38.4,2883943,NEM
11/27/19,37.83,38.375,37.83,38.18,3772729,NEM
