Date, Open, High, Low, Close, Volume,ticker
12/24/20,141.1,142.19,141.1,141.6,1821900,NKE
12/23/20,142.56,143.6,141.7,141.76,3388279,NKE
12/22/20,143.05,143.47,141.09,142.45,6341604,NKE
12/21/20,144.82,147.95,142.51,144.02,16111270,NKE
12/18/20,141.09,141.14,137.17,137.28,17970789,NKE
12/17/20,139.92,140.74,138.75,140.5,8726997,NKE
12/16/20,139.07,140.49,137.46,138.34,6573449,NKE
12/15/20,137.43,139.44,137.2491,139.39,7642595,NKE
12/14/20,138.92,139.0,136.2,136.28,7598952,NKE
12/11/20,137.39,138.14,136.23,137.41,4172439,NKE
12/10/20,138.28,139.14,137.24,137.58,4511003,NKE
12/09/20,140.57,140.57,138.27,138.79,4341305,NKE
12/08/20,138.24,140.4373,137.65,139.12,6953582,NKE
12/07/20,137.0,138.86,136.8,138.75,4590776,NKE
12/04/20,137.08,137.4,135.64,137.19,4344036,NKE
12/03/20,135.1,137.95,135.0,136.96,4930860,NKE
12/02/20,135.16,136.32,134.67,135.58,4132965,NKE
12/01/20,136.44,136.5,134.75,135.44,3834460,NKE
11/30/20,133.91,135.29,132.69,134.7,9652509,NKE
11/27/20,136.0,136.13,133.34,134.25,3506832,NKE
11/25/20,134.25,135.7999,133.62,135.54,4484836,NKE
11/24/20,135.0,135.99,134.21,134.7,7205789,NKE
11/23/20,134.38,134.89,133.09,134.13,6119342,NKE
11/20/20,133.3,133.53,131.91,132.98,4320046,NKE
11/19/20,131.92,132.11,129.93,131.91,4642765,NKE
11/18/20,133.07,133.98,131.53,131.63,5573008,NKE
11/17/20,130.48,132.6,129.11,132.21,7002945,NKE
11/16/20,129.46,130.32,127.37,130.11,6116435,NKE
11/13/20,127.91,128.6,126.83,128.28,3986719,NKE
11/12/20,126.62,127.8386,125.625,126.64,4797416,NKE
11/11/20,128.69,129.7985,127.18,127.66,6058668,NKE
11/10/20,130.05,130.115,126.25,127.71,8014744,NKE
11/09/20,135.06,136.35,128.7652,128.95,7491728,NKE
11/06/20,129.91,129.91,128.3477,128.9,2954049,NKE
11/05/20,129.19,130.41,128.46,129.7,3940003,NKE
11/04/20,125.33,128.93,125.26,127.34,5061798,NKE
11/03/20,124.01,125.5,123.19,124.59,3490891,NKE
11/02/20,122.37,124.1,121.1,122.39,4740373,NKE
10/30/20,123.66,123.66,118.8,120.08,7792405,NKE
10/29/20,122.28,124.19,121.15,122.86,4947049,NKE
10/28/20,125.28,126.4,121.04,122.08,8618312,NKE
10/27/20,128.78,129.49,127.9,127.99,2985686,NKE
10/26/20,129.06,129.62,126.68,128.37,5422455,NKE
10/23/20,130.0,130.6,128.65,129.99,4046580,NKE
10/22/20,129.6,130.26,128.8601,130.02,2870984,NKE
10/21/20,128.5,131.38,128.45,129.43,4916342,NKE
10/20/20,128.0,129.9,127.72,128.49,3800038,NKE
10/19/20,129.1,129.78,127.05,127.43,5160899,NKE
10/16/20,129.51,130.19,127.55,128.0,6011173,NKE
10/15/20,126.48,129.0999,126.11,129.0,4236054,NKE
10/14/20,129.53,129.6,127.01,127.66,3587295,NKE
10/13/20,128.05,129.87,127.96,129.2,4245130,NKE
