Date, Open, High, Low, Close, Volume,ticker
12/24/20,20.37,20.4,20.23,20.32,993827,NLSN
12/23/20,19.91,20.29,19.865,20.23,2501596,NLSN
12/22/20,19.84,19.99,19.55,19.74,2318380,NLSN
12/21/20,19.6,19.86,19.285,19.73,3560548,NLSN
12/18/20,19.59,20.11,19.51,20.09,7598465,NLSN
12/17/20,19.6,19.7,19.45,19.61,2690083,NLSN
12/16/20,19.66,19.79,19.33,19.49,3611074,NLSN
12/15/20,19.38,19.73,19.01,19.64,7229272,NLSN
12/14/20,19.23,19.5,19.16,19.29,4581870,NLSN
12/11/20,18.77,19.11,18.585,19.1,4326738,NLSN
12/10/20,18.94,19.075,18.69,18.96,5675599,NLSN
12/09/20,17.67,19.15,17.56,19.12,14853740,NLSN
12/08/20,17.2,17.685,17.03,17.52,2783725,NLSN
12/07/20,17.83,17.84,17.155,17.25,4746322,NLSN
12/04/20,17.33,18.0,17.25,17.96,11160340,NLSN
12/03/20,16.4,17.31,16.29,17.24,4464277,NLSN
12/02/20,16.07,16.45,16.02,16.36,3322057,NLSN
12/01/20,16.49,16.76,16.12,16.13,4813529,NLSN
11/30/20,16.25,16.55,16.08,16.17,26169510,NLSN
11/27/20,16.31,16.34,15.68,16.24,3247406,NLSN
11/25/20,16.51,16.6,16.19,16.35,4504352,NLSN
11/24/20,16.57,16.68,16.31,16.61,3347795,NLSN
11/23/20,15.8,16.25,15.62,16.15,4311357,NLSN
11/20/20,16.08,16.245,15.68,15.75,5464268,NLSN
11/19/20,16.07,16.17,15.84,16.07,6781660,NLSN
11/18/20,16.6,16.68,16.16,16.21,3646216,NLSN
11/17/20,16.33,16.78,16.1316,16.65,2827590,NLSN
11/16/20,16.07,16.7,16.0,16.67,6746733,NLSN
11/13/20,14.94,15.785,14.94,15.75,5557227,NLSN
11/12/20,15.46,15.46,14.7101,14.82,8216979,NLSN
11/11/20,15.34,15.62,15.24,15.58,5270541,NLSN
11/10/20,15.62,15.78,15.15,15.31,3977730,NLSN
11/09/20,14.9,16.07,14.6,15.64,5664719,NLSN
11/06/20,14.12,14.355,14.05,14.18,3087691,NLSN
