Date, Open, High, Low, Close, Volume,ticker
12/24/20,300.59,301.08,296.93,299.6,332697,NOC
12/23/20,298.29,302.84,297.56,300.66,787020,NOC
12/22/20,297.44,297.815,294.72,296.32,964783,NOC
12/21/20,299.03,299.91,292.76,297.61,1428990,NOC
12/18/20,300.6,304.96,299.21,303.13,2663412,NOC
12/17/20,302.27,306.99,299.67,300.68,1295759,NOC
12/16/20,300.42,304.08,299.31,302.01,995297,NOC
12/15/20,298.34,300.66,297.75,298.51,902748,NOC
12/14/20,301.98,303.39,298.0,298.0,700323,NOC
12/11/20,298.08,301.21,295.05,300.57,860295,NOC
12/10/20,302.1,305.69,297.8817,298.43,1166204,NOC
12/09/20,302.14,304.71,300.07,303.73,730552,NOC
12/08/20,300.76,308.64,300.4001,301.96,764330,NOC
12/07/20,306.8,306.94,298.29,301.0,907099,NOC
12/04/20,304.03,307.6917,303.12,307.23,794302,NOC
12/03/20,299.17,304.75,298.72,303.43,992090,NOC
12/02/20,301.1,301.69,297.74,298.77,769697,NOC
12/01/20,304.18,309.87,300.54,301.1,883223,NOC
11/30/20,305.3,306.4,299.14,302.26,1154564,NOC
11/27/20,311.37,311.63,305.3,306.03,475074,NOC
11/25/20,310.06,314.135,307.8528,312.26,698675,NOC
11/24/20,309.51,313.61,308.5,309.98,918574,NOC
11/23/20,309.23,311.21,305.5,306.49,679026,NOC
11/20/20,308.88,310.2065,305.2,306.42,776881,NOC
11/19/20,311.22,311.869,306.915,309.48,708372,NOC
11/18/20,314.74,316.42,310.3,310.6,1187138,NOC
11/17/20,310.33,315.745,309.65,312.63,744501,NOC
11/16/20,315.38,315.579,311.42,312.73,555116,NOC
11/13/20,308.08,313.12,307.11,311.71,493424,NOC
11/12/20,308.0,308.78,302.34,306.23,737386,NOC
11/11/20,314.96,314.97,306.02,309.96,590679,NOC
11/10/20,302.73,316.9,301.48,314.51,948829,NOC
11/09/20,315.0,317.6,300.07,301.28,1732092,NOC
11/06/20,305.74,305.94,296.63,301.36,946726,NOC
11/05/20,316.5,317.28,306.06,307.4,1410415,NOC
11/04/20,310.0,324.257,309.0,315.64,1684139,NOC
11/03/20,299.31,307.1193,299.31,304.82,864888,NOC
11/02/20,294.48,298.9764,292.745,296.63,852091,NOC
10/30/20,290.87,293.92,285.13,289.82,1227194,NOC
10/29/20,292.54,297.69,291.25,292.39,1260838,NOC
10/28/20,299.58,304.2544,293.54,293.66,1221428,NOC
10/27/20,308.67,309.01,302.07,302.12,1081746,NOC
10/26/20,305.4,312.35,301.7,309.84,1312787,NOC
10/23/20,305.16,309.56,304.0,308.43,1113308,NOC
10/22/20,309.26,314.685,302.99,302.99,1387950,NOC
10/21/20,308.04,309.84,305.91,308.37,829950,NOC
10/20/20,313.74,313.765,308.28,309.05,786308,NOC
10/19/20,316.04,318.89,310.82,311.33,775296,NOC
10/16/20,315.97,319.725,315.56,316.24,1393687,NOC
10/15/20,313.53,316.26,312.24,314.82,854006,NOC
10/14/20,311.43,317.6,311.405,314.89,1119857,NOC
10/13/20,315.1,318.43,311.86,312.6,636409,NOC
10/12/20,314.52,318.81,313.22,316.59,834555,NOC
10/09/20,320.0,322.47,313.63,315.28,1210606,NOC
10/08/20,314.22,319.82,314.22,319.68,596869,NOC
10/07/20,310.4,315.57,310.4,313.89,1019494,NOC
10/06/20,320.33,320.33,308.89,308.97,1149243,NOC
10/05/20,315.85,317.23,311.3,312.18,881937,NOC
10/02/20,309.11,315.135,307.12,313.95,1380900,NOC
10/01/20,317.35,321.05,309.36,311.81,1687858,NOC
09/30/20,326.2,326.73,312.25,315.49,1183798,NOC
09/29/20,328.78,330.42,324.43,325.28,488403,NOC
09/28/20,330.54,333.56,328.72,329.52,567028,NOC
09/25/20,324.13,329.575,322.935,328.0,646258,NOC
09/24/20,327.48,328.7,321.1688,324.72,575345,NOC
09/23/20,334.45,337.3319,326.525,328.06,790871,NOC
09/22/20,327.32,333.46,326.91,332.8,651972,NOC
09/21/20,337.93,338.56,324.41,325.89,715106,NOC
09/18/20,341.16,345.89,341.16,341.5,689911,NOC
09/17/20,341.13,345.47,338.08,343.84,361278,NOC
09/16/20,337.25,346.885,335.74,343.47,750229,NOC
09/15/20,337.55,339.95,334.73,338.02,523496,NOC
09/14/20,340.75,341.66,337.655,338.45,552857,NOC
09/11/20,333.06,340.17,331.7,338.88,489346,NOC
09/10/20,339.77,341.04,329.41,330.02,558353,NOC
09/09/20,342.68,342.76,336.66,339.41,608760,NOC
09/08/20,339.89,339.89,334.21,334.56,661759,NOC
09/04/20,343.99,347.06,337.34,339.03,584383,NOC
09/03/20,350.65,352.12,339.92,342.23,791969,NOC
09/02/20,338.82,350.25,338.02,348.36,660838,NOC
09/01/20,340.16,342.87,337.11,340.38,538787,NOC
08/31/20,343.2,344.46,341.57,342.61,557965,NOC
08/28/20,347.78,348.55,342.27,344.75,513503,NOC
08/27/20,343.46,349.23,342.06,348.99,669269,NOC
08/26/20,341.5,342.88,338.0223,341.41,607246,NOC
08/25/20,345.0,345.07,341.45,343.0,454612,NOC
08/24/20,338.7,344.51,338.41,344.42,416752,NOC
08/21/20,337.3,339.125,336.44,337.86,440786,NOC
08/20/20,337.58,338.44,336.03,336.67,338626,NOC
08/19/20,337.0,340.32,336.2,337.91,488044,NOC
08/18/20,339.72,339.915,337.27,337.6,499013,NOC
08/17/20,341.77,344.0,338.52,339.76,628227,NOC
08/14/20,337.28,343.84,336.86,342.06,396518,NOC
08/13/20,336.79,340.82,335.46,338.62,493043,NOC
08/12/20,343.18,343.986,337.5508,339.4,636809,NOC
08/11/20,339.19,345.41,338.455,341.85,1527055,NOC
08/10/20,330.36,336.27,330.36,335.73,1015974,NOC
08/07/20,326.83,332.0,325.48,329.27,1470286,NOC
08/06/20,327.99,329.65,325.45,326.34,720301,NOC
08/05/20,325.92,330.93,325.01,329.71,566418,NOC
08/04/20,324.6,325.29,320.86,325.01,538368,NOC
08/03/20,324.58,326.19,321.83,323.59,603093,NOC
07/31/20,326.01,326.58,318.2,325.01,1161532,NOC
07/30/20,314.0,329.46,313.01,326.01,1493821,NOC
07/29/20,316.14,316.69,310.53,315.26,1299493,NOC
07/28/20,307.91,317.94,307.91,312.87,709739,NOC
07/27/20,311.01,311.72,305.88,308.02,575836,NOC
07/24/20,314.78,318.785,310.26,312.69,686941,NOC
07/23/20,316.0,318.72,311.69,313.06,694253,NOC
07/22/20,306.59,316.39,306.01,316.0,942147,NOC
07/21/20,306.33,309.125,302.39,308.19,1007670,NOC
07/20/20,306.75,306.76,301.25,301.49,922000,NOC
07/17/20,305.85,307.685,303.57,306.84,1544788,NOC
07/16/20,299.47,305.98,296.5,303.65,1162931,NOC
07/15/20,300.12,303.93,298.0,300.76,1196287,NOC
07/14/20,291.27,295.85,287.515,295.55,1180328,NOC
07/13/20,294.42,296.57,290.285,292.35,1043623,NOC
07/10/20,287.17,294.22,286.806,292.0,1504860,NOC
07/09/20,299.63,300.31,285.49,285.95,1729548,NOC
07/08/20,304.0,306.55,298.77,301.1,908382,NOC
07/07/20,310.13,312.5,303.65,304.47,741073,NOC
07/06/20,313.05,313.5,308.76,312.4,739245,NOC
07/02/20,311.13,313.241,308.62,309.97,629706,NOC
07/01/20,308.87,311.14,306.5,308.14,737868,NOC
06/30/20,308.67,309.22,304.4,307.44,772865,NOC
06/29/20,304.82,309.02,303.33,309.02,734128,NOC
06/26/20,300.68,306.0794,298.93,301.86,1286519,NOC
06/25/20,300.37,302.54,294.0,301.75,1285593,NOC
06/24/20,304.61,305.3,299.25,301.91,1217017,NOC
06/23/20,316.85,317.0,306.79,307.1,979857,NOC
06/22/20,311.93,315.6,309.58,315.56,838130,NOC
06/19/20,322.0,322.57,312.38,312.66,1235233,NOC
06/18/20,319.65,321.49,316.1,317.83,741706,NOC
06/17/20,323.81,327.26,320.57,322.29,613204,NOC
06/16/20,324.47,329.47,317.76,324.74,1072283,NOC
06/15/20,310.75,316.02,308.55,313.62,1194350,NOC
06/12/20,328.7,328.7,313.08,317.68,818126,NOC
06/11/20,330.0,336.73,320.82,320.99,965901,NOC
06/10/20,341.24,344.08,338.46,341.25,606248,NOC
