Date, Open, High, Low, Close, Volume,ticker
12/24/20,555.3,560.54,552.74,553.89,623701,NOW
12/23/20,561.61,565.0,549.72,550.06,887700,NOW
12/22/20,550.71,562.5,548.9701,561.72,1199630,NOW
12/21/20,558.02,562.45,542.7,550.82,1642674,NOW
12/18/20,558.47,566.74,555.55,565.43,2152770,NOW
12/17/20,549.47,558.34,549.47,554.07,1228176,NOW
12/16/20,532.95,549.88,532.0,545.0,1515407,NOW
12/15/20,532.0,535.11,525.08,527.38,1072741,NOW
12/14/20,538.5,539.105,530.96,532.48,1280746,NOW
12/11/20,538.19,540.69,530.835,537.36,855076,NOW
12/10/20,526.5,538.56,518.51,538.0,1032898,NOW
12/09/20,544.43,545.0,525.65,527.99,1637492,NOW
12/08/20,536.79,544.05,528.6,542.25,1869984,NOW
12/07/20,528.76,534.74,527.91,533.25,1379565,NOW
12/04/20,525.54,529.75,522.24,525.7,744666,NOW
12/03/20,527.79,539.5,523.3,525.24,1022407,NOW
12/02/20,530.77,535.0,521.17,526.52,1088450,NOW
12/01/20,536.0,541.74,525.955,539.59,1150975,NOW
11/30/20,530.0,535.0,520.98,534.55,1722519,NOW
11/27/20,521.0,529.7799,515.845,527.48,741692,NOW
11/25/20,519.0,524.0,511.792,519.22,1083610,NOW
11/24/20,522.71,526.0,510.155,514.69,1182219,NOW
11/23/20,520.1,524.87,514.2665,522.11,1294155,NOW
11/20/20,515.61,526.46,514.0,518.06,1184583,NOW
11/19/20,508.2,519.93,505.0,514.33,978532,NOW
11/18/20,511.25,513.56,502.39,507.12,1016214,NOW
11/17/20,505.0,516.0,504.07,513.1,1151537,NOW
11/16/20,497.49,505.7507,495.1891,502.28,1587082,NOW
11/13/20,511.6,511.6,495.52,508.01,1235170,NOW
11/12/20,520.45,525.01,506.37,509.78,1631603,NOW
11/11/20,493.71,508.0575,489.55,503.36,1578845,NOW
11/10/20,495.53,499.68,472.01,481.28,2501693,NOW
11/09/20,509.65,528.21,500.79,501.96,2398459,NOW
11/06/20,529.53,537.53,519.0,535.18,826425,NOW
11/05/20,523.31,533.84,520.495,531.08,1186473,NOW
11/04/20,506.35,518.23,501.0,513.58,2223775,NOW
11/03/20,477.61,484.71,472.01,480.05,1783333,NOW
11/02/20,499.21,507.575,474.285,476.0,1983704,NOW
10/30/20,504.4,507.9802,485.59,497.57,1873925,NOW
10/29/20,497.0,517.9,493.0001,510.59,2857371,NOW
10/28/20,486.95,489.9199,480.15,484.05,1776599,NOW
10/27/20,508.79,510.0,498.52,499.81,1204132,NOW
10/26/20,518.01,521.86,492.51,501.61,1621213,NOW
10/23/20,509.09,514.23,505.23,514.01,845229,NOW
10/22/20,511.7,513.55,495.17,505.96,858230,NOW
10/21/20,518.68,519.53,506.83,510.28,831294,NOW
10/20/20,523.0,527.58,515.915,518.19,826498,NOW
10/19/20,526.44,533.37,519.39,521.95,891807,NOW
10/16/20,524.15,530.73,520.99,524.87,1031892,NOW
10/15/20,509.48,522.99,506.0,520.68,945391,NOW
10/14/20,520.0,521.5,509.98,516.89,990207,NOW
10/13/20,516.51,522.77,511.23,518.3,1180580,NOW
10/12/20,513.55,515.55,502.0,509.09,896321,NOW
10/09/20,503.56,510.88,502.01,508.61,1193425,NOW
10/08/20,505.0,505.0,492.0,496.5,823356,NOW
10/07/20,497.63,504.21,494.0,500.0,858048,NOW
10/06/20,500.0,502.5999,489.82,491.54,1075785,NOW
10/05/20,495.61,502.23,491.2702,501.79,1287437,NOW
10/02/20,480.49,502.63,478.99,493.15,1593110,NOW
10/01/20,491.57,495.13,487.4528,492.52,922437,NOW
09/30/20,485.67,493.31,481.15,485.0,1202344,NOW
09/29/20,486.35,489.56,483.0952,487.98,829337,NOW
09/28/20,486.61,488.4,478.97,484.21,1257986,NOW
09/25/20,468.91,481.65,464.565,479.97,1206757,NOW
09/24/20,458.79,465.17,453.7,460.12,842539,NOW
09/23/20,470.0,473.315,459.04,460.47,826736,NOW
09/22/20,465.75,471.1,454.6049,470.57,930129,NOW
09/21/20,446.82,462.4,446.2,461.88,1106413,NOW
09/18/20,454.15,457.255,442.71,453.09,1461231,NOW
09/17/20,445.7,455.0,442.0,453.8,1578503,NOW
09/16/20,476.47,479.44,455.78,456.01,1507316,NOW
09/15/20,463.23,474.315,462.6096,473.96,1120502,NOW
09/14/20,451.42,463.2,451.17,458.06,1434433,NOW
09/11/20,457.63,458.49,439.76,445.9,895909,NOW
09/10/20,461.0,468.32,450.27,452.98,1114841,NOW
09/09/20,452.09,462.86,441.845,458.2,1805559,NOW
09/08/20,439.99,452.73,432.85,443.14,1765371,NOW
09/04/20,466.0,470.0,435.1,450.35,2680167,NOW
09/03/20,485.0,487.99,462.67,468.84,2024617,NOW
09/02/20,500.0,501.82,482.66,499.69,1355545,NOW
