Date, Open, High, Low, Close, Volume,ticker
12/24/20,66.11,66.27,65.45,65.8,509618,NTAP
12/23/20,66.56,67.63,66.12,66.17,1421222,NTAP
12/22/20,65.79,66.675,65.51,66.18,2721725,NTAP
12/21/20,63.58,64.62,63.18,64.54,1695425,NTAP
12/18/20,64.15,64.93,63.81,64.82,4568401,NTAP
12/17/20,64.29,64.34,63.15,64.12,2538221,NTAP
12/16/20,64.01,65.04,63.93,64.07,3128297,NTAP
12/15/20,62.228,62.81,61.45,62.65,1867603,NTAP
12/14/20,62.22,62.99,61.33,61.67,2136804,NTAP
12/11/20,60.8,62.19,60.5903,61.82,1877723,NTAP
12/10/20,59.49,61.51,59.49,61.12,1807636,NTAP
12/09/20,60.95,61.69,60.29,60.78,1409737,NTAP
12/08/20,60.17,61.18,59.9145,60.55,1967895,NTAP
12/07/20,59.8,60.89,59.34,60.37,1910611,NTAP
12/04/20,58.65,60.08,58.5,59.99,1894273,NTAP
12/03/20,59.345,59.6,57.915,58.49,3474974,NTAP
12/02/20,57.855,60.43,56.89,59.23,9338832,NTAP
12/01/20,52.6401,54.431000000000004,52.6401,54.16,4005163,NTAP
11/30/20,53.21,53.37,52.33,53.31,4534035,NTAP
11/27/20,53.53,54.0287,53.03,53.26,739117,NTAP
11/25/20,54.65,55.26,53.31,53.52,2576477,NTAP
11/24/20,54.19,55.73,54.0,55.36,2638856,NTAP
11/23/20,52.02,53.7039,52.02,53.56,1604228,NTAP
11/20/20,52.15,52.54,51.74,51.89,1320489,NTAP
11/19/20,51.28,52.04,50.82,51.98,1176369,NTAP
11/18/20,51.41,52.46,51.22,51.54,2065510,NTAP
11/17/20,50.71,51.66,50.07,51.4,1183411,NTAP
11/16/20,50.181999999999995,51.61,50.18,51.58,1658214,NTAP
11/13/20,47.95,49.955,47.71,49.83,1444179,NTAP
11/12/20,49.04,49.405,46.74,47.48,1995823,NTAP
11/11/20,50.21,50.49,48.975,49.27,1506386,NTAP
11/10/20,49.1,50.49,49.08,50.01,2474549,NTAP
11/09/20,48.74,50.1,48.38,49.65,2895323,NTAP
11/06/20,47.08,47.3446,46.34,47.01,1696570,NTAP
11/05/20,46.08,46.89,45.82,46.71,1406629,NTAP
11/04/20,45.52,46.27,44.9,45.17,2129679,NTAP
11/03/20,45.51,46.58,45.51,46.29,1970538,NTAP
11/02/20,44.46,45.0,43.92,44.94,1576148,NTAP
10/30/20,43.45,44.09,43.07,43.89,1548160,NTAP
10/29/20,42.4,44.35,42.2,44.11,2725620,NTAP
10/28/20,43.0,43.39,41.9,42.29,2496861,NTAP
10/27/20,44.76,45.06,43.923,44.05,1340785,NTAP
10/26/20,46.41,46.685,44.23,44.93,2416425,NTAP
10/23/20,47.46,47.46,46.56,46.89,1803549,NTAP
10/22/20,46.91,47.06,46.33,46.7,1668277,NTAP
10/21/20,47.3,47.46,46.57,46.8,1660559,NTAP
10/20/20,48.22,48.43,47.235,47.25,2183798,NTAP
10/19/20,47.58,48.94,47.31,48.0,2792850,NTAP
10/16/20,47.29,47.66,46.69,47.15,1332058,NTAP
10/15/20,45.89,47.095,45.8336,47.05,1398735,NTAP
10/14/20,46.88,47.56,46.44,46.67,1557930,NTAP
10/13/20,47.51,47.78,46.27,46.88,2415556,NTAP
10/12/20,46.3687,47.19,45.6071,46.65,2011830,NTAP
10/09/20,46.49,46.69,45.52,45.87,1848725,NTAP
10/08/20,44.4243,46.29,44.4243,46.26,2943187,NTAP
10/07/20,43.89,44.74,43.71,44.59,1674503,NTAP
10/06/20,43.46,44.59,43.18,43.36,1662752,NTAP
10/05/20,43.38,43.65,43.071999999999996,43.35,2437444,NTAP
10/02/20,42.16,43.51,42.07,42.76,1882571,NTAP
10/01/20,44.37,44.37,42.62,42.89,2084832,NTAP
09/30/20,44.07,44.72,43.43,43.84,2564797,NTAP
09/29/20,43.71,44.27,43.495,43.99,1749817,NTAP
09/28/20,42.69,43.613,42.51,43.6,2268425,NTAP
09/25/20,41.11,42.055,41.09,41.96,1605126,NTAP
09/24/20,40.96,41.755,40.46,41.49,1711271,NTAP
09/23/20,42.05,42.61,41.07,41.19,2042921,NTAP
09/22/20,41.62,41.975,41.025,41.88,2487859,NTAP
09/21/20,41.81,41.81,40.72,41.39,2504326,NTAP
09/18/20,43.46,43.52,42.1,42.61,3702279,NTAP
09/17/20,44.09,44.24,42.85,43.18,3413646,NTAP
09/16/20,45.62,46.53,45.03,45.11,2391409,NTAP
09/15/20,46.01,46.09,45.14,45.38,3001850,NTAP
09/14/20,44.39,45.67,44.3,45.38,2788635,NTAP
09/11/20,44.91,45.07,43.48,44.09,2340094,NTAP
09/10/20,46.96,46.96,44.37,44.37,2395267,NTAP
09/09/20,45.96,46.76,45.23,46.57,2612647,NTAP
09/08/20,45.21,45.99,45.16,45.2,2120610,NTAP
09/04/20,46.71,47.5,45.9,46.4,2705489,NTAP
09/03/20,47.66,48.33,46.01,46.54,3177615,NTAP
09/02/20,46.84,48.47,46.65,48.15,3340768,NTAP
09/01/20,47.26,47.39,46.16,46.68,3166536,NTAP
08/31/20,46.19,47.5,45.55,47.39,5290910,NTAP
08/28/20,43.91,45.87,43.36,45.74,4882982,NTAP
08/27/20,46.32,46.615,43.6,43.91,10789010,NTAP
08/26/20,41.95,42.52,41.23,42.21,6808385,NTAP
08/25/20,42.33,42.94,41.27,41.77,2475632,NTAP
08/24/20,41.93,42.66,41.29,42.3,3407143,NTAP
08/21/20,41.36,41.75,40.84,41.25,11407030,NTAP
08/20/20,41.49,41.5,40.8087,41.42,2017874,NTAP
08/19/20,41.2,42.25,40.91,41.49,2231485,NTAP
08/18/20,41.37,41.37,40.08,41.0,3545381,NTAP
08/17/20,41.33,41.855,40.94,41.31,3236536,NTAP
08/14/20,41.82,42.04,41.34,41.56,2375495,NTAP
08/13/20,42.72,42.98,41.44,41.74,3674602,NTAP
08/12/20,44.0,44.01,42.93,43.28,2922077,NTAP
08/11/20,44.36,45.36,43.355,43.57,1654317,NTAP
08/10/20,42.79,44.32,42.74,44.27,2351654,NTAP
08/07/20,42.29,42.845,41.505,42.8,2426770,NTAP
08/06/20,42.38,42.87,41.88,42.21,3683436,NTAP
08/05/20,43.51,43.68,42.81,43.1,2354511,NTAP
08/04/20,42.62,44.12,42.61,43.23,2810702,NTAP
08/03/20,44.17,44.29,42.49,42.77,3833039,NTAP
07/31/20,42.91,44.41,42.05,44.3,6108956,NTAP
07/30/20,41.82,43.285,41.46,42.85,2526321,NTAP
07/29/20,42.7,42.89,41.39,42.43,2993407,NTAP
07/28/20,44.04,44.115,42.82,42.95,1393584,NTAP
07/27/20,43.22,44.34,42.73,44.09,1762167,NTAP
07/24/20,44.65,44.67,43.06,43.2,1989767,NTAP
07/23/20,44.94,45.7199,44.455,44.69,1568747,NTAP
07/22/20,45.68,45.68,44.97,44.99,1217048,NTAP
07/21/20,45.03,46.4187,45.03,45.56,2358329,NTAP
07/20/20,44.64,45.33,43.84,45.15,1992914,NTAP
07/17/20,44.49,45.11,44.135,44.81,2469823,NTAP
07/16/20,44.16,44.515,43.88,44.34,1893623,NTAP
07/15/20,44.33,45.06,43.69,44.38,2338234,NTAP
07/14/20,42.83,43.75,42.47,43.71,1903314,NTAP
07/13/20,43.62,44.37,43.28,43.4,2705431,NTAP
07/10/20,42.35,43.14,41.957,42.94,1832259,NTAP
07/09/20,43.07,43.64,42.23,42.3,2509648,NTAP
07/08/20,43.13,43.79,42.76,43.76,2012959,NTAP
07/07/20,44.5,44.75,42.7,42.86,2875345,NTAP
07/06/20,44.44,45.14,43.94,45.05,2980646,NTAP
07/02/20,44.1,44.46,43.47,43.55,1647163,NTAP
07/01/20,44.36,44.655,43.39,43.51,1685631,NTAP
06/30/20,43.98,45.05,43.77,44.37,2387238,NTAP
06/29/20,44.3,44.4,43.1,44.02,1886608,NTAP
