Date, Open, High, Low, Close, Volume,ticker
12/24/20,521.49,525.3,517.55,519.75,2447088,NVDA
12/23/20,530.24,531.0,520.2,520.37,4478569,NVDA
12/22/20,532.77,533.4899,522.1552,531.13,4657872,NVDA
12/21/20,522.99,534.8,518.7,533.29,7558304,NVDA
12/18/20,535.16,536.2,522.82,530.88,8551616,NVDA
12/17/20,534.67,535.18,527.14,533.65,5784597,NVDA
12/16/20,536.9,537.49,528.5,529.7,5577867,NVDA
12/15/20,537.59,538.56,527.47,534.42,4837148,NVDA
12/14/20,523.515,535.55,523.1,532.35,6753947,NVDA
12/11/20,518.69,520.8,512.92,520.53,5231641,NVDA
12/10/20,514.76,522.7499,513.975,518.89,5194118,NVDA
12/09/20,532.02,536.56,514.7295,517.23,10032530,NVDA
12/08/20,543.4,543.95,531.26,534.0,6798022,NVDA
12/07/20,544.05,549.25,540.0,544.27,5581081,NVDA
12/04/20,537.94,542.3999,535.5476,542.33,5056085,NVDA
12/03/20,543.5,546.4,533.16,535.84,4988016,NVDA
12/02/20,534.02,546.9377,529.37,541.78,7084030,NVDA
12/01/20,539.69,541.15,529.13,535.6,7439282,NVDA
11/30/20,530.6,536.5,518.8941,536.06,7173800,NVDA
11/27/20,535.0,536.3,526.8218,530.45,4181880,NVDA
11/25/20,521.3,530.7756,520.8,529.39,6497910,NVDA
11/24/20,525.7,526.48,515.4,518.31,8662499,NVDA
11/23/20,526.845,535.3,520.62,525.6,9033855,NVDA
11/20/20,538.16,539.7799,522.6,523.51,8527245,NVDA
11/19/20,528.51,539.5,524.0,537.61,14148360,NVDA
11/18/20,538.61,544.23,527.4,537.15,12773130,NVDA
11/17/20,542.1,543.85,532.1549,536.89,7800699,NVDA
11/16/20,526.9,545.98,526.2401,540.61,10344370,NVDA
11/13/20,545.0911,546.7499,522.37,531.88,8669058,NVDA
11/12/20,539.1569999999999,550.64,532.64,538.27,9165875,NVDA
11/11/20,522.15,537.395,517.93,536.72,10118590,NVDA
11/10/20,544.26,544.26,505.13,510.8,16101680,NVDA
11/09/20,582.1,587.66,544.43,545.23,14574450,NVDA
11/06/20,564.39,583.55,555.8,582.48,9583732,NVDA
11/05/20,566.5,573.56,559.64,566.4,7975708,NVDA
11/04/20,535.57,553.1,533.475,551.77,10255730,NVDA
11/03/20,508.34,524.2,504.11,520.78,6822527,NVDA
11/02/20,506.31,513.4663,495.8,503.23,7491316,NVDA
10/30/20,514.0,517.455,492.0,501.36,10434900,NVDA
10/29/20,513.54,527.71,510.0,520.96,8002046,NVDA
10/28/20,527.92,530.4,504.36,505.08,9412952,NVDA
10/27/20,532.24,537.68,527.66,535.87,6262992,NVDA
