Date, Open, High, Low, Close, Volume,ticker
12/24/20,17.82,17.9403,17.74,17.82,1099957,NWSA
12/23/20,17.65,17.82,17.62,17.685,3008327,NWSA
12/22/20,17.55,17.805,17.47,17.64,3627707,NWSA
12/21/20,17.18,17.71,17.15,17.65,3910140,NWSA
12/18/20,17.47,17.73,17.27,17.35,5936329,NWSA
12/17/20,17.88,17.96,17.47,17.71,2365899,NWSA
12/16/20,18.09,18.14,17.66,17.77,3088069,NWSA
12/15/20,18.0,18.195,17.87,18.09,5125367,NWSA
12/14/20,18.1,18.1,17.6,17.75,3148919,NWSA
12/11/20,18.28,18.4,17.92,17.96,2254407,NWSA
12/10/20,18.22,18.55,18.1,18.35,3937889,NWSA
12/09/20,18.43,18.465,18.18,18.27,3616319,NWSA
12/08/20,18.3,18.5,18.235,18.38,4797024,NWSA
12/07/20,18.52,18.63,18.39,18.5,1823710,NWSA
12/04/20,18.63,18.7,18.41,18.675,4480365,NWSA
12/03/20,18.33,18.6,18.22,18.57,2157655,NWSA
12/02/20,18.0,18.46,17.74,18.39,2754085,NWSA
12/01/20,17.7,18.21,17.7,18.07,6509320,NWSA
11/30/20,17.7,17.92,17.59,17.65,7736830,NWSA
11/27/20,17.99,18.01,17.66,17.71,1141656,NWSA
11/25/20,18.22,18.27,17.79,18.0,2540527,NWSA
11/24/20,18.06,18.275,17.81,18.17,2591336,NWSA
11/23/20,17.69,18.0,17.55,17.9,1554937,NWSA
11/20/20,17.53,17.6,17.245,17.52,1828947,NWSA
11/19/20,17.52,17.7,17.4,17.55,1950928,NWSA
11/18/20,17.6,17.96,17.5,17.55,1883182,NWSA
11/17/20,17.27,17.835,17.25,17.685,2312641,NWSA
11/16/20,17.79,18.15,17.15,17.39,2095259,NWSA
11/13/20,16.47,17.03,16.34,16.98,2040067,NWSA
11/12/20,17.08,17.18,16.23,16.39,2870621,NWSA
11/11/20,16.3,17.21,16.26,17.2,5795410,NWSA
11/10/20,15.72,16.37,15.72,16.27,4164682,NWSA
11/09/20,15.93,16.49,15.64,15.665,4351417,NWSA
11/06/20,15.67,15.91,14.79,15.16,2931723,NWSA
11/05/20,13.72,14.115,13.28,14.0,1640170,NWSA
11/04/20,13.49,13.7075,13.32,13.54,1769393,NWSA
11/03/20,13.54,13.66,13.41,13.5,1208603,NWSA
11/02/20,13.31,13.435,13.07,13.29,1757640,NWSA
10/30/20,13.07,13.18,12.865,13.13,1856231,NWSA
10/29/20,12.92,13.245,12.79,13.09,1399882,NWSA
10/28/20,13.18,13.285,12.945,12.97,2628460,NWSA
10/27/20,13.63,13.74,13.395,13.43,1482221,NWSA
10/26/20,13.78,13.87,13.465,13.65,1829239,NWSA
10/23/20,13.99,14.54,13.73,13.98,1325424,NWSA
10/22/20,13.96,14.085,13.78,13.92,1258946,NWSA
10/21/20,13.79,14.005,13.76,13.95,1391991,NWSA
10/20/20,13.85,13.98,13.75,13.85,1350519,NWSA
10/19/20,13.97,14.1,13.61,13.77,1439497,NWSA
10/16/20,14.05,14.23,13.92,14.06,974874,NWSA
10/15/20,14.06,14.13,13.8,13.97,1713046,NWSA
10/14/20,14.37,14.6,14.13,14.175,1430605,NWSA
10/13/20,14.08,14.34,13.905,14.31,1948021,NWSA
10/12/20,14.36,14.54,14.125,14.21,1603842,NWSA
10/09/20,14.57,14.57,14.22,14.245,1832294,NWSA
10/08/20,14.27,14.445,14.035,14.44,2232474,NWSA
10/07/20,14.62,14.62,14.23,14.23,1893387,NWSA
10/06/20,14.41,14.7,14.13,14.32,2428366,NWSA
10/05/20,14.27,14.43,14.135,14.34,2590217,NWSA
10/02/20,14.01,14.315,13.89,14.215,1487957,NWSA
10/01/20,14.04,14.23,13.97,14.18,1607682,NWSA
09/30/20,13.97,14.15,13.895,14.02,2481902,NWSA
09/29/20,14.11,14.24,13.78,13.89,1632320,NWSA
09/28/20,14.35,14.545,14.17,14.34,2655386,NWSA
