Date, Open, High, Low, Close, Volume,ticker
12/24/20,196.87,199.0,196.55,198.25,146855.0,ODFL
12/23/20,199.22,200.4251,196.72,196.83,347554.0,ODFL
12/22/20,198.0,199.82,197.77,198.66,464105.0,ODFL
12/21/20,197.1,199.58,196.01,197.82,539265.0,ODFL
12/18/20,195.07,200.13,193.35,199.54,1581535.0,ODFL
12/17/20,195.5,196.76,194.1,196.06,942271.0,ODFL
12/16/20,198.11,198.75,194.86,195.0,570881.0,ODFL
12/15/20,196.7,200.32,195.81,198.28,515721.0,ODFL
12/14/20,202.22,202.315,194.95,195.35,807176.0,ODFL
12/11/20,197.75,202.875,197.5,200.79,589694.0,ODFL
12/10/20,201.49,201.5,196.43,198.7,754234.0,ODFL
12/09/20,210.16,210.9625,202.0601,202.77,676255.0,ODFL
12/08/20,207.85,210.23,206.86,210.14,512176.0,ODFL
12/07/20,208.97,209.45,206.391,208.08,513856.0,ODFL
12/04/20,209.51,212.58,208.315,209.25,672589.0,ODFL
12/03/20,203.19,208.42,203.19,207.01,595117.0,ODFL
12/02/20,210.54,210.635,203.58,204.83,803895.0,ODFL
12/01/20,203.74,211.45,202.67,211.04,1343347.0,ODFL
11/30/20,201.49,204.325,199.29,203.36,965570.0,ODFL
11/27/20,201.31,202.87,200.22,201.99,242123.0,ODFL
11/25/20,204.57,205.0,200.24,202.91,514485.0,ODFL
11/24/20,202.65,205.59,201.23,203.47,725357.0,ODFL
11/23/20,206.51,209.3,201.7,202.24,726871.0,ODFL
11/20/20,204.8,207.25,204.29,205.62,428197.0,ODFL
11/19/20,204.31,206.06,202.29,205.53,538728.0,ODFL
11/18/20,205.89,207.675,204.37,204.5,517359.0,ODFL
11/17/20,203.64,206.78,201.89,205.93,534155.0,ODFL
11/16/20,202.7,207.41,201.41,206.11,776074.0,ODFL
11/13/20,198.95,203.76,198.72,202.75,629143.0,ODFL
11/12/20,198.97,199.54,194.965,197.27,776013.0,ODFL
11/11/20,201.27,201.27,196.09,198.0,852124.0,ODFL
11/10/20,199.07,201.5,194.21,197.48,867173.0,ODFL
11/09/20,212.45,213.66,198.93,199.29,1010434.0,ODFL
11/06/20,205.53,208.865,205.35,207.02,424284.0,ODFL
11/05/20,203.5,207.37,201.05,206.17,561047.0,ODFL
11/04/20,200.66,204.23,199.88,200.4,609522.0,ODFL
11/03/20,195.72,199.9,194.875,198.14,503482.0,ODFL
11/02/20,193.885,194.91,191.23,193.75,685965.0,ODFL
10/30/20,188.44,193.4,188.44,190.37,803160.0,ODFL
10/29/20,186.57,191.02,185.201,190.35,785890.0,ODFL
10/28/20,186.9,189.52,185.21,186.66,826288.0,ODFL
10/27/20,195.21,201.99,189.0,189.59,911033.0,ODFL
10/26/20,198.26,199.38,196.08,198.41,820899.0,ODFL
10/23/20,197.06,200.97,196.92,200.62,642657.0,ODFL
10/22/20,197.14,199.05,193.69,196.16,586235.0,ODFL
10/21/20,199.19,201.62,196.15,196.28,587580.0,ODFL
10/20/20,198.48,201.72,197.97,199.12,397448.0,ODFL
10/19/20,201.07,201.96,195.8568,196.9,592085.0,ODFL
10/16/20,203.92,204.27,200.42,200.58,560526.0,ODFL
10/15/20,200.75,205.11,200.0,204.01,380688.0,ODFL
10/14/20,201.34,205.0,201.34,202.51,442540.0,ODFL
10/13/20,200.53,202.52,199.875,200.61,501649.0,ODFL
10/12/20,201.06,203.5,200.48,200.76,576518.0,ODFL
10/09/20,198.03,200.51,196.89,199.76,866879.0,ODFL
10/08/20,194.03,197.28,193.0,197.11,640537.0,ODFL
10/07/20,190.921,194.14,190.025,192.93,758007.0,ODFL
10/06/20,188.88,192.18,185.96,189.11,764581.0,ODFL
10/05/20,185.14,189.57,185.14,188.46,707365.0,ODFL
10/02/20,180.69,187.16,180.69,184.56,595163.0,ODFL
10/01/20,182.45,184.91,180.5,182.77,927499.0,ODFL
09/30/20,186.0,187.0,179.82,180.92,1006723.0,ODFL
09/29/20,186.21,188.29,184.9,185.11,1313894.0,ODFL
09/28/20,184.6,187.79,184.46,187.35,793928.0,ODFL
09/25/20,182.22,185.1556,181.08,182.41,779020.0,ODFL
09/24/20,181.1,185.73,180.32,183.93,1153303.0,ODFL
09/23/20,180.81,185.45,180.05,182.18,1075078.0,ODFL
09/22/20,179.01,182.165,176.34,180.72,1281154.0,ODFL
09/21/20,181.99,182.49,176.35,178.61,1793601.0,ODFL
09/18/20,190.41,190.41,182.105,184.07,1600243.0,ODFL
09/17/20,187.09,192.24,185.15,190.5,812905.0,ODFL
09/16/20,198.7,198.7513,189.79,190.08,955969.0,ODFL
09/15/20,193.74,198.0,192.46,197.46,1216675.0,ODFL
09/14/20,197.09,197.7,192.065,193.15,799285.0,ODFL
09/11/20,195.2,197.835,193.26,195.64,680825.0,ODFL
09/10/20,199.16,199.5144,193.03,194.57,688020.0,ODFL
09/09/20,196.02,201.72,196.02,199.04,1165772.0,ODFL
09/08/20,195.62,197.46,192.301,194.28,1147337.0,ODFL
09/04/20,200.76,200.89,190.5997,196.26,871057.0,ODFL
09/03/20,201.64,202.3673,195.18,198.72,851023.0,ODFL
09/02/20,206.53,207.435,202.695,203.61,789609.0,ODFL
09/01/20,202.17,204.97,200.37,204.13,626553.0,ODFL
08/31/20,203.68,204.44,201.53,202.18,889800.0,ODFL
