Date, Open, High, Low, Close, Volume,ticker
12/24/20,61.33,61.43,60.76,61.3,346004,OMC
12/23/20,59.93,62.01,59.885,61.28,1668443,OMC
12/22/20,60.74,61.07,59.47,59.79,2542075,OMC
12/21/20,60.79,60.9,59.05,60.54,2379338,OMC
12/18/20,62.43,62.875,61.25,61.62,3142677,OMC
12/17/20,65.09,65.35,63.13,63.31,1918787,OMC
12/16/20,64.04,64.98,63.84,64.74,1832313,OMC
12/15/20,64.47,64.64,63.28,64.34,1704600,OMC
12/14/20,64.82,64.98,63.57,63.58,2026343,OMC
12/11/20,63.55,65.26,63.53,64.59,1488856,OMC
12/10/20,63.88,64.38,63.4,63.96,1516286,OMC
12/09/20,64.86,65.23,64.045,64.36,1749493,OMC
12/08/20,63.77,64.7,63.68,64.65,1593018,OMC
12/07/20,64.57,64.88,64.0,64.3,2142417,OMC
12/04/20,65.3,65.8,64.74,64.99,1997203,OMC
12/03/20,64.22,65.48,63.85,65.06,2173593,OMC
12/02/20,63.42,64.19,63.15,63.67,2093028,OMC
12/01/20,63.89,64.82,62.85,63.37,2243075,OMC
11/30/20,63.0,63.95,62.56,63.0,4237923,OMC
11/27/20,63.64,64.27,62.98,63.0,1525550,OMC
11/25/20,63.43,64.55,63.35,64.17,2841478,OMC
11/24/20,62.17,65.12,62.0,64.44,4414703,OMC
11/23/20,60.27,61.47,59.61,61.1,1679707,OMC
11/20/20,59.07,59.82,58.84,59.65,1693597,OMC
11/19/20,59.3,59.54,58.12,59.39,1684746,OMC
11/18/20,61.61,61.73,59.68,59.7,2971743,OMC
11/17/20,61.0,62.31,60.72,61.84,2070819,OMC
11/16/20,60.74,61.96,59.95,61.88,3680243,OMC
11/13/20,56.73,58.41,56.645,58.36,2410076,OMC
11/12/20,56.45,57.23,55.77,56.23,5381693,OMC
11/11/20,57.16,57.79,56.33,57.23,4448403,OMC
11/10/20,56.18,57.42,55.61,57.0,5467895,OMC
11/09/20,52.56,56.91,52.46,55.49,6214862,OMC
11/06/20,49.24,49.6698,48.05,48.36,2120752,OMC
11/05/20,48.36,49.98,48.04,49.32,2040718,OMC
11/04/20,49.77,49.77,47.615,47.84,3756105,OMC
11/03/20,49.6,50.95,49.29,50.05,3219487,OMC
11/02/20,47.96,49.21,47.66,48.72,2848491,OMC
10/30/20,45.75,47.4,45.685,47.2,3068152,OMC
10/29/20,45.73,46.39,44.5,45.8,4168382,OMC
10/28/20,48.1,48.6,45.96,46.09,3626715,OMC
10/27/20,53.0,53.0,48.48,48.82,6550359,OMC
10/26/20,52.3,52.33,50.87,51.24,2665157,OMC
10/23/20,52.23,52.78,51.82,52.72,2293874,OMC
10/22/20,51.8,52.0,50.73,51.58,2140969,OMC
10/21/20,51.29,52.16,50.56,51.5,2136419,OMC
10/20/20,51.45,51.56,50.82,51.15,1464610,OMC
10/19/20,52.57,52.61,50.66,50.84,1563740,OMC
10/16/20,52.73,52.91,51.68,52.48,1749322,OMC
10/15/20,52.11,53.03,50.94,52.79,1850421,OMC
10/14/20,52.53,53.555,52.53,53.18,2158909,OMC
10/13/20,53.56,53.89,52.71,52.86,2054653,OMC
10/12/20,53.21,53.83,52.83,53.45,2570680,OMC
10/09/20,53.52,53.75,52.38,52.47,2161051,OMC
10/08/20,52.73,53.205,52.49,53.15,1941138,OMC
10/07/20,51.71,52.51,51.49,52.15,1518607,OMC
10/06/20,52.18,52.75,51.04,51.22,1750320,OMC
10/05/20,51.75,52.445,51.14,51.7,1725958,OMC
10/02/20,48.97,51.6,48.81,51.33,1653624,OMC
10/01/20,49.65,49.91,49.04,49.57,1618226,OMC
09/30/20,49.18,49.98,48.925,49.5,1842475,OMC
09/29/20,49.53,49.93,48.53,48.85,1470692,OMC
09/28/20,49.92,50.29,49.41,49.64,1692124,OMC
09/25/20,48.49,49.25,48.14,49.15,1422874,OMC
09/24/20,48.82,49.57,48.0,48.9,1381178,OMC
09/23/20,49.83,50.79,48.7,48.81,2032156,OMC
09/22/20,49.33,50.035,49.09,49.71,1791690,OMC
09/21/20,50.59,50.85,48.93,49.25,3091279,OMC
09/18/20,52.58,53.38,51.42,51.55,3107106,OMC
09/17/20,53.27,54.17,52.95,53.59,1799430,OMC
09/16/20,54.07,55.18,53.645,53.92,2187653,OMC
09/15/20,53.87,54.76,53.14,53.71,1927506,OMC
09/14/20,52.9,54.56,52.54,53.83,1594930,OMC
09/11/20,51.84,52.545,51.51,52.32,1517495,OMC
09/10/20,53.01,53.62,51.5801,51.8,1729122,OMC
09/09/20,53.74,54.17,52.98,53.0,1387721,OMC
09/08/20,53.97,54.335,53.34,53.83,1728461,OMC
09/04/20,54.56,55.31,53.75,54.08,1320725,OMC
09/03/20,54.54,55.95,53.64,54.29,1939312,OMC
09/02/20,52.93,54.29,52.76,53.93,1719575,OMC
09/01/20,53.72,53.85,52.99,53.02,1676941,OMC
08/31/20,55.05,55.27,54.005,54.09,1704828,OMC
08/28/20,54.98,55.26,54.28,55.11,1051860,OMC
08/27/20,54.07,55.62,54.07,54.96,1839297,OMC
08/26/20,53.57,54.0,52.82,53.66,1562089,OMC
08/25/20,54.5,54.98,53.21,53.8,1083371,OMC
08/24/20,52.71,54.71,52.35,54.49,1712236,OMC
08/21/20,52.78,52.975,51.9,52.55,1960524,OMC
08/20/20,53.42,53.625,52.83,52.86,1251469,OMC
08/19/20,54.03,54.73,53.53,53.73,1076142,OMC
08/18/20,53.82,54.62,53.5,54.12,1499195,OMC
08/17/20,54.7,54.96,53.51,53.83,1962754,OMC
08/14/20,53.94,55.37,53.94,54.85,1118355,OMC
08/13/20,53.64,54.71,53.37,54.32,1256677,OMC
08/12/20,56.11,56.31,54.08,54.15,1753010,OMC
08/11/20,55.87,57.37,55.6,55.74,1690072,OMC
08/10/20,53.46,55.26,53.33,55.01,2002519,OMC
08/07/20,53.17,53.3,52.46,53.27,1817524,OMC
08/06/20,52.5,53.95,52.43,53.68,2069205,OMC
08/05/20,53.62,53.875,52.55,52.7,2431246,OMC
08/04/20,53.45,54.07,52.97,53.14,1988006,OMC
08/03/20,53.84,54.58,53.2,53.7,2273034,OMC
07/31/20,52.92,53.8,52.23,53.73,3417014,OMC
07/30/20,53.39,53.65,52.39,53.26,2506742,OMC
07/29/20,54.66,55.505,53.75,54.02,5704695,OMC
07/28/20,53.0,55.26,52.25,54.66,5147802,OMC
07/27/20,56.12,57.45,55.76,57.01,3765107,OMC
07/24/20,56.61,57.72,55.65,56.56,2397615,OMC
07/23/20,57.07,57.73,55.91,56.33,2647338,OMC
07/22/20,54.37,55.29,54.13,54.98,1411990,OMC
07/21/20,54.14,55.42,54.01,54.5,1283125,OMC
07/20/20,55.22,55.22,53.05,53.97,1712093,OMC
07/17/20,56.23,56.3148,55.03,55.69,1517594,OMC
07/16/20,56.02,56.98,55.43,56.25,1352877,OMC
07/15/20,56.0,56.62,55.295,56.23,1740092,OMC
07/14/20,54.31,55.27,53.82,54.86,1429195,OMC
07/13/20,54.27,55.46,54.07,54.53,1953860,OMC
07/10/20,51.68,54.32,51.53,53.82,1708391,OMC
07/09/20,53.44,53.585,50.87,51.66,2627828,OMC
07/08/20,55.46,55.49,53.11,53.6,3267139,OMC
07/07/20,54.65,55.72,54.12,55.71,2534069,OMC
07/06/20,55.62,55.93,54.6,55.26,1539978,OMC
07/02/20,55.51,55.94,54.36,54.61,1689110,OMC
07/01/20,54.46,56.0,54.2,54.54,2206232,OMC
06/30/20,54.27,55.05,53.89,54.6,2381376,OMC
