Date, Open, High, Low, Close, Volume,ticker
12/24/20,65.05,65.59,64.78,64.96,3796498,ORCL
12/23/20,65.26,66.2,65.15,65.3,13075190,ORCL
12/22/20,64.56,66.0,64.43,65.15,17148221,ORCL
12/21/20,63.89,65.19,63.88,64.48,18210160,ORCL
12/18/20,63.48,65.335,63.43,65.06,33728699,ORCL
12/17/20,62.99,64.05,62.73,63.61,15320550,ORCL
12/16/20,61.87,63.19,61.85,62.78,16119880,ORCL
12/15/20,61.09,62.19,60.9,61.86,15510280,ORCL
12/14/20,60.83,61.6593,60.69,60.76,16193570,ORCL
12/11/20,60.94,61.0,59.42,60.61,16209930,ORCL
12/10/20,59.51,59.81,59.04,59.48,14219870,ORCL
12/09/20,58.89,59.91,58.8,59.73,12204060,ORCL
12/08/20,58.99,59.71,58.22,59.03,15237800,ORCL
12/07/20,59.96,60.2,59.63,59.8,14922930,ORCL
12/04/20,59.31,60.55,59.27,59.96,10872720,ORCL
12/03/20,59.22,59.98,59.06,59.27,9783917,ORCL
12/02/20,58.29,59.265,58.14,59.08,9330428,ORCL
12/01/20,58.2,59.28,58.01,58.74,11856020,ORCL
11/30/20,57.61,58.195,57.2,57.72,26676920,ORCL
11/27/20,57.4,57.87,57.15,57.76,5627039,ORCL
11/25/20,57.72,57.76,57.26,57.41,6848882,ORCL
11/24/20,56.6,57.9,56.36,57.57,10427810,ORCL
11/23/20,55.85,56.57,55.77,56.08,8236572,ORCL
11/20/20,56.36,56.44,55.68,55.7,8397531,ORCL
11/19/20,56.09,56.48,55.56,56.45,9643358,ORCL
11/18/20,57.12,57.29,56.24,56.25,8998775,ORCL
11/17/20,57.0,57.39,56.81,57.12,5569888,ORCL
11/16/20,57.02,57.61,56.875,57.15,6309178,ORCL
11/13/20,56.88,57.09,56.545,56.91,5871756,ORCL
11/12/20,57.255,57.49,56.1,56.45,7325363,ORCL
11/11/20,57.06,57.63,56.8,57.2,7724436,ORCL
11/10/20,56.91,57.24,56.2,56.67,9016029,ORCL
11/09/20,58.19,59.08,56.77,56.84,11486560,ORCL
11/06/20,56.77,56.98,56.15,56.8,7510696,ORCL
11/05/20,57.46,57.65,56.415,56.66,9017093,ORCL
11/04/20,58.0,58.09,56.35,56.49,12054850,ORCL
11/03/20,57.0,57.5,56.565,56.8,8911182,ORCL
