Date, Open, High, Low, Close, Volume,ticker
12/24/20,460.15,462.73,456.32,461.76,257246,ORLY
12/23/20,453.8,460.69,453.45,457.93,370833,ORLY
12/22/20,451.25,456.25,448.135,453.39,546599,ORLY
12/21/20,446.79,452.83,442.35,452.59,467918,ORLY
12/18/20,452.23,454.28,448.47,451.15,1575478,ORLY
12/17/20,456.37,458.22,447.19,451.83,632732,ORLY
12/16/20,449.66,457.035,448.23,454.98,643816,ORLY
12/15/20,451.06,452.1,447.17,449.08,602621,ORLY
12/14/20,450.34,460.0,447.03,447.55,651978,ORLY
12/11/20,445.06,451.19,443.0001,447.94,652164,ORLY
12/10/20,442.33,447.0,437.22,446.0,663238,ORLY
12/09/20,442.37,444.55,438.62,444.02,871664,ORLY
12/08/20,445.71,448.4,437.565,440.0,593423,ORLY
12/07/20,448.02,450.22,445.56,448.62,391674,ORLY
12/04/20,447.77,451.04699999999997,446.34,450.0,321598,ORLY
12/03/20,440.7,447.98,440.7,446.5,446333,ORLY
12/02/20,452.51,452.51,440.5101,442.41,528569,ORLY
12/01/20,446.36,454.53,442.8775,453.56,518867,ORLY
11/30/20,442.0,444.715,435.26,442.44,614638,ORLY
11/27/20,446.22,451.11,442.25,443.15,305170,ORLY
11/25/20,449.0,449.98,438.93,444.14,601224,ORLY
11/24/20,449.04,457.04,446.165,449.04,670746,ORLY
11/23/20,447.87,448.95,439.69,442.09,526524,ORLY
11/20/20,451.23,452.885,445.8,446.78,377048,ORLY
11/19/20,451.77,453.66,447.11,451.39,377488,ORLY
11/18/20,449.31,461.515,446.76,454.53,444578,ORLY
11/17/20,456.98,460.11,449.46,450.33,493404,ORLY
11/16/20,463.84,466.02,457.34,461.23,365903,ORLY
11/13/20,457.17,462.75,457.05,461.65,357632,ORLY
11/12/20,462.5,465.39,452.18,456.83,447894,ORLY
11/11/20,459.82,468.66,456.92,463.38,486603,ORLY
11/10/20,450.97,465.815,450.52,456.58,517334,ORLY
11/09/20,460.12,470.46,454.65,455.04,677182,ORLY
11/06/20,452.79,452.79,442.09,448.51,519833,ORLY
11/05/20,455.24,460.47,448.18,450.11,611068,ORLY
11/04/20,456.41,459.33,449.77,450.46,515819,ORLY
11/03/20,444.98,454.58,444.98,449.05,530504,ORLY
11/02/20,442.71,450.59,434.96,441.46,557223,ORLY
10/30/20,431.26,438.475,431.26,436.6,710730,ORLY
10/29/20,440.0,447.51,435.44,436.33,798000,ORLY
10/28/20,446.9,448.59,439.67,442.39,629774,ORLY
10/27/20,456.77,460.43,449.8,450.22,532864,ORLY
10/26/20,460.25,462.5,449.81,455.96,429592,ORLY
10/23/20,462.28,467.57,454.76,466.43,375553,ORLY
10/22/20,464.51,466.86,456.87,457.13,449083,ORLY
10/21/20,469.02,474.19,465.57,466.0,351440,ORLY
10/20/20,467.19,474.55,464.19,469.42,426525,ORLY
10/19/20,471.67,475.325,462.02,463.75,472973,ORLY
10/16/20,468.72,471.51,463.345,467.01,462607,ORLY
10/15/20,462.34,471.29,459.5025,469.5,350300,ORLY
10/14/20,470.47,475.375,463.59,464.63,413097,ORLY
10/13/20,460.02,471.28,460.02,469.45,394854,ORLY
10/12/20,452.71,461.62,449.33,458.47,491381,ORLY
10/09/20,454.59,455.145,448.69,449.38,420788,ORLY
10/08/20,447.05,455.69,447.05,453.36,386609,ORLY
10/07/20,447.04,451.615,444.325,444.9,529945,ORLY
10/06/20,459.62,461.23,443.28,444.61,527971,ORLY
10/05/20,459.77,463.58,459.06,459.49,349943,ORLY
10/02/20,458.25,462.0,453.345,458.24,356181,ORLY
10/01/20,462.93,467.63,461.11,463.56,385486,ORLY
09/30/20,455.68,464.61,453.58,461.08,515821,ORLY
09/29/20,457.36,459.03,452.7,453.32,403185,ORLY
09/28/20,450.17,458.01,449.94,457.34,485676,ORLY
09/25/20,437.35,447.79,437.35,444.68,464782,ORLY
09/24/20,445.03,447.155,437.57,443.97,874133,ORLY
09/23/20,454.79,458.93,448.05,448.62,517806,ORLY
09/22/20,456.57,464.0,451.275,455.4,530456,ORLY
09/21/20,460.74,461.65,446.68,453.96,645704,ORLY
09/18/20,468.12,470.01,457.19,463.9,677894,ORLY
09/17/20,461.0,470.53,461.0,467.39,405461,ORLY
09/16/20,480.0,480.31,468.52,469.92,420776,ORLY
09/15/20,480.0,480.7,476.4,477.41,245326,ORLY
09/14/20,475.98,483.255,474.95,478.12,347791,ORLY
09/11/20,473.08,476.04,469.63,474.65,334637,ORLY
09/10/20,476.8,480.645,467.43,469.27,367531,ORLY
09/09/20,471.48,481.76,471.01,476.28,410118,ORLY
09/08/20,468.47,477.4379,461.36,470.41,557319,ORLY
09/04/20,471.73,475.91,463.63,471.01,479100,ORLY
09/03/20,482.61,484.995,468.71,471.95,585238,ORLY
09/02/20,473.36,484.53,472.77,482.62,488991,ORLY
09/01/20,467.35,474.63,464.01,473.2,461397,ORLY
08/31/20,461.99,468.55,459.99,465.63,508695,ORLY
08/28/20,462.32,465.87,458.94,462.95,379162,ORLY
08/27/20,466.89,467.45,461.39,462.58,331554,ORLY
08/26/20,462.85,468.13,461.9,462.7,327849,ORLY
08/25/20,462.03,466.13,461.83,465.94,393697,ORLY
08/24/20,462.76,465.19,460.625,463.91,440227,ORLY
08/21/20,460.88,463.31,458.01,460.33,504197,ORLY
08/20/20,462.51,467.305,461.09,461.99,533158,ORLY
08/19/20,470.01,473.2299,464.8519,466.06,516173,ORLY
08/18/20,475.0,477.22,465.915,470.1,516941,ORLY
08/17/20,464.0,471.0,463.98,469.46,374332,ORLY
08/14/20,461.1,466.65,461.0,463.55,338001,ORLY
08/13/20,461.0,466.725,459.08,461.34,358403,ORLY
08/12/20,456.27,466.4,456.27,463.51,454003,ORLY
08/11/20,463.31,463.31,452.525,454.02,708419,ORLY
08/10/20,465.0,468.88,459.7,461.15,424725,ORLY
08/07/20,463.21,469.73,462.69,465.18,454243,ORLY
08/06/20,466.85,470.62,463.32,466.07,526423,ORLY
08/05/20,474.72,475.6747,466.59,468.53,412223,ORLY
08/04/20,470.01,476.5273,467.0418,472.88,557965,ORLY
08/03/20,479.61,480.695,471.01,473.79,560641,ORLY
07/31/20,479.31,481.12,471.25,477.38,656013,ORLY
07/30/20,480.0,487.95,470.3,480.52,1524590,ORLY
07/29/20,450.77,458.91,448.36,455.77,820828,ORLY
07/28/20,456.39,458.68,449.66,450.05,607877,ORLY
07/27/20,443.71,451.855,443.62,450.45,897861,ORLY
07/24/20,446.04,451.23,442.15,442.34,812877,ORLY
07/23/20,451.05,463.02,444.105,447.85,660951,ORLY
07/22/20,447.82,454.465,447.82,450.77,428595,ORLY
