Date, Open, High, Low, Close, Volume,ticker
12/24/20,465.02,465.02,458.0,462.13,95402,PAYC
12/23/20,465.85,471.08,460.56,464.37,333932,PAYC
12/22/20,448.04,466.54,446.05,465.13,508201,PAYC
12/21/20,435.69,449.77,431.2,445.59,399897,PAYC
12/18/20,442.67,443.85,433.725,439.84,839297,PAYC
12/17/20,424.0,442.25,423.29,441.8,515140,PAYC
12/16/20,425.3,430.14,423.28,423.29,364774,PAYC
12/15/20,429.81,434.72,424.39,425.3,446932,PAYC
12/14/20,426.44,430.0,419.18,425.98,322515,PAYC
12/11/20,426.29,430.1625,419.93,423.89,301094,PAYC
12/10/20,420.0,430.21,414.665,426.99,417166,PAYC
12/09/20,437.43,441.01,420.23,421.66,340018,PAYC
12/08/20,437.3,442.15,433.37,440.01,347836,PAYC
12/07/20,436.25,442.85,433.14,437.0,270721,PAYC
12/04/20,430.45,439.73,430.45,437.15,354606,PAYC
12/03/20,419.75,437.0,419.75,428.48,336681,PAYC
12/02/20,409.38,421.1,404.93,419.6,252850,PAYC
12/01/20,419.27,422.0,411.82,415.71,274067,PAYC
11/30/20,415.43,422.5,405.01,417.08,394869,PAYC
11/27/20,410.17,418.06,410.17,416.77,155948,PAYC
11/25/20,402.78,409.15,399.3,407.17,300040,PAYC
11/24/20,407.41,407.41,396.0,400.48,236996,PAYC
11/23/20,395.78,405.91,393.0,402.49,269052,PAYC
11/20/20,390.45,400.65,386.81,392.71,252118,PAYC
11/19/20,383.11,393.17,379.97,392.64,278938,PAYC
11/18/20,380.98,387.69,376.08,380.27,248734,PAYC
11/17/20,379.05,384.0,372.81,381.66,191905,PAYC
11/16/20,381.99,385.74,376.31,379.33,251214,PAYC
11/13/20,381.75,386.9,375.5942,381.72,259098,PAYC
11/12/20,382.82,393.05,378.28,379.98,297475,PAYC
11/11/20,387.51,394.5,380.44,381.46,337243,PAYC
11/10/20,400.18,402.92,372.645,377.68,570585,PAYC
11/09/20,396.01,419.98,395.14,405.05,703335,PAYC
11/06/20,372.75,390.64,365.06,388.12,471627,PAYC
11/05/20,393.87,399.75,368.7591,373.26,850549,PAYC
11/04/20,380.0,397.84,380.0,397.43,609059,PAYC
11/03/20,366.0,372.62,363.48,369.14,328697,PAYC
11/02/20,364.09,371.475,354.47,360.6,424196,PAYC
10/30/20,370.48,370.824,356.59,364.09,298048,PAYC
10/29/20,372.17,377.88,371.27,373.09,319762,PAYC
10/28/20,373.9,375.675,367.46,371.55,341891,PAYC
