Date, Open, High, Low, Close, Volume,ticker
12/24/20,94.9,95.0084,93.38,94.71,842232,PAYX
12/23/20,99.5,99.95,94.32,94.4,3367641,PAYX
12/22/20,96.42,97.19,96.36,96.63,2148231,PAYX
12/21/20,95.64,97.17,94.96,96.59,2159793,PAYX
12/18/20,96.13,97.13,95.77,96.92,3192197,PAYX
12/17/20,94.84,95.75,94.33,95.65,1484389,PAYX
12/16/20,93.43,94.84,92.44,94.47,2836846,PAYX
12/15/20,91.61,93.55,91.01,93.53,2300495,PAYX
12/14/20,92.47,93.18,91.29,91.33,1397088,PAYX
12/11/20,91.1,91.89,90.73,91.82,1738782,PAYX
12/10/20,92.43,92.5923,91.2,91.34,1888136,PAYX
12/09/20,93.31,93.62,92.5501,93.22,1519020,PAYX
12/08/20,93.72,93.765,92.72,93.33,1003580,PAYX
12/07/20,93.93,94.23,93.14,93.55,1458768,PAYX
12/04/20,93.58,94.55,92.98,94.47,1663663,PAYX
12/03/20,92.35,93.76,92.35,93.3,953169,PAYX
12/02/20,93.53,93.62,92.28,92.82,1417197,PAYX
12/01/20,93.74,93.96,93.01,93.58,1368995,PAYX
11/30/20,93.01,93.37,91.7,93.15,1847829,PAYX
11/27/20,93.06,93.5962,92.75,93.37,557019,PAYX
11/25/20,94.0,94.0,92.59200000000001,93.12,921803,PAYX
11/24/20,92.38,93.81,91.62,93.73,1716980,PAYX
11/23/20,91.52,92.14,90.89,91.97,1697514,PAYX
11/20/20,92.07,92.07,90.59,90.64,1230468,PAYX
11/19/20,91.69,92.22,90.9,92.08,1166607,PAYX
11/18/20,92.38,93.09,91.82,91.9,1593917,PAYX
11/17/20,92.09,92.64,91.52,92.5,1584481,PAYX
11/16/20,92.46,93.32,91.9783,93.13,1378155,PAYX
11/13/20,91.11,91.99,90.44,91.87,905005,PAYX
11/12/20,91.65,91.97,89.855,90.39,1205217,PAYX
11/11/20,91.79,92.16,90.85,91.55,1073876,PAYX
11/10/20,89.44,92.69,89.44,91.29,1596775,PAYX
11/09/20,93.26,94.95,90.55,90.59,2402746,PAYX
11/06/20,86.837,88.38,86.54,88.02,1146108,PAYX
11/05/20,87.12,87.84,86.105,86.6,1477597,PAYX
11/04/20,89.32,89.48,85.32,85.49,2410876,PAYX
11/03/20,83.99,87.08,83.99,86.54,1623577,PAYX
11/02/20,83.19,84.12,82.41,83.3,1446645,PAYX
10/30/20,81.12,82.34,81.04,82.25,1864877,PAYX
10/29/20,79.86,83.21,79.63,82.45,1477046,PAYX
10/28/20,80.58,81.76,79.95,80.15,1598261,PAYX
10/27/20,82.63,83.18,81.765,81.93,957688,PAYX
10/26/20,83.55,84.01,81.8,82.48,1389587,PAYX
10/23/20,84.56,85.12,84.06,85.03,1203763,PAYX
