Date, Open, High, Low, Close, Volume,ticker
12/24/20,85.4,86.2,85.0,86.11,372958,PCAR
12/23/20,85.02,85.5,84.68,85.09,951376,PCAR
12/22/20,85.69,85.7,84.66,84.87,916961,PCAR
12/21/20,84.7,86.18,84.065,85.85,1190782,PCAR
12/18/20,86.27,86.57,85.0,86.01,3717796,PCAR
12/17/20,86.48,86.87,85.16,85.77,1704291,PCAR
12/16/20,86.92,87.58,86.6,86.89,1412740,PCAR
12/15/20,86.16,87.52,85.64,87.29,1750425,PCAR
12/14/20,85.667,86.43,84.38,84.46,1089394,PCAR
12/11/20,84.92,85.93,84.68,85.46,1131792,PCAR
12/10/20,86.74,87.14,85.51,85.75,1035810,PCAR
12/09/20,86.41,87.59,86.105,87.38,1717702,PCAR
12/08/20,86.16,86.86,86.11,86.41,885244,PCAR
12/07/20,86.41,86.81,85.75,86.31,1571886,PCAR
12/04/20,86.33,87.39,85.7,86.7,2042690,PCAR
12/03/20,87.09,87.55,86.08,86.25,2070261,PCAR
12/02/20,87.0,88.0,86.52,87.15,1260752,PCAR
12/01/20,87.95200000000001,88.88,87.26,87.28,1419986,PCAR
11/30/20,87.24,87.9,86.37,87.06,2093086,PCAR
11/27/20,88.85,89.68,87.57,87.74,590387,PCAR
11/25/20,90.59,90.77,88.545,88.82,1304713,PCAR
11/24/20,88.83,90.82,88.83,90.41,1978066,PCAR
11/23/20,90.73,90.73,88.5,89.56,1146731,PCAR
11/20/20,88.15,89.8,87.76,88.78,1660334,PCAR
11/19/20,89.28,90.23,88.02,90.04,1022296,PCAR
11/18/20,89.44,90.95,88.385,89.84,1032998,PCAR
11/17/20,89.39,89.39,88.03,88.82,1070508,PCAR
11/16/20,90.6,91.26,88.0,89.92,1385858,PCAR
11/13/20,89.83,90.18,89.03,89.91,1271279,PCAR
11/12/20,89.75,90.15,88.42,88.99,1322827,PCAR
11/11/20,91.74,91.89,89.62,90.17,1495074,PCAR
11/10/20,89.89,92.61,89.69,91.12,2024837,PCAR
11/09/20,95.0,95.82,90.43,90.6,2453948,PCAR
11/06/20,91.63,91.63,89.67,90.09,1131232,PCAR
11/05/20,89.2,91.3075,88.085,90.61,1218450,PCAR
11/04/20,92.72,93.3,88.61,88.75,1521439,PCAR
11/03/20,90.09,92.33,89.53,91.78,1640917,PCAR
11/02/20,86.65,88.91,86.38,88.83,1498728,PCAR
10/30/20,85.05,85.88,84.37,85.38,1357841,PCAR
10/29/20,84.65,86.58,84.22,85.67,1261660,PCAR
10/28/20,86.79,87.52,84.89,84.89,1855050,PCAR
10/27/20,90.76,91.39,88.37,88.45,1339691,PCAR
10/26/20,91.26,91.415,89.49,90.57,1896787,PCAR
10/23/20,92.07,92.96,91.735,92.64,1556442,PCAR
10/22/20,92.02,92.48,90.6,91.69,1730092,PCAR
10/21/20,90.09,91.78,90.02,90.91,2538608,PCAR
10/20/20,91.375,92.0,89.0,90.34,3929388,PCAR
10/19/20,89.97,91.6,89.97,91.06,2596213,PCAR
10/16/20,89.61,91.33,87.95,89.94,1918234,PCAR
10/15/20,87.98,89.235,87.86,89.16,928038,PCAR
10/14/20,88.26,90.0,88.26,88.97,1182788,PCAR
10/13/20,88.94,89.895,87.6,88.54,1667072,PCAR
10/12/20,90.22,90.265,89.13,89.78,1746328,PCAR
10/09/20,90.0,90.96,88.83,89.22,1837623,PCAR
10/08/20,89.61,89.9599,88.0,89.94,779505,PCAR
10/07/20,88.77,90.0,88.37,89.89,1060199,PCAR
10/06/20,88.08,89.85,87.45,87.68,1253306,PCAR
10/05/20,85.93,88.43,85.68,88.09,1195850,PCAR
10/02/20,83.55,85.84,82.85,84.99,1038921,PCAR
10/01/20,86.01,86.22,83.56,84.49,1136012,PCAR
09/30/20,86.53,87.7,84.68,85.28,1984649,PCAR
09/29/20,86.26,87.2,85.78,86.15,1131549,PCAR
09/28/20,84.67,86.65,84.67,86.55,1588323,PCAR
09/25/20,82.54,84.1,81.8062,83.53,1192867,PCAR
09/24/20,81.25,83.2,80.41,82.16,1093849,PCAR
09/23/20,82.58,83.55,81.17,81.61,1465717,PCAR
09/22/20,81.48,83.17,80.97,82.34,1342497,PCAR
09/21/20,83.41,83.58,80.36,81.86,1665846,PCAR
09/18/20,85.94,86.24,83.98,84.24,2237107,PCAR
09/17/20,85.04,86.9,84.23,85.86,1621681,PCAR
09/16/20,86.77,87.29,85.85,86.42,1328771,PCAR
09/15/20,86.39,86.98,85.66,85.77,1743049,PCAR
09/14/20,84.64,86.59,84.2,86.355,1551522,PCAR
09/11/20,83.05,84.23,82.9,83.89,2842876,PCAR
09/10/20,84.54,85.63,82.36,82.84,1415849,PCAR
09/09/20,83.88,85.51,83.55,84.96,2129500,PCAR
09/08/20,84.82,85.24,83.36,83.49,1752546,PCAR
09/04/20,86.39,86.77,85.01,85.62,1490396,PCAR
09/03/20,88.86,89.03,84.79,85.45,1610568,PCAR
09/02/20,87.04,88.2,87.04,87.88,1534744,PCAR
09/01/20,85.98,87.13,85.01,87.05,1730428,PCAR
08/31/20,85.97,86.665,85.69,85.84,1435641,PCAR
08/28/20,86.09,86.5,85.52,86.49,1149889,PCAR
08/27/20,87.44,87.55,85.965,86.33,1105652,PCAR
08/26/20,86.07,87.24,85.4201,86.87,1103092,PCAR
08/25/20,87.46,87.84,86.17,86.41,1324647,PCAR
08/24/20,87.25,87.91,86.7,86.9,1695612,PCAR
08/21/20,87.04,87.44,86.46,87.02,1300373,PCAR
08/20/20,87.67,88.3509,86.89,87.18,984437,PCAR
08/19/20,88.46,89.05,87.76,88.11,1402053,PCAR
08/18/20,88.96,89.4763,88.3776,88.56,986522,PCAR
08/17/20,89.25,89.53,88.37,88.61,1856698,PCAR
08/14/20,88.5,89.455,88.01,88.95,1365599,PCAR
08/13/20,90.02,90.02,88.25,88.5,1550075,PCAR
08/12/20,90.61,90.99,89.87,90.33,1575666,PCAR
08/11/20,90.48,91.3,89.81,90.39,1522764,PCAR
08/10/20,88.58,90.64,87.36,89.85,2262929,PCAR
08/07/20,87.06,88.63,86.81,88.6,1361667,PCAR
08/06/20,86.53,87.39,86.53,87.36,1434900,PCAR
08/05/20,85.6,86.97,85.0,86.9,1467870,PCAR
08/04/20,84.71,85.3,84.5,84.91,1415323,PCAR
08/03/20,84.97,86.18,84.745,85.61,1309128,PCAR
07/31/20,84.23,85.09,83.7,85.08,1521494,PCAR
07/30/20,85.13,85.13,84.025,84.61,1238401,PCAR
07/29/20,85.06,86.2,85.01,85.99,1643827,PCAR
07/28/20,85.97,86.63,85.01,85.45,1997148,PCAR
07/27/20,85.74,86.8912,85.27,85.92,1586883,PCAR
07/24/20,86.5,87.24,85.12,85.74,2678697,PCAR
07/23/20,85.33,86.49,85.0,86.06,2635263,PCAR
07/22/20,83.83,86.4,83.67,85.25,2862099,PCAR
07/21/20,79.12,83.92,78.9054,83.66,3690480,PCAR
07/20/20,79.0,79.8,78.51,79.68,2290208,PCAR
07/17/20,79.73,79.98,78.99,79.43,3638242,PCAR
